seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
10,5,2,1,0.05177266544734056,0.01798919402062893,0.022312588524073362,0.10961773991584778,1.1344210,2.7607551
10,5,2,2,0.03605457552923606,0.025359091814607382,0.029777431394904852,0.11771320551633835,1.2138262,2.2352300
10,5,2,3,0.03329778620256828,0.01728556863963604,0.022438949905335903,0.10413853451609612,1.2518252,2.1820323
10,5,2,4,0.030967990294671975,0.0181426964700222,0.023144784732721746,0.10162747651338577,1.4087688,2.2682726
10,5,2,5,0.02716223057359457,0.016312445513904095,0.022572224377654493,0.09268370270729065,1.1187453,1.9182500
10,5,2,6,0.024653206221186198,0.013862581457942724,0.020109386183321476,0.08559798076748848,0.6236160,1.3728247
10,5,2,7,0.026928462446309052,0.013239984400570393,0.019448440754786134,0.08287857845425606,1.0911441,1.6788251
10,5,2,8,0.02661647694185376,0.013236130587756634,0.01964006363414228,0.08318525925278664,1.1076499,2.4784558
10,5,2,9,0.02802594779775693,0.012953152414411306,0.0198928564786911,0.08065598085522652,0.8550409,1.9582464
10,5,2,10,0.02640610757785348,0.01371005829423666,0.019851272460073233,0.0854264348745346,0.8712631,1.2537971
10,5,2,11,0.024462600955023214,0.013553429394960403,0.01998263504356146,0.08425655215978622,0.7156873,1.5643317
10,5,2,12,0.02332958342650762,0.013316586380824447,0.019925500615499914,0.08385629206895828,0.8547809,1.5513030
10,5,2,13,0.02761867792847065,0.013612492009997368,0.019993496825918555,0.08453161641955376,1.2000831,2.3211210
10,5,2,14,0.029639481889227264,0.013077854178845882,0.01998523937072605,0.08236302249133587,0.8473569,1.3326836
10,5,2,15,0.024076280040809743,0.013318346813321114,0.01992622180841863,0.08359415456652641,0.6992850,1.3834428
10,5,2,16,0.02366890998270649,0.013519514352083206,0.0199321152176708,0.08483286201953888,0.7806221,1.4206613
10,5,2,17,0.025069733150303364,0.012316584354266524,0.019931384827941656,0.07892360910773277,0.7349461,1.2971069
10,5,2,18,0.025936859409109905,0.013156079687178135,0.019927837420254946,0.08180242776870728,0.9410919,1.9173160
10,5,2,19,0.02672345395414875,0.012877191882580519,0.019966077408753335,0.08017943799495697,1.2696433,2.1050808
10,5,2,20,0.016159734760339443,0.013170675141736865,0.019932431052438915,0.08260268718004227,0.9415168,1.5616361
