YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,116.15,28768565.0,116.15,114.76,116.33,115.8,161448.0
2017-01-04,116.02,21118116.0,116.02,115.75,116.51,115.85,131598.0
2017-01-05,116.61,22193587.0,116.61,115.81,116.8642,115.92,137785.0
2017-01-06,117.91,31751900.0,117.91,116.47,118.16,116.78,179441.0
2017-01-09,118.99,33561948.0,118.99,117.94,119.43,117.95,187384.0
2017-01-10,119.11,24462705.0,119.11,118.3,119.38,118.77,147734.0
2017-01-11,119.75,27588593.0,119.75,118.6,119.93,118.74,154858.0
2017-01-12,119.25,27086220.0,119.25,118.21,119.3,118.895,167341.0
2017-01-13,119.04,26111955.0,119.04,118.81,119.62,119.11,134462.0
2017-01-17,120.0,34441283.0,120.0,118.22,120.24,118.34,192604.0
2017-01-18,119.99,23712961.0,119.99,119.71,120.5,120.0,128747.0
2017-01-19,119.78,25597306.0,119.78,119.37,120.09,119.4,131725.0
2017-01-20,120.0,32617453.0,120.0,119.7346,120.45,120.45,150486.0
2017-01-23,120.08,22050218.0,120.08,119.77,120.81,120.0,130536.0
2017-01-24,119.97,23211038.0,119.97,119.5,120.1,119.55,136270.0
2017-01-25,121.88,32586863.0,121.88,120.28,122.1,120.42,201101.0
2017-01-26,121.94,26337576.0,121.94,121.6,122.44,121.67,128100.0
2017-01-27,121.95,20566114.0,121.95,121.6,122.35,122.14,112469.0
2017-01-30,121.63,30379153.0,121.63,120.66,121.63,120.93,167828.0
2017-01-31,121.35,49200993.0,121.35,120.62,121.39,121.15,248283.0
2017-02-01,128.75,111985591.0,128.75,127.01,130.49,127.03,549525.0
2017-02-02,128.53,33794432.0,128.53,127.78,129.39,127.975,194499.0
2017-02-03,129.08,24707301.0,129.08,128.16,129.19,128.31,137922.0
2017-02-06,130.29,27095924.0,130.29,128.9,130.5,129.13,154206.0
2017-02-07,131.53,38183916.0,131.53,130.45,132.09,130.54,192592.0
2017-02-08,132.04,23863263.0,132.04,131.22,132.22,131.35,126549.0
2017-02-09,132.42,28349959.0,132.42,131.12,132.445,131.65,133683.0
2017-02-10,132.12,20066343.0,132.12,132.05,132.94,132.46,111449.0
2017-02-13,133.29,23035671.0,133.29,132.75,133.82,133.08,134550.0
2017-02-14,135.02,33311248.0,135.02,133.25,135.09,133.47,172739.0
2017-02-15,135.51,35623100.0,135.51,134.62,136.27,135.52,189827.0
2017-02-16,135.345,22575255.0,135.345,134.8398,135.9,135.67,137560.0
2017-02-17,135.72,22198233.0,135.72,135.1,135.83,135.1,117271.0
2017-02-21,136.7,24518806.0,136.7,135.98,136.75,136.23,134085.0
2017-02-22,137.11,20836934.0,137.11,136.11,137.12,136.43,107268.0
2017-02-23,136.53,20788186.0,136.53,136.3,137.48,137.38,133534.0
2017-02-24,136.66,21827185.0,136.66,135.28,136.66,135.91,129139.0
2017-02-27,136.93,20258076.0,136.93,136.28,137.435,137.14,126167.0
2017-02-28,136.99,23482948.0,136.99,136.7,137.435,137.08,128750.0
2017-03-01,139.79,36444585.0,139.79,137.595,140.15,137.89,209617.0
2017-03-02,138.96,26215285.0,138.96,138.76,140.2786,140.0,159393.0
2017-03-03,139.78,21571121.0,139.78,138.59,139.83,138.78,122504.0
2017-03-06,139.34,21880044.0,139.34,138.5959,139.77,139.365,123353.0
2017-03-07,139.52,17446298.0,139.52,138.79,139.98,139.06,111925.0
2017-03-08,139.0,18707256.0,139.0,138.82,139.8,138.95,114460.0
2017-03-09,138.68,22155904.0,138.68,137.05,138.79,138.74,130935.0
2017-03-10,139.14,19612801.0,139.14,138.64,139.3571,139.25,116613.0
2017-03-13,139.2,17421717.0,139.2,138.82,139.43,138.85,99944.0
2017-03-14,138.99,15317315.0,138.99,138.84,139.65,139.3,99602.0
2017-03-15,140.46,25741774.0,140.46,139.025,140.7501,139.41,142714.0
2017-03-16,140.69,19231998.0,140.69,140.26,141.02,140.72,122795.0
2017-03-17,139.99,43886952.0,139.99,139.89,141.0,141.0,124291.0
2017-03-20,141.46,21542057.0,141.46,140.23,141.5,140.4,113961.0
2017-03-21,139.84,39530574.0,139.84,139.73,142.8,142.11,240342.0
2017-03-22,141.42,25863896.0,141.42,139.76,141.6,139.845,153821.0
2017-03-23,140.92,20346301.0,140.92,140.61,141.5844,141.26,129025.0
2017-03-24,140.64,22395573.0,140.64,140.35,141.74,141.5,133037.0
2017-03-27,140.88,23638982.0,140.88,138.62,141.22,139.39,139384.0
2017-03-28,143.8,33514805.0,143.8,140.62,144.04,140.91,196354.0
2017-03-29,144.12,29189955.0,144.12,143.19,144.49,143.68,161764.0
2017-03-30,143.93,21207454.0,143.93,143.5,144.5,144.19,115349.0
2017-03-31,143.66,19661701.0,143.66,143.01,144.27,143.72,110184.0
2017-04-03,143.7,19988614.0,143.7,143.05,144.12,143.71,127315.0
2017-04-04,144.77,19937004.0,144.77,143.17,144.89,143.25,125161.0
2017-04-05,144.02,27717854.0,144.02,143.81,145.46,144.22,170844.0
2017-04-06,143.66,21149034.0,143.66,143.45,144.52,144.29,126045.0
2017-04-07,143.34,16672198.0,143.34,143.27,144.18,143.73,111617.0
2017-04-10,143.17,18933497.0,143.17,142.9,143.8792,143.6,113972.0
2017-04-11,141.63,30879487.0,141.63,140.06,143.35,142.94,195355.0
2017-04-12,141.8,20350000.0,141.8,141.01,142.15,141.6,133146.0
2017-04-13,141.05,17822875.0,141.05,141.05,142.38,141.91,118375.0
2017-04-17,141.83,16582294.0,141.83,140.87,141.88,141.48,106519.0
2017-04-18,141.2,14697694.0,141.2,141.11,142.04,141.41,102076.0
2017-04-19,140.68,17328375.0,140.68,140.45,142.0,141.88,115384.0
2017-04-20,142.44,23319562.0,142.44,141.16,142.92,141.22,146778.0
2017-04-21,142.27,17327928.0,142.27,141.85,142.68,142.44,105312.0
2017-04-24,143.64,17134333.0,143.64,143.18,143.95,143.5,110251.0
2017-04-25,144.53,18871501.0,144.53,143.87,144.9,143.91,112878.0
2017-04-26,143.68,20041241.0,143.68,143.3762,144.6,144.47,131888.0
2017-04-27,143.79,14246347.0,143.79,143.31,144.16,143.923,98519.0
2017-04-28,143.65,21456358.0,143.65,143.27,144.3,144.09,116065.0
2017-05-01,146.58,33603858.0,146.58,144.96,147.2,145.1,187021.0
2017-05-02,147.51,45352199.0,147.51,146.84,148.09,147.54,257539.0
2017-05-03,147.06,46997034.0,147.06,144.27,147.49,145.59,284486.0
2017-05-04,146.53,23371872.0,146.53,145.81,147.14,146.52,141817.0
2017-05-05,148.96,27354125.0,148.96,146.76,148.98,146.76,159394.0
2017-05-08,153.01,48752472.0,153.01,149.03,153.7,149.03,258391.0
2017-05-09,153.99,39130508.0,153.99,153.45,154.88,153.87,223684.0
2017-05-10,153.26,25805692.0,153.26,152.11,153.94,153.63,158323.0
2017-05-11,153.95,27255058.0,153.95,152.31,154.07,152.45,138959.0
2017-05-12,156.1,32527017.0,156.1,154.67,156.42,154.7,189246.0
2017-05-15,155.7,26009719.0,155.7,155.05,156.65,156.01,142804.0
2017-05-16,155.47,20051023.0,155.47,154.72,156.06,155.94,130959.0
2017-05-17,150.25,50786178.0,150.25,149.71,154.57,153.6,322687.0
2017-05-18,152.54,33568215.0,152.54,151.13,153.34,151.27,208559.0
2017-05-19,153.06,26960791.0,153.06,152.63,153.98,153.38,149751.0
2017-05-22,153.99,22966447.0,153.99,152.91,154.58,154.0,130100.0
2017-05-23,153.8,20020271.0,153.8,153.31,154.9,154.9,127604.0
2017-05-24,153.34,19219154.0,153.34,152.67,154.17,153.84,116322.0
2017-05-25,153.87,19258674.0,153.87,153.03,154.35,153.73,122813.0
2017-05-26,153.61,21927637.0,153.61,153.31,154.24,154.0,110569.0
2017-05-30,153.67,20126951.0,153.67,153.33,154.43,153.42,115991.0
2017-05-31,152.76,24516956.0,152.76,152.38,154.17,153.97,133439.0
2017-06-01,153.18,16404345.0,153.18,152.22,153.33,153.17,113294.0
2017-06-02,155.45,27770715.0,155.45,152.89,155.45,153.58,169238.0
