YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,39.05,9677316.0,39.05,38.34,39.08,38.633,
2017-01-04,39.36,22644542.0,39.36,39.06,39.725,39.06,
2017-01-05,39.7,12080148.0,39.7,38.98,39.75,39.24,
2017-01-06,40.78,14628910.0,40.78,39.66,40.99,39.7,
2017-01-09,40.74,10992496.0,40.74,40.62,41.06,40.79,
2017-01-10,41.29,9256298.0,41.29,40.78,41.62,40.81,
2017-01-11,41.08,10699446.0,41.08,40.485,41.415,41.05,
2017-01-12,40.72,8633354.0,40.72,40.31,40.79,40.79,
2017-01-13,40.93,9533780.0,40.93,40.69,41.36,40.75,
2017-01-17,40.9,8272727.0,40.9,40.53,41.04,40.67,
2017-01-18,40.76,7195205.0,40.76,40.51,41.1,41.05,
2017-01-19,40.4,7160171.0,40.4,40.24,40.73,40.64,
2017-01-20,40.46,5908000.0,40.46,40.345,40.77,40.51,
2017-01-23,40.34,7351854.0,40.34,40.2,40.545,40.32,
2017-01-24,40.31,7773693.0,40.31,40.12,40.5,40.32,
2017-01-25,40.31,16890214.0,40.31,39.25,40.465,39.76,
2017-01-26,40.96,9410238.0,40.96,40.45,41.12,40.46,
2017-01-27,41.0,7033637.0,41.0,40.9,41.31,41.11,
2017-01-30,41.01,13811560.0,41.01,40.77,41.14,40.86,
2017-01-31,41.77,12318224.0,41.77,40.6,41.79,40.73,
2017-02-01,42.33,11948793.0,42.33,41.44,42.37,41.51,
2017-02-02,42.75,11836897.0,42.75,41.85,42.79,42.18,
2017-02-03,42.78,11642218.0,42.78,42.54,43.13,42.94,
2017-02-06,42.43,8735171.0,42.43,42.23,42.75,42.57,
2017-02-07,42.89,8697290.0,42.89,42.504,42.98,42.57,
2017-02-08,42.4,6731375.0,42.4,42.28,42.729,42.66,
2017-02-09,42.54,5138389.0,42.54,42.32,42.78,42.5,
2017-02-10,42.74,3692381.0,42.74,42.48,42.8,42.74,
2017-02-13,43.22,5672370.0,43.22,42.86,43.22,43.0,
2017-02-14,43.65,8458818.0,43.65,42.9583,43.73,43.01,
2017-02-15,44.0,7946389.0,44.0,43.42,44.08,43.5,
2017-02-16,44.2,8975535.0,44.2,43.74,44.21,44.0,
2017-02-17,44.69,9632008.0,44.69,44.09,44.7,44.17,
2017-02-21,45.01,11387762.0,45.01,44.54,45.15,44.65,
2017-02-22,45.01,7534641.0,45.01,44.81,45.1101,44.88,
2017-02-23,45.4,9459424.0,45.4,44.85,45.51,45.02,
2017-02-24,45.68,7608646.0,45.68,45.23,45.68,45.29,
2017-02-27,45.46,6142610.0,45.46,45.185,45.56,45.51,
2017-02-28,45.08,14211439.0,45.08,44.83,45.43,45.41,
2017-03-01,45.59,8886276.0,45.59,45.185,45.7,45.37,
2017-03-02,45.69,11164608.0,45.69,45.35,45.835,45.5,
2017-03-03,45.25,6790781.0,45.25,45.11,45.56,45.42,
2017-03-06,45.13,6001280.0,45.13,44.86,45.3758,44.99,
2017-03-07,45.0,6476612.0,45.0,44.67,45.16,44.81,
2017-03-08,45.36,6398621.0,45.36,44.92,45.455,45.03,
2017-03-09,45.63,5691017.0,45.63,45.345,45.74,45.36,
2017-03-10,45.72,6105876.0,45.72,45.51,45.84,45.77,
2017-03-13,45.53,7040547.0,45.53,45.23,45.78,45.65,
2017-03-14,44.8,7504525.0,44.8,44.77,45.25,45.19,
2017-03-15,45.32,6844368.0,45.32,44.86,45.4,44.96,
2017-03-16,44.98,6704220.0,44.98,44.615,45.37,45.17,
2017-03-17,45.19,12277435.0,45.19,44.77,45.27,45.1,
2017-03-20,44.98,3521597.0,44.98,44.87,45.23,45.19,
2017-03-21,44.8,5567081.0,44.8,44.6,45.38,45.15,
