YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,116.46,2352157.0,116.46,115.82,117.81,117.38,
2017-01-04,116.74,2639772.0,116.74,116.43,117.8,116.91,
2017-01-05,114.99,3685380.0,114.99,114.95,117.14,116.98,
2017-01-06,116.3,4125269.0,116.3,114.34,116.74,114.99,
2017-01-09,115.0,2550869.0,115.0,114.92,116.3465,116.14,
2017-01-10,115.06,2550138.0,115.06,114.64,115.99,114.94,
2017-01-11,116.12,2845844.0,116.12,114.91,116.26,115.4,
2017-01-12,115.78,2110781.0,115.78,114.84,115.965,115.62,
2017-01-13,116.95,2666366.0,116.95,115.35,117.44,115.35,
2017-01-17,116.03,2374325.0,116.03,115.47,116.36,115.92,
2017-01-18,115.95,2262162.0,115.95,115.74,116.95,116.54,
2017-01-19,115.5,1647118.0,115.5,115.27,116.0,115.6,
2017-01-20,115.07,2781387.0,115.07,114.81,116.25,115.88,
2017-01-23,114.82,2319952.0,114.82,114.61,115.27,114.78,
2017-01-24,116.48,2810084.0,116.48,114.84,116.64,115.2,
2017-01-25,117.57,2905948.0,117.57,116.7,118.36,116.9,
2017-01-26,115.93,2865071.0,115.93,115.6244,117.44,116.99,
2017-01-27,115.35,2545180.0,115.35,115.07,116.435,116.2,
2017-01-30,114.63,2529715.0,114.63,113.41,115.33,115.32,
2017-01-31,113.87,2338994.0,113.87,112.61,114.0178,113.97,
2017-02-01,113.21,2471638.0,113.21,112.31,114.769,113.8,
2017-02-02,113.64,2450479.0,113.64,112.71,113.77,113.15,
2017-02-03,114.49,1664211.0,114.49,113.34,114.83,114.0,
2017-02-06,114.18,2019412.0,114.18,113.375,115.22,114.07,
2017-02-07,115.92,2538228.0,115.92,114.95,116.17,115.0,
2017-02-08,115.43,2373733.0,115.43,114.92,116.15,116.15,
2017-02-09,116.98,2117069.0,116.98,115.47,117.46,115.51,
2017-02-10,117.6,2183016.0,117.6,116.52,118.84,116.7,
2017-02-13,118.59,1988541.0,118.59,117.725,118.95,117.9,
2017-02-14,120.0,2559693.0,120.0,118.405,120.0,118.47,
2017-02-15,119.93,1951131.0,119.93,119.3,120.165,119.61,
2017-02-16,120.72,1966972.0,120.72,119.53,120.99,119.93,
2017-02-17,121.23,1904933.0,121.23,120.1,121.29,120.51,
2017-02-21,122.1,2117134.0,122.1,120.57,122.22,120.63,
2017-02-22,122.21,1557038.0,122.21,121.58,122.88,121.66,
2017-02-23,122.48,1439556.0,122.48,121.73,122.705,122.59,
2017-02-24,123.43,1447663.0,123.43,121.6,123.43,122.0,
2017-02-27,122.79,1679832.0,122.79,122.48,123.43,123.01,
2017-02-28,122.5,1745371.0,122.5,121.93,123.09,122.75,
2017-03-01,124.07,1879707.0,124.07,122.46,124.29,123.24,
2017-03-02,124.35,1896716.0,124.35,123.56,124.43,123.99,
2017-03-03,123.64,2122955.0,123.64,122.985,124.25,124.25,
2017-03-06,123.24,1814082.0,123.24,122.53,123.43,122.99,
2017-03-07,124.14,2705285.0,124.14,123.12,124.38,123.63,
2017-03-08,124.46,2168611.0,124.46,123.78,124.79,124.11,
2017-03-09,123.18,2338125.0,123.18,122.65,124.37,124.37,
2017-03-10,123.93,1931099.0,123.93,123.07,124.33,123.65,
2017-03-13,124.04,2233737.0,124.04,123.47,124.75,124.23,
2017-03-14,123.91,1627855.0,123.91,123.63,124.73,124.17,
2017-03-15,124.8,2087675.0,124.8,123.03,124.99,123.41,
2017-03-16,124.1,2182041.0,124.1,123.61,125.19,124.89,
2017-03-17,125.22,4603637.0,125.22,123.83,125.45,124.71,
2017-03-20,124.39,2257442.0,124.39,124.17,125.39,125.22,
2017-03-21,124.64,3219859.0,124.64,123.63,125.41,125.08,
2017-03-22,126.48,4288622.0,126.48,124.47,126.53,125.03,
2017-03-23,120.76,7116837.0,120.76,120.54,123.01,122.71,
2017-03-24,118.98,3949828.0,118.98,118.755,121.31,120.78,
2017-03-27,119.39,3122818.0,119.39,118.3,119.8,118.73,
2017-03-28,121.35,5516010.0,121.35,119.014,122.34,119.82,
2017-03-29,120.98,2438878.0,120.98,120.15,121.71,121.66,
2017-03-30,120.52,2030644.0,120.52,120.05,121.0,120.89,
2017-03-31,119.88,2102781.0,119.88,119.84,121.21,120.71,
2017-04-03,117.64,3918099.0,117.64,117.0,118.17,118.0,
2017-04-04,118.04,1690734.0,118.04,117.28,118.07,117.28,
2017-04-05,117.64,1902105.0,117.64,117.49,119.09,118.24,
2017-04-06,116.81,2049602.0,116.81,116.76,117.93,117.68,
2017-04-07,117.44,2408028.0,117.44,116.5,117.74,117.0,
2017-04-10,117.84,2308255.0,117.84,117.37,118.56,117.5,
2017-04-11,116.08,2295270.0,116.08,115.79,116.8,116.18,
2017-04-12,115.58,2087832.0,115.58,115.47,116.4,116.05,
2017-04-13,114.86,1838948.0,114.86,114.82,115.89,115.36,
2017-04-17,115.72,1168262.0,115.72,114.88,115.73,114.88,
2017-04-18,116.24,1978691.0,116.24,115.39,116.36,115.5,
2017-04-19,116.95,2185363.0,116.95,116.0,117.36,116.37,
2017-04-20,119.21,3743523.0,119.21,117.38,119.86,117.65,
2017-04-21,119.23,2639048.0,119.23,119.03,119.98,119.74,
2017-04-24,119.36,2106761.0,119.36,119.11,120.51,119.94,
2017-04-25,118.69,1947238.0,118.69,118.68,119.94,119.38,
2017-04-26,118.98,1581421.0,118.98,118.4,119.46,118.73,
2017-04-27,120.49,2008174.0,120.49,119.12,120.62,119.12,
2017-04-28,121.3,2476577.0,121.3,120.03,121.35,120.19,
2017-05-01,121.25,1931951.0,121.25,121.102,121.69,121.37,
2017-05-02,120.68,2697450.0,120.68,120.21,121.71,121.29,
2017-05-03,120.3,1762147.0,120.3,119.665,120.87,120.43,
2017-05-04,120.82,1557495.0,120.82,120.22,120.99,120.75,
2017-05-05,121.52,1716890.0,121.52,120.765,121.52,120.91,
2017-05-08,121.11,1522599.0,121.11,120.76,121.52,121.1,
2017-05-09,121.07,1094392.0,121.07,120.91,121.63,121.3,
2017-05-10,121.2,1343689.0,121.2,120.56,121.37,121.07,
2017-05-11,120.8,1835224.0,120.8,119.67,120.9,120.75,
2017-05-12,120.96,2362291.0,120.96,120.38,121.5,120.38,
2017-05-15,122.25,1772747.0,122.25,120.7601,122.54,120.96,
2017-05-16,123.14,2180617.0,123.14,122.22,123.31,122.69,
2017-05-17,120.44,2277902.0,120.44,120.34,123.07,122.2,
2017-05-18,120.4,1968786.0,120.4,119.41,121.03,120.86,
2017-05-19,120.98,2190103.0,120.98,120.19,121.21,121.01,
2017-05-22,122.71,1912490.0,122.71,121.22,122.84,121.6,
