YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,72.505,2687647.0,72.505,72.09,74.1292,72.6,25431.0
2017-01-04,72.36,1970972.0,72.36,72.25,73.0261,72.77,20980.0
2017-01-05,71.32,2067347.0,71.32,71.28,72.61,72.41,20900.0
2017-01-06,71.6,2069899.0,71.6,71.0005,71.95,71.58,19735.0
2017-01-09,71.94,2399482.0,71.94,71.52,72.5101,71.64,21323.0
2017-01-10,72.35,2403211.0,72.35,71.85,72.51,71.87,17404.0
2017-01-11,72.62,1581704.0,72.62,72.07,72.66,72.27,17562.0
2017-01-12,72.22,2099204.0,72.22,71.0,72.42,72.42,21827.0
2017-01-13,72.67,1509448.0,72.67,72.115,72.8837,72.36,13871.0
2017-01-17,72.28,2374615.0,72.28,71.85,73.41,72.23,21804.0
2017-01-18,73.01,2107097.0,73.01,72.22,73.63,72.64,18325.0
2017-01-19,72.44,1988799.0,72.44,72.29,73.39,72.88,17834.0
2017-01-20,72.88,1811606.0,72.88,72.09,73.65,72.09,14864.0
2017-01-23,72.78,2205565.0,72.78,72.41,73.24,72.74,15583.0
2017-01-24,73.51,3312910.0,73.51,72.5587,73.68,73.01,24741.0
2017-01-25,74.54,3944255.0,74.54,74.51,75.59,74.685,30528.0
2017-01-26,74.2,4172570.0,74.2,73.77,74.54,74.37,19660.0
2017-01-27,76.93,3820728.0,76.93,74.25,76.94,74.55,31095.0
2017-01-30,76.28,2477104.0,76.28,75.23,76.76,76.76,20687.0
2017-01-31,74.94,2610137.0,74.94,74.595,76.19,76.14,21046.0
2017-02-01,76.17,2589106.0,76.17,75.42,76.73,75.76,26071.0
2017-02-02,75.23,2490038.0,75.23,75.14,76.03,75.66,23110.0
2017-02-03,75.52,2143141.0,75.52,75.26,75.73,75.52,17737.0
2017-02-06,75.53,1789190.0,75.53,74.94,75.65,75.65,13669.0
2017-02-07,76.31,2136116.0,76.31,75.39,76.58,75.69,19397.0
2017-02-08,77.48,3397804.0,77.48,76.78,77.75,77.0,29743.0
2017-02-09,76.51,2192298.0,76.51,76.48,77.77,77.77,19525.0
2017-02-10,76.53,1668587.0,76.53,75.54,76.78,76.78,15827.0
2017-02-13,77.92,2637630.0,77.92,76.81,78.03,77.01,23469.0
2017-02-14,77.84,2589583.0,77.84,77.07,77.97,77.84,25234.0
2017-02-15,81.6,7032662.0,81.6,77.96,81.63,80.8,54581.0
2017-02-16,81.97,3465020.0,81.97,80.75,82.57,81.0,28872.0
2017-02-17,82.48,2933246.0,82.48,81.48,82.5,81.8,21595.0
2017-02-21,82.82,2375575.0,82.82,81.99,82.87,82.5,21519.0
2017-02-22,82.06,3680283.0,82.06,81.52,82.39,82.31,21563.0
2017-02-23,81.61,2277865.0,81.61,81.03,82.16,82.15,20515.0
2017-02-24,81.68,2841133.0,81.68,80.823,81.7,80.97,25340.0
2017-02-27,82.28,1793205.0,82.28,81.24,82.43,81.65,18750.0
2017-02-28,81.93,2045377.0,81.93,81.58,82.24,82.18,19083.0
2017-03-01,83.76,2265145.0,83.76,82.15,83.79,82.45,21892.0
2017-03-02,83.65,2714886.0,83.65,83.04,84.08,83.39,26537.0
2017-03-03,83.18,2357205.0,83.18,83.04,83.65,83.62,17754.0
2017-03-06,83.85,3717381.0,83.85,82.35,84.24,83.0,28711.0
2017-03-07,83.41,2892716.0,83.41,83.21,84.167,83.7,26034.0
2017-03-08,83.48,2381960.0,83.48,83.18,83.85,83.77,23545.0
2017-03-09,83.17,2005287.0,83.17,82.8,83.66,83.38,19124.0
2017-03-10,82.2,7495536.0,82.2,82.03,83.87,83.87,48819.0
2017-03-13,82.76,4917717.0,82.76,82.0501,82.99,82.15,33878.0
2017-03-14,83.68,4881069.0,83.68,82.4,83.73,82.52,29825.0
2017-03-15,83.51,4500565.0,83.51,82.555,83.67,83.45,30372.0
2017-03-16,82.72,4107669.0,82.72,82.41,83.5,83.29,31963.0
2017-03-17,83.26,4184005.0,83.26,82.73,83.335,83.31,25439.0
2017-03-20,82.9,2713967.0,82.9,82.88,83.7,83.26,22882.0
2017-03-21,81.8,3316568.0,81.8,81.69,83.46,83.25,31732.0
2017-03-22,82.12,2604890.0,82.12,81.65,82.26,81.84,24822.0
2017-03-23,81.54,3394961.0,81.54,81.31,82.33,82.24,27248.0
2017-03-24,81.64,2223544.0,81.64,81.4,82.9471,81.86,19265.0
2017-03-27,81.4,2450693.0,81.4,80.39,81.54,81.0,21988.0
2017-03-28,82.2,2916355.0,82.2,81.07,82.51,81.31,23288.0
2017-03-29,81.91,2040482.0,81.91,81.47,82.22,81.89,16463.0
2017-03-30,82.2,1337976.0,82.2,81.63,82.61,81.87,12067.0
2017-03-31,81.95,2337302.0,81.95,81.77,82.48,82.05,20274.0
2017-04-03,81.24,3084353.0,81.24,80.86,82.27,82.02,27664.0
2017-04-04,81.24,5040761.0,81.24,80.5,81.39,80.81,31144.0
2017-04-05,80.04,3514192.0,80.04,80.0,81.65,81.59,27156.0
2017-04-06,80.32,3970751.0,80.32,79.59,80.66,80.11,23087.0
2017-04-07,80.01,3316114.0,80.01,79.65,80.59,80.3,27009.0
2017-04-10,79.33,2906963.0,79.33,79.19,80.12,80.0,22321.0
2017-04-11,78.08,6040225.0,78.08,76.94,78.95,78.94,49289.0
2017-04-12,76.87,2904147.0,76.87,76.63,78.45,78.27,30508.0
2017-04-13,76.51,2223163.0,76.51,76.47,77.85,76.87,21253.0
2017-04-17,76.39,2462244.0,76.39,76.15,77.2,76.78,21957.0
2017-04-18,77.41,3342580.0,77.41,75.82,77.53,75.83,25222.0
2017-04-19,76.99,2625531.0,76.99,76.93,78.2,77.69,23048.0
2017-04-20,78.66,2898859.0,78.66,77.2,78.89,77.52,25707.0
2017-04-21,77.63,4476578.0,77.63,76.41,78.18,77.2,34939.0
2017-04-24,79.22,2993699.0,79.22,78.99,80.07,79.47,27016.0
2017-04-25,79.35,2570298.0,79.35,78.95,79.73,79.4,21779.0
2017-04-26,77.98,2998678.0,77.98,77.58,79.46,79.41,25247.0
2017-04-27,77.85,2375278.0,77.85,77.56,78.88,78.65,20130.0
2017-04-28,76.2,4316369.0,76.2,75.96,77.98,77.86,35405.0
2017-05-01,76.22,4571778.0,76.22,74.65,76.415,75.05,39302.0
2017-05-02,75.51,5528417.0,75.51,75.3,76.49,76.48,39989.0
2017-05-03,75.6,3131978.0,75.6,75.16,75.86,75.31,25612.0
2017-05-04,75.66,2300623.0,75.66,75.21,76.17,75.74,17035.0
2017-05-05,75.79,3283420.0,75.79,75.27,75.87,75.78,22419.0
2017-05-08,76.38,5040178.0,76.38,75.36,76.59,75.66,21473.0
2017-05-09,78.5,5266014.0,78.5,76.77,79.19,76.83,42357.0
2017-05-10,79.03,3944381.0,79.03,78.62,80.01,79.51,31053.0
2017-05-11,78.44,2288815.0,78.44,77.81,79.25,78.73,21501.0
2017-05-12,78.63,1975314.0,78.63,78.455,79.04,78.62,15886.0
2017-05-15,80.21,4034159.0,80.21,78.81,80.37,79.17,24199.0
2017-05-16,81.05,3011941.0,81.05,80.08,81.31,80.45,25638.0
2017-05-17,78.42,3591971.0,78.42,78.37,80.27,80.02,34355.0
2017-05-18,80.48,5026568.0,80.48,79.03,81.32,79.52,41755.0
2017-05-19,81.24,4024419.0,81.24,80.65,82.27,80.65,33345.0
2017-05-22,82.09,2009527.0,82.09,81.425,82.36,81.57,19298.0
