YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,46.19,3614876.0,46.19,45.55,46.25,45.69,
2017-01-04,46.11,3473265.0,46.11,45.44,46.54,46.38,
2017-01-05,45.77,3364128.0,45.77,45.71,46.4,46.1,
2017-01-06,44.72,4396325.0,44.72,43.84,45.02,45.02,
2017-01-09,44.75,3543135.0,44.75,44.4,45.31,44.51,
2017-01-10,44.46,3636988.0,44.46,44.395,45.41,44.8,
2017-01-11,44.01,5321965.0,44.01,43.15,44.26,43.75,
2017-01-12,43.44,3625693.0,43.44,43.34,44.21,44.04,
2017-01-13,43.56,2164863.0,43.56,43.33,43.78,43.55,
2017-01-17,44.69,4411674.0,44.69,43.58,44.74,43.78,
2017-01-18,44.95,2989290.0,44.95,44.7,45.22,44.74,
2017-01-19,44.5,2834854.0,44.5,44.265,45.03,44.96,
2017-01-20,44.73,2395321.0,44.73,44.26,45.21,44.67,
2017-01-23,44.71,1973308.0,44.71,44.13,44.73,44.62,
2017-01-24,44.66,3245054.0,44.66,44.6,45.46,44.76,
2017-01-25,45.2,3367809.0,45.2,44.87,45.45,44.9,
2017-01-26,44.55,2577607.0,44.55,44.49,45.3371,45.05,
2017-01-27,44.52,2054732.0,44.52,44.28,44.895,44.56,
2017-01-30,44.13,2572732.0,44.13,43.69,44.5899,44.51,
2017-01-31,44.26,5041055.0,44.26,43.32,44.33,44.18,
2017-02-01,43.77,2486192.0,43.77,43.59,44.55,44.48,
2017-02-02,43.99,3624670.0,43.99,43.49,44.13,43.87,
2017-02-03,43.99,3292395.0,43.99,43.905,44.39,44.18,
2017-02-06,44.02,3890622.0,44.02,43.8,44.35,44.09,
2017-02-07,44.59,7474357.0,44.59,41.74,45.05,42.96,
2017-02-08,43.46,4308450.0,43.46,43.19,44.76,44.71,
2017-02-09,43.54,3120642.0,43.54,43.43,43.98,43.6,
2017-02-10,43.83,2356519.0,43.83,43.47,43.89,43.67,
2017-02-13,43.71,2978973.0,43.71,43.08,44.05,43.9,
2017-02-14,43.73,2734320.0,43.73,43.27,43.87,43.74,
2017-02-15,44.47,4060952.0,44.47,43.72,44.58,43.85,
2017-02-16,44.1,4259718.0,44.1,43.9,44.55,44.26,
2017-02-17,44.69,2809757.0,44.69,43.978,44.69,44.07,
2017-02-21,44.81,5068477.0,44.81,44.51,45.2,44.55,
2017-02-22,44.72,3271482.0,44.72,44.425,44.92,44.59,
2017-02-23,45.09,3290850.0,45.09,44.4909,45.265,44.8,
2017-02-24,45.26,2371286.0,45.26,44.74,45.26,44.84,
2017-02-27,45.37,3026872.0,45.37,44.72,45.43,45.13,
2017-02-28,46.97,8689586.0,46.97,45.4,47.42,45.5,
2017-03-01,46.51,4033451.0,46.51,46.5,47.44,47.25,
2017-03-02,45.48,3393056.0,45.48,45.43,46.58,46.54,
2017-03-03,45.2,3037707.0,45.2,45.04,45.72,45.53,
2017-03-06,44.76,2469489.0,44.76,44.64,45.14,45.08,
2017-03-07,44.46,2362859.0,44.46,44.46,44.97,44.75,
2017-03-08,43.99,3156837.0,43.99,43.86,44.95,44.47,
2017-03-09,44.42,2822556.0,44.42,44.1,44.51,44.1,
2017-03-10,45.04,2217295.0,45.04,44.61,45.12,44.63,
2017-03-13,44.7,2273292.0,44.7,44.59,45.13,45.0,
2017-03-14,44.67,1946274.0,44.67,44.41,44.86,44.7,
2017-03-15,45.01,2840013.0,45.01,44.505,45.33,44.71,
2017-03-16,44.85,3185668.0,44.85,44.39,45.14,45.07,
2017-03-17,44.72,4200281.0,44.72,44.685,45.1,44.91,
2017-03-20,44.85,3897386.0,44.85,44.01,44.98,44.6,
2017-03-21,44.95,3493059.0,44.95,44.67,45.24,44.92,
2017-03-22,45.61,2621915.0,45.61,44.92,45.65,44.92,
2017-03-23,45.61,1972187.0,45.61,45.4,46.025,45.61,
2017-03-24,45.58,1546816.0,45.58,45.42,45.9,45.61,
2017-03-27,45.35,1792383.0,45.35,45.095,45.675,45.43,
2017-03-28,45.72,2135579.0,45.72,45.24,45.946,45.32,
2017-03-29,46.24,2477765.0,46.24,45.59,46.39,45.65,
2017-03-30,46.11,2019155.0,46.11,45.95,46.325,46.32,
2017-03-31,46.04,2236718.0,46.04,45.88,46.31,45.88,
2017-04-03,45.8,2300259.0,45.8,45.535,46.26,46.2,
2017-04-04,45.41,2826957.0,45.41,45.215,45.81,45.67,
2017-04-05,45.26,2825602.0,45.26,45.095,45.83,45.42,
2017-04-06,45.25,2285013.0,45.25,44.92,45.46,45.17,
2017-04-07,44.89,1418485.0,44.89,44.88,45.39,45.29,
2017-04-10,44.99,1638380.0,44.99,44.72,45.1996,44.91,
2017-04-11,44.54,2137169.0,44.54,44.44,44.93,44.93,
2017-04-12,44.65,2718389.0,44.65,44.32,44.9,44.64,
2017-04-13,44.28,2212785.0,44.28,44.18,44.58,44.55,
2017-04-17,44.68,2943964.0,44.68,44.29,44.75,44.29,
2017-04-18,45.41,3758397.0,45.41,44.55,45.83,44.7,
2017-04-19,44.6,2896765.0,44.6,44.51,45.48,45.33,
2017-04-20,44.9,2539257.0,44.9,44.53,45.08,44.71,
2017-04-21,44.81,2081117.0,44.81,44.72,45.3,45.04,
2017-04-24,45.38,2661425.0,45.38,45.18,45.6,45.27,
2017-04-25,45.58,1844102.0,45.58,45.38,45.88,45.45,
2017-04-26,45.27,1549057.0,45.27,45.25,45.69,45.66,
2017-04-27,45.78,1803760.0,45.78,45.09,45.86,45.14,
2017-04-28,45.75,2148487.0,45.75,45.48,45.81,45.63,
2017-05-01,45.73,2582690.0,45.73,45.42,45.91,45.88,
2017-05-02,41.67,8265654.0,41.67,41.52,43.99,43.0,
2017-05-03,41.31,6239580.0,41.31,41.1,41.86,41.72,
2017-05-04,42.4,4432483.0,42.4,41.29,42.85,41.37,
2017-05-05,42.43,3244159.0,42.43,42.17,42.84,42.67,
2017-05-08,42.96,3907631.0,42.96,42.3,43.1,42.5,
2017-05-09,42.36,2966259.0,42.36,42.24,42.82,42.75,
2017-05-10,42.29,2489634.0,42.29,42.0108,42.47,42.37,
2017-05-11,42.03,2181092.0,42.03,41.91,42.33,42.3,
2017-05-12,41.96,1557242.0,41.96,41.86,42.23,42.13,
2017-05-15,42.14,3052011.0,42.14,41.81,42.22,42.03,
2017-05-16,41.9,2251271.0,41.9,41.655,42.3,41.96,
2017-05-17,41.52,2470522.0,41.52,41.48,42.09,41.67,
2017-05-18,41.31,2394647.0,41.31,41.11,41.67,41.45,
2017-05-19,41.5,3678156.0,41.5,41.37,41.69,41.37,
2017-05-22,41.5,3082802.0,41.5,41.39,41.76,41.55,
2017-05-23,43.04,6886545.0,43.04,41.31,43.48,41.55,
2017-05-24,42.55,3701123.0,42.55,42.17,42.88,42.48,
2017-05-25,42.62,2038254.0,42.62,42.39,42.905,42.54,
2017-05-26,42.45,1888378.0,42.45,42.18,42.84,42.56,
2017-05-30,42.11,1834094.0,42.11,42.0,42.27,42.22,
