YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,103.5,2227449.0,103.5,102.31,103.58,102.38,21425.0
2017-01-04,103.66,2498459.0,103.66,103.25,103.98,103.41,23128.0
2017-01-05,103.04,2215362.0,103.04,102.4,103.89,103.46,20065.0
2017-01-06,103.11,2016595.0,103.11,102.27,103.27,103.23,18337.0
2017-01-09,102.47,1379273.0,102.47,102.47,103.24,102.95,13777.0
2017-01-10,102.2,1639465.0,102.2,102.04,103.04,102.25,16607.0
2017-01-11,103.2,1783842.0,103.2,102.27,103.58,102.27,16350.0
2017-01-12,103.8,1546666.0,103.8,102.24,103.92,102.98,16712.0
2017-01-13,103.77,1628270.0,103.77,103.17,104.09,103.77,15464.0
2017-01-17,103.07,1276993.0,103.07,102.89,103.536,103.32,13832.0
2017-01-18,102.91,1485900.0,102.91,102.73,103.49,103.49,16070.0
2017-01-19,102.97,1530993.0,102.97,102.7,103.265,102.79,17201.0
2017-01-20,103.24,1653207.0,103.24,102.8,103.74,103.0,16328.0
2017-01-23,102.2,1486737.0,102.2,101.86,103.1,102.81,16005.0
2017-01-24,103.24,1687913.0,103.24,102.14,103.35,102.25,14731.0
2017-01-25,102.7,1979432.0,102.7,102.38,103.65,103.46,19687.0
2017-01-26,102.04,2119697.0,102.04,102.0,102.66,102.41,17171.0
2017-01-27,101.71,1804455.0,101.71,101.18,102.15,101.44,17646.0
2017-01-30,101.97,1648288.0,101.97,100.9,102.01,101.56,18450.0
2017-01-31,100.99,2610235.0,100.99,100.77,102.1325,101.79,19675.0
2017-02-01,95.25,8013843.0,95.25,94.11,97.32,96.03,57238.0
2017-02-02,96.32,3975500.0,96.32,95.03,97.19,95.23,34475.0
2017-02-03,96.87,2936592.0,96.87,96.51,97.4,97.21,25304.0
2017-02-06,96.47,1770640.0,96.47,96.07,97.07,96.68,16102.0
2017-02-07,96.29,1521355.0,96.29,95.91,96.86,96.5,15331.0
2017-02-08,96.58,1297972.0,96.58,96.05,97.06,96.19,14583.0
2017-02-09,97.65,3380808.0,97.65,96.31,97.99,96.77,15448.0
2017-02-10,97.82,1214696.0,97.82,97.46,98.3,97.7,11009.0
2017-02-13,98.58,1500759.0,98.58,98.06,98.6,98.06,14807.0
2017-02-14,99.44,1615005.0,99.44,98.32,99.6,98.42,16375.0
2017-02-15,99.65,1579762.0,99.65,98.54,99.655,98.89,14281.0
2017-02-16,99.88,1314754.0,99.88,99.19,99.88,99.59,14316.0
2017-02-17,99.68,1577550.0,99.68,98.82,99.7,99.6,12379.0
2017-02-21,99.22,2099427.0,99.22,98.75,99.59,99.39,18611.0
2017-02-22,100.42,1677855.0,100.42,99.09,100.68,99.09,14140.0
2017-02-23,101.64,1459263.0,101.64,100.49,101.78,100.79,15427.0
2017-02-24,103.0,1774494.0,103.0,101.3,103.01,101.63,17396.0
2017-02-27,102.7,1188346.0,102.7,102.47,103.14,102.93,11749.0
2017-02-28,102.62,2060663.0,102.62,102.24,102.81,102.68,14655.0
2017-03-01,104.53,1828233.0,104.53,103.23,104.71,103.66,17872.0
2017-03-02,104.07,1697190.0,104.07,103.86,104.3729,104.14,17762.0
2017-03-03,104.5,1216370.0,104.5,103.63,104.61,103.95,14959.0
2017-03-06,104.95,1678307.0,104.95,103.88,105.0,103.88,15237.0
2017-03-07,104.27,1881528.0,104.27,103.9,104.85,104.54,18894.0
2017-03-08,103.71,1577185.0,103.71,103.34,104.13,103.62,12812.0
2017-03-09,103.4,1393832.0,103.4,102.92,104.08,103.57,13542.0
2017-03-10,104.55,1556780.0,104.55,103.54,104.63,103.87,14001.0
2017-03-13,104.84,1802650.0,104.84,104.14,104.9,104.49,10895.0
2017-03-14,103.97,1848326.0,103.97,103.69,104.76,104.66,14163.0
2017-03-15,104.67,1500187.0,104.67,103.655,104.79,104.27,16204.0
2017-03-16,104.25,1231091.0,104.25,103.9,104.89,104.65,12539.0
2017-03-17,105.11,2890349.0,105.11,104.03,105.2,104.31,14866.0
2017-03-20,104.45,1323403.0,104.45,104.22,105.18,105.17,12314.0
2017-03-21,103.12,1612663.0,103.12,102.9899,104.96,104.9,17742.0
2017-03-22,103.68,2011038.0,103.68,102.89,103.74,103.35,15816.0
2017-03-23,103.52,1010177.0,103.52,103.1,104.248,103.49,12148.0
2017-03-24,103.38,1359886.0,103.38,103.06,104.17,103.75,12984.0
2017-03-27,102.91,1504466.0,102.91,102.37,103.26,102.73,16399.0
2017-03-28,103.28,1485979.0,103.28,102.21,103.62,102.53,14702.0
2017-03-29,102.13,2245094.0,102.13,101.88,103.03,102.91,21029.0
2017-03-30,102.17,1225705.0,102.17,101.77,102.445,102.07,13289.0
2017-03-31,102.39,1374619.0,102.39,101.98,102.62,102.14,13528.0
