YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,76.18,1896507.0,76.18,74.5,77.1,74.61,19475.0
2017-01-04,77.52,1889516.0,77.52,76.09,77.96,76.19,17526.0
2017-01-05,76.93,1368229.0,76.93,76.33,77.63,77.08,14153.0
2017-01-06,79.3,1587682.0,79.3,76.89,79.81,77.28,15561.0
2017-01-09,79.59,1489060.0,79.59,78.26,79.74,78.95,15237.0
2017-01-10,79.98,1796204.0,79.98,78.56,80.37,79.29,15689.0
2017-01-11,80.87,1764535.0,80.87,79.17,81.03,79.97,18525.0
2017-01-12,80.65,1646368.0,80.65,79.24,80.8559,80.72,15090.0
2017-01-13,81.32,1667539.0,81.32,80.44,81.41,80.72,15643.0
2017-01-17,78.62,2403471.0,78.62,78.29,81.23,80.97,19147.0
2017-01-18,79.71,1676898.0,79.71,78.69,80.06,79.1,14394.0
2017-01-19,79.98,1498045.0,79.98,79.65,80.78,80.26,14727.0
2017-01-20,81.67,6042539.0,81.67,80.24,81.89,80.7,21432.0
2017-01-23,81.54,1204968.0,81.54,80.91,81.91,81.39,10541.0
2017-01-24,82.0,1814753.0,82.0,81.53,82.63,81.6,16757.0
2017-01-25,82.65,1880649.0,82.65,82.43,83.96,82.87,14796.0
2017-01-26,81.64,1515815.0,81.64,81.48,82.935,82.77,14576.0
2017-01-27,81.76,1487100.0,81.76,80.89,81.98,81.98,12699.0
2017-01-30,81.16,1976275.0,81.16,79.15,81.67,81.57,17931.0
2017-01-31,81.34,1249458.0,81.34,79.8,81.35,80.88,11304.0
2017-02-01,81.28,1440878.0,81.28,80.38,81.96,81.09,14571.0
2017-02-02,82.76,1117014.0,82.76,80.04,82.87,80.82,13017.0
2017-02-03,84.41,1822421.0,84.41,83.14,84.965,83.57,15235.0
2017-02-06,82.82,1925015.0,82.82,82.33,84.55,84.45,17339.0
2017-02-07,84.5,2975440.0,84.5,81.8,85.11,82.29,24655.0
2017-02-08,82.93,2182342.0,82.93,82.58,84.89,84.44,21604.0
2017-02-09,83.88,1808434.0,83.88,83.17,84.911,83.28,18331.0
2017-02-10,83.23,1695088.0,83.23,82.38,84.46,83.97,16789.0
2017-02-13,84.28,4004607.0,84.28,82.94,84.72,83.65,14952.0
2017-02-14,84.54,4043480.0,84.54,82.81,84.59,84.25,16756.0
2017-02-15,84.36,2200824.0,84.36,83.54,84.935,84.28,16859.0
2017-02-16,85.14,1830356.0,85.14,83.83,85.46,84.69,16334.0
2017-02-17,86.4,1816273.0,86.4,83.75,86.49,84.72,16404.0
2017-02-21,87.15,1910450.0,87.15,86.76,87.52,87.0,17511.0
2017-02-22,86.38,1350021.0,86.38,86.17,87.14,86.8,12179.0
2017-02-23,87.1,1367978.0,87.1,85.92,87.37,86.69,12964.0
2017-02-24,87.55,1370189.0,87.55,85.69,87.69,86.56,15358.0
2017-02-27,87.74,1535237.0,87.74,86.58,87.9462,87.47,11633.0
2017-02-28,86.3,2003196.0,86.3,85.99,87.9,87.82,19119.0
2017-03-01,88.93,2501887.0,88.93,86.46,89.18,87.38,23322.0
2017-03-02,87.32,4309355.0,87.32,87.05,88.73,88.73,31125.0
2017-03-03,85.32,4616972.0,85.32,84.98,88.35,87.0,38288.0
2017-03-06,82.94,2572026.0,82.94,82.58,84.46,84.3,23188.0
2017-03-07,82.07,2292982.0,82.07,81.75,83.44,82.39,20428.0
2017-03-08,83.46,2235219.0,83.46,81.82,83.85,82.53,21128.0
2017-03-09,84.24,1935715.0,84.24,82.58,84.29,83.22,19040.0
2017-03-10,86.12,2404312.0,86.12,84.66,86.18,84.8,21757.0
2017-03-13,86.69,2412588.0,86.69,85.31,87.32,85.42,19162.0
2017-03-14,85.91,1396024.0,85.91,85.465,86.6,86.6,15297.0
2017-03-15,88.4,2365841.0,88.4,85.92,88.69,86.6,22103.0
2017-03-16,86.73,8109111.0,86.73,85.97,89.15,88.6,20788.0
2017-03-17,86.22,2446093.0,86.22,86.05,87.72,87.13,17697.0
2017-03-20,86.32,1194115.0,86.32,85.59,86.48,86.29,13439.0
2017-03-21,83.64,2565918.0,83.64,83.53,86.635,86.5,25145.0
2017-03-22,84.6,1567003.0,84.6,83.07,84.72,83.9,16065.0
2017-03-23,85.69,2238329.0,85.69,84.24,86.07,84.61,22591.0
2017-03-24,86.48,2059460.0,86.48,85.59,87.39,86.0,20419.0
2017-03-27,85.44,1774159.0,85.44,83.81,86.06,85.41,17716.0
2017-03-28,85.47,1086768.0,85.47,85.16,86.1,85.43,12219.0
2017-03-29,86.4,1841568.0,86.4,84.9751,86.47,85.31,15362.0
2017-03-30,86.32,946796.0,86.32,85.775,87.25,86.14,10563.0
2017-03-31,86.47,1301607.0,86.47,85.37,86.9,86.02,13216.0
2017-04-03,85.39,2478579.0,85.39,84.66,87.12,85.24,18805.0
2017-04-04,84.95,1497391.0,84.95,84.58,85.97,85.16,14215.0
2017-04-05,83.54,1885286.0,83.54,83.24,85.79,85.27,19122.0
2017-04-06,84.07,1793653.0,84.07,82.7,84.76,83.49,18283.0
2017-04-07,84.79,1920449.0,84.79,83.55,84.95,84.07,15958.0
2017-04-10,85.66,1292762.0,85.66,84.62,85.88,84.91,12087.0
2017-04-11,85.99,1362210.0,85.99,84.48,86.08,85.35,14745.0
2017-04-12,85.62,2405480.0,85.62,84.99,86.65,85.87,21769.0
2017-04-13,84.91,1970859.0,84.91,84.1,86.18,85.2,17262.0
2017-04-17,85.99,1191388.0,85.99,85.29,86.25,85.37,9306.0
2017-04-18,86.41,1321886.0,86.41,85.08,86.53,85.39,11403.0
2017-04-19,87.93,2375609.0,87.93,86.6,88.59,86.79,19814.0
2017-04-20,88.41,1594459.0,88.41,87.16,88.82,88.3,15176.0
2017-04-21,88.58,2111419.0,88.58,88.1,88.88,88.63,15491.0
2017-04-24,90.14,2439751.0,90.14,89.64,90.94,89.7,20205.0
2017-04-25,90.32,1761537.0,90.32,89.81,90.8,90.8,16547.0
2017-04-26,90.23,1615980.0,90.23,89.44,90.54,90.31,12536.0
2017-04-27,90.63,1168152.0,90.63,90.04,90.77,90.66,11439.0
