YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,52.38,1107195.0,52.38,51.9331,52.59,52.59,
2017-01-04,52.44,1114317.0,52.44,52.23,52.92,52.45,
2017-01-05,52.7,2256159.0,52.7,51.91,52.76,52.45,
2017-01-06,53.1,1883810.0,53.1,52.41,53.395,52.47,
2017-01-09,51.99,1588253.0,51.99,51.9,53.216,53.13,
2017-01-10,51.97,1287084.0,51.97,51.66,52.45,52.05,
2017-01-11,52.2,1674843.0,52.2,51.89,52.44,51.9,
2017-01-12,51.96,1470192.0,51.96,51.81,52.39,52.19,
2017-01-13,51.97,905552.0,51.97,51.6981,52.09,51.9,
2017-01-17,52.55,1052397.0,52.55,52.01,52.6,52.06,
2017-01-18,52.36,880617.0,52.36,52.24,52.66,52.39,
2017-01-19,51.81,915698.0,51.81,51.645,52.32,52.17,
2017-01-20,52.05,806087.0,52.05,51.78,52.4,51.91,
2017-01-23,51.98,665361.0,51.98,51.93,52.4,52.16,
2017-01-24,52.06,1129856.0,52.06,51.79,52.24,51.91,
2017-01-25,51.9,974398.0,51.9,51.61,52.07,51.84,
2017-01-26,52.08,1062041.0,52.08,51.72,52.28,51.92,
2017-01-27,51.82,649614.0,51.82,51.67,52.3,52.24,
2017-01-30,51.69,592904.0,51.69,51.3506,52.01,52.01,
2017-01-31,52.65,1460136.0,52.65,51.64,52.66,51.72,
2017-02-01,51.75,1076857.0,51.75,51.6102,52.6395,52.24,
2017-02-02,52.59,1032904.0,52.59,51.69,52.62,51.86,
2017-02-03,52.69,623311.0,52.69,52.54,52.97,52.78,
2017-02-06,52.65,874719.0,52.65,52.53,52.98,52.87,
2017-02-07,52.68,544302.0,52.68,52.56,52.88,52.74,
2017-02-08,53.12,943315.0,53.12,52.77,53.24,52.81,
2017-02-09,52.9,1261543.0,52.9,52.47,53.32,53.06,
2017-02-10,52.93,1060496.0,52.93,52.58,53.05,52.72,
2017-02-13,53.05,1404399.0,53.05,52.64,53.205,52.93,
2017-02-14,52.65,1416785.0,52.65,52.26,52.91,52.91,
2017-02-15,52.54,2209474.0,52.54,51.81,52.59,52.14,
2017-02-16,52.94,2248203.0,52.94,52.0,53.08,52.01,
2017-02-17,53.37,1846764.0,53.37,52.9,53.48,53.1,
2017-02-21,53.89,1461777.0,53.89,53.1,53.97,53.22,
2017-02-22,53.97,1145800.0,53.97,53.5,54.095,53.83,
2017-02-23,54.07,1456081.0,54.07,53.69,54.27,54.23,
2017-02-24,54.58,2108751.0,54.58,54.03,54.6,54.14,
2017-02-27,54.29,1616072.0,54.29,53.88,54.59,54.55,
2017-02-28,54.69,2668562.0,54.69,54.1,54.83,54.16,
2017-03-01,54.76,1674859.0,54.76,53.87,55.065,54.03,
2017-03-02,55.12,906359.0,55.12,54.4,55.51,54.53,
2017-03-03,54.89,923271.0,54.89,54.43,55.22,55.13,
2017-03-06,54.89,1138770.0,54.89,54.66,55.16,54.85,
2017-03-07,54.82,1005186.0,54.82,54.71,54.97,54.86,
2017-03-08,54.12,1062166.0,54.12,53.97,54.49,54.28,
2017-03-09,54.12,1287968.0,54.12,54.11,54.53,54.26,
2017-03-10,53.89,1891121.0,53.89,53.48,54.22,53.98,
2017-03-13,54.19,1718233.0,54.19,53.76,54.25,53.84,
2017-03-14,54.02,1685401.0,54.02,53.9,54.3,54.17,
2017-03-15,54.79,1407762.0,54.79,54.135,55.02,54.23,
2017-03-16,54.35,1388296.0,54.35,54.12,54.62,54.47,
2017-03-17,55.05,2346124.0,55.05,54.38,55.28,54.43,
2017-03-20,54.69,1380037.0,54.69,54.52,55.23,55.06,
2017-03-21,55.49,1377137.0,55.49,54.61,55.61,54.61,
2017-03-22,56.04,1776598.0,56.04,55.55,56.2,55.74,
2017-03-23,56.05,1924433.0,56.05,55.81,56.5,55.86,
2017-03-24,56.19,1141501.0,56.19,55.86,56.425,56.03,
2017-03-27,56.05,1083326.0,56.05,55.97,56.57,56.42,
2017-03-28,55.31,5066720.0,55.31,54.89,56.44,55.94,
2017-03-29,55.13,1996814.0,55.13,54.83,55.35,55.2,
2017-03-30,54.69,1310211.0,54.69,54.48,54.99,54.96,
2017-03-31,54.59,2105234.0,54.59,54.5,54.905,54.56,
2017-04-03,54.57,1428686.0,54.57,54.14,54.59,54.52,
2017-04-04,54.72,977760.0,54.72,54.485,55.04,54.63,
2017-04-05,55.05,2026738.0,55.05,54.39,55.09,54.61,
2017-04-06,54.71,2280289.0,54.71,54.595,55.16,55.04,
2017-04-07,54.52,1870072.0,54.52,54.47,54.96,54.83,
2017-04-10,54.71,1156690.0,54.71,54.19,54.76,54.55,
2017-04-11,54.79,1522709.0,54.79,54.29,54.86,54.5,
2017-04-12,55.39,2243075.0,55.39,54.56,55.415,54.7,
2017-04-13,54.99,1885764.0,54.99,54.73,55.36,55.36,
2017-04-17,55.43,2073799.0,55.43,54.93,55.49,55.17,
2017-04-18,55.34,1140131.0,55.34,55.19,55.66,55.47,
2017-04-19,54.89,1046219.0,54.89,54.71,55.41,55.25,
2017-04-20,54.54,2445596.0,54.54,54.03,54.87,54.31,
2017-04-21,55.09,1262632.0,55.09,54.46,55.225,54.52,
2017-04-24,55.43,1463883.0,55.43,54.78,55.675,55.26,
2017-04-25,55.08,1806677.0,55.08,54.87,55.38,55.2,
2017-04-26,55.16,1794359.0,55.16,54.79,55.515,54.94,
2017-04-27,55.03,1245507.0,55.03,54.9725,55.39,55.09,
2017-04-28,54.69,1102777.0,54.69,54.48,55.11,54.99,
2017-05-01,54.27,1088426.0,54.27,54.07,54.81,54.79,
2017-05-02,54.25,1837105.0,54.25,53.94,54.63,54.45,
2017-05-03,54.24,1592464.0,54.24,54.17,54.69,54.23,
2017-05-04,54.81,1469532.0,54.81,53.72,54.85,54.37,
2017-05-05,54.78,1210622.0,54.78,54.71,55.12,54.95,
2017-05-08,54.63,875825.0,54.63,54.44,54.95,54.8,
2017-05-09,54.21,937129.0,54.21,54.14,54.685,54.63,
2017-05-10,54.45,1025443.0,54.45,54.15,54.55,54.24,
2017-05-11,54.45,1220432.0,54.45,53.865,54.45,54.31,
2017-05-12,54.93,1316329.0,54.93,54.47,55.09,54.47,
2017-05-15,55.17,1081087.0,55.17,54.79,55.2,54.86,
2017-05-16,54.66,1651469.0,54.66,54.6,55.32,55.1,
2017-05-17,54.43,2385244.0,54.43,54.41,54.98,54.78,
2017-05-18,55.3,3231028.0,55.3,54.216,55.35,54.64,
2017-05-19,55.6,1981168.0,55.6,54.85,55.88,55.28,
2017-05-22,56.42,2605749.0,56.42,55.48,56.53,55.48,
2017-05-23,56.46,2437351.0,56.46,56.365,57.09,56.51,
2017-05-24,56.14,3378225.0,56.14,55.92,56.5,56.32,
2017-05-25,56.05,2165383.0,56.05,55.21,56.235,55.72,
2017-05-26,56.15,1188238.0,56.15,55.88,56.21,55.99,
2017-05-30,56.46,1189934.0,56.46,55.87,56.57,56.17,
2017-05-31,56.75,2085958.0,56.75,56.57,56.96,56.57,
2017-06-01,56.8,2592092.0,56.8,56.42,56.89,56.75,
2017-06-02,57.17,1508293.0,57.17,56.55,57.21,57.03,
2017-06-05,56.88,823572.0,56.88,56.87,57.16,57.12,
2017-06-06,56.82,1091216.0,56.82,56.77,57.21,57.0,
2017-06-07,56.89,1361987.0,56.89,56.775,57.14,56.97,
2017-06-08,56.35,1367288.0,56.35,55.87,56.86,56.76,
2017-06-09,56.29,1169489.0,56.29,56.02,56.4199,56.13,
2017-06-12,56.13,1463779.0,56.13,55.51,56.17,56.01,
2017-06-13,56.29,1024875.0,56.29,55.81,56.34,56.01,
2017-06-14,56.41,755525.0,56.41,56.215,56.9,56.67,
2017-06-15,56.48,1909660.0,56.48,56.23,56.63,56.41,
2017-06-16,57.08,1802176.0,57.08,56.51,57.08,56.51,
2017-06-19,56.79,811192.0,56.79,56.6039,57.14,57.14,
2017-06-20,57.09,1087210.0,57.09,56.68,57.1,56.84,
2017-06-21,56.47,1136867.0,56.47,56.15,57.16,57.07,
2017-06-22,56.27,841042.0,56.27,56.24,56.52,56.41,
2017-06-23,55.94,973322.0,55.94,55.84,56.45,56.27,
2017-06-26,56.43,1392986.0,56.43,55.68,56.64,55.72,
2017-06-27,55.89,2075696.0,55.89,55.7,56.49,56.19,
2017-06-28,55.33,1082844.0,55.33,55.265,56.31,56.11,
2017-06-29,54.7,1567862.0,54.7,54.48,55.0,54.9,
2017-06-30,54.67,1944783.0,54.67,54.38,54.96,54.73,
2017-07-03,54.13,800028.0,54.13,54.13,54.92,54.85,
2017-07-05,53.86,1475500.0,53.86,53.55,54.2,54.12,
2017-07-06,53.75,1082562.0,53.75,53.54,53.82,53.7,
2017-07-07,54.14,1156378.0,54.14,53.73,54.38,53.77,
2017-07-10,53.95,1679652.0,53.95,53.9,54.41,54.19,
2017-07-11,53.81,862460.0,53.81,53.59,54.04,54.01,
2017-07-12,54.4,1145528.0,54.4,54.15,54.52,54.3,
2017-07-13,54.09,1431128.0,54.09,53.79,54.37,54.37,
2017-07-14,54.43,720452.0,54.43,54.23,54.63,54.48,
2017-07-17,54.89,2809163.0,54.89,54.18,55.01,54.47,
2017-07-18,55.36,2213421.0,55.36,54.8145,55.54,54.94,
2017-07-19,55.66,1134272.0,55.66,55.22,55.68,55.43,
2017-07-20,56.14,1198295.0,56.14,55.65,56.29,55.86,
2017-07-21,56.53,1243867.0,56.53,56.05,56.575,56.09,
2017-07-24,55.92,1231431.0,55.92,55.8,56.67,56.52,
2017-07-25,55.8,912866.0,55.8,55.595,55.98,55.97,
2017-07-26,56.34,706436.0,56.34,55.6598,56.4,55.77,
2017-07-27,56.27,1092204.0,56.27,55.855,56.38,56.19,
2017-07-28,56.16,716301.0,56.16,55.97,56.35,56.35,
2017-07-31,56.1,1188175.0,56.1,56.02,56.3729,56.16,
2017-08-01,56.53,1279381.0,56.53,56.16,56.67,56.2,
2017-08-02,56.73,904460.0,56.73,56.2,56.815,56.36,
2017-08-03,57.0,1611171.0,57.0,56.4,57.0,56.55,
2017-08-04,57.5,1307037.0,57.5,56.2572,57.65,57.0,
2017-08-07,57.94,2400693.0,57.94,57.55,58.15,57.57,
2017-08-08,58.43,1657866.0,58.43,57.83,58.75,57.85,
2017-08-09,58.08,1881418.0,58.08,57.85,58.62,58.57,
2017-08-10,58.54,1401611.0,58.54,57.84,58.61,58.1,
2017-08-11,57.95,1106419.0,57.95,57.78,58.49,58.45,
2017-08-14,58.45,896934.0,58.45,57.91,58.52,58.13,
2017-08-15,58.83,1178148.0,58.83,58.23,58.83,58.23,
2017-08-16,59.14,1088884.0,59.14,58.68,59.17,58.81,
2017-08-17,58.91,1366086.0,58.91,58.84,59.33,59.12,
2017-08-18,59.21,1758992.0,59.21,58.561,59.75,58.81,
2017-08-21,59.26,1293959.0,59.26,59.06,59.36,59.31,
2017-08-22,59.91,1736511.0,59.91,59.13,59.99,59.23,
2017-08-23,60.25,999483.0,60.25,59.77,60.26,59.87,
2017-08-24,60.26,738300.0,60.26,60.04,60.41,60.2,
2017-08-25,60.37,1089120.0,60.37,60.26,60.58,60.48,
2017-08-28,60.57,588435.0,60.57,60.29,60.66,60.56,
2017-08-29,60.42,842701.0,60.42,60.39,60.79,60.65,
2017-08-30,60.3,712235.0,60.3,60.14,60.52,60.34,
