YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,11.66,5020815.0,11.66,11.55,11.7,11.67,
2017-01-04,11.56,5282577.0,11.56,11.52,11.75,11.54,
2017-01-05,11.41,8106391.0,11.41,11.26,11.5974,11.52,
2017-01-06,11.82,4164848.0,11.82,11.39,11.85,11.4,
2017-01-09,11.53,3761857.0,11.53,11.52,11.9,11.87,
2017-01-10,11.33,6459819.0,11.33,11.29,11.575,11.54,
2017-01-11,11.77,7781397.0,11.77,11.33,11.78,11.33,
2017-01-12,11.58,4953867.0,11.58,11.58,11.84,11.78,
2017-01-13,11.72,2741360.0,11.72,11.57,11.74,11.61,
2017-01-17,11.91,4101404.0,11.91,11.76,12.04,11.8,
2017-01-18,11.93,4558526.0,11.93,11.87,12.06,11.94,
2017-01-19,11.73,3298941.0,11.73,11.7,11.95,11.89,
2017-01-20,11.41,7689851.0,11.41,11.35,11.84,11.75,
2017-01-23,11.22,8791938.0,11.22,11.19,11.46,11.42,
2017-01-24,11.37,7539200.0,11.37,11.25,11.64,11.25,
2017-01-25,11.37,10297021.0,11.37,11.3534,11.49,11.37,
2017-01-26,11.22,8797931.0,11.22,11.2,11.53,11.41,
2017-01-27,11.4,7487065.0,11.4,11.24,11.47,11.3,
2017-01-30,11.21,4700418.0,11.21,11.15,11.34,11.29,
2017-01-31,11.44,9192100.0,11.44,11.26,11.625,11.26,
2017-02-01,11.24,6091599.0,11.24,11.13,11.44,11.4,
2017-02-02,11.32,3232783.0,11.32,11.16,11.36,11.27,
2017-02-03,11.37,3321237.0,11.37,11.2824,11.435,11.35,
2017-02-06,11.29,4308632.0,11.29,11.23,11.39,11.39,
2017-02-07,11.43,5680177.0,11.43,11.3,11.54,11.3,
2017-02-08,11.59,4001963.0,11.59,11.39,11.59,11.43,
2017-02-09,11.47,4258310.0,11.47,11.41,11.63,11.56,
2017-02-10,11.61,3692264.0,11.61,11.45,11.62,11.47,
2017-02-13,11.68,2044968.0,11.68,11.55,11.73,11.64,
2017-02-14,11.49,3680548.0,11.49,11.42,11.66,11.65,
2017-02-15,11.56,3350726.0,11.56,11.35,11.59,11.38,
2017-02-16,11.65,5787541.0,11.65,11.51,11.7,11.62,
2017-02-17,11.46,6336825.0,11.46,11.25,11.64,11.64,
2017-02-21,11.78,4089946.0,11.78,11.39,11.85,11.46,
2017-02-22,11.6,5081319.0,11.6,11.59,11.83,11.78,
2017-02-23,11.75,5074921.0,11.75,11.63,11.78,11.69,
2017-02-24,11.93,6329348.0,11.93,11.68,11.93,11.77,
2017-02-27,11.14,12986567.0,11.14,11.1,11.74,11.71,
2017-02-28,11.52,10598703.0,11.52,11.14,11.6,11.14,
2017-03-01,11.35,6811775.0,11.35,11.31,11.5,11.38,
2017-03-02,11.63,6778309.0,11.63,11.27,11.68,11.3,
2017-03-03,11.55,6023702.0,11.55,11.38,11.65,11.64,
2017-03-06,11.52,6884597.0,11.52,11.48,11.61,11.55,
2017-03-07,11.33,5982456.0,11.33,11.31,11.6,11.55,
2017-03-08,11.07,4542612.0,11.07,11.06,11.31,11.25,
2017-03-09,11.06,5151350.0,11.06,11.04,11.19,11.05,
2017-03-10,11.15,4206321.0,11.15,11.05,11.2,11.1,
2017-03-13,11.02,3492879.0,11.02,11.01,11.205,11.17,
2017-03-14,11.0,3926598.0,11.0,10.93,11.08,11.02,
2017-03-15,11.31,3914892.0,11.31,11.03,11.4,11.05,
2017-03-16,11.3,3925407.0,11.3,11.22,11.36,11.26,
2017-03-17,11.46,8240932.0,11.46,11.31,11.47,11.36,
2017-03-20,11.2,2725424.0,11.2,11.143,11.48,11.48,
2017-03-21,11.3,5866851.0,11.3,11.12,11.38,11.19,
2017-03-22,11.15,4494359.0,11.15,11.1,11.43,11.34,
2017-03-23,11.18,3383514.0,11.18,11.12,11.34,11.13,
2017-03-24,11.23,3479756.0,11.23,11.165,11.31,11.18,
2017-03-27,11.13,3331507.0,11.13,11.07,11.26,11.26,
2017-03-28,11.31,3855252.0,11.31,11.05,11.32,11.08,
2017-03-29,11.25,5728277.0,11.25,11.19,11.39,11.26,
2017-03-30,11.08,7207850.0,11.08,11.03,11.265,11.24,
2017-03-31,11.18,13804561.0,11.18,11.09,11.27,11.11,
2017-04-03,11.19,6424951.0,11.19,11.0599,11.22,11.17,
2017-04-04,11.27,5616511.0,11.27,11.08,11.32,11.19,
2017-04-05,11.16,9859598.0,11.16,11.08,11.31,11.24,
2017-04-06,11.16,6020608.0,11.16,11.14,11.31,11.17,
2017-04-07,11.04,5612106.0,11.04,11.03,11.21,11.18,
2017-04-10,11.15,7859366.0,11.15,11.01,11.19,11.05,
2017-04-11,11.31,8621780.0,11.31,11.03,11.35,11.13,
2017-04-12,11.37,8744595.0,11.37,11.24,11.39,11.29,
2017-04-13,11.36,5228159.0,11.36,11.29,11.41,11.36,
2017-04-17,11.43,3405626.0,11.43,11.34,11.47,11.38,
2017-04-18,11.41,5916037.0,11.41,11.34,11.45,11.4,
2017-04-19,11.37,5732699.0,11.37,11.3,11.445,11.42,
2017-04-20,11.42,6281579.0,11.42,11.25,11.43,11.37,
2017-04-21,11.38,5026241.0,11.38,11.32,11.44,11.38,
2017-04-24,11.59,6947310.0,11.59,11.36,11.6,11.4,
2017-04-25,11.62,4193061.0,11.62,11.515,11.62,11.55,
2017-04-26,11.45,5299032.0,11.45,11.43,11.6,11.6,
2017-04-27,11.29,12780706.0,11.29,11.23,11.45,11.3,
2017-04-28,11.31,6136662.0,11.31,11.21,11.38,11.3,
2017-05-01,11.31,5087734.0,11.31,11.3,11.41,11.31,
2017-05-02,11.3,3563377.0,11.3,11.235,11.34,11.33,
2017-05-03,11.19,5099436.0,11.19,11.18,11.3,11.27,
2017-05-04,11.09,5737864.0,11.09,11.045,11.22,11.17,
2017-05-05,11.32,3918933.0,11.32,11.06,11.33,11.14,
2017-05-08,11.31,7730596.0,11.31,10.95,11.37,11.08,
2017-05-09,11.34,5450403.0,11.34,11.23,11.47,11.26,
2017-05-10,11.57,7413268.0,11.57,11.29,11.7,11.34,
2017-05-11,11.47,6102221.0,11.47,11.45,11.6,11.57,
2017-05-12,11.33,3927688.0,11.33,11.28,11.51,11.5,
2017-05-15,11.4,3727417.0,11.4,11.31,11.45,11.34,
2017-05-16,11.32,4295886.0,11.32,11.31,11.51,11.43,
2017-05-17,11.33,3927704.0,11.33,11.25,11.42,11.31,
2017-05-18,11.18,6620094.0,11.18,10.98,11.33,11.3,
2017-05-19,11.2,6100490.0,11.2,11.08,11.24,11.22,
2017-05-22,11.36,5721933.0,11.36,11.15,11.38,11.17,
2017-05-23,11.37,3695618.0,11.37,11.35,11.55,11.38,
2017-05-24,11.75,8927553.0,11.75,11.36,11.83,11.36,
2017-05-25,11.78,4913113.0,11.78,11.67,11.81,11.71,
2017-05-26,11.79,2565130.0,11.79,11.68,11.85,11.76,
2017-05-30,11.7,2884029.0,11.7,11.68,11.79,11.76,
2017-05-31,11.68,6780039.0,11.68,11.58,11.79,11.73,
2017-06-01,11.95,4574433.0,11.95,11.64,11.95,11.68,
2017-06-02,11.91,5061575.0,11.91,11.82,12.0,11.99,
2017-06-05,11.71,3925411.0,11.71,11.71,11.94,11.87,
2017-06-06,11.91,7884821.0,11.91,11.65,11.995,11.8,
2017-06-07,11.57,5520727.0,11.57,11.55,11.92,11.92,
2017-06-08,11.56,3953968.0,11.56,11.43,11.6,11.56,
2017-06-09,11.72,2672428.0,11.72,11.53,11.72,11.53,
2017-06-12,11.75,4502532.0,11.75,11.65,11.83,11.73,
2017-06-13,11.93,4702860.0,11.93,11.67,11.96,11.71,
2017-06-14,11.91,4336776.0,11.91,11.875,12.05,11.97,
2017-06-15,11.92,5362684.0,11.92,11.761,12.045,11.82,
2017-06-16,11.92,7206402.0,11.92,11.86,11.98,11.94,
2017-06-19,11.91,2658987.0,11.91,11.855,11.97,11.93,
2017-06-20,11.9,2304956.0,11.9,11.78,11.91,11.89,
2017-06-21,11.67,2671361.0,11.67,11.64,11.94,11.93,
2017-06-22,11.57,4758583.0,11.57,11.485,11.7,11.65,
2017-06-23,11.56,6861276.0,11.56,11.495,11.7,11.6,
2017-06-26,11.68,5189431.0,11.68,11.63,11.84,11.63,
2017-06-27,11.5,4684257.0,11.5,11.5,11.72,11.65,
2017-06-28,11.33,6527694.0,11.33,11.27,11.6,11.54,
2017-06-29,11.16,5909312.0,11.16,11.11,11.31,11.25,
2017-06-30,11.11,4224447.0,11.11,11.11,11.247,11.18,
2017-07-03,11.01,2754924.0,11.01,10.96,11.19,11.15,
2017-07-05,10.87,5348835.0,10.87,10.85,11.09,11.0,
2017-07-06,10.68,5693826.0,10.68,10.6,10.825,10.81,
2017-07-07,10.76,5535077.0,10.76,10.625,10.77,10.69,
2017-07-10,10.94,6330214.0,10.94,10.8,10.98,10.85,
2017-07-11,10.93,4824000.0,10.93,10.87,10.985,10.95,
2017-07-12,11.1,6016731.0,11.1,10.99,11.22,11.09,
2017-07-13,11.02,5105422.0,11.02,11.0,11.23,11.12,
2017-07-14,11.03,4242806.0,11.03,11.005,11.15,11.11,
2017-07-17,11.12,3358420.0,11.12,10.97,11.125,11.05,
2017-07-18,11.24,4629801.0,11.24,11.09,11.3,11.12,
2017-07-19,11.32,3800447.0,11.32,11.21,11.335,11.28,
2017-07-20,11.37,2791468.0,11.37,11.26,11.4256,11.35,
2017-07-21,11.42,3197342.0,11.42,11.33,11.44,11.38,
2017-07-24,11.32,2906827.0,11.32,11.311,11.45,11.42,
2017-07-25,11.24,4625031.0,11.24,11.22,11.36,11.35,
2017-07-26,11.16,5336231.0,11.16,11.04,11.24,11.24,
2017-07-27,11.1,5997280.0,11.1,11.02,11.24,11.16,
2017-07-28,10.98,4831606.0,10.98,10.96,11.11,11.09,
2017-07-31,11.18,17399721.0,11.18,10.99,11.26,11.0,
2017-08-01,11.2,6287706.0,11.2,11.0,11.23,11.06,
2017-08-02,11.05,6518223.0,11.05,10.92,11.16,11.15,
2017-08-03,11.12,7349194.0,11.12,11.06,11.24,11.14,
2017-08-04,11.08,3612191.0,11.08,10.955,11.16,11.08,
2017-08-07,11.1,6061879.0,11.1,11.07,11.28,11.08,
2017-08-08,11.38,11148353.0,11.38,11.01,11.66,11.01,
2017-08-09,11.25,7057820.0,11.25,11.12,11.45,11.45,
2017-08-10,11.38,8965436.0,11.38,11.18,11.495,11.25,
2017-08-11,11.1,4799981.0,11.1,11.0,11.34,11.34,
2017-08-14,11.11,4860104.0,11.11,10.995,11.15,11.12,
2017-08-15,11.1,4525839.0,11.1,10.94,11.11,11.05,
2017-08-16,11.18,3108523.0,11.18,11.1,11.19,11.13,
2017-08-17,11.01,3812050.0,11.01,11.0,11.225,11.14,
2017-08-18,11.07,4446730.0,11.07,10.985,11.12,11.02,
2017-08-21,11.23,3785502.0,11.23,11.085,11.24,11.1,
2017-08-22,11.35,4243865.0,11.35,11.18,11.38,11.23,
2017-08-23,11.35,2914410.0,11.35,11.25,11.4,11.34,
2017-08-24,11.4,4933591.0,11.4,11.32,11.43,11.36,
2017-08-25,11.43,2562969.0,11.43,11.37,11.52,11.42,
2017-08-28,11.19,4903669.0,11.19,11.13,11.49,11.47,
2017-08-29,11.17,3624411.0,11.17,11.15,11.27,11.19,
2017-08-30,11.06,4393291.0,11.06,11.03,11.2,11.15,
2017-08-31,11.04,3912996.0,11.04,11.03,11.14,11.07,
2017-09-01,11.12,2410622.0,11.12,11.07,11.175,11.08,
2017-09-05,11.09,2960853.0,11.09,11.07,11.17,11.17,
2017-09-06,11.11,4235221.0,11.11,11.02,11.16,11.16,
