YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,69.77,2324808.0,69.77,69.32,70.335,70.09,
2017-01-04,70.41,1946700.0,70.41,69.81,70.75,70.0,
2017-01-05,69.95,2240193.0,69.95,69.61,70.62,70.29,
2017-01-06,70.19,2234016.0,70.19,69.78,70.64,70.19,
2017-01-09,69.52,1811813.0,69.52,69.375,70.15,69.89,
2017-01-10,69.43,2694535.0,69.43,69.14,70.1,69.51,
2017-01-11,69.86,2161218.0,69.86,69.27,69.91,69.51,
2017-01-12,69.57,2783793.0,69.57,69.045,70.1,69.45,
2017-01-13,69.64,2009302.0,69.64,68.86,70.2,69.77,
2017-01-17,69.88,3217341.0,69.88,69.09,70.115,69.13,
2017-01-18,69.97,2386952.0,69.97,69.38,70.2375,70.07,
2017-01-19,69.46,2293582.0,69.46,68.84,70.24,70.06,
2017-01-20,70.08,2406308.0,70.08,69.62,70.185,69.92,
2017-01-23,69.35,1771424.0,69.35,69.14,70.04,70.0,
2017-01-24,69.82,2508770.0,69.82,69.34,69.96,69.67,
2017-01-25,70.46,3582985.0,70.46,69.96,70.58,70.11,
2017-01-26,70.56,2985851.0,70.56,70.38,70.77,70.55,
2017-01-27,70.27,1200788.0,70.27,70.0,70.55,70.41,
2017-01-30,70.35,2392567.0,70.35,69.86,70.515,70.25,
2017-01-31,69.99,3790654.0,69.99,69.61,70.76,70.31,
2017-02-01,67.14,4609537.0,67.14,66.6,69.95,69.0,
2017-02-02,67.83,2686827.0,67.83,66.5,68.13,66.77,
2017-02-03,68.61,2139173.0,68.61,68.2,68.92,68.9,
2017-02-06,68.93,1826210.0,68.93,68.17,69.05,68.4,
2017-02-07,68.97,1855283.0,68.97,68.625,69.28,69.22,
2017-02-08,69.64,2111454.0,69.64,68.8,69.76,68.95,
2017-02-09,69.9,2419046.0,69.9,69.51,70.07,69.9,
2017-02-10,69.98,2132011.0,69.98,69.91,70.1,70.0,
2017-02-13,70.98,3005770.0,70.98,69.81,71.25,69.81,
2017-02-14,71.04,2167057.0,71.04,70.7,71.22,70.86,
2017-02-15,71.0,2264590.0,71.0,70.71,71.22,70.87,
2017-02-16,71.19,2399047.0,71.19,70.64,71.34,70.7,
2017-02-17,71.1,2081865.0,71.1,70.34,71.13,70.93,
2017-02-21,71.42,1821930.0,71.42,71.12,71.74,71.12,
2017-02-22,71.16,1758088.0,71.16,70.98,71.48,71.06,
2017-02-23,71.72,1398646.0,71.72,71.2,71.72,71.2,
2017-02-24,71.71,1571438.0,71.71,71.13,71.73,71.24,
2017-02-27,72.33,1831589.0,72.33,71.745,72.47,71.98,
2017-02-28,72.35,3192237.0,72.35,72.045,72.58,72.15,
2017-03-01,72.98,2683646.0,72.98,72.81,73.33,73.0,
2017-03-02,72.19,1903104.0,72.19,72.15,72.94,72.87,
2017-03-03,72.27,1365517.0,72.27,72.14,72.54,72.27,
2017-03-06,72.19,1221606.0,72.19,71.82,72.43,71.86,
2017-03-07,71.95,1346009.0,71.95,71.82,72.25,72.16,
2017-03-08,71.89,1723611.0,71.89,71.89,72.58,72.4,
2017-03-09,72.09,1670301.0,72.09,71.9,72.47,72.34,
2017-03-10,72.02,1515421.0,72.02,71.66,72.72,72.37,
2017-03-13,72.05,1608887.0,72.05,71.8,72.26,72.08,
2017-03-14,71.84,1604875.0,71.84,71.57,72.0,71.92,
2017-03-15,72.35,1948090.0,72.35,71.5846,72.4,71.85,
2017-03-16,72.4,2003234.0,72.4,72.25,72.84,72.31,
2017-03-17,72.53,3079140.0,72.53,71.95,72.93,72.52,
2017-03-20,72.24,1149733.0,72.24,72.01,72.54,72.34,
2017-03-21,71.41,2325200.0,71.41,71.29,72.6,72.44,
2017-03-22,71.64,1624114.0,71.64,70.64,71.78,71.19,
2017-03-23,72.0,1552290.0,72.0,71.4,72.55,71.59,
2017-03-24,71.99,1708966.0,71.99,71.78,72.53,72.04,
2017-03-27,71.84,2732577.0,71.84,71.07,72.0,71.2,
2017-03-28,72.31,2364700.0,72.31,71.6765,72.6615,71.7,
2017-03-29,71.58,1722923.0,71.58,71.3,72.13,71.99,
2017-03-30,72.32,2365204.0,72.32,71.45,72.53,71.45,
2017-03-31,72.42,2135524.0,72.42,72.135,72.63,72.15,
2017-04-03,72.66,2406067.0,72.66,72.08,72.94,72.76,
2017-04-04,72.61,1519399.0,72.61,72.4,72.74,72.55,
2017-04-05,72.19,3032592.0,72.19,72.16,73.14,72.78,
2017-04-06,72.95,3398937.0,72.95,72.22,73.29,72.63,
2017-04-07,72.9,2923652.0,72.9,72.645,73.18,72.67,
2017-04-10,73.55,3754514.0,73.55,72.92,73.885,72.99,
2017-04-11,73.75,1899019.0,73.75,73.13,73.75,73.3,
2017-04-12,73.35,2204738.0,73.35,73.01,73.66,73.17,
2017-04-13,73.0,1505940.0,73.0,72.99,73.62,73.15,
2017-04-17,73.53,1995645.0,73.53,73.11,73.53,73.15,
2017-04-18,73.88,2689896.0,73.88,73.52,74.18,73.63,
2017-04-19,73.57,1769510.0,73.57,73.42,74.36,74.18,
2017-04-20,74.17,1541697.0,74.17,73.45,74.49,73.85,
2017-04-21,73.99,1768788.0,73.99,73.96,74.69,74.14,
2017-04-24,74.65,1880470.0,74.65,74.41,75.09,74.98,
2017-04-25,75.01,1826065.0,75.01,74.85,75.22,75.02,
2017-04-26,74.8,2215723.0,74.8,74.57,75.34,74.86,
2017-04-27,75.05,1779016.0,75.05,74.74,75.23,75.01,
2017-04-28,74.88,2299000.0,74.88,74.77,76.881,75.23,
2017-05-01,74.44,1901854.0,74.44,74.43,75.21,75.06,
2017-05-02,75.02,1405621.0,75.02,74.41,75.07,74.41,
2017-05-03,74.76,1327942.0,74.76,74.53,75.04,74.91,
2017-05-04,74.39,2156372.0,74.39,74.09,75.33,75.06,
2017-05-05,74.35,1189189.0,74.35,74.04,74.57,74.52,
2017-05-08,74.33,1463282.0,74.33,74.0,74.49,74.45,
2017-05-09,73.86,1414980.0,73.86,73.74,74.5436,74.34,
2017-05-10,74.43,1885550.0,74.43,73.71,74.46,73.74,
2017-05-11,73.96,1323921.0,73.96,73.6703,74.23,74.12,
2017-05-12,73.43,1161747.0,73.43,73.35,73.93,73.66,
