YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,67.57,1077494.0,67.57,67.11,68.37,67.27,12703.0
2017-01-04,68.33,1174309.0,68.33,67.19,68.475,67.51,12472.0
2017-01-05,69.55,1780057.0,69.55,68.12,69.75,68.12,16843.0
2017-01-06,69.79,1967365.0,69.79,68.92,70.51,69.38,16165.0
2017-01-09,70.0,1550617.0,70.0,69.7,70.2899,69.74,10561.0
2017-01-10,70.28,1462164.0,70.28,69.82,70.48,70.0,13022.0
2017-01-11,70.12,2247657.0,70.12,70.09,71.64,70.59,17163.0
2017-01-12,69.93,1259741.0,69.93,69.15,70.3,70.01,11808.0
2017-01-13,70.02,1491651.0,70.02,69.86,70.42,70.23,12844.0
2017-01-17,69.79,1016719.0,69.79,69.18,70.0,69.81,9718.0
2017-01-18,69.6,1075488.0,69.6,68.937,69.81,69.74,9507.0
2017-01-19,68.98,1409747.0,68.98,68.959,69.74,69.36,13819.0
2017-01-20,69.15,1447099.0,69.15,68.85,69.6,69.36,13263.0
2017-01-23,67.97,1456303.0,67.97,67.84,69.35,69.05,14215.0
2017-01-24,67.74,1566053.0,67.74,67.4654,68.28,67.97,14880.0
2017-01-25,68.73,2188161.0,68.73,67.79,68.82,68.35,15971.0
2017-01-26,67.78,1416256.0,67.78,67.73,68.7,68.54,13937.0
2017-01-27,67.97,1535748.0,67.97,67.55,68.08,68.04,11868.0
2017-01-30,67.81,1897034.0,67.81,67.36,68.35,67.99,16522.0
2017-01-31,68.59,1548738.0,68.59,67.2,68.85,67.57,14141.0
2017-02-01,68.7,1579525.0,68.7,67.76,68.8,68.67,13902.0
2017-02-02,69.4,1333635.0,69.4,67.83,69.67,68.37,13239.0
2017-02-03,69.55,1430030.0,69.55,69.01,69.85,69.85,12543.0
2017-02-06,69.71,1629953.0,69.71,68.63,69.71,69.22,14236.0
2017-02-07,71.12,3881686.0,71.12,69.581,71.34,70.0,30344.0
2017-02-08,63.55,15940222.0,63.55,61.54,66.59,66.58,111828.0
2017-02-09,63.85,4078996.0,63.85,63.61,64.58,63.83,32874.0
2017-02-10,63.95,2507586.0,63.95,63.5,64.28,63.85,19167.0
2017-02-13,63.6,1769882.0,63.6,63.35,64.2,64.2,15088.0
2017-02-14,63.55,2180921.0,63.55,63.37,64.13,63.75,17139.0
2017-02-15,63.9,1371170.0,63.9,63.21,64.095,63.3,12744.0
2017-02-16,64.24,1761011.0,64.24,63.75,64.77,64.22,16274.0
2017-02-17,62.34,3981112.0,62.34,62.0,63.87,63.83,27847.0
2017-02-21,62.64,1808256.0,62.64,62.46,63.1452,62.5,14693.0
2017-02-22,63.01,1350407.0,63.01,62.5,63.15,62.5,13067.0
2017-02-23,62.7,1125622.0,62.7,62.64,63.13,63.05,8885.0
2017-02-24,62.87,1363846.0,62.87,62.39,62.885,62.5,10169.0
2017-02-27,62.86,861775.0,62.86,62.46,63.115,62.76,8026.0
2017-02-28,62.6,1589551.0,62.6,62.31,63.11,62.8,13536.0
2017-03-01,63.38,1382745.0,63.38,62.79,63.59,62.82,12829.0
2017-03-02,63.79,2158360.0,63.79,63.07,64.5,63.24,18156.0
2017-03-03,63.36,1325819.0,63.36,63.13,63.55,63.55,12840.0
2017-03-06,63.06,1067045.0,63.06,62.83,63.25,63.16,9402.0
2017-03-07,63.3,1658780.0,63.3,63.1,64.52,63.1,14548.0
2017-03-08,63.55,1288791.0,63.55,62.96,63.85,63.3,10481.0
2017-03-09,64.2,1336622.0,64.2,63.4,64.35,63.64,11587.0
2017-03-10,64.22,1259832.0,64.22,63.76,64.74,64.37,11469.0
2017-03-13,64.59,1341265.0,64.59,64.18,65.2,64.34,14200.0
2017-03-14,63.63,1197993.0,63.63,63.54,64.95,64.53,11757.0
2017-03-15,64.39,1327778.0,64.39,63.39,64.56,64.0,12895.0
2017-03-16,64.63,1083760.0,64.63,64.43,64.93,64.71,11319.0
2017-03-17,65.0,2912911.0,65.0,64.62,65.22,64.94,11903.0
2017-03-20,64.86,922432.0,64.86,64.33,65.04,64.96,9975.0
2017-03-21,62.95,2295918.0,62.95,62.92,65.65,65.41,20103.0
2017-03-22,63.68,921366.0,63.68,62.93,63.76,63.14,9777.0
2017-03-23,63.66,980728.0,63.66,63.4,64.42,63.69,9574.0
2017-03-24,63.63,1008272.0,63.63,63.46,64.31,63.82,9867.0
2017-03-27,63.09,1836706.0,63.09,62.51,63.44,62.88,15493.0
2017-03-28,63.25,2299231.0,63.25,63.0,63.61,63.06,18078.0
2017-03-29,63.44,2068314.0,63.44,63.08,63.7,63.28,16824.0
2017-03-30,60.53,6001102.0,60.53,60.37,64.07,63.17,44093.0
2017-03-31,59.7,3600890.0,59.7,59.5,60.91,60.56,30692.0
2017-04-03,58.1,3522721.0,58.1,57.86,59.99,59.74,29978.0
2017-04-04,59.3,4459654.0,59.3,58.19,59.41,58.19,33726.0
2017-04-05,58.8,1982841.0,58.8,58.65,59.73,59.3,17584.0
2017-04-06,58.75,1902512.0,58.75,58.39,59.7,59.07,14615.0
2017-04-07,58.1,2256905.0,58.1,57.995,58.74,58.65,21415.0
2017-04-10,58.51,1974447.0,58.51,57.99,58.82,58.36,14996.0
2017-04-11,59.01,2130245.0,59.01,58.43,59.23,58.62,18926.0
2017-04-12,58.88,1413691.0,58.88,58.54,59.09,58.83,12385.0
2017-04-13,58.8,1437697.0,58.8,58.51,59.2,58.83,15253.0
2017-04-17,58.82,1152312.0,58.82,58.69,59.2,59.07,10639.0
2017-04-18,58.95,1004756.0,58.95,58.72,59.3,58.77,7216.0
2017-04-19,59.68,1860380.0,59.68,58.96,59.91,59.0,15959.0
2017-04-20,60.2,1558110.0,60.2,59.65,60.55,59.87,12299.0
2017-04-21,60.28,843146.0,60.28,60.01,60.52,60.39,7368.0
2017-04-24,61.39,1954289.0,61.39,60.79,61.73,60.86,13932.0
2017-04-25,61.8,1745750.0,61.8,61.33,61.86,61.42,13506.0
2017-04-26,62.24,1155722.0,62.24,61.57,62.43,61.81,11754.0
2017-04-27,59.75,4224075.0,59.75,58.96,60.43,60.34,30753.0
2017-04-28,60.94,1767750.0,60.94,59.53,60.96,59.79,17387.0
2017-05-01,61.48,1597529.0,61.48,60.77,61.79,61.19,14998.0
2017-05-02,62.5,3000773.0,62.5,60.97,62.58,61.59,24946.0
2017-05-03,52.8,15062974.0,52.8,52.01,54.86,53.9,97419.0
2017-05-04,52.86,4593535.0,52.86,52.78,54.0401,53.13,33842.0
2017-05-05,52.13,3882009.0,52.13,51.8,52.86,52.86,28441.0
2017-05-08,50.17,5951968.0,50.17,50.12,52.17,52.09,40394.0
2017-05-09,50.4,4523834.0,50.4,50.16,50.71,50.48,29301.0
2017-05-10,49.85,3708313.0,49.85,49.65,50.5,50.47,24830.0
2017-05-11,49.85,2698379.0,49.85,49.425,50.07,49.76,18606.0
2017-05-12,49.43,2287084.0,49.43,49.28,49.82,49.6,15982.0
2017-05-15,49.83,2662230.0,49.83,49.5,50.07,49.5,18183.0
2017-05-16,49.15,2783502.0,49.15,49.12,50.24,50.07,19811.0
2017-05-17,47.5,4037600.0,47.5,47.46,48.85,48.8,31736.0
2017-05-18,47.0,4305810.0,47.0,46.9,47.7,47.5,26211.0
2017-05-19,47.38,2788526.0,47.38,47.05,47.66,47.18,20984.0
2017-05-22,47.75,1704906.0,47.75,47.58,47.99,47.6,14010.0
2017-05-23,47.41,2326002.0,47.41,47.315,47.91,47.86,16355.0
2017-05-24,47.62,1957835.0,47.62,47.16,47.92,47.54,14377.0
2017-05-25,48.06,3859733.0,48.06,47.5601,48.395,47.68,24703.0
2017-05-26,47.39,1446053.0,47.39,47.14,48.17,48.0,12867.0
2017-05-30,47.43,1617691.0,47.43,47.05,47.67,47.29,12655.0
2017-05-31,47.15,1991467.0,47.15,46.81,47.565,47.52,14461.0
2017-06-01,48.3,1923890.0,48.3,47.08,48.32,47.23,14714.0
2017-06-02,48.53,2031031.0,48.53,48.07,48.79,48.69,15616.0
2017-06-05,48.91,1918381.0,48.91,48.39,49.06,48.45,16772.0
2017-06-06,48.45,1697406.0,48.45,48.3514,49.06,48.89,15316.0
2017-06-07,48.54,2338531.0,48.54,48.19,48.75,48.49,13871.0
2017-06-08,48.91,1371431.0,48.91,48.3,48.94,48.55,12391.0
2017-06-09,48.13,1958434.0,48.13,47.635,49.33,49.12,17759.0
2017-06-12,49.52,2931115.0,49.52,47.66,49.65,47.84,26534.0
2017-06-13,49.63,2209669.0,49.63,49.56,50.65,49.96,18198.0
2017-06-14,49.25,1859946.0,49.25,48.97,49.95,49.84,18683.0
2017-06-15,49.19,1502404.0,49.19,48.71,49.36,48.88,14602.0
2017-06-16,49.5,5036206.0,49.5,48.5,49.57,48.92,16967.0
