YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,88.05,975594.0,88.05,86.98,88.115,87.15,
2017-01-04,90.7,1147617.0,90.7,88.69,91.15,88.72,
2017-01-05,90.39,913202.0,90.39,89.73,91.39,90.64,
2017-01-06,90.81,550924.0,90.81,89.86,91.0,90.62,
2017-01-09,90.48,936082.0,90.48,90.37,90.98,90.73,
2017-01-10,89.88,825022.0,89.88,89.09,91.17,90.86,
2017-01-11,93.3,1807512.0,93.3,90.08,94.13,90.57,
2017-01-12,93.75,1042241.0,93.75,92.2,94.31,93.53,
2017-01-13,94.0,603367.0,94.0,93.34,94.94,94.17,
2017-01-17,94.35,844809.0,94.35,93.91,95.79,95.14,
2017-01-18,92.6,1104758.0,92.6,92.3,95.01,94.84,
2017-01-19,93.05,609555.0,93.05,92.54,94.41,92.75,
2017-01-20,93.36,701571.0,93.36,92.84,94.05,93.56,
2017-01-23,93.7,349404.0,93.7,92.85,93.91,93.38,
2017-01-24,95.55,921858.0,95.55,93.71,95.84,93.94,
2017-01-25,94.0,1083689.0,94.0,93.25,95.86,95.82,
2017-01-26,95.48,796465.0,95.48,94.04,95.89,94.09,
2017-01-27,95.42,452959.0,95.42,94.76,95.87,95.34,
2017-01-30,94.57,677403.0,94.57,93.51,94.85,94.79,
2017-01-31,92.64,1453745.0,92.64,92.52,94.675,94.61,
2017-02-01,93.41,855154.0,93.41,91.66,93.64,93.19,
2017-02-02,92.91,589377.0,92.91,91.5,93.4,93.4,
2017-02-03,94.27,446840.0,94.27,93.0,94.45,93.38,
2017-02-06,94.29,478070.0,94.29,93.77,94.47,94.04,
2017-02-07,92.8,756853.0,92.8,92.26,94.45,94.0,
2017-02-08,94.35,661576.0,94.35,92.2,94.39,92.91,
2017-02-09,93.91,498796.0,93.91,93.65,94.85,94.39,
2017-02-10,93.7,637821.0,93.7,93.27,94.45,94.45,
2017-02-13,94.75,660451.0,94.75,93.65,95.41,94.33,
2017-02-14,91.19,1654798.0,91.19,90.35,94.37,94.37,
2017-02-15,92.76,1510466.0,92.76,91.02,93.01,91.31,
2017-02-16,92.41,593715.0,92.41,92.07,93.99,92.88,
2017-02-17,91.92,1016681.0,91.92,91.57,92.8,92.44,
2017-02-21,93.78,790165.0,93.78,92.41,93.83,92.51,
2017-02-22,92.44,652884.0,92.44,92.38,93.65,93.41,
2017-02-23,92.41,738585.0,92.41,91.77,93.24,93.12,
2017-02-24,92.93,699996.0,92.93,91.02,93.14,91.93,
2017-02-27,92.46,930582.0,92.46,92.22,93.4,92.99,
2017-02-28,101.51,4246486.0,101.51,95.74,102.56,95.8,
2017-03-01,102.66,2591772.0,102.66,102.0,104.33,102.9,
2017-03-02,103.06,2040092.0,103.06,102.15,104.78,102.81,
2017-03-03,104.77,1153370.0,104.77,103.08,105.2,103.4,
2017-03-06,102.11,2329009.0,102.11,98.63,102.67,101.92,
2017-03-07,103.79,1396714.0,103.79,101.57,104.82,102.11,
2017-03-08,102.74,1285087.0,102.74,102.24,103.89,103.59,
2017-03-09,102.5,1457145.0,102.5,102.03,103.37,102.96,
2017-03-10,103.05,1422587.0,103.05,102.36,104.01,102.7,
2017-03-13,104.5,1336579.0,104.5,102.15,104.55,102.58,
2017-03-14,103.95,752577.0,103.95,103.06,104.39,104.01,
2017-03-15,105.22,781737.0,105.22,103.86,105.51,104.5,
2017-03-16,104.01,1017449.0,104.01,103.71,105.73,105.1,
2017-03-17,106.21,1436880.0,106.21,104.4,106.53,104.49,
2017-03-20,106.07,1032380.0,106.07,105.1156,106.19,106.04,
2017-03-21,104.25,1249475.0,104.25,104.07,107.56,106.07,
2017-03-22,105.22,985380.0,105.22,103.3,105.47,104.6,
2017-03-23,105.15,690021.0,105.15,104.845,106.39,105.18,
2017-03-24,104.45,527424.0,104.45,104.03,106.178,105.54,
2017-03-27,104.6,841113.0,104.6,102.65,104.95,103.62,
2017-03-28,104.88,805014.0,104.88,104.13,105.46,104.58,
2017-03-29,105.04,916612.0,105.04,104.9,105.95,105.0,
2017-03-30,105.14,671426.0,105.14,104.84,106.09,105.08,
2017-03-31,105.64,936769.0,105.64,104.38,106.49,104.96,
2017-04-03,105.03,991543.0,105.03,103.83,106.3,105.73,
2017-04-04,105.5,884044.0,105.5,104.81,105.92,104.97,
2017-04-05,105.21,1168305.0,105.21,104.91,106.7,105.69,
2017-04-06,106.03,705113.0,106.03,104.9,106.17,105.33,
2017-04-07,105.94,1211635.0,105.94,105.51,106.3,106.02,
2017-04-10,104.86,984229.0,104.86,104.58,106.205,105.96,
2017-04-11,105.61,646351.0,105.61,104.33,105.7,104.56,
2017-04-12,104.12,689988.0,104.12,103.8,106.0792,106.0,
2017-04-13,103.62,500121.0,103.62,103.4201,104.805,104.0,
2017-04-17,104.63,721130.0,104.63,103.46,104.63,103.75,
2017-04-18,105.77,890751.0,105.77,103.95,105.81,103.95,
2017-04-19,105.84,948677.0,105.84,105.37,106.93,106.05,
2017-04-20,105.52,888821.0,105.52,105.39,106.25,106.14,
2017-04-21,105.1,1106555.0,105.1,104.89,106.02,105.6,
2017-04-24,106.83,933994.0,106.83,105.88,106.94,106.02,
2017-04-25,108.09,706554.0,108.09,107.37,108.46,107.44,
2017-04-26,108.3,671206.0,108.3,107.24,108.56,108.11,
2017-04-27,108.18,759347.0,108.18,107.78,109.23,108.28,
2017-04-28,108.91,1206817.0,108.91,108.2,109.05,108.24,
2017-05-01,109.39,854810.0,109.39,107.0,110.13,109.09,
2017-05-02,108.38,831338.0,108.38,108.0,109.34,109.34,
2017-05-03,107.65,968585.0,107.65,107.19,108.63,108.35,
2017-05-04,108.71,1977071.0,108.71,108.44,112.73,111.99,
2017-05-05,110.01,1116535.0,110.01,108.85,110.8995,109.36,
2017-05-08,109.56,864277.0,109.56,108.72,110.31,110.02,
2017-05-09,109.33,709836.0,109.33,108.7,109.92,109.5,
2017-05-10,110.57,819202.0,110.57,109.16,110.6,109.5,
2017-05-11,110.74,548953.0,110.74,110.08,110.94,110.57,
2017-05-12,110.38,601926.0,110.38,110.09,110.74,110.44,
2017-05-15,112.05,654175.0,112.05,110.72,112.8151,111.09,
2017-05-16,112.37,760231.0,112.37,111.7,112.88,112.45,
2017-05-17,110.54,982141.0,110.54,110.49,112.01,111.5,
2017-05-18,110.0,921133.0,110.0,108.87,110.67,109.98,
2017-05-19,110.32,897049.0,110.32,110.16,111.795,110.45,
2017-05-22,110.58,797850.0,110.58,109.74,111.0629,110.91,
2017-05-23,111.71,592074.0,111.71,110.59,112.0,110.91,
2017-05-24,112.05,548760.0,112.05,111.55,112.5499,111.71,
2017-05-25,112.59,636067.0,112.59,112.26,113.7,112.53,
