YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,64.7,689793.0,64.7,63.91,65.11,64.64,
2017-01-04,65.93,959560.0,65.93,64.68,66.22,64.68,
2017-01-05,66.29,808866.0,66.29,65.33,66.355,65.58,
2017-01-06,65.89,1238658.0,65.89,65.8,66.65,66.39,
2017-01-09,65.42,850615.0,65.42,65.2,65.89,65.64,
2017-01-10,64.5,1806109.0,64.5,63.81,65.27,65.11,
2017-01-11,65.7,893160.0,65.7,64.39,65.73,64.76,
2017-01-12,66.12,737708.0,66.12,65.13,66.21,65.33,
2017-01-13,65.5,509048.0,65.5,65.48,66.76,66.21,
2017-01-17,65.87,653723.0,65.87,64.93,66.1,65.13,
2017-01-18,66.48,601513.0,66.48,65.815,66.64,65.94,
2017-01-19,66.58,720046.0,66.58,66.45,67.32,66.64,
2017-01-20,65.16,1013005.0,65.16,64.62,66.54,66.54,
2017-01-23,65.07,829809.0,65.07,64.75,65.78,64.83,
2017-01-24,66.42,759637.0,66.42,65.31,66.87,65.31,
2017-01-25,66.6,835992.0,66.6,66.06,68.54,67.0,
2017-01-26,65.95,808521.0,65.95,65.65,66.95,66.6,
2017-01-27,66.52,450705.0,66.52,65.97,66.61,66.16,
2017-01-30,65.84,709294.0,65.84,64.82,66.06,66.02,
2017-01-31,65.67,594367.0,65.67,64.74,65.74,65.68,
2017-02-01,65.94,685355.0,65.94,65.37,67.1,65.94,
2017-02-02,65.62,992119.0,65.62,65.06,65.75,65.59,
2017-02-03,67.33,950461.0,67.33,66.2002,67.39,66.62,
2017-02-06,67.34,626628.0,67.34,66.55,67.34,67.12,
2017-02-07,67.02,873005.0,67.02,66.81,67.75,67.39,
2017-02-08,67.6,922713.0,67.6,66.72,67.8,67.02,
2017-02-09,71.73,2487128.0,71.73,67.02,72.0,67.69,
2017-02-10,71.92,1099345.0,71.92,71.5,72.36,71.8,
2017-02-13,71.45,562113.0,71.45,71.19,72.481,72.2,
2017-02-14,71.08,695507.0,71.08,70.85,71.54,71.35,
2017-02-15,71.83,1138203.0,71.83,70.84,71.99,70.84,
2017-02-16,72.93,1067254.0,72.93,71.9,73.11,71.9,
2017-02-17,73.27,865000.0,73.27,72.48,73.68,72.84,
2017-02-21,74.51,1120417.0,74.51,73.18,74.67,73.2,
2017-02-22,74.06,631725.0,74.06,73.91,75.0,74.32,
2017-02-23,73.95,541690.0,73.95,73.57,74.5,74.44,
2017-02-24,73.95,505195.0,73.95,73.27,73.97,73.55,
2017-02-27,73.6,568199.0,73.6,73.53,74.21,73.91,
2017-02-28,72.59,769173.0,72.59,72.545,73.93,73.76,
2017-03-01,73.69,568128.0,73.69,73.27,74.31,73.67,
2017-03-02,73.96,557157.0,73.96,73.195,74.29,73.85,
2017-03-03,73.82,961997.0,73.82,73.35,74.37,74.05,
2017-03-06,73.21,1106870.0,73.21,72.8,73.625,73.0,
2017-03-07,72.86,675149.0,72.86,72.62,73.4,73.23,
2017-03-08,73.11,1073897.0,73.11,72.45,73.48,73.04,
2017-03-09,73.46,676293.0,73.46,73.12,73.97,73.31,
2017-03-10,74.47,692608.0,74.47,73.87,74.58,73.92,
2017-03-13,74.76,668353.0,74.76,73.77,74.83,74.12,
2017-03-14,74.37,506618.0,74.37,74.0,74.78,74.27,
2017-03-15,74.92,521168.0,74.92,73.98,75.29,74.64,
2017-03-16,75.15,459299.0,75.15,74.705,75.3899,74.98,
2017-03-17,75.48,829454.0,75.48,74.82,75.62,75.05,
2017-03-20,75.23,530421.0,75.23,75.01,75.68,75.48,
2017-03-21,74.27,709377.0,74.27,74.19,75.66,75.52,
2017-03-22,74.77,472889.0,74.77,74.05,74.86,74.28,
2017-03-23,74.86,410677.0,74.86,74.29,75.36,74.68,
2017-03-24,75.05,422706.0,75.05,74.65,75.63,75.01,
2017-03-27,74.89,696311.0,74.89,74.0,75.28,74.06,
2017-03-28,75.12,271874.0,75.12,74.65,75.4099,74.65,
2017-03-29,75.41,394380.0,75.41,74.71,75.41,74.89,
2017-03-30,75.86,450967.0,75.86,75.26,75.92,75.32,
2017-03-31,75.7,592299.0,75.7,75.47,76.29,75.7,
2017-04-03,75.72,654782.0,75.72,75.31,76.5,75.88,
2017-04-04,74.9,513247.0,74.9,74.83,75.7444,75.54,
2017-04-05,74.13,1267465.0,74.13,73.93,75.44,75.0,
2017-04-06,74.7,556363.0,74.7,74.11,75.2974,74.42,
2017-04-07,74.69,384447.0,74.69,74.58,75.14,74.61,
2017-04-10,74.62,450990.0,74.62,74.53,75.215,74.64,
2017-04-11,75.29,761355.0,75.29,74.48,75.35,74.72,
2017-04-12,75.24,824363.0,75.24,74.4,75.45,75.27,
2017-04-13,75.11,926120.0,75.11,74.83,75.55,75.14,
2017-04-17,76.23,414337.0,76.23,75.195,76.23,75.28,
2017-04-18,75.94,418377.0,75.94,75.61,76.14,75.98,
2017-04-19,76.83,666267.0,76.83,76.28,77.34,76.28,
2017-04-20,77.72,417235.0,77.72,76.88,78.05,77.12,
2017-04-21,77.91,750792.0,77.91,77.59,78.22,77.69,
2017-04-24,78.24,711800.0,78.24,77.74,79.19,78.87,
2017-04-25,78.75,400309.0,78.75,78.32,79.09,78.65,
2017-04-26,79.72,1522045.0,79.72,78.11,79.97,78.85,
2017-04-27,80.62,1602295.0,80.62,79.8025,82.0,82.0,
2017-04-28,78.64,1349790.0,78.64,78.41,80.34,80.06,
2017-05-01,77.7,716480.0,77.7,77.62,78.7,78.7,
2017-05-02,77.62,698610.0,77.62,77.3,78.23,77.98,
2017-05-03,77.28,828794.0,77.28,76.68,77.62,77.24,
2017-05-04,77.35,919662.0,77.35,76.98,77.92,77.59,
2017-05-05,77.5,809520.0,77.5,77.0,77.94,77.56,
2017-05-08,76.8,573391.0,76.8,76.4,77.57,77.28,
2017-05-09,76.98,438192.0,76.98,76.75,77.2,77.11,
2017-05-10,76.83,613200.0,76.83,75.85,76.94,76.76,
2017-05-11,77.29,900001.0,77.29,75.945,77.31,76.45,
2017-05-12,76.73,415823.0,76.73,76.64,77.31,77.16,
2017-05-15,77.24,582411.0,77.24,76.7,77.57,76.7,
2017-05-16,78.48,1238911.0,78.48,77.58,78.7,77.6,
2017-05-17,77.01,1009658.0,77.01,76.865,77.83,77.54,
2017-05-18,77.32,656445.0,77.32,76.26,77.76,76.83,
2017-05-19,79.06,1065279.0,79.06,77.46,79.45,77.83,
2017-05-22,79.46,798788.0,79.46,79.2,79.99,79.2,
2017-05-23,78.9,823811.0,78.9,78.76,79.71,79.5,
2017-05-24,79.05,702044.0,79.05,78.65,79.2425,79.0,
2017-05-25,79.46,645480.0,79.46,79.05,79.69,79.29,
2017-05-26,79.38,655882.0,79.38,79.11,79.68,79.36,
2017-05-30,78.46,855338.0,78.46,78.25,79.35,79.35,
2017-05-31,78.63,3922204.0,78.63,77.76,79.17,78.62,
2017-06-01,79.14,908003.0,79.14,78.8,79.55,79.02,
2017-06-02,80.06,703957.0,80.06,78.87,80.17,79.05,
2017-06-05,80.0,498559.0,80.0,79.635,80.37,80.0,
2017-06-06,78.54,510895.0,78.54,78.47,80.4,79.76,
2017-06-07,78.33,511643.0,78.33,78.12,79.04,78.61,
2017-06-08,77.65,724545.0,77.65,77.37,78.57,78.2,
2017-06-09,77.23,756978.0,77.23,76.9,78.22,77.83,
2017-06-12,78.45,1033300.0,78.45,76.47,78.49,77.36,
2017-06-13,79.28,611443.0,79.28,77.81,79.4,78.19,
2017-06-14,79.75,563067.0,79.75,79.43,80.12,79.69,
2017-06-15,80.75,601235.0,80.75,79.04,80.83,79.32,
2017-06-16,81.58,822493.0,81.58,80.76,81.93,81.02,
2017-06-19,82.17,403117.0,82.17,81.66,82.38,82.04,
2017-06-20,81.91,520916.0,81.91,81.5,82.77,81.68,
2017-06-21,81.51,437801.0,81.51,81.34,82.1,82.1,
2017-06-22,81.19,298959.0,81.19,81.17,81.9,81.49,
2017-06-23,81.45,590621.0,81.45,80.99,82.18,81.21,
2017-06-26,81.41,236804.0,81.41,81.27,81.96,81.67,
2017-06-27,80.59,456052.0,80.59,80.49,81.62,81.25,
2017-06-28,81.24,264581.0,81.24,80.88,81.83,81.12,
2017-06-29,79.82,542992.0,79.82,78.91,81.26,81.26,
2017-06-30,81.12,457216.0,81.12,80.09,81.5,80.09,
2017-07-03,81.37,217195.0,81.37,81.35,81.835,81.57,
2017-07-05,82.14,416866.0,82.14,81.36,82.9,81.55,
2017-07-06,80.66,424548.0,80.66,80.5,81.92,81.92,
2017-07-07,81.22,413998.0,81.22,80.22,81.64,80.85,
2017-07-10,81.53,472625.0,81.53,81.09,81.85,81.35,
2017-07-11,81.47,354688.0,81.47,81.03,81.84,81.38,
2017-07-12,81.99,375017.0,81.99,81.59,82.53,82.04,
2017-07-13,80.79,541626.0,80.79,80.61,82.69,81.98,
2017-07-14,80.77,438662.0,80.77,80.45,81.29,80.81,
2017-07-17,80.83,295821.0,80.83,80.46,80.85,80.78,
2017-07-18,80.6,374270.0,80.6,80.15,80.89,80.6,
2017-07-19,80.7,303061.0,80.7,80.5,81.0,80.71,
2017-07-20,81.09,528924.0,81.09,80.12,81.135,80.87,
2017-07-21,80.41,401381.0,80.41,80.12,81.28,80.81,
2017-07-24,80.31,286016.0,80.31,79.69,80.695,80.34,
2017-07-25,79.1,681675.0,79.1,78.75,81.07,80.82,
2017-07-26,78.49,853370.0,78.49,78.48,79.4,79.03,
2017-07-27,81.2,1371760.0,81.2,77.62,81.26,78.99,
2017-07-28,81.4,736598.0,81.4,80.23,82.0,81.31,
2017-07-31,81.24,615752.0,81.24,80.74,81.89,81.56,
2017-08-01,81.47,878762.0,81.47,80.9401,82.62,81.63,
2017-08-02,80.85,521684.0,80.85,79.86,81.38,81.18,
2017-08-03,80.76,372257.0,80.76,80.14,81.11,80.99,
2017-08-04,81.32,343885.0,81.32,80.46,81.32,80.86,
2017-08-07,81.99,321388.0,81.99,80.82,82.06,81.33,
2017-08-08,81.37,468618.0,81.37,81.31,82.254,81.91,
2017-08-09,80.59,354308.0,80.59,80.46,81.52,81.31,
2017-08-10,78.92,460653.0,78.92,78.86,80.48,80.19,
2017-08-11,79.28,354138.0,79.28,78.63,79.77,78.93,
2017-08-14,79.47,420939.0,79.47,79.08,80.03,79.84,
2017-08-15,78.95,271390.0,78.95,78.74,79.5,79.5,
2017-08-16,79.29,404052.0,79.29,78.89,79.63,79.04,
2017-08-17,78.83,500502.0,78.83,78.76,79.96,79.18,
2017-08-18,78.17,327935.0,78.17,78.06,78.87,78.58,
2017-08-21,77.48,384892.0,77.48,77.42,78.32,78.2,
2017-08-22,78.08,508140.0,78.08,77.28,78.32,77.68,
2017-08-23,77.09,611622.0,77.09,76.79,77.8528,77.81,
2017-08-24,77.15,360224.0,77.15,76.82,77.54,77.24,
2017-08-25,77.62,376784.0,77.62,77.43,77.81,77.58,
2017-08-28,78.05,425135.0,78.05,77.82,78.25,77.97,
2017-08-29,77.77,271894.0,77.77,77.7,78.34,77.72,
2017-08-30,78.3,292355.0,78.3,77.45,78.34,77.74,
2017-08-31,78.71,488028.0,78.71,78.45,79.0,78.71,
2017-09-01,79.15,517796.0,79.15,78.845,79.4,79.03,
2017-09-05,79.4,639751.0,79.4,79.16,80.0,79.16,
2017-09-06,80.26,604879.0,80.26,79.575,80.53,79.86,
2017-09-07,80.22,395880.0,80.22,79.7,80.63,80.38,
2017-09-08,80.81,512543.0,80.81,79.9,81.4,80.21,
2017-09-11,81.07,759313.0,81.07,80.48,81.64,81.23,
2017-09-12,81.0,660538.0,81.0,80.95,81.62,81.33,
2017-09-13,81.81,589481.0,81.81,80.43,81.87,81.09,
2017-09-14,82.62,784213.0,82.62,81.415,82.65,81.66,
2017-09-15,82.77,978928.0,82.77,82.12,82.97,82.63,
2017-09-18,82.65,508109.0,82.65,82.19,83.12,82.98,
2017-09-19,82.85,677094.0,82.85,82.06,83.14,82.76,
2017-09-20,83.57,1023161.0,83.57,82.57,84.04,83.01,
2017-09-21,83.47,465837.0,83.47,83.25,83.82,83.25,
2017-09-22,84.55,890469.0,84.55,83.34,84.64,83.62,
2017-09-25,84.5,437319.0,84.5,84.285,84.8,84.41,
2017-09-26,85.35,518934.0,85.35,84.5,85.62,84.75,
2017-09-27,85.33,751419.0,85.33,85.29,86.45,85.61,
2017-09-28,85.76,585267.0,85.76,84.82,85.82,85.29,
2017-09-29,86.47,493086.0,86.47,85.68,86.89,85.68,
2017-10-02,86.53,518952.0,86.53,86.28,86.95,86.56,
2017-10-03,87.47,529369.0,87.47,86.48,87.69,86.66,
2017-10-04,86.73,828509.0,86.73,86.55,87.76,87.42,
2017-10-05,87.07,694000.0,87.07,86.03,87.25,86.83,
2017-10-06,87.19,716781.0,87.19,86.6,87.33,87.04,
2017-10-09,87.62,297920.0,87.62,86.6501,87.69,87.37,
2017-10-10,87.81,415905.0,87.81,87.19,87.98,87.82,
2017-10-11,88.15,744189.0,88.15,87.6,88.32,88.11,
2017-10-12,89.56,913512.0,89.56,87.6201,89.75,87.88,
2017-10-13,88.3,380531.0,88.3,88.19,89.81,89.81,
2017-10-16,88.14,349690.0,88.14,88.01,88.945,88.52,
2017-10-17,87.0,768140.0,87.0,86.82,88.35,88.11,
2017-10-18,87.6,569065.0,87.6,87.25,87.93,87.25,
2017-10-19,87.74,422809.0,87.74,87.23,87.82,87.46,
2017-10-20,88.02,546368.0,88.02,87.41,88.285,87.5,
2017-10-23,87.31,379675.0,87.31,87.22,88.16,87.99,
2017-10-24,88.48,619206.0,88.48,87.56,88.75,87.6,
2017-10-25,86.49,894275.0,86.49,85.55,88.46,88.18,
2017-10-26,80.7,3297230.0,80.7,79.26,82.24,80.72,
2017-10-27,80.29,1919711.0,80.29,78.63,81.04,80.13,
2017-10-30,81.97,1281273.0,81.97,80.725,82.85,81.02,
2017-10-31,83.39,1406944.0,83.39,82.23,83.55,82.7,
2017-11-01,82.73,700689.0,82.73,82.29,84.105,83.58,
2017-11-02,82.23,853196.0,82.23,81.7,82.99,82.88,
2017-11-03,82.02,896132.0,82.02,81.6,82.59,82.58,
2017-11-06,83.09,718269.0,83.09,81.8201,83.47,82.02,
2017-11-07,83.53,851322.0,83.53,82.6675,84.63,83.27,
2017-11-08,83.43,388736.0,83.43,81.96,83.51,83.44,
2017-11-09,82.08,429507.0,82.08,81.46,83.35,83.06,
2017-11-10,83.13,565187.0,83.13,81.225,83.27,81.57,
2017-11-13,83.94,847009.0,83.94,82.7223,84.29,82.93,
2017-11-14,82.9,842432.0,82.9,82.715,84.0,83.64,
2017-11-15,82.03,473132.0,82.03,81.65,82.66,82.62,
2017-11-16,82.41,334734.0,82.41,81.95,83.06,82.25,
2017-11-17,82.65,517693.0,82.65,82.02,82.89,82.52,
2017-11-20,83.24,338208.0,83.24,82.6,83.66,82.6,
2017-11-21,83.4,456258.0,83.4,82.87,83.8,83.6,
2017-11-22,83.16,402802.0,83.16,82.77,83.8,83.32,
2017-11-24,82.92,196479.0,82.92,82.89,83.57,83.16,
2017-11-27,83.1,720583.0,83.1,82.59,84.155,83.11,
2017-11-28,83.33,651793.0,83.33,82.82,84.02,83.21,
2017-11-29,82.94,746138.0,82.94,82.47,83.78,83.54,
2017-11-30,84.14,970436.0,84.14,82.55,84.23,83.01,
2017-12-01,84.58,862692.0,84.58,82.48,84.83,84.23,
2017-12-04,83.43,766560.0,83.43,83.38,85.76,85.39,
2017-12-05,82.0,542218.0,82.0,82.0,83.71,83.29,
2017-12-06,81.79,533216.0,81.79,81.385,82.39,82.0,
2017-12-07,83.11,643537.0,83.11,82.01,83.16,82.07,
2017-12-08,82.46,562209.0,82.46,82.3,83.78,83.78,
2017-12-11,82.17,732307.0,82.17,81.44,82.4199,82.15,
2017-12-12,82.15,426951.0,82.15,81.68,82.41,82.2,
2017-12-13,82.64,732399.0,82.64,81.85,83.21,82.52,
2017-12-14,81.68,586040.0,81.68,81.59,83.15,82.68,
2017-12-15,82.28,1256846.0,82.28,81.79,82.75,82.15,
2017-12-18,82.56,855951.0,82.56,82.43,83.44,82.88,
2017-12-19,80.07,1188703.0,80.07,80.04,82.47,82.47,
2017-12-20,81.0,981325.0,81.0,80.035,81.46,80.39,
2017-12-21,81.0,613849.0,81.0,80.91,81.75,81.47,
2017-12-22,80.34,348199.0,80.34,80.25,82.06,81.1,
2017-12-26,80.39,251455.0,80.39,80.01,80.77,80.29,
2017-12-27,80.0,479320.0,80.0,79.99,80.77,80.66,
2017-12-28,79.56,1124103.0,79.56,78.67,80.7145,80.25,
2017-12-29,79.56,662893.0,79.56,78.82,80.29,80.0,
