YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.17,2020076.0,74.17,73.54,74.56,74.0,
2017-01-04,74.37,1948384.0,74.37,74.21,74.95,74.38,
2017-01-05,74.03,1741760.0,74.03,73.8,74.44,74.18,
2017-01-06,74.15,1614752.0,74.15,73.48,74.455,73.68,
2017-01-09,73.09,1802222.0,73.09,73.04,74.05,73.95,
2017-01-10,73.75,2350036.0,73.75,73.26,74.3,73.28,
2017-01-11,73.94,1738517.0,73.94,73.59,74.26,73.94,
2017-01-12,73.68,1110509.0,73.68,73.13,73.79,73.56,
2017-01-13,73.89,1220163.0,73.89,73.8,74.35,73.91,
2017-01-17,73.85,1180686.0,73.85,73.39,73.89,73.61,
2017-01-18,74.52,1795756.0,74.52,73.92,74.83,74.0,
2017-01-19,74.22,1282140.0,74.22,73.9,74.78,74.66,
2017-01-20,74.54,1528423.0,74.54,74.37,74.96,74.37,
2017-01-23,74.15,1232721.0,74.15,73.96,74.65,74.59,
2017-01-24,74.47,1075494.0,74.47,73.97,74.66,74.24,
2017-01-25,75.39,1769074.0,75.39,74.74,75.53,74.77,
2017-01-26,75.81,1575041.0,75.81,75.21,75.85,75.42,
2017-01-27,75.59,1275469.0,75.59,75.22,75.81,75.29,
2017-01-30,75.61,1748051.0,75.61,75.125,75.67,75.49,
2017-01-31,75.21,2041900.0,75.21,74.74,75.58,75.27,
2017-02-01,75.24,2411685.0,75.24,75.0,75.97,75.57,
2017-02-02,77.4,3883196.0,77.4,76.38,78.12,76.74,
2017-02-03,77.48,2110276.0,77.48,77.29,78.0,77.92,
2017-02-06,78.08,2348314.0,78.08,76.97,78.225,77.43,
2017-02-07,78.12,1764922.0,78.12,78.07,78.68,78.5,
2017-02-08,77.99,1496627.0,77.99,77.8,78.19,78.1,
2017-02-09,78.35,1912658.0,78.35,77.73,78.385,78.09,
2017-02-10,78.88,1637416.0,78.88,78.13,79.31,78.55,
2017-02-13,79.61,1427476.0,79.61,78.81,79.64,78.95,
2017-02-14,79.8,1798022.0,79.8,79.1,79.82,79.72,
2017-02-15,80.71,1820244.0,80.71,79.59,80.72,80.0,
2017-02-16,80.8,1779026.0,80.8,80.4,80.82,80.62,
2017-02-17,80.44,1920323.0,80.44,80.08,80.48,80.47,
2017-02-21,80.62,2436741.0,80.62,80.31,80.8,80.56,
2017-02-22,80.58,2438546.0,80.58,80.06,80.78,80.13,
2017-02-23,80.55,3190404.0,80.55,80.31,80.9,80.4,
2017-02-24,80.91,1973346.0,80.91,79.89,80.91,80.18,
2017-02-27,81.34,2103201.0,81.34,80.84,81.51,80.94,
2017-02-28,82.16,2550521.0,82.16,81.0,82.29,81.29,
2017-03-01,82.69,2721311.0,82.69,82.1,82.83,82.52,
2017-03-02,81.75,2628209.0,81.75,81.74,83.05,82.89,
2017-03-03,81.86,2331472.0,81.86,81.4,82.0,81.83,
2017-03-06,81.34,1657033.0,81.34,81.14,81.75,81.49,
2017-03-07,81.46,1621840.0,81.46,81.14,81.7,81.32,
2017-03-08,81.13,1661357.0,81.13,80.9401,81.9709,81.87,
2017-03-09,81.57,1708769.0,81.57,81.07,81.63,81.32,
2017-03-10,82.05,1560630.0,82.05,81.57,82.105,81.82,
2017-03-13,82.1,1256704.0,82.1,81.72,82.13,81.87,
2017-03-14,82.18,1437146.0,82.18,81.83,82.305,82.05,
2017-03-15,82.62,1418824.0,82.62,82.04,82.75,82.04,
2017-03-16,82.89,1783589.0,82.89,82.46,83.0,82.56,
2017-03-17,82.85,2316274.0,82.85,82.6,83.09,82.9,
2017-03-20,82.37,1324987.0,82.37,82.3,83.06,82.85,
2017-03-21,81.69,2179342.0,81.69,81.59,82.7,82.46,
2017-03-22,81.38,1669775.0,81.38,81.33,81.82,81.59,
2017-03-23,81.26,1480674.0,81.26,81.16,81.92,81.5,
2017-03-24,80.99,1368886.0,80.99,80.63,81.51,81.27,
2017-03-27,81.09,1428165.0,81.09,80.07,81.32,80.37,
2017-03-28,81.89,1219009.0,81.89,80.73,82.097,80.81,
2017-03-29,81.39,1019259.0,81.39,81.29,82.08,81.94,
2017-03-30,81.64,1159316.0,81.64,81.16,81.83,81.3,
2017-03-31,81.49,1548126.0,81.49,81.2,81.79,81.45,
2017-04-03,81.32,1790111.0,81.32,81.08,81.75,81.54,
2017-04-04,81.63,1672300.0,81.63,81.4,81.8,81.47,
2017-04-05,81.42,1575151.0,81.42,81.285,82.17,81.81,
2017-04-06,81.44,1614200.0,81.44,81.05,81.6,81.45,
2017-04-07,81.11,1228719.0,81.11,80.95,81.49,81.36,
2017-04-10,81.36,1261724.0,81.36,81.0,81.67,81.01,
2017-04-11,81.17,1561140.0,81.17,80.68,81.29,81.14,
2017-04-12,80.97,2063791.0,80.97,80.1,81.12,80.58,
2017-04-13,80.58,1241344.0,80.58,80.58,81.26,80.9,
2017-04-17,81.5,1646643.0,81.5,80.6105,81.63,80.8,
2017-04-18,80.31,2486670.0,80.31,80.12,81.11,80.79,
2017-04-19,79.75,2283260.0,79.75,79.59,80.59,80.29,
2017-04-20,80.15,2155766.0,80.15,79.09,80.41,79.6,
2017-04-21,79.73,1778826.0,79.73,79.54,80.19,80.09,
2017-04-24,80.9,1917923.0,80.9,80.37,80.98,80.86,
2017-04-25,81.22,1697199.0,81.22,80.75,81.38,80.75,
2017-04-26,81.8,2880701.0,81.8,80.95,82.51,81.15,
2017-04-27,81.98,1163259.0,81.98,81.58,82.23,81.83,
2017-04-28,81.29,1058608.0,81.29,81.26,81.94,81.84,
2017-05-01,81.5,1341934.0,81.5,81.185,81.85,81.49,
2017-05-02,81.83,1951680.0,81.83,81.44,81.88,81.45,
2017-05-03,84.93,4022921.0,84.93,83.47,85.0,83.47,
2017-05-04,85.57,2987655.0,85.57,85.11,86.03,85.11,
2017-05-05,85.45,1647487.0,85.45,85.24,85.87,85.73,
2017-05-08,84.77,1959042.0,84.77,84.63,85.49,85.46,
2017-05-09,84.17,1798270.0,84.17,84.085,84.98,84.9,
2017-05-10,84.29,1710886.0,84.29,84.07,84.63,84.21,
2017-05-11,83.91,2954662.0,83.91,83.19,84.24,83.97,
2017-05-12,84.13,1851298.0,84.13,83.53,84.6,83.81,
2017-05-15,84.53,1234038.0,84.53,84.06,84.65,84.06,
2017-05-16,84.33,1559743.0,84.33,84.2,84.78,84.49,
2017-05-17,84.36,2254892.0,84.36,83.11,84.71,83.63,
2017-05-18,84.72,2173892.0,84.72,83.6,85.3,84.33,
2017-05-19,84.13,2685817.0,84.13,84.06,84.8,84.78,
2017-05-22,84.79,2085467.0,84.79,84.25,84.88,84.58,
2017-05-23,85.4,1289182.0,85.4,84.55,85.5,84.69,
2017-05-24,85.81,951549.0,85.81,85.4,85.89,85.55,
2017-05-25,86.28,1689571.0,86.28,85.82,86.385,85.95,
2017-05-26,86.5,1083530.0,86.5,85.96,86.6299,86.04,
2017-05-30,86.0,1134298.0,86.0,85.99,86.42,86.12,
2017-05-31,86.34,2616503.0,86.34,85.93,86.4,86.15,
2017-06-01,86.94,1717903.0,86.94,85.8935,86.94,86.02,
2017-06-02,86.67,1156199.0,86.67,86.42,86.79,86.79,
2017-06-05,86.61,973859.0,86.61,86.48,86.94,86.67,
2017-06-06,85.82,1243961.0,85.82,85.78,86.52,86.3,
2017-06-07,85.87,1422542.0,85.87,85.57,86.125,86.09,
2017-06-08,86.56,1669952.0,86.56,85.84,86.69,85.87,
2017-06-09,87.37,1138999.0,87.37,86.55,87.425,86.67,
2017-06-12,87.92,2473521.0,87.92,87.33,88.1,87.37,
2017-06-13,87.97,2566885.0,87.97,87.79,88.19,87.94,
2017-06-14,88.82,1502909.0,88.82,87.83,88.89,87.93,
2017-06-15,89.79,2164143.0,89.79,88.5,89.89,88.7,
2017-06-16,89.82,2684162.0,89.82,89.55,90.74,90.37,
2017-06-19,89.41,3264333.0,89.41,89.075,90.19,90.03,
2017-06-20,89.26,1153603.0,89.26,89.18,89.66,89.41,
2017-06-21,89.24,1646443.0,89.24,89.025,89.53,89.41,
2017-06-22,88.31,1751421.0,88.31,88.21,89.23,89.01,
2017-06-23,88.08,3969885.0,88.08,87.99,88.83,88.72,
2017-06-26,88.42,1781195.0,88.42,88.17,88.78,88.32,
2017-06-27,88.17,1831973.0,88.17,88.03,88.69,88.55,
2017-06-28,88.58,1375234.0,88.58,88.37,88.96,88.68,
2017-06-29,88.13,1648175.0,88.13,87.805,89.23,89.23,
2017-06-30,88.44,1508020.0,88.44,88.12,88.79,88.44,
2017-07-03,88.63,1007570.0,88.63,88.63,89.86,88.85,
2017-07-05,88.81,1040865.0,88.81,88.27,88.94,88.81,
2017-07-06,88.72,1450561.0,88.72,88.53,89.28,88.93,
2017-07-07,89.19,1117258.0,89.19,88.54,89.285,88.8,
2017-07-10,88.85,1445081.0,88.85,88.83,89.18,88.83,
2017-07-11,87.94,1959242.0,87.94,87.74,88.88,88.72,
2017-07-12,88.2,972288.0,88.2,87.91,88.39,88.01,
2017-07-13,88.6,1271906.0,88.6,87.935,88.92,88.06,
2017-07-14,89.05,1075637.0,89.05,87.92,89.33,88.27,
2017-07-17,88.49,1440223.0,88.49,88.305,88.83,88.74,
2017-07-18,88.88,2191125.0,88.88,87.99,89.06,87.99,
2017-07-19,89.25,1208762.0,89.25,88.719,89.25,89.05,
2017-07-20,89.22,1319566.0,89.22,88.47,89.56,89.01,
2017-07-21,89.16,1897566.0,89.16,88.58,89.315,89.0,
2017-07-24,89.77,1222579.0,89.77,89.015,89.905,89.08,
2017-07-25,90.21,1258375.0,90.21,89.9,90.63,90.27,
2017-07-26,89.4,1403868.0,89.4,89.24,90.29,90.2,
2017-07-27,89.68,2050164.0,89.68,89.05,89.8452,89.37,
2017-07-28,90.5,1258429.0,90.5,89.52,90.57,89.8,
2017-07-31,91.0,1229008.0,91.0,90.57,91.25,90.58,
2017-08-01,91.0,2820652.0,91.0,90.8,91.43,91.17,
2017-08-02,94.16,3392962.0,94.16,92.54,94.31,93.14,
2017-08-03,93.93,2053841.0,93.93,93.09,94.0,93.9,
2017-08-04,94.22,1486353.0,94.22,93.97,94.49,94.09,
2017-08-07,94.24,1667206.0,94.24,94.09,94.59,94.22,
2017-08-08,94.21,1609649.0,94.21,93.84,94.33,93.98,
2017-08-09,94.7,1548661.0,94.7,93.96,94.7,94.11,
2017-08-10,94.16,1459073.0,94.16,94.14,94.69,94.21,
2017-08-11,93.95,1111370.0,93.95,93.91,94.448,94.09,
2017-08-14,94.42,1166563.0,94.42,94.36,94.83,94.78,
2017-08-15,94.38,1458540.0,94.38,94.11,94.81,94.79,
2017-08-16,94.38,2062253.0,94.38,94.3,95.25,94.66,
2017-08-17,93.33,1989740.0,93.33,93.17,94.5,94.39,
2017-08-18,92.92,2595339.0,92.92,92.55,93.335,93.11,
2017-08-21,92.72,2166878.0,92.72,92.28,92.96,92.96,
2017-08-22,93.77,1653433.0,93.77,92.93,93.82,93.11,
2017-08-23,93.18,1661698.0,93.18,93.16,93.85,93.38,
2017-08-24,91.54,3161378.0,91.54,91.4,93.49,93.29,
2017-08-25,92.02,2583119.0,92.02,91.46,92.28,91.81,
