YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,31.94,13209441.0,31.94,31.66,32.71,32.36,70517.0
2017-01-04,32.24,9460674.0,32.24,32.06,32.51,32.09,53347.0
2017-01-05,32.1,7290175.0,32.1,31.91,32.4,32.3,43043.0
2017-01-06,32.04,7063604.0,32.04,31.86,32.23,32.04,38911.0
2017-01-09,32.78,9271782.0,32.78,32.21,33.07,32.27,47596.0
2017-01-10,33.13,8753286.0,33.13,32.74,33.2,32.87,40527.0
2017-01-11,33.47,10620118.0,33.47,32.8,33.48,33.21,64559.0
2017-01-12,33.31,6484120.0,33.31,32.6,33.3399,33.25,44533.0
2017-01-13,33.79,6911166.0,33.79,33.3,33.895,33.32,38188.0
2017-01-17,33.3,6428559.0,33.3,33.09,33.83,33.79,42160.0
2017-01-18,33.69,10609448.0,33.69,33.53,34.0,33.68,51478.0
2017-01-19,33.75,8333520.0,33.75,33.67,34.13,33.7,52410.0
2017-01-20,33.84,8571730.0,33.84,33.765,34.18,33.92,43668.0
2017-01-23,33.75,7254438.0,33.75,33.56,34.1999,33.76,40539.0
2017-01-24,34.03,9702805.0,34.03,33.88,34.21,33.89,50093.0
2017-01-25,34.42,12230219.0,34.42,34.22,34.83,34.3,60423.0
2017-01-26,33.98,9375456.0,33.98,33.85,34.47,34.42,56540.0
2017-01-27,35.04,11055855.0,35.04,34.22,35.15,34.26,57661.0
2017-01-30,34.34,11183818.0,34.34,33.77,34.83,34.79,61421.0
2017-01-31,34.25,9468804.0,34.25,33.93,34.315,34.14,47274.0
2017-02-01,35.03,15244891.0,35.03,34.5,35.05,34.59,80628.0
2017-02-02,34.94,7517981.0,34.94,34.64,35.03,34.97,48362.0
2017-02-03,35.31,8560301.0,35.31,34.98,35.39,34.98,44117.0
2017-02-06,35.18,5877077.0,35.18,35.01,35.39,35.32,34619.0
2017-02-07,35.54,8155447.0,35.54,35.07,35.64,35.38,42381.0
2017-02-08,35.6,8735864.0,35.6,35.1799,35.8,35.8,50129.0
2017-02-09,35.41,6515495.0,35.41,35.38,35.85,35.75,38548.0
2017-02-10,35.32,11636382.0,35.32,35.09,35.64,35.64,35521.0
2017-02-13,35.46,11900268.0,35.46,35.37,35.8295,35.72,58927.0
2017-02-14,35.23,9956599.0,35.23,35.12,35.55,35.5,55402.0
2017-02-15,35.49,17409981.0,35.49,35.261,35.735,35.46,85482.0
2017-02-16,35.18,21684867.0,35.18,34.58,35.65,35.62,113706.0
2017-02-17,35.67,14892760.0,35.67,34.72,35.8,34.97,73137.0
2017-02-21,36.58,13815106.0,36.58,35.515,36.82,35.515,67385.0
2017-02-22,36.51,10380015.0,36.51,36.21,36.67,36.45,46283.0
2017-02-23,36.16,7852525.0,36.16,35.9,36.66,36.56,49243.0
2017-02-24,36.3,7505777.0,36.3,35.55,36.32,35.81,44957.0
2017-02-27,36.43,6491371.0,36.43,36.1,36.5,36.47,38430.0
2017-02-28,36.22,8585589.0,36.22,36.1029,36.44,36.33,41340.0
2017-03-01,36.85,7298251.0,36.85,36.5,36.93,36.52,43702.0
2017-03-02,36.49,7854762.0,36.49,36.33,36.95,36.71,47446.0
2017-03-03,36.87,7257509.0,36.87,36.42,36.88,36.44,43908.0
2017-03-06,36.86,9219071.0,36.86,36.51,36.955,36.68,48364.0
2017-03-07,36.97,7841451.0,36.97,36.75,37.26,36.81,45366.0
2017-03-08,37.19,8052683.0,37.19,36.96,37.23,37.01,48400.0
2017-03-09,37.38,8494054.0,37.38,37.02,37.48,37.03,50870.0
2017-03-10,38.12,11486540.0,38.12,37.65,38.19,37.66,63390.0
2017-03-13,38.44,9111376.0,38.44,38.17,38.59,38.2,54179.0
2017-03-14,38.27,9646912.0,38.27,37.78,38.44,38.35,55151.0
2017-03-15,38.92,9406774.0,38.92,38.3,38.95,38.41,61841.0
2017-03-16,39.05,8305248.0,39.05,38.85,39.28,39.0,49697.0
2017-03-17,39.28,11023657.0,39.28,39.085,39.38,39.34,47814.0
2017-03-20,39.57,6916906.0,39.57,39.2101,39.765,39.33,43060.0
2017-03-21,38.58,13550141.0,38.58,38.3,39.81,39.7,83554.0
2017-03-22,38.82,9075725.0,38.82,38.34,38.83,38.48,59567.0
2017-03-23,38.85,6904579.0,38.85,38.61,39.1092,38.84,44629.0
2017-03-24,38.97,9059929.0,38.97,38.74,39.68,39.38,56723.0
2017-03-27,38.86,6823948.0,38.86,38.295,39.0,38.45,43847.0
2017-03-28,38.82,7924875.0,38.82,38.7099,39.195,38.74,50700.0
2017-03-29,38.87,6404366.0,38.87,38.66,38.9469,38.82,36513.0
2017-03-30,38.89,5997692.0,38.89,38.8,39.13,38.91,35266.0
2017-03-31,38.9,8567565.0,38.9,38.53,39.04,38.8,48437.0
2017-04-03,38.89,7165262.0,38.89,38.52,39.06,38.99,46107.0
2017-04-04,39.0,7241421.0,39.0,38.655,39.02,38.71,42294.0
2017-04-05,38.38,6927418.0,38.38,38.38,39.35,39.16,43122.0
2017-04-06,38.58,7158874.0,38.58,37.85,38.65,38.35,45617.0
2017-04-07,38.93,6318103.0,38.93,38.45,39.03,38.45,40069.0
2017-04-10,38.86,7339629.0,38.86,38.745,39.2,38.82,46496.0
2017-04-11,38.2,10549694.0,38.2,37.6,38.69,38.69,63442.0
2017-04-12,37.77,6802507.0,37.77,37.63,38.37,38.35,48458.0
2017-04-13,37.52,5753986.0,37.52,37.4101,38.25,37.67,41808.0
2017-04-17,38.02,5300980.0,38.02,37.57,38.03,37.64,31004.0
2017-04-18,38.05,6047326.0,38.05,37.6,38.11,37.79,36024.0
2017-04-19,39.25,13408649.0,39.25,39.15,39.655,39.2,76356.0
2017-04-20,39.89,9402816.0,39.89,39.15,39.97,39.54,54101.0
2017-04-21,39.79,8762041.0,39.79,39.47,40.085,39.9,49127.0
2017-04-24,40.44,6925408.0,40.44,40.09,40.61,40.37,39799.0
2017-04-25,40.79,7236945.0,40.79,40.28,40.87,40.62,44674.0
2017-04-26,40.71,5578304.0,40.71,40.425,40.92,40.78,38329.0
2017-04-27,41.33,8312470.0,41.33,40.94,41.82,40.96,51684.0
2017-04-28,40.61,9209031.0,40.61,40.58,41.33,41.1,48564.0
2017-05-01,41.7,7478748.0,41.7,40.85,41.71,40.98,42248.0
2017-05-02,41.71,6950795.0,41.71,41.13,41.75,41.72,43399.0
2017-05-03,41.55,5673890.0,41.55,41.2,41.71,41.71,35879.0
2017-05-04,41.62,5016859.0,41.62,41.41,41.81,41.65,31382.0
2017-05-05,41.83,4748163.0,41.83,41.3,41.89,41.85,28727.0
2017-05-08,41.54,6380021.0,41.54,41.44,41.96,41.9,33177.0
2017-05-09,42.04,8074643.0,42.04,41.72,42.25,41.82,48386.0
2017-05-10,42.87,11556055.0,42.87,42.47,43.09,42.53,63439.0
2017-05-11,43.48,11149880.0,43.48,42.73,43.48,43.02,66096.0
2017-05-12,43.44,9365074.0,43.44,43.06,43.64,43.53,53909.0
2017-05-15,44.32,12098120.0,44.32,43.71,44.425,43.88,70375.0
2017-05-16,45.07,13410525.0,45.07,44.31,45.08,44.8,76424.0
2017-05-17,42.76,20062012.0,42.76,42.73,44.7,44.58,110177.0
2017-05-18,43.91,21882225.0,43.91,42.835,44.1,43.1,128456.0
2017-05-19,44.08,23338575.0,44.08,43.91,45.74,45.05,125844.0
2017-05-22,44.73,12606288.0,44.73,43.62,45.0,44.19,74220.0
2017-05-23,44.91,8541940.0,44.91,44.3,44.94,44.81,53573.0
2017-05-24,44.63,7570534.0,44.63,44.47,45.13,45.0,51184.0
2017-05-25,45.02,8662611.0,45.02,44.551,45.33,44.76,50188.0
2017-05-26,45.5,6633378.0,45.5,44.7499,45.5,44.87,41084.0
2017-05-30,45.56,6593508.0,45.56,45.21,45.74,45.47,43188.0
2017-05-31,45.88,13082140.0,45.88,45.33,46.035,45.66,53253.0
2017-06-01,46.0,7176781.0,46.0,45.8,46.26,45.97,46645.0
2017-06-02,46.8,9523927.0,46.8,45.9,46.86,46.22,54297.0
2017-06-05,46.72,6807565.0,46.72,46.51,47.24,46.63,43353.0
2017-06-06,46.57,7806155.0,46.57,46.48,47.21,46.57,49088.0
2017-06-07,47.26,8026510.0,47.26,46.62,47.34,46.7,47165.0
2017-06-08,47.43,7936389.0,47.43,46.93,47.47,47.4,49785.0
2017-06-09,44.74,20477177.0,44.74,43.41,47.86,47.62,139299.0
2017-06-12,44.34,20623498.0,44.34,42.316,44.5,44.14,142991.0
2017-06-13,44.85,12330638.0,44.85,44.28,45.5,44.91,76920.0
2017-06-14,43.98,10697299.0,43.98,43.37,45.285,45.08,73841.0
2017-06-15,43.16,11523008.0,43.16,42.83,43.67,43.19,79327.0
2017-06-16,43.11,10775074.0,43.11,43.055,43.9,43.19,53318.0
2017-06-19,44.29,9649864.0,44.29,43.63,44.39,43.7,61032.0
2017-06-20,43.36,9083673.0,43.36,43.3,44.59,44.26,57992.0
2017-06-21,43.62,9713578.0,43.62,43.09,43.82,43.41,57356.0
2017-06-22,43.34,7632051.0,43.34,43.08,43.92,43.69,44153.0
2017-06-23,44.09,13947666.0,44.09,43.41,44.3,43.45,50639.0
2017-06-26,43.25,10911376.0,43.25,42.91,44.65,44.47,65793.0
2017-06-27,41.89,12734948.0,41.89,41.83,43.1,43.0,85373.0
2017-06-28,42.69,14308333.0,42.69,41.42,42.775,41.9,81847.0
2017-06-29,41.44,12362485.0,41.44,40.79,42.46,42.35,83688.0
2017-06-30,41.31,10044092.0,41.31,41.09,42.02,41.81,56594.0
2017-07-03,41.01,6519489.0,41.01,40.98,41.96,41.33,43636.0
2017-07-05,42.12,10942496.0,42.12,41.25,42.23,41.28,72548.0
2017-07-06,42.11,11934414.0,42.11,41.56,42.59,41.72,87257.0
2017-07-07,43.54,10748709.0,43.54,42.36,43.795,42.36,65910.0
2017-07-10,44.21,10357926.0,44.21,43.51,44.5,43.6,66304.0
2017-07-11,45.4,13527360.0,45.4,44.04,45.5,44.21,82290.0
2017-07-12,45.28,10395825.0,45.28,44.84,45.98,45.68,64406.0
2017-07-13,45.3,9036082.0,45.3,44.9915,45.6569,45.28,56632.0
2017-07-14,46.12,8085735.0,46.12,45.35,46.13,45.38,47982.0
2017-07-17,46.15,7679902.0,46.15,45.68,46.45,46.2,49041.0
2017-07-18,46.62,6594152.0,46.62,45.68,46.63,46.02,37305.0
2017-07-19,47.18,9533910.0,47.18,46.7446,47.21,46.9,51295.0
2017-07-20,47.25,8782346.0,47.25,46.37,47.34,47.11,44135.0
2017-07-21,46.81,7564856.0,46.81,46.23,47.0,46.78,41621.0
2017-07-24,46.78,8495499.0,46.78,46.56,47.02,46.68,42731.0
2017-07-25,46.4,7271994.0,46.4,45.85,46.665,46.63,45568.0
2017-07-26,47.45,9319945.0,47.45,46.52,47.47,46.61,49434.0
2017-07-27,46.04,17049585.0,46.04,45.3,47.59,47.5,112543.0
2017-07-28,45.25,9584336.0,45.25,44.91,46.0,45.9,59284.0
2017-07-31,44.31,11121273.0,44.31,44.01,45.48,45.43,66459.0
2017-08-01,44.1,9457681.0,44.1,44.015,44.79,44.39,57556.0
2017-08-02,42.73,15631985.0,42.73,42.51,44.44,44.35,94138.0
2017-08-03,42.7,11475763.0,42.7,42.31,43.115,42.7,72780.0
2017-08-04,42.82,7523942.0,42.82,42.36,43.14,42.85,42381.0
2017-08-07,43.96,7758354.0,43.96,42.85,44.045,42.86,47157.0
2017-08-08,43.9,9798285.0,43.9,43.73,44.52,44.04,57536.0
2017-08-09,43.81,5634688.0,43.81,43.06,44.025,43.39,38731.0
2017-08-10,42.03,11299315.0,42.03,41.94,43.58,43.37,74131.0
2017-08-11,43.08,10761599.0,43.08,41.98,43.14,42.03,55869.0
2017-08-14,43.78,9764788.0,43.78,43.59,44.24,43.7,55685.0
2017-08-15,43.88,6253708.0,43.88,43.6,44.35,43.85,42164.0
2017-08-16,44.46,8490601.0,44.46,43.76,44.616,44.35,54784.0
2017-08-17,43.12,14360260.0,43.12,43.0,44.4,44.33,82507.0
2017-08-18,44.3,20996205.0,44.3,43.66,45.25,44.77,99153.0
2017-08-21,43.31,14374518.0,43.31,43.0211,44.26,44.11,77120.0
2017-08-22,44.45,8679516.0,44.45,43.61,44.53,43.62,52858.0
2017-08-23,44.02,8480893.0,44.02,43.83,44.2,44.2,51010.0
2017-08-24,43.72,9253141.0,43.72,43.25,44.31,44.3,54066.0
2017-08-25,43.31,6385750.0,43.31,43.12,43.95,43.79,42555.0
2017-08-28,43.63,5545131.0,43.63,43.36,43.721,43.36,37630.0
2017-08-29,44.02,6768784.0,44.02,42.933,44.19,43.02,43587.0
2017-08-30,45.47,8797177.0,45.47,43.99,45.49,44.0,53106.0
2017-08-31,45.12,9257406.0,45.12,44.84,45.47,45.43,44000.0
2017-09-01,45.1,5307511.0,45.1,44.76,45.2964,45.19,38690.0
