YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,11.43,55181960.0,11.43,11.02,11.65,11.42,113655.0
2017-01-04,11.43,40781190.0,11.43,11.235,11.5204,11.45,81662.0
2017-01-05,11.24,38855214.0,11.24,11.23,11.69,11.43,80821.0
2017-01-06,11.32,34453462.0,11.32,11.11,11.49,11.29,71949.0
2017-01-09,11.49,37304797.0,11.49,11.31,11.64,11.37,68790.0
2017-01-10,11.44,29201580.0,11.44,11.33,11.63,11.55,64583.0
2017-01-11,11.2,39377016.0,11.2,11.15,11.41,11.39,81250.0
2017-01-12,10.76,75244087.0,10.76,10.33,11.0376,10.98,161520.0
2017-01-13,10.58,38175455.0,10.58,10.56,10.87,10.79,80406.0
2017-01-17,9.82,70491802.0,9.82,9.78,10.23,10.17,143336.0
2017-01-18,9.88,51797592.0,9.88,9.42,10.1,9.54,110702.0
2017-01-19,9.77,46151282.0,9.77,9.75,10.25,9.92,98510.0
2017-01-20,9.75,27982147.0,9.75,9.67,9.96,9.88,62609.0
2017-01-23,9.91,27905681.0,9.91,9.68,10.06,9.68,60562.0
2017-01-24,10.44,43991188.0,10.44,9.95,10.49,9.95,88529.0
2017-01-25,10.35,61886202.0,10.35,10.15,10.975,10.74,123271.0
2017-01-26,10.52,35866570.0,10.52,10.3,10.66,10.35,83566.0
2017-01-27,10.67,32719173.0,10.67,10.52,10.73,10.6,67105.0
2017-01-30,10.61,37724991.0,10.61,10.3,10.68,10.62,75200.0
2017-01-31,10.37,53704949.0,10.37,10.22,10.67,10.6,106752.0
2017-02-01,12.06,165939778.0,12.06,10.81,12.14,10.9,315805.0
2017-02-02,12.28,116324549.0,12.28,11.95,12.66,11.98,215864.0
2017-02-03,12.24,60036740.0,12.24,12.04,12.5,12.37,111919.0
2017-02-06,13.63,140474084.0,13.63,12.38,13.7,12.46,271326.0
2017-02-07,13.29,158684069.0,13.29,13.06,14.27,14.05,325264.0
2017-02-08,13.56,75943602.0,13.56,13.08,13.75,13.21,153269.0
2017-02-09,13.42,73340432.0,13.42,13.4,13.89,13.78,143263.0
2017-02-10,13.58,54581343.0,13.58,13.25,13.86,13.86,122157.0
2017-02-13,13.49,57413113.0,13.49,13.38,13.95,13.7,122144.0
2017-02-14,13.26,40479052.0,13.26,13.19,13.49,13.43,90756.0
2017-02-15,13.3,33722253.0,13.3,13.15,13.44,13.2,78902.0
2017-02-16,12.97,52502531.0,12.97,12.84,13.35,13.25,115324.0
2017-02-17,13.13,40888378.0,13.13,12.6,13.14,12.79,83497.0
2017-02-21,14.0,66393863.0,14.0,13.4,14.1,13.41,135177.0
2017-02-22,14.28,71505039.0,14.28,14.04,14.5,14.3,161235.0
2017-02-23,14.32,80317617.0,14.32,13.82,14.45,14.2,182804.0
2017-02-24,14.12,46293014.0,14.12,13.86,14.32,14.0,106089.0
2017-02-27,15.2,95422869.0,15.2,14.27,15.35,14.27,204195.0
2017-02-28,14.46,141782979.0,14.46,14.35,15.55,15.45,290580.0
2017-03-01,14.96,73450388.0,14.96,14.52,15.09,15.08,157168.0
2017-03-02,13.9,104331930.0,13.9,13.87,14.78,14.59,230076.0
2017-03-03,13.03,163646410.0,13.03,12.79,13.58,13.55,351475.0
2017-03-06,13.04,117192621.0,13.04,12.38,13.34,13.0,229473.0
2017-03-07,13.05,76666266.0,13.05,12.79,13.37,13.07,172364.0
2017-03-08,13.22,71294747.0,13.22,13.1,13.55,13.25,136837.0
2017-03-09,13.33,45244233.0,13.33,13.11,13.45,13.45,101741.0
2017-03-10,13.91,65142157.0,13.91,13.45,13.93,13.5,138895.0
2017-03-13,14.28,73082646.0,14.28,14.18,14.68,14.475,172316.0
2017-03-14,14.1,52558505.0,14.1,13.6401,14.15,14.0,118681.0
2017-03-15,13.98,55183561.0,13.98,13.62,14.06,14.03,126065.0
2017-03-16,13.65,44494793.0,13.65,13.65,13.88,13.79,108058.0
2017-03-17,13.49,224892427.0,13.49,13.36,13.74,13.62,133095.0
2017-03-20,14.4,91565591.0,14.4,13.54,14.5,13.68,171194.0
2017-03-21,13.82,72553225.0,13.82,13.78,14.49,14.4,159707.0
2017-03-22,14.1,61239502.0,14.1,13.55,14.145,13.7,132221.0
2017-03-23,13.79,44549945.0,13.79,13.77,14.115,13.96,99098.0
2017-03-24,13.7,50099472.0,13.7,13.54,14.18,14.16,126805.0
2017-03-27,13.7,42686840.0,13.7,13.21,13.78,13.35,90930.0
2017-03-28,13.69,37420153.0,13.69,13.55,13.86,13.75,76696.0
2017-03-29,13.71,37863470.0,13.71,13.63,13.87,13.74,77130.0
