YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,49.22,1965621.0,49.22,48.55,49.37,49.04,
2017-01-04,49.81,2478457.0,49.81,49.295,50.07,49.65,
2017-01-05,49.18,1433082.0,49.18,48.66,49.75,49.57,
2017-01-06,50.07,1534143.0,50.07,49.18,50.19,49.41,
2017-01-09,49.63,1500049.0,49.63,49.29,50.12,49.89,
2017-01-10,49.87,1411915.0,49.87,49.35,50.065,49.74,
2017-01-11,49.98,1121056.0,49.98,49.615,50.08,49.78,
2017-01-12,50.44,1410343.0,50.44,49.54,50.51,49.89,
2017-01-13,50.66,1471607.0,50.66,50.55,51.0,50.55,
2017-01-17,50.28,1357191.0,50.28,49.93,50.655,50.54,
2017-01-18,50.71,2030767.0,50.71,50.1875,50.77,50.39,
2017-01-19,50.68,1685829.0,50.68,50.435,51.18,50.91,
2017-01-20,50.81,1224286.0,50.81,50.63,51.18,50.95,
2017-01-23,50.46,1332870.0,50.46,50.06,50.98,50.63,
2017-01-24,51.18,1025976.0,51.18,50.49,51.35,50.74,
2017-01-25,52.4,2018225.0,52.4,51.51,52.43,51.62,
2017-01-26,52.18,1880058.0,52.18,51.99,52.825,52.38,
2017-01-27,51.81,1343702.0,51.81,51.625,52.43,52.18,
2017-01-30,51.39,1470947.0,51.39,50.9,52.04,51.81,
2017-01-31,51.1,1688188.0,51.1,50.85,51.46,51.38,
2017-02-01,51.09,1706087.0,51.09,50.66,51.56,51.35,
2017-02-02,51.04,1025126.0,51.04,50.44,51.08,50.78,
2017-02-03,51.51,2067305.0,51.51,51.08,51.7,51.42,
2017-02-06,51.66,3851875.0,51.66,51.19,51.99,51.38,
2017-02-07,51.68,4780554.0,51.68,51.29,52.87,52.01,
2017-02-08,52.35,2368437.0,52.35,51.31,52.48,51.71,
2017-02-09,53.13,1850717.0,53.13,52.47,53.44,52.56,
2017-02-10,53.52,1712253.0,53.52,53.06,53.65,53.24,
2017-02-13,53.67,1741678.0,53.67,53.51,53.89,53.75,
2017-02-14,53.58,2152933.0,53.58,53.2,53.63,53.48,
2017-02-15,54.28,2007738.0,54.28,53.62,54.395,54.0,
2017-02-16,54.37,1763421.0,54.37,53.92,54.43,54.27,
2017-02-17,54.5,1719542.0,54.5,53.91,54.5,54.1,
2017-02-21,55.15,6019975.0,55.15,54.36,55.18,54.48,
2017-02-22,55.31,2534742.0,55.31,54.75,55.32,54.92,
2017-02-23,54.49,1771289.0,54.49,54.16,55.48,55.32,
2017-02-24,54.63,997697.0,54.63,54.06,54.66,54.16,
2017-02-27,54.5,1469224.0,54.5,54.4,54.81,54.72,
2017-02-28,53.97,1337463.0,53.97,53.83,54.67,54.52,
2017-03-01,55.26,1527497.0,55.26,54.75,55.37,54.75,
2017-03-02,54.7,1141382.0,54.7,54.66,55.31,55.31,
2017-03-03,54.85,1913179.0,54.85,54.43,55.02,54.76,
2017-03-06,54.61,1043407.0,54.61,54.284,54.735,54.36,
2017-03-07,54.51,1041344.0,54.51,54.44,54.89,54.74,
