YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,150.73,3640901.0,150.73,147.12,151.0,147.86,36433.0
2017-01-04,152.87,3945903.0,152.87,151.77,153.72,152.09,37555.0
2017-01-05,152.98,3441661.0,152.98,151.51,153.4,152.72,30507.0
2017-01-06,156.78,9900906.0,156.78,156.67,161.0,159.88,76170.0
2017-01-09,158.84,4247693.0,158.84,156.63,158.945,157.01,41240.0
2017-01-10,158.76,3324424.0,158.76,157.24,159.13,158.49,33971.0
2017-01-11,156.62,4821283.0,156.62,154.5,159.16,159.16,50583.0
2017-01-12,155.36,3234809.0,155.36,154.56,156.15,155.44,33473.0
2017-01-13,156.12,2637514.0,156.12,154.89,157.21,155.28,24842.0
2017-01-17,154.8,3404875.0,154.8,153.53,156.12,155.14,31709.0
2017-01-18,155.77,2432740.0,155.77,154.51,155.94,155.69,22030.0
2017-01-19,153.8,2572572.0,153.8,153.254,155.6915,155.13,26543.0
2017-01-20,154.67,3067372.0,154.67,153.82,155.35,154.71,27150.0
2017-01-23,152.72,2458158.0,152.72,152.4,154.55,154.21,24941.0
2017-01-24,151.85,3027683.0,151.85,150.375,153.0,152.82,29218.0
2017-01-25,154.1,3482641.0,154.1,151.77,154.82,152.53,35148.0
2017-01-26,152.98,3366902.0,152.98,152.9,155.8,155.0,34255.0
2017-01-27,157.16,4885184.0,157.16,152.7601,157.5,153.23,43905.0
2017-01-30,154.43,3758356.0,154.43,153.77,157.18,157.105,36552.0
2017-01-31,156.68,3351306.0,156.68,153.15,156.96,153.7,34189.0
2017-02-01,159.67,3924817.0,159.67,157.05,159.75,158.59,39537.0
2017-02-02,159.58,4445428.0,159.58,156.91,159.94,159.73,39241.0
2017-02-03,167.53,7368231.0,167.53,164.86,167.85,166.1,61204.0
2017-02-06,166.58,4389155.0,166.58,165.13,166.89,166.18,40837.0
2017-02-07,166.82,3584326.0,166.82,165.6,167.72,167.0,31353.0
2017-02-08,168.12,3493436.0,168.12,166.32,168.35,166.5,33619.0
2017-02-09,167.47,4281382.0,167.47,165.5,167.79,165.75,35158.0
2017-02-10,167.89,2931238.0,167.89,167.03,168.31,167.8,27757.0
2017-02-13,167.66,3602846.0,167.66,166.68,168.26,167.72,26051.0
2017-02-14,168.05,3116698.0,168.05,165.57,168.07,167.07,29132.0
2017-02-15,171.79,4058811.0,171.79,167.0,172.0,167.32,32370.0
2017-02-16,172.11,2660644.0,172.11,170.3001,172.17,171.56,28249.0
2017-02-17,173.29,4154885.0,173.29,168.89,173.36,171.35,32060.0
2017-02-21,173.14,3941221.0,173.14,171.86,173.5,172.85,30125.0
2017-02-22,172.61,2579797.0,172.61,171.8901,174.7,172.33,24485.0
2017-02-23,174.01,2191426.0,174.01,171.89,174.01,172.75,24534.0
2017-02-24,174.56,2677307.0,174.56,172.48,174.72,173.29,29971.0
2017-02-27,176.13,2850737.0,176.13,173.71,176.27,174.21,28766.0
2017-02-28,176.53,3370380.0,176.53,175.42,178.25,175.46,30762.0
2017-03-01,178.24,3532349.0,178.24,175.76,179.68,178.0,37768.0
2017-03-02,178.07,3493003.0,178.07,176.82,178.86,177.72,33445.0
2017-03-03,180.2,2900888.0,180.2,177.55,180.53,178.46,29805.0
2017-03-06,179.46,3280087.0,179.46,178.16,180.34,179.55,28031.0
2017-03-07,177.38,3328877.0,177.38,176.28,178.59,177.4,33388.0
2017-03-08,177.78,2320991.0,177.78,177.14,178.76,177.25,25252.0
2017-03-09,178.92,2505311.0,178.92,177.07,179.12,178.05,27158.0
2017-03-10,181.44,4589257.0,181.44,179.11,181.93,179.47,32496.0
2017-03-13,181.05,2530960.0,181.05,180.32,182.0,181.93,25743.0
2017-03-14,180.12,2746605.0,180.12,179.63,181.56,180.42,30967.0
2017-03-15,182.6,4197296.0,182.6,180.31,184.21,180.31,42450.0
2017-03-16,180.11,6014375.0,180.11,178.02,181.84,181.6,55650.0
2017-03-17,168.61,23936908.0,168.61,165.95,171.59,167.37,152797.0
2017-03-20,169.24,5831641.0,169.24,167.76,169.71,169.63,48739.0
2017-03-21,166.85,4922665.0,166.85,166.49,170.21,170.05,49845.0
2017-03-22,167.45,5070374.0,167.45,166.59,167.98,167.93,43920.0
2017-03-23,166.04,4432154.0,166.04,165.57,168.02,167.48,36886.0
2017-03-24,165.74,3175587.0,165.74,165.08,166.925,166.69,29644.0
2017-03-27,164.91,4733979.0,164.91,163.0,166.61,164.77,37809.0
2017-03-28,164.71,6526846.0,164.71,163.73,166.26,164.11,44799.0
2017-03-29,163.06,4140780.0,163.06,162.94,165.22,164.47,35406.0
2017-03-30,164.38,2262328.0,164.38,163.21,164.8,164.07,23804.0
2017-03-31,164.07,2811836.0,164.07,163.85,165.48,164.32,28071.0
2017-04-03,163.89,3047953.0,163.89,163.52,165.02,164.63,30805.0
2017-04-04,164.36,2239434.0,164.36,163.12,164.49,163.78,24874.0
2017-04-05,162.24,3542256.0,162.24,161.68,164.76,163.27,35687.0
2017-04-06,162.25,3024172.0,162.25,161.61,163.45,162.2,29728.0
2017-04-07,163.38,2204383.0,163.38,162.25,164.24,162.91,24014.0
2017-04-10,162.79,1772029.0,162.79,162.62,164.24,163.85,18233.0
2017-04-11,163.11,1990300.0,163.11,161.56,163.4,162.89,23985.0
2017-04-12,163.05,2248673.0,163.05,162.16,164.1,164.08,25020.0
2017-04-13,161.61,2568793.0,161.61,161.33,163.63,163.28,28847.0
2017-04-17,162.11,2364877.0,162.11,161.26,162.52,161.34,21734.0
2017-04-18,161.25,2532118.0,161.25,160.28,161.93,161.93,26978.0
2017-04-19,161.26,2344063.0,161.26,161.13,162.64,162.1,23775.0
2017-04-20,162.04,2070152.0,162.04,161.01,162.77,161.05,21660.0
2017-04-21,160.41,2906923.0,160.41,160.25,162.73,162.15,25246.0
2017-04-24,163.14,3498403.0,163.14,161.9,163.6,162.5,27294.0
2017-04-25,164.7,3529408.0,164.7,163.4,165.3,163.52,28839.0
2017-04-26,164.61,4175536.0,164.61,164.3397,165.61,165.61,38729.0
2017-04-27,162.72,5699193.0,162.72,160.0,163.4327,160.13,47730.0
2017-04-28,163.32,2942158.0,163.32,161.53,163.48,162.39,27705.0
