YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,97.06,548181.0,97.06,96.675,98.29,97.54,
2017-01-04,101.73,2122051.0,101.73,97.45,102.28,97.49,
2017-01-05,101.94,977256.0,101.94,101.23,103.0,101.99,
2017-01-06,101.28,473835.0,101.28,100.67,102.61,102.11,
2017-01-09,99.52,753348.0,99.52,98.62,100.935,100.87,
2017-01-10,100.42,420613.0,100.42,99.56,101.3,99.94,
2017-01-11,99.47,484748.0,99.47,98.12,100.93,100.93,
2017-01-12,99.0,590813.0,99.0,96.44,99.99,99.99,
2017-01-13,100.27,367759.0,100.27,99.43,101.04,99.43,
2017-01-17,88.23,4583330.0,88.23,87.33,94.34,94.0,
2017-01-18,88.71,1240889.0,88.71,87.6701,91.0,87.9,
2017-01-19,89.72,632356.0,89.72,88.67,89.92,89.38,
2017-01-20,89.8,732202.0,89.8,89.41,90.9,90.62,
2017-01-23,89.67,744108.0,89.67,87.5405,89.88,89.81,
2017-01-24,92.47,695625.0,92.47,90.15,92.6,90.2,
2017-01-25,93.08,497486.0,93.08,92.07,94.75,93.92,
2017-01-26,92.91,319623.0,92.91,91.64,93.59,93.06,
2017-01-27,93.78,349636.0,93.78,92.35,93.94,92.58,
2017-01-30,93.67,367927.0,93.67,92.425,94.06,93.62,
2017-01-31,94.0,407090.0,94.0,92.78,94.2,93.84,
2017-02-01,94.28,455253.0,94.28,92.88,94.8,94.17,
2017-02-02,94.88,588854.0,94.88,93.65,95.64,94.28,
2017-02-03,95.52,441517.0,95.52,93.69,95.805,95.03,
2017-02-06,95.51,358550.0,95.51,94.93,96.12,95.26,
2017-02-07,95.99,280302.0,95.99,95.01,96.49,95.61,
2017-02-08,97.46,519519.0,97.46,95.19,98.39,95.99,
2017-02-09,97.81,461118.0,97.81,97.45,98.98,97.45,
2017-02-10,98.78,407855.0,98.78,97.27,99.2,98.25,
2017-02-13,99.9,843504.0,99.9,98.62,100.45,98.78,
2017-02-14,100.72,526315.0,100.72,99.35,100.8,99.89,
2017-02-15,100.67,715620.0,100.67,99.59,101.32,100.09,
2017-02-16,100.17,1763278.0,100.17,99.515,102.1899,100.67,
2017-02-17,119.06,5910420.0,119.06,110.31,119.45,111.0,
2017-02-21,122.62,1664556.0,122.62,118.56,123.12,118.95,
2017-02-22,121.8,859981.0,121.8,120.75,122.98,121.3,
2017-02-23,117.85,1142498.0,117.85,117.65,122.49,122.0,
2017-02-24,120.59,898330.0,120.59,115.855,120.65,117.0,
2017-02-27,120.39,621628.0,120.39,119.88,121.68,121.47,
2017-02-28,118.99,649141.0,118.99,118.75,120.95,119.96,
2017-03-01,120.64,777961.0,120.64,118.78,121.11,120.0,
2017-03-02,119.49,470016.0,119.49,119.34,121.75,120.51,
2017-03-03,119.97,501171.0,119.97,118.6,120.26,119.51,
2017-03-06,119.43,734166.0,119.43,117.951,120.73,118.97,
2017-03-07,121.08,931434.0,121.08,118.705,122.6,119.79,
2017-03-08,123.53,1433255.0,123.53,120.4901,125.0,121.51,
2017-03-09,123.09,552194.0,123.09,121.79,124.5,123.22,
2017-03-10,124.17,581916.0,124.17,123.36,124.49,124.48,
2017-03-13,127.47,1121992.0,127.47,124.81,127.64,125.0,
2017-03-14,127.0,729366.0,127.0,126.01,127.837,127.53,
2017-03-15,128.28,1130124.0,128.28,126.27,128.49,128.0,
2017-03-16,127.14,895925.0,127.14,126.99,128.93,128.84,
2017-03-17,128.1,1029157.0,128.1,126.7975,128.56,127.52,
2017-03-20,130.33,715363.0,130.33,129.46,131.43,129.69,
2017-03-21,127.97,1108878.0,127.97,127.63,131.32,131.28,
2017-03-22,130.54,882278.0,130.54,128.2584,130.75,128.45,
2017-03-23,130.08,561437.0,130.08,129.4,131.12,130.38,
2017-03-24,131.77,633812.0,131.77,130.031,131.98,131.06,
2017-03-27,132.18,546564.0,132.18,130.15,132.55,131.35,
2017-03-28,133.97,767504.0,133.97,132.1001,134.18,132.26,
2017-03-29,133.3,517385.0,133.3,132.27,134.65,134.04,
2017-03-30,132.81,408033.0,132.81,132.66,134.25,133.71,
2017-03-31,132.27,738214.0,132.27,131.65,133.15,132.93,
2017-04-03,131.7,1039228.0,131.7,128.66,132.46,131.73,
2017-04-04,133.2,1021258.0,133.2,130.2,133.71,130.75,
2017-04-05,134.0,1571667.0,134.0,133.26,134.51,133.9,
2017-04-06,134.4,917173.0,134.4,132.545,135.2695,133.6,
2017-04-07,132.45,611239.0,132.45,132.23,133.7,132.87,
2017-04-10,133.27,420271.0,133.27,132.05,134.1,132.45,
2017-04-11,133.33,497314.0,133.33,131.47,134.25,132.98,
2017-04-12,131.47,727444.0,131.47,130.09,133.75,133.75,
2017-04-13,131.36,326639.0,131.36,131.16,133.6119,131.85,
2017-04-17,132.75,480687.0,132.75,131.12,133.2,131.41,
2017-04-18,132.96,322423.0,132.96,132.08,133.65,132.75,
2017-04-19,133.83,450807.0,133.83,133.11,134.8,133.42,
2017-04-20,136.47,722207.0,136.47,134.04,137.09,135.15,
2017-04-21,136.66,421580.0,136.66,135.02,136.75,136.47,
2017-04-24,139.0,669916.0,139.0,136.91,139.39,138.1,
2017-04-25,139.42,595243.0,139.42,138.66,140.32,139.2,
2017-04-26,139.36,704078.0,139.36,137.87,139.98,139.6,
2017-04-27,139.65,630023.0,139.65,137.0,139.84,137.0,
2017-04-28,139.64,923972.0,139.64,138.36,139.9599,139.21,
2017-05-01,141.1,705701.0,141.1,138.611,141.918,139.51,
2017-05-02,141.19,949528.0,141.19,138.95,141.91,141.54,
2017-05-03,140.68,679084.0,140.68,139.71,141.85,140.99,
2017-05-04,140.2,1610516.0,140.2,138.38,142.9,141.75,
2017-05-05,144.72,2258010.0,144.72,135.21,144.94,138.95,
2017-05-08,142.75,890266.0,142.75,141.32,147.55,145.0,
2017-05-09,144.93,692686.0,144.93,142.62,145.58,143.51,
2017-05-10,145.43,713168.0,145.43,143.78,146.03,145.66,
2017-05-11,146.02,563630.0,146.02,144.26,146.45,145.01,
2017-05-12,146.82,476868.0,146.82,144.765,147.15,145.68,
2017-05-15,147.42,582059.0,147.42,146.51,148.129,147.39,
2017-05-16,147.45,1180908.0,147.45,146.1,148.6,148.12,
2017-05-17,142.36,907234.0,142.36,142.23,146.87,145.99,
2017-05-18,143.48,803916.0,143.48,138.8,143.85,140.93,
2017-05-19,144.07,621899.0,144.07,143.64,145.4,144.82,
2017-05-22,143.15,708070.0,143.15,142.246,144.3,143.42,
2017-05-23,143.2,814410.0,143.2,141.05,144.03,142.68,
2017-05-24,144.28,407620.0,144.28,143.21,144.33,143.59,
2017-05-25,148.06,992116.0,148.06,144.86,148.23,145.0,
2017-05-26,146.45,619146.0,146.45,145.07,148.4,148.06,
2017-05-30,147.22,653309.0,147.22,145.5,147.46,146.45,
2017-05-31,147.38,2609339.0,147.38,145.33,148.04,147.8,
2017-06-01,148.52,1573794.0,148.52,144.31,148.95,147.51,
2017-06-02,152.26,1281191.0,152.26,148.13,152.54,148.63,
2017-06-05,154.33,928451.0,154.33,152.26,154.89,152.26,
2017-06-06,155.35,648386.0,155.35,153.26,157.2683,153.56,
2017-06-07,156.05,624889.0,156.05,154.85,156.77,156.24,
2017-06-08,157.27,585423.0,157.27,154.725,157.32,155.54,
2017-06-09,149.46,1015677.0,149.46,147.01,158.5679,157.56,
2017-06-12,149.76,1153668.0,149.76,143.0,150.63,147.48,
2017-06-13,151.78,630384.0,151.78,149.39,153.3699,150.95,
2017-06-14,151.05,550999.0,151.05,148.9251,153.38,151.85,
2017-06-15,151.23,539519.0,151.23,147.905,151.33,149.37,
2017-06-16,151.58,1558087.0,151.58,151.05,153.15,152.37,
2017-06-19,156.66,819145.0,156.66,153.45,157.66,153.45,
2017-06-20,155.03,585908.0,155.03,154.8,157.9,156.07,
2017-06-21,158.16,834130.0,158.16,155.245,158.84,155.36,
2017-06-22,158.78,540253.0,158.78,156.0,159.48,158.0,
2017-06-23,161.62,1527580.0,161.62,158.9,162.97,159.08,
2017-06-26,157.78,913695.0,157.78,156.0,162.28,161.74,
2017-06-27,152.82,755924.0,152.82,152.52,158.5807,157.38,
2017-06-28,155.27,738700.0,155.27,151.771,155.82,153.97,
2017-06-29,149.95,730676.0,149.95,147.71,155.18,154.78,
2017-06-30,149.79,547197.0,149.79,148.77,151.21,150.43,
2017-07-03,146.89,357828.0,146.89,146.35,151.1,151.06,
2017-07-05,148.62,920458.0,148.62,147.1,149.52,147.1,
2017-07-06,145.43,634642.0,145.43,144.19,147.68,146.5,
2017-07-07,148.77,722760.0,148.77,146.05,149.16,146.05,
2017-07-10,149.35,672804.0,149.35,147.92,150.78,148.86,
2017-07-11,153.16,550435.0,153.16,149.57,153.2591,149.57,
2017-07-12,155.38,612683.0,155.38,154.27,156.06,155.0,
2017-07-13,154.77,375271.0,154.77,153.65,156.64,155.87,
2017-07-14,155.11,300987.0,155.11,154.12,155.69,155.02,
2017-07-17,155.22,372297.0,155.22,152.8,155.68,155.31,
2017-07-18,155.99,419442.0,155.99,154.01,156.1263,154.85,
2017-07-19,157.63,441505.0,157.63,156.73,159.0,156.8,
2017-07-20,156.8,374410.0,156.8,155.27,158.61,158.31,
2017-07-21,152.92,1181292.0,152.92,149.0,154.0,151.0,
2017-07-24,155.22,518628.0,155.22,152.02,156.18,152.5,
2017-07-25,158.0,405232.0,158.0,153.79,158.07,155.06,
2017-07-26,157.2,575572.0,157.2,157.0,159.0,158.35,
2017-07-27,152.04,745016.0,152.04,150.06,158.79,158.09,
2017-07-28,150.4,991906.0,150.4,149.41,153.57,151.05,
2017-07-31,149.29,1009917.0,149.29,148.49,151.764,151.2,
2017-08-01,147.8,717432.0,147.8,147.3398,150.43,150.43,
2017-08-02,143.46,1162516.0,143.46,142.66,148.97,148.96,
2017-08-03,144.05,1926247.0,144.05,141.78,145.035,143.82,
2017-08-04,172.05,4997689.0,172.05,166.5,175.4,167.6,
2017-08-07,173.75,1650937.0,173.75,169.52,176.5,170.05,
2017-08-08,169.94,1171940.0,169.94,169.93,174.8999,173.69,
2017-08-09,167.46,1119744.0,167.46,167.11,169.88,168.99,
