YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,93.35,345582.0,93.35,92.75,93.66,93.12,4115.0
2017-01-04,94.44,427463.0,94.44,91.89,94.52,93.27,4907.0
2017-01-05,94.71,433757.0,94.71,93.9001,95.22,94.12,4106.0
2017-01-06,93.95,528600.0,93.95,93.04,94.46,93.44,5702.0
2017-01-09,94.29,370916.0,94.29,93.74,94.7,93.95,4007.0
2017-01-10,94.19,559850.0,94.19,94.06,94.95,94.59,5142.0
2017-01-11,93.7,575430.0,93.7,93.39,94.1294,93.88,5919.0
2017-01-12,93.89,447109.0,93.89,92.58,94.16,93.58,5027.0
2017-01-13,94.03,360698.0,94.03,93.83,94.42,93.86,3935.0
2017-01-17,93.5,486845.0,93.5,93.215,94.15,93.47,5552.0
2017-01-18,93.57,390328.0,93.57,93.32,94.11,93.93,4828.0
2017-01-19,93.49,467460.0,93.49,93.28,94.37,93.94,4563.0
2017-01-20,93.3,350403.0,93.3,92.9,94.07,93.77,3890.0
2017-01-23,93.51,248799.0,93.51,93.01,93.64,93.01,3165.0
2017-01-24,94.48,479826.0,94.48,93.69,94.66,93.91,3836.0
2017-01-25,94.95,289679.0,94.95,94.71,95.32,94.99,2780.0
2017-01-26,94.85,265840.0,94.85,94.56,95.43,95.02,3355.0
2017-01-27,93.95,242072.0,93.95,93.62,95.26,94.99,2503.0
2017-01-30,93.48,351747.0,93.48,92.755,93.63,93.55,3296.0
2017-01-31,93.26,422692.0,93.26,92.53,93.87,93.46,4144.0
2017-02-01,93.24,424032.0,93.24,92.33,94.47,93.46,5504.0
2017-02-02,93.85,474086.0,93.85,93.2,94.02,93.2,4183.0
2017-02-03,95.17,523917.0,95.17,93.19,95.43,93.99,3397.0
2017-02-06,95.05,388211.0,95.05,94.69,95.4899,95.12,3671.0
2017-02-07,95.26,415923.0,95.26,94.2,95.38,95.38,4424.0
2017-02-08,95.23,273366.0,95.23,94.52,95.32,95.21,2941.0
2017-02-09,96.32,325429.0,96.32,95.09,96.76,95.24,3624.0
2017-02-10,96.86,485038.0,96.86,96.02,97.25,96.34,4671.0
2017-02-13,97.17,473256.0,97.17,97.0,97.88,97.0,3901.0
2017-02-14,98.36,469530.0,98.36,96.68,98.38,97.2,4311.0
2017-02-15,99.46,453787.0,99.46,97.78,99.72,98.45,5104.0
2017-02-16,100.43,590540.0,100.43,99.5,100.57,99.58,5742.0
2017-02-17,100.27,550025.0,100.27,99.5,100.41,100.24,5867.0
2017-02-21,101.62,552541.0,101.62,99.31,102.46,100.0,6256.0
2017-02-22,101.08,603226.0,101.08,100.51,102.08,101.33,6206.0
2017-02-23,104.15,1203389.0,104.15,101.08,106.0,101.08,11216.0
2017-02-24,104.5,627896.0,104.5,102.1,104.53,103.28,6898.0
2017-02-27,107.25,825036.0,107.25,104.21,107.64,104.36,8774.0
2017-02-28,106.76,837422.0,106.76,106.31,107.77,107.25,8117.0
2017-03-01,108.36,794775.0,108.36,107.28,108.92,107.57,7837.0
2017-03-02,106.06,987139.0,106.06,105.97,108.4,108.07,10319.0
2017-03-03,106.3,481247.0,106.3,105.28,106.92,105.79,5317.0
