YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,112.08,839019.0,112.08,111.44,112.4,112.09,
2017-01-04,113.31,962435.0,113.31,112.19,113.54,112.43,
2017-01-05,113.48,792293.0,113.48,112.31,113.56,112.97,
2017-01-06,114.35,642056.0,114.35,113.55,114.84,113.97,
2017-01-09,113.4,727165.0,113.4,113.4,114.26,113.91,
2017-01-10,112.63,844153.0,112.63,112.51,113.82,113.38,
2017-01-11,112.67,1079476.0,112.67,111.64,112.9,112.39,
2017-01-12,112.67,695309.0,112.67,111.45,112.79,112.03,
2017-01-13,113.29,598511.0,113.29,113.04,113.81,113.04,
2017-01-17,113.62,901524.0,113.62,112.25,114.07,112.78,
2017-01-18,114.05,960299.0,114.05,113.24,114.23,114.0,
2017-01-19,112.28,1982609.0,112.28,112.25,115.0,114.32,
2017-01-20,112.07,1580008.0,112.07,111.32,112.7,112.5,
2017-01-23,111.7,763589.0,111.7,111.3,112.37,111.97,
2017-01-24,112.21,1251486.0,112.21,111.82,112.72,112.26,
2017-01-25,112.84,1361372.0,112.84,112.12,113.41,113.0,
2017-01-26,112.95,930454.0,112.95,112.59,113.285,112.94,
2017-01-27,113.39,854330.0,113.39,112.39,113.39,113.18,
2017-01-30,112.07,876171.0,112.07,110.892,112.85,112.85,
2017-01-31,112.7,1199346.0,112.7,111.48,112.71,111.94,
2017-02-01,111.17,1750834.0,111.17,111.02,112.79,112.75,
2017-02-02,112.48,1334637.0,112.48,109.82,112.51,110.6,
2017-02-03,114.06,1426621.0,114.06,112.2,114.23,112.78,
2017-02-06,114.08,782981.0,114.08,113.02,114.38,113.27,
2017-02-07,114.25,808742.0,114.25,114.02,114.64,114.61,
2017-02-08,114.36,752781.0,114.36,113.2201,114.43,113.71,
2017-02-09,115.17,1028434.0,115.17,114.3,115.2,114.57,
2017-02-10,115.59,1213365.0,115.59,114.0,117.7599,117.38,
2017-02-13,115.87,950213.0,115.87,115.28,116.155,115.53,
2017-02-14,115.85,793066.0,115.85,114.96,116.04,116.0,
2017-02-15,116.56,739731.0,116.56,115.3,116.7,115.74,
2017-02-16,117.28,719443.0,117.28,116.45,117.36,116.7,
2017-02-17,117.53,962814.0,117.53,115.9,117.64,116.89,
2017-02-21,115.57,1471113.0,115.57,115.22,117.8,117.38,
2017-02-22,115.6,1091063.0,115.6,114.92,116.43,115.61,
2017-02-23,116.19,898247.0,116.19,115.57,116.48,115.85,
2017-02-24,116.56,712667.0,116.56,115.16,116.56,115.16,
2017-02-27,116.37,494192.0,116.37,116.02,117.18,116.82,
2017-02-28,115.65,1212429.0,115.65,115.3232,116.33,116.12,
2017-03-01,117.51,917009.0,117.51,116.45,117.889,117.5,
2017-03-02,116.46,783869.0,116.46,116.33,117.66,117.55,
2017-03-03,116.48,762400.0,116.48,116.01,116.79,116.37,
2017-03-06,115.71,729556.0,115.71,115.66,116.6,115.8,
2017-03-07,115.54,774063.0,115.54,115.03,115.99,115.52,
2017-03-08,115.62,1046205.0,115.62,114.95,116.205,116.0,
2017-03-09,116.33,1175250.0,116.33,115.49,116.795,115.76,
2017-03-10,117.86,1582594.0,117.86,116.3,117.95,116.6,
2017-03-13,118.94,1496209.0,118.94,118.0,119.05,118.0,
2017-03-14,118.42,782523.0,118.42,118.13,118.877,118.71,
2017-03-15,119.02,1248780.0,119.02,118.18,119.17,118.5,
2017-03-16,119.24,960758.0,119.24,118.55,119.42,119.0,
2017-03-17,118.91,1203241.0,118.91,118.76,119.88,119.55,
2017-03-20,118.18,736303.0,118.18,118.0,118.965,118.82,
2017-03-21,117.57,1143339.0,117.57,117.2,118.95,118.95,
2017-03-22,117.71,893302.0,117.71,117.07,118.05,117.51,
2017-03-23,117.48,841943.0,117.48,117.3201,118.46,117.68,
2017-03-24,117.54,807587.0,117.54,117.08,118.17,117.68,
2017-03-27,118.19,1132373.0,118.19,116.05,118.47,116.41,
2017-03-28,118.88,1014705.0,118.88,117.75,119.35,117.88,
2017-03-29,117.76,692645.0,117.76,117.69,118.85,118.38,
2017-03-30,118.48,1042616.0,118.48,117.0,118.65,117.48,
2017-03-31,118.69,1183798.0,118.69,117.74,119.02,117.88,
2017-04-03,118.33,1192907.0,118.33,117.6875,119.0,118.59,
2017-04-04,118.9,927313.0,118.9,117.41,118.92,118.13,
2017-04-05,119.23,1056429.0,119.23,119.01,120.4,119.49,
2017-04-06,119.39,826725.0,119.39,118.38,119.78,119.24,
2017-04-07,119.64,1223869.0,119.64,118.95,120.27,119.04,
2017-04-10,119.76,975578.0,119.76,119.22,120.31,119.77,
2017-04-11,119.73,795948.0,119.73,118.62,119.77,119.22,
2017-04-12,118.67,896991.0,118.67,118.34,119.48,119.16,
2017-04-13,118.1,651841.0,118.1,118.1,119.03,118.47,
2017-04-17,119.05,957183.0,119.05,118.16,119.195,118.16,
2017-04-18,118.86,832704.0,118.86,118.26,119.13,118.42,
2017-04-19,119.12,926687.0,119.12,118.705,119.6,119.36,
2017-04-20,120.56,1208659.0,120.56,118.96,121.05,119.45,
2017-04-21,118.43,1327024.0,118.43,118.3901,120.395,120.14,
2017-04-24,119.04,2034649.0,119.04,118.76,120.29,119.51,
2017-04-25,120.07,719178.0,120.07,119.38,120.25,119.81,
2017-04-26,120.07,768121.0,120.07,119.93,120.87,120.07,
2017-04-27,120.14,847848.0,120.14,119.61,120.57,120.02,
2017-04-28,119.84,869777.0,119.84,119.6,120.49,119.9,
2017-05-01,120.29,1049313.0,120.29,119.74,120.95,119.91,
2017-05-02,119.92,1055852.0,119.92,119.67,121.05,120.54,
2017-05-03,120.34,620340.0,120.34,119.49,120.5854,119.9,
2017-05-04,121.2,824019.0,121.2,120.64,121.54,120.82,
2017-05-05,122.27,1207042.0,122.27,121.39,122.39,121.6,
2017-05-08,122.81,1606326.0,122.81,122.23,123.0,122.54,
2017-05-09,124.3,1978410.0,124.3,123.43,125.37,124.87,
2017-05-10,124.09,1486823.0,124.09,123.835,124.51,124.22,
2017-05-11,124.3,1403818.0,124.3,123.58,124.7,123.95,
2017-05-12,124.24,1224865.0,124.24,123.45,124.6,123.52,
2017-05-15,125.76,1080815.0,125.76,124.06,125.93,124.19,
2017-05-16,125.98,1009861.0,125.98,125.38,126.14,126.0,
2017-05-17,125.98,1543366.0,125.98,124.7022,126.69,124.77,
2017-05-18,126.69,1612441.0,126.69,125.47,127.37,125.99,
2017-05-19,127.28,1221829.0,127.28,126.62,127.89,126.94,
2017-05-22,128.37,1676738.0,128.37,126.88,128.53,127.1,
2017-05-23,128.56,1623267.0,128.56,127.9,129.01,128.19,
2017-05-24,129.19,1070382.0,129.19,128.6,129.32,128.96,
2017-05-25,130.32,1309107.0,130.32,129.05,130.6,129.7,
2017-05-26,130.01,961266.0,130.01,129.89,130.55,130.32,
2017-05-30,130.71,902362.0,130.71,129.62,130.95,129.93,
2017-05-31,130.91,1891099.0,130.91,130.13,131.62,131.11,
2017-06-01,131.64,1071062.0,131.64,130.83,131.64,131.28,
2017-06-02,131.4,2007282.0,131.4,131.0,131.89,131.46,
2017-06-05,131.0,1597550.0,131.0,130.94,132.34,131.3,
2017-06-06,130.46,1138043.0,130.46,129.82,130.96,130.36,
2017-06-07,131.41,1216925.0,131.41,130.265,131.54,131.02,
2017-06-08,131.71,1138249.0,131.71,131.27,132.1538,131.5,
2017-06-09,132.64,1219905.0,132.64,131.735,132.81,131.82,
2017-06-12,133.03,1431317.0,133.03,132.22,133.03,132.48,
2017-06-13,134.06,1755189.0,134.06,133.078,134.55,133.23,
2017-06-14,135.01,996456.0,135.01,133.72,135.19,134.0,
2017-06-15,135.65,987421.0,135.65,134.55,135.87,134.55,
2017-06-16,136.46,1519529.0,136.46,135.36,136.49,135.81,
2017-06-19,136.8,1233914.0,136.8,136.44,137.275,137.0,
2017-06-20,136.15,1247773.0,136.15,136.11,136.86,136.62,
2017-06-21,135.3,1580175.0,135.3,135.2401,136.24,135.89,
2017-06-22,134.25,1072589.0,134.25,134.17,135.46,134.96,
2017-06-23,132.4,1889044.0,132.4,132.39,134.38,134.29,
2017-06-26,133.03,1264680.0,133.03,132.39,133.41,132.5,
2017-06-27,132.58,1065454.0,132.58,132.55,133.31,133.28,
2017-06-28,133.98,814714.0,133.98,132.72,134.18,133.11,
2017-06-29,132.84,947285.0,132.84,132.28,134.92,134.92,
2017-06-30,132.95,1535860.0,132.95,132.19,133.55,133.32,
2017-07-03,133.16,558615.0,133.16,132.93,133.99,133.59,
2017-07-05,132.97,1276348.0,132.97,132.72,133.54,133.37,
2017-07-06,133.39,1191233.0,133.39,132.38,134.179,133.21,
2017-07-07,135.01,914108.0,135.01,133.5,135.48,133.72,
2017-07-10,135.3,966717.0,135.3,134.46,135.82,134.93,
2017-07-11,134.04,815631.0,134.04,133.94,135.55,135.45,
2017-07-12,134.66,810626.0,134.66,133.85,135.23,134.37,
2017-07-13,135.63,740296.0,135.63,134.35,135.73,134.66,
2017-07-14,136.22,873443.0,136.22,134.64,136.59,135.23,
2017-07-17,136.84,816825.0,136.84,135.82,137.06,136.13,
2017-07-18,137.41,600317.0,137.41,136.12,137.6,136.27,
2017-07-19,138.07,694563.0,138.07,137.19,138.07,137.66,
2017-07-20,138.84,769942.0,138.84,137.815,139.06,137.95,
2017-07-21,139.14,807432.0,139.14,138.48,139.37,138.48,
2017-07-24,139.63,1077128.0,139.63,138.6,140.12,139.28,
2017-07-25,140.0,773506.0,140.0,139.9,141.305,140.59,
2017-07-26,138.95,797679.0,138.95,138.86,140.14,140.0,
2017-07-27,135.91,1623017.0,135.91,135.6,138.94,138.9,
2017-07-28,138.67,1047101.0,138.67,135.86,138.95,135.91,
2017-07-31,138.17,898184.0,138.17,138.15,139.52,139.01,
2017-08-01,139.59,980397.0,139.59,138.15,139.7,138.67,
2017-08-02,139.23,1425813.0,139.23,138.4,139.66,139.35,
2017-08-03,138.97,1429699.0,138.97,138.0,139.37,139.18,
2017-08-04,138.95,1109902.0,138.95,138.01,141.45,140.0,
2017-08-07,138.77,944936.0,138.77,138.58,140.11,138.7,
2017-08-08,138.58,1033978.0,138.58,138.32,138.89,138.46,
2017-08-09,140.19,755373.0,140.19,138.25,140.32,138.25,
2017-08-10,138.85,842301.0,138.85,138.76,140.075,139.33,
2017-08-11,138.39,708835.0,138.39,138.31,139.52,139.44,
2017-08-14,139.66,680842.0,139.66,139.0,140.07,139.43,
2017-08-15,139.28,838595.0,139.28,139.23,140.34,140.13,
