YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,143.4,1402312.0,143.4,142.84,144.73,143.56,
2017-01-04,144.65,2012158.0,144.65,143.69,144.84,144.04,
2017-01-05,143.22,1260356.0,143.22,142.84,144.42,144.38,
2017-01-06,144.36,1745864.0,144.36,142.9501,144.8,143.24,
2017-01-09,146.31,2370426.0,146.31,144.29,147.59,144.3,
2017-01-10,145.26,1038828.0,145.26,145.21,146.89,146.49,
2017-01-11,146.01,1000811.0,146.01,144.79,146.1,144.79,
2017-01-12,145.84,654088.0,145.84,144.2,145.96,145.96,
2017-01-13,145.35,996479.0,145.35,145.05,146.08,145.7,
2017-01-17,145.34,1269093.0,145.34,144.67,145.84,145.07,
2017-01-18,146.33,1147937.0,146.33,144.56,146.35,145.56,
2017-01-19,145.47,1239438.0,145.47,145.17,146.64,146.36,
2017-01-20,146.62,1149990.0,146.62,145.59,146.78,145.7,
2017-01-23,146.07,1268383.0,146.07,144.77,146.88,146.39,
2017-01-24,147.13,2016408.0,147.13,146.26,147.405,146.55,
2017-01-25,148.53,1597841.0,148.53,147.15,148.725,147.5,
2017-01-26,148.81,1856079.0,148.81,147.68,149.46,148.24,
2017-01-27,142.01,5469500.0,142.01,137.05,142.47,140.0,
2017-01-30,140.99,2724918.0,140.99,139.91,141.83,140.1,
2017-01-31,139.76,2483750.0,139.76,139.14,141.22,140.99,
2017-02-01,138.68,1652320.0,138.68,138.0,140.2376,139.32,
2017-02-02,139.28,1438480.0,139.28,137.46,139.855,138.68,
2017-02-03,140.16,1300235.0,140.16,139.15,140.29,139.77,
2017-02-06,139.05,808555.0,139.05,138.64,140.27,140.0,
2017-02-07,138.8,1466876.0,138.8,137.88,139.49,139.09,
2017-02-08,138.59,1648993.0,138.59,137.72,138.805,138.18,
2017-02-09,138.54,1298011.0,138.54,138.22,139.46,138.58,
2017-02-10,140.13,2273358.0,140.13,138.54,140.44,138.9,
2017-02-13,140.5,1670534.0,140.5,139.85,141.25,140.75,
2017-02-14,142.13,2001527.0,142.13,139.75,142.26,140.4,
2017-02-15,142.38,1429025.0,142.38,141.19,142.99,141.67,
2017-02-16,141.87,860870.0,141.87,141.06,143.12,142.57,
2017-02-17,141.5,717369.0,141.5,141.1,142.14,141.97,
2017-02-21,141.47,1148242.0,141.47,140.83,141.8,140.98,
2017-02-22,140.34,993314.0,140.34,140.28,141.37,140.77,
2017-02-23,140.36,1434154.0,140.36,139.32,141.21,140.97,
2017-02-24,140.86,890325.0,140.86,139.61,141.01,140.07,
2017-02-27,139.38,1079405.0,139.38,139.12,141.23,140.93,
2017-02-28,140.47,1677831.0,140.47,138.8,140.7,138.93,
2017-03-01,143.69,1706981.0,143.69,141.98,144.06,142.13,
2017-03-02,140.57,1267454.0,140.57,140.41,143.41,143.41,
2017-03-03,139.52,923872.0,139.52,139.1301,140.87,140.34,
2017-03-06,139.31,974053.0,139.31,138.66,140.11,139.02,
2017-03-07,139.64,870704.0,139.64,138.85,139.84,139.22,
2017-03-08,139.56,1183360.0,139.56,139.15,140.42,139.73,
2017-03-09,138.58,1570783.0,138.58,138.03,140.51,139.6,
2017-03-10,138.77,1475505.0,138.77,138.25,139.6,139.41,
2017-03-13,137.82,1443125.0,137.82,136.93,139.29,138.9,
2017-03-14,136.18,1747497.0,136.18,135.88,137.58,137.54,
2017-03-15,137.99,2460553.0,137.99,136.17,138.43,136.89,
2017-03-16,137.97,1462705.0,137.97,137.03,138.25,138.25,
2017-03-17,139.53,2174015.0,139.53,138.49,139.61,138.56,
2017-03-20,138.69,1248696.0,138.69,138.32,139.7,139.49,
2017-03-21,136.45,1548064.0,136.45,136.0,138.95,138.69,
2017-03-22,136.41,841383.0,136.41,135.01,137.0,136.37,
2017-03-23,137.05,1188701.0,137.05,135.3,138.01,136.16,
2017-03-24,134.94,1313391.0,134.94,134.67,137.43,136.83,
2017-03-27,135.92,2522688.0,135.92,133.6301,136.21,133.87,
2017-03-28,137.25,1013963.0,137.25,135.84,137.58,135.84,
2017-03-29,136.78,740010.0,136.78,136.23,137.3,136.76,
2017-03-30,135.6,2069454.0,135.6,135.6,136.85,135.8,
2017-03-31,135.29,1845247.0,135.29,135.12,136.33,135.13,
2017-04-03,134.95,1624194.0,134.95,134.09,136.435,135.7,
2017-04-04,135.35,1109759.0,135.35,134.675,135.39,135.08,
2017-04-05,135.24,930793.0,135.24,135.02,137.1,135.84,
2017-04-06,135.19,860391.0,135.19,135.0,135.83,135.48,
2017-04-07,135.01,2908220.0,135.01,134.33,135.55,134.78,
2017-04-10,135.76,859032.0,135.76,135.075,136.11,135.22,
2017-04-11,136.42,1003978.0,136.42,135.4,136.4697,135.79,
2017-04-12,135.51,899936.0,135.51,135.35,136.475,136.46,
2017-04-13,134.3,626943.0,134.3,134.17,135.58,135.33,
2017-04-17,135.86,1092375.0,135.86,134.42,135.895,134.78,
2017-04-18,135.27,701020.0,135.27,134.72,136.02,135.04,
2017-04-19,134.96,577819.0,134.96,134.78,136.0399,135.73,
2017-04-20,136.9,985329.0,136.9,135.2,137.34,135.62,
2017-04-21,137.3,1121329.0,137.3,136.82,137.66,136.87,
2017-04-24,139.76,1006799.0,139.76,137.91,139.9,137.91,
2017-04-25,141.73,1189378.0,141.73,140.14,141.86,140.22,
2017-04-26,141.58,1511287.0,141.58,140.751,142.45,141.33,
2017-04-27,141.1,1855137.0,141.1,137.72,141.85,141.28,
2017-04-28,140.5,1910933.0,140.5,139.35,141.1899,141.0,
2017-05-01,142.03,1671428.0,142.03,140.01,142.14,141.55,
2017-05-02,143.52,2492276.0,143.52,142.01,143.58,142.5,
2017-05-03,143.82,1906723.0,143.82,143.26,144.32,143.49,
2017-05-04,144.76,2303220.0,144.76,143.9,145.58,143.91,
2017-05-05,147.22,2316929.0,147.22,145.0,147.655,145.0,
2017-05-08,146.19,1589901.0,146.19,145.93,147.39,146.82,
2017-05-09,145.3,943767.0,145.3,144.98,146.44,146.2,
2017-05-10,145.25,928282.0,145.25,144.64,145.6,145.45,
2017-05-11,143.86,1065764.0,143.86,143.29,145.0463,144.99,
2017-05-12,144.07,1288056.0,144.07,143.72,145.11,143.86,
2017-05-15,145.08,710562.0,145.08,144.12,145.22,144.51,
2017-05-16,144.35,2119304.0,144.35,142.64,145.24,142.73,
2017-05-17,142.57,1349839.0,142.57,142.54,144.345,143.7,
2017-05-18,142.71,1271857.0,142.71,141.34,143.53,142.65,
2017-05-19,143.1,1340076.0,143.1,142.56,143.96,142.99,
2017-05-22,143.31,820866.0,143.31,142.86,143.89,143.85,
2017-05-23,142.83,639108.0,142.83,142.59,143.58,143.58,
2017-05-24,144.14,1081478.0,144.14,142.88,144.92,143.28,
2017-05-25,144.12,781370.0,144.12,143.32,144.51,144.15,
2017-05-26,143.91,694529.0,143.91,143.55,144.27,143.84,
2017-05-30,143.97,885206.0,143.97,143.34,144.3,143.65,
2017-05-31,144.06,1493977.0,144.06,142.98,144.309,143.83,
2017-06-01,145.08,1085079.0,145.08,144.0,145.93,144.46,
2017-06-02,146.79,1192603.0,146.79,144.775,147.5,145.47,
2017-06-05,144.96,1291917.0,144.96,144.87,146.83,146.61,
2017-06-06,144.12,770800.0,144.12,143.85,144.83,144.48,
2017-06-07,143.36,883047.0,143.36,143.175,144.68,144.58,
2017-06-08,143.5,1065751.0,143.5,142.53,144.16,143.07,
2017-06-09,145.85,1152544.0,145.85,143.67,146.09,143.67,
2017-06-12,144.43,1199730.0,144.43,144.23,146.1804,145.5,
2017-06-13,146.27,831484.0,146.27,144.045,146.32,144.42,
2017-06-14,145.56,774621.0,145.56,144.81,146.35,146.27,
2017-06-15,145.21,2038252.0,145.21,144.705,146.54,144.79,
2017-06-16,145.51,1735745.0,145.51,144.651,146.0,145.66,
2017-06-19,146.15,1268565.0,146.15,145.82,147.38,146.37,
2017-06-20,144.74,801449.0,144.74,144.62,145.8,145.24,
2017-06-21,143.48,749914.0,143.48,143.31,145.65,144.91,
2017-06-22,144.25,1008193.0,144.25,143.195,144.53,143.32,
2017-06-23,144.94,4010208.0,144.94,143.81,145.03,144.6,
2017-06-26,144.91,1150890.0,144.91,144.58,145.54,145.03,
2017-06-27,143.83,796579.0,143.83,143.83,145.51,145.05,
2017-06-28,144.84,870243.0,144.84,144.401,145.25,145.17,
2017-06-29,141.77,892426.0,141.77,140.78,144.46,144.19,
2017-06-30,143.06,938130.0,143.06,141.89,143.86,141.97,
2017-07-03,144.29,411641.0,144.29,143.5,144.74,143.73,
2017-07-05,142.61,719366.0,142.61,142.45,144.4881,144.15,
2017-07-06,142.13,533625.0,142.13,141.99,143.44,142.31,
2017-07-07,144.01,708653.0,144.01,142.075,144.13,142.43,
2017-07-10,143.5,591096.0,143.5,143.08,144.52,143.54,
2017-07-11,142.77,645770.0,142.77,142.19,143.72,143.62,
2017-07-12,143.73,949426.0,143.73,143.18,144.24,143.25,
2017-07-13,144.37,1005114.0,144.37,143.29,144.68,143.9,
2017-07-14,145.57,1014030.0,145.57,144.355,145.78,144.66,
2017-07-17,145.55,1195100.0,145.55,145.24,146.08,145.43,
2017-07-18,145.24,757260.0,145.24,144.59,145.5,144.59,
2017-07-19,146.21,1478528.0,146.21,144.82,146.21,145.18,
2017-07-20,146.01,1299852.0,146.01,145.13,146.34,146.02,
2017-07-21,145.64,1226559.0,145.64,144.65,145.89,145.89,
2017-07-24,144.94,1308235.0,144.94,144.32,145.33,145.33,
2017-07-25,145.04,1284716.0,145.04,144.73,146.55,145.99,
2017-07-26,143.9,1108143.0,143.9,143.825,145.16,144.96,
2017-07-27,143.65,1243171.0,143.65,142.71,144.3,144.08,
2017-07-28,143.49,928916.0,143.49,142.62,144.19,143.98,
2017-07-31,142.15,1828792.0,142.15,141.88,144.2297,144.18,
2017-08-01,148.92,4473955.0,148.92,146.15,149.64,148.0,
2017-08-02,148.11,3983730.0,148.11,146.98,148.9,148.34,
2017-08-03,146.92,1860314.0,146.92,146.7,148.6,148.47,
2017-08-04,147.22,804503.0,147.22,147.02,148.045,147.41,
2017-08-07,147.3,866605.0,147.3,146.93,147.94,147.94,
2017-08-08,145.85,866114.0,145.85,145.63,147.29,147.21,
2017-08-09,146.25,1163569.0,146.25,145.565,146.36,145.84,
2017-08-10,145.02,1054209.0,145.02,144.89,146.0,145.52,
2017-08-11,144.6,1068556.0,144.6,143.81,145.79,143.81,
2017-08-14,146.64,1337846.0,146.64,145.37,147.43,145.48,
2017-08-15,146.81,1319153.0,146.81,145.8,146.91,146.5,
2017-08-16,148.08,1232347.0,148.08,146.91,148.16,147.0,
2017-08-17,145.54,1207597.0,145.54,145.53,148.1,147.88,
2017-08-18,145.76,1402444.0,145.76,144.8,146.35,145.43,
2017-08-21,145.15,1584693.0,145.15,144.92,145.75,145.74,
2017-08-22,145.95,1232427.0,145.95,145.4,146.8,145.84,
2017-08-23,145.16,2214394.0,145.16,144.95,145.76,145.36,
2017-08-24,145.23,953793.0,145.23,144.91,145.81,145.47,
2017-08-25,146.01,953222.0,146.01,145.05,146.47,145.05,
2017-08-28,145.78,540607.0,145.78,145.3489,146.7,146.68,
2017-08-29,145.37,458583.0,145.37,144.64,145.48,144.79,
