YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,67.43,826611.0,67.43,67.09,68.22,67.57,
2017-01-04,67.93,867064.0,67.93,67.47,68.14,67.53,
2017-01-05,67.57,841985.0,67.57,67.4,68.41,68.01,
2017-01-06,68.08,637804.0,68.08,67.39,68.278,67.75,
2017-01-09,67.38,709021.0,67.38,67.36,68.24,68.02,
2017-01-10,67.79,674796.0,67.79,67.12,67.98,67.42,
2017-01-11,67.82,752228.0,67.82,67.35,67.82,67.56,
2017-01-12,67.97,769229.0,67.97,66.91,68.02,67.55,
2017-01-13,68.11,842116.0,68.11,68.01,68.5,68.09,
2017-01-17,67.7,718040.0,67.7,67.3,68.12,67.78,
2017-01-18,68.28,810731.0,68.28,67.77,68.5,68.01,
2017-01-19,68.21,858365.0,68.21,67.83,68.46,68.12,
2017-01-20,68.6,1189096.0,68.6,68.29,68.79,68.5,
2017-01-23,67.98,1233151.0,67.98,67.36,68.785,68.35,
2017-01-24,68.76,2247541.0,68.76,68.01,68.94,68.29,
2017-01-25,67.03,3163918.0,67.03,66.41,69.25,68.8,
2017-01-26,66.64,1376461.0,66.64,66.26,67.49,67.49,
2017-01-27,66.92,1425755.0,66.92,66.68,67.42,66.88,
2017-01-30,66.98,1319258.0,66.98,66.3,67.06,66.99,
2017-01-31,67.49,1857290.0,67.49,66.34,67.615,66.97,
2017-02-01,66.6,1492263.0,66.6,66.36,67.66,67.57,
2017-02-02,67.15,1345852.0,67.15,66.0,67.37,66.52,
2017-02-03,67.46,1426541.0,67.46,66.99,67.68,67.4,
2017-02-06,67.07,1706233.0,67.07,66.97,67.71,67.3,
2017-02-07,67.29,1390299.0,67.29,67.18,67.82,67.33,
2017-02-08,68.02,1558208.0,68.02,67.26,68.41,67.29,
2017-02-09,68.29,1323173.0,68.29,68.02,68.78,68.03,
2017-02-10,68.77,1116403.0,68.77,68.08,68.935,68.24,
