YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,67.54,2064240.0,67.54,66.62,68.645,67.84,
2017-01-04,70.04,2476458.0,70.04,67.6701,70.21,67.7,
2017-01-05,69.61,1989439.0,69.61,68.94,69.97,69.94,
2017-01-06,69.17,1424625.0,69.17,69.12,69.93,69.93,
2017-01-09,68.06,2534670.0,68.06,68.01,69.39,69.25,
2017-01-10,70.47,2725437.0,70.47,68.27,70.94,68.57,
2017-01-11,71.54,3085929.0,71.54,69.82,71.55,69.96,
2017-01-12,71.06,1652552.0,71.06,69.87,71.74,71.54,
2017-01-13,71.63,1466505.0,71.63,70.88,71.82,71.0,
2017-01-17,71.69,1961276.0,71.69,71.47,72.61,71.5,
2017-01-18,71.5,1763040.0,71.5,70.68,72.2,71.67,
2017-01-19,72.01,1864441.0,72.01,71.63,72.61,72.0,
2017-01-20,70.66,2079379.0,70.66,70.29,72.05,71.86,
2017-01-23,70.07,1818570.0,70.07,69.53,70.46,70.44,
2017-01-24,71.45,2558164.0,71.45,70.32,71.76,70.73,
2017-01-25,73.37,1969960.0,73.37,71.895,73.48,72.18,
2017-01-26,71.86,2068443.0,71.86,71.58,73.8893,72.81,
2017-01-27,70.99,2386096.0,70.99,70.57,72.5,72.02,
2017-01-30,69.7,2316389.0,69.7,69.35,70.97,70.92,
2017-01-31,70.06,2787714.0,70.06,69.04,70.12,69.56,
2017-02-01,71.0,2033157.0,71.0,70.0,71.28,70.57,
2017-02-02,73.51,5061784.0,73.51,72.56,74.1,73.83,
2017-02-03,73.74,2064006.0,73.74,73.01,74.515,74.04,
2017-02-06,73.73,1473401.0,73.73,72.95,73.99,73.68,
2017-02-07,74.11,2314163.0,74.11,73.56,74.22,73.73,
2017-02-08,73.94,1648938.0,73.94,73.44,74.07,73.94,
2017-02-09,73.76,1893570.0,73.76,73.43,74.31,73.83,
2017-02-10,74.32,1674515.0,74.32,73.48,74.63,73.97,
2017-02-13,76.0,2303247.0,76.0,74.58,76.08,74.58,
2017-02-14,75.96,1817607.0,75.96,75.58,76.41,75.68,
2017-02-15,76.25,1320792.0,76.25,75.22,76.46,75.26,
2017-02-16,75.22,1508095.0,75.22,74.83,76.31,76.08,
2017-02-17,75.46,1479884.0,75.46,74.61,75.59,74.61,
2017-02-21,75.84,1423790.0,75.84,75.42,76.61,75.53,
2017-02-22,76.14,2306079.0,76.14,75.18,76.5,75.41,
2017-02-23,75.98,2061160.0,75.98,75.79,77.04,76.05,
2017-02-24,76.69,2683923.0,76.69,74.65,76.96,75.43,
2017-02-27,77.2,1761129.0,77.2,76.16,77.46,76.5,
2017-02-28,76.13,1939023.0,76.13,75.78,77.33,77.08,
2017-03-01,76.77,2419249.0,76.77,76.68,78.12,77.13,
2017-03-02,77.39,1918533.0,77.39,76.045,77.84,76.53,
2017-03-03,77.18,1256898.0,77.18,76.66,77.61,77.27,
2017-03-06,75.92,1555853.0,75.92,75.34,76.81,76.56,
2017-03-07,75.97,1248456.0,75.97,75.32,76.28,76.28,
2017-03-08,76.63,1106193.0,76.63,75.76,76.86,76.12,
2017-03-09,76.29,1023690.0,76.29,75.96,76.77,76.59,
2017-03-10,77.09,1359264.0,77.09,76.71,77.75,77.0,
2017-03-13,80.2,4101463.0,80.2,78.57,80.44,78.86,
2017-03-14,81.0,2752616.0,81.0,79.36,81.8,79.7,
2017-03-15,82.29,2801496.0,82.29,81.04,82.76,81.04,
2017-03-16,82.27,2178615.0,82.27,81.43,83.23,83.22,
2017-03-17,81.85,2182065.0,81.85,80.76,82.48,82.48,
2017-03-20,81.12,1657723.0,81.12,80.82,82.0,81.88,
2017-03-21,78.16,2390151.0,78.16,78.02,81.74,81.5,
2017-03-22,78.73,2964674.0,78.73,77.14,79.16,78.23,
2017-03-23,78.6,1501118.0,78.6,78.02,79.04,78.51,
2017-03-24,78.9,1580449.0,78.9,78.48,79.58,78.8,
2017-03-27,79.45,1548013.0,79.45,77.4,79.53,78.16,
2017-03-28,80.38,1264353.0,80.38,79.215,81.12,79.49,
2017-03-29,80.49,780724.0,80.49,80.0,81.01,80.58,
2017-03-30,81.0,1000232.0,81.0,80.09,81.0475,80.42,
2017-03-31,80.49,1737513.0,80.49,80.33,81.15,80.83,
2017-04-03,78.25,2432892.0,78.25,76.825,80.82,80.73,
2017-04-04,75.98,3037510.0,75.98,75.87,77.995,77.76,
2017-04-05,75.09,2510821.0,75.09,75.07,77.8,76.64,
2017-04-06,75.12,2094308.0,75.12,74.6,75.67,75.0,
2017-04-07,75.14,1537637.0,75.14,74.1,75.34,75.07,
2017-04-10,75.53,1099143.0,75.53,75.111,76.21,75.14,
2017-04-11,74.91,1911823.0,74.91,74.11,75.85,75.5,
2017-04-12,74.28,2812047.0,74.28,74.09,75.13,74.91,
2017-04-13,73.75,1150896.0,73.75,73.74,74.78,74.25,
2017-04-17,74.71,1349177.0,74.71,73.74,74.71,73.81,
2017-04-18,74.35,1214475.0,74.35,73.46,74.53,74.2,
2017-04-19,75.37,1440646.0,75.37,74.76,75.85,75.05,
2017-04-20,77.9,2289422.0,77.9,76.11,78.11,76.11,
2017-04-21,76.6,1532163.0,76.6,76.6,77.725,77.6,
2017-04-24,79.25,2619181.0,79.25,77.7824,79.74,77.86,
2017-04-25,79.42,2045651.0,79.42,79.12,80.74,80.43,
2017-04-26,79.25,2178752.0,79.25,78.07,80.39,79.24,
2017-04-27,79.96,1718419.0,79.96,79.25,80.39,80.31,
2017-04-28,80.4,1613690.0,80.4,79.14,80.485,80.04,
2017-05-01,80.0,1345446.0,80.0,79.79,80.89,80.41,
2017-05-02,78.45,2938979.0,78.45,77.24,80.405,80.05,
2017-05-03,87.01,11839704.0,87.01,84.02,88.35,84.65,
2017-05-04,88.06,4433251.0,88.06,86.78,89.5809,86.9,
2017-05-05,87.7,3122894.0,87.7,87.08,88.345,88.2,
2017-05-08,87.41,2499569.0,87.41,86.935,88.24,87.38,
2017-05-09,88.27,1962783.0,88.27,87.29,88.72,87.63,
2017-05-10,87.76,1662350.0,87.76,87.3,88.55,88.37,
2017-05-11,86.87,2676900.0,86.87,86.56,87.89,87.58,
2017-05-12,86.69,2225594.0,86.69,86.29,87.28,86.8,
2017-05-15,86.7,1919241.0,86.7,86.48,87.43,86.94,
2017-05-16,87.06,2304447.0,87.06,86.53,87.62,87.29,
2017-05-17,85.2,2427005.0,85.2,85.06,87.1,86.22,
2017-05-18,85.13,2462822.0,85.13,83.53,85.51,84.9,
2017-05-19,85.9,1709526.0,85.9,85.24,86.33,85.61,
2017-05-22,87.1,1729864.0,87.1,86.13,87.46,86.4,
2017-05-23,86.4,1150027.0,86.4,86.29,87.36,87.06,
2017-05-24,86.51,1247471.0,86.51,85.82,86.57,86.43,
2017-05-25,86.63,1130905.0,86.63,85.875,88.0,86.75,
2017-05-26,87.5,1007221.0,87.5,86.39,87.99,86.87,
2017-05-30,86.6,1235499.0,86.6,86.6,87.48,87.15,
2017-05-31,87.97,2235766.0,87.97,86.17,88.155,86.66,
2017-06-01,89.18,2556414.0,89.18,88.03,89.93,88.84,
2017-06-02,89.04,2318782.0,89.04,88.6,89.73,89.42,
2017-06-05,88.13,1648195.0,88.13,87.71,89.0,88.95,
2017-06-06,88.85,1817631.0,88.85,87.34,89.19,87.96,
2017-06-07,88.2,1525770.0,88.2,87.8,90.05,88.85,
2017-06-08,86.03,3076673.0,86.03,85.84,87.8231,87.31,
2017-06-09,85.69,1980834.0,85.69,85.35,86.83,86.16,
2017-06-12,85.16,1922967.0,85.16,84.39,85.9498,85.63,
2017-06-13,86.62,1825443.0,86.62,84.83,86.63,85.81,
2017-06-14,85.93,912756.0,85.93,85.76,87.08,86.94,
2017-06-15,85.91,1270732.0,85.91,85.24,86.47,85.95,
2017-06-16,85.01,2363449.0,85.01,84.2,85.87,85.58,
2017-06-19,86.5,1557441.0,86.5,85.055,86.62,85.23,
2017-06-20,84.32,1619498.0,84.32,84.18,86.21,85.94,
2017-06-21,85.81,1227496.0,85.81,85.35,86.33,85.63,
2017-06-22,85.75,1080674.0,85.75,84.93,86.09,85.65,
2017-06-23,86.03,1135987.0,86.03,85.33,86.57,85.79,
2017-06-26,86.54,1141280.0,86.54,85.99,87.07,86.03,
2017-06-27,86.49,3245575.0,86.49,85.67,86.77,85.67,
2017-06-28,87.01,1763998.0,87.01,86.52,87.62,87.03,
2017-06-29,86.43,1486287.0,86.43,85.53,87.31,86.94,
2017-06-30,87.65,1602714.0,87.65,86.96,88.09,87.12,
2017-07-03,87.8,676846.0,87.8,87.72,89.18,88.28,
2017-07-05,87.9,1479484.0,87.9,86.77,88.141,87.79,
2017-07-06,86.73,1167837.0,86.73,86.47,88.0186,87.51,
2017-07-07,89.12,1646634.0,89.12,86.57,89.34,86.8,
2017-07-10,90.93,1954863.0,90.93,88.9203,91.15,89.17,
2017-07-11,91.77,2122797.0,91.77,90.07,92.46,90.92,
2017-07-12,92.6,1912336.0,92.6,92.23,93.43,92.23,
2017-07-13,91.78,1898773.0,91.78,91.61,93.22,92.6,
2017-07-14,91.43,1957905.0,91.43,90.59,91.91,91.85,
2017-07-17,91.93,1441309.0,91.93,91.07,92.2,91.68,
2017-07-18,91.61,1289209.0,91.61,90.94,92.11,92.0,
2017-07-19,92.89,1435919.0,92.89,91.43,92.95,91.79,
2017-07-20,93.1,1411273.0,93.1,92.45,93.43,93.4,
2017-07-21,90.93,1733401.0,90.93,89.81,91.73,91.64,
2017-07-24,90.5,2066210.0,90.5,90.28,91.19,90.89,
2017-07-25,90.93,1709818.0,90.93,90.51,91.38,91.38,
2017-07-26,90.67,1788263.0,90.67,89.89,91.43,90.67,
2017-07-27,90.51,1551070.0,90.51,89.6904,91.28,91.02,
2017-07-28,89.95,1317277.0,89.95,89.7,90.52,90.24,
2017-07-31,90.42,2012019.0,90.42,89.88,91.119,90.45,
2017-08-01,89.83,2474477.0,89.83,88.58,90.77,90.73,
2017-08-02,91.02,2681718.0,91.02,86.95,91.07,87.12,
2017-08-03,92.86,2786096.0,92.86,91.2,93.62,91.24,
2017-08-04,93.19,1441610.0,93.19,92.49,93.44,93.2,
2017-08-07,93.47,1640225.0,93.47,92.33,93.78,93.09,
2017-08-08,93.92,1468391.0,93.92,93.24,94.63,93.32,
2017-08-09,92.8,1702977.0,92.8,92.28,94.21,93.42,
2017-08-10,91.15,2325644.0,91.15,90.73,92.5,92.2,
2017-08-11,92.34,1482882.0,92.34,91.07,92.55,91.45,
2017-08-14,93.49,990489.0,93.49,93.0779,93.79,93.31,
2017-08-15,93.34,1044850.0,93.34,92.81,93.895,93.54,
2017-08-16,94.1,1225953.0,94.1,93.76,94.44,93.94,
2017-08-17,92.42,1921656.0,92.42,92.42,93.955,93.47,
2017-08-18,92.27,1566475.0,92.27,91.46,92.67,92.14,
2017-08-21,92.91,895270.0,92.91,92.001,93.2,92.53,
2017-08-22,94.18,983206.0,94.18,93.0,94.61,93.0,
2017-08-23,94.19,830567.0,94.19,93.39,94.54,93.54,
2017-08-24,94.53,1277454.0,94.53,94.04,95.16,94.53,
2017-08-25,94.26,855875.0,94.26,94.17,95.44,95.44,
2017-08-28,94.49,972686.0,94.49,93.95,94.83,94.52,
2017-08-29,94.26,873824.0,94.26,93.59,94.48,93.78,
2017-08-30,95.05,816816.0,95.05,94.02,95.08,94.3,
2017-08-31,96.4,1721595.0,96.4,95.255,96.67,95.57,
2017-09-01,97.62,1054439.0,97.62,96.53,98.0,96.59,
2017-09-05,96.59,1304522.0,96.59,96.4,98.27,97.5,
2017-09-06,96.73,1320251.0,96.73,96.3,97.47,97.21,
2017-09-07,96.87,1301921.0,96.87,96.13,97.12,96.93,
2017-09-08,96.66,1256753.0,96.66,95.81,97.17,96.87,
2017-09-11,97.49,1384315.0,97.49,96.795,97.98,97.33,
2017-09-12,97.79,1459036.0,97.79,97.39,98.07,97.88,
2017-09-13,97.99,1097206.0,97.99,97.44,98.31,97.8,
2017-09-14,97.89,1819685.0,97.89,97.27,98.8258,98.07,
2017-09-15,100.19,2184292.0,100.19,97.91,100.4999,97.91,
2017-09-18,100.57,1363037.0,100.57,99.76,100.83,100.42,
2017-09-19,100.9,1521872.0,100.9,99.99,101.28,100.84,
2017-09-20,101.15,1150006.0,101.15,100.28,101.57,101.14,
2017-09-21,101.04,1052938.0,101.04,100.57,101.41,101.41,
2017-09-22,102.78,1358791.0,102.78,100.93,102.95,101.03,
2017-09-25,103.45,2165223.0,103.45,102.4,103.659,102.76,
2017-09-26,103.11,2272016.0,103.11,102.8,104.09,103.5,
2017-09-27,98.78,4892092.0,98.78,98.28,103.97,103.74,
2017-09-28,97.74,3977014.0,97.74,96.535,99.34,98.49,
2017-09-29,98.4,2339202.0,98.4,97.63,99.31,97.74,
2017-10-02,99.95,1512262.0,99.95,98.01,99.95,98.43,
2017-10-03,99.62,1647166.0,99.62,99.4,101.1264,100.5,
2017-10-04,102.31,1682009.0,102.31,99.61,102.31,99.61,
2017-10-05,102.31,1851205.0,102.31,101.39,102.93,102.65,
2017-10-06,100.45,1374990.0,100.45,100.36,102.13,101.95,
2017-10-09,100.12,949156.0,100.12,99.87,100.99,100.52,
2017-10-10,98.62,2015270.0,98.62,97.37,99.34,98.64,
2017-10-11,99.25,2190420.0,99.25,97.6,99.96,98.41,
2017-10-12,98.1,1935149.0,98.1,97.47,98.34,97.79,
2017-10-13,97.48,1257759.0,97.48,97.38,98.92,98.57,
2017-10-16,97.98,2073844.0,97.98,96.68,98.01,98.0,
2017-10-17,97.24,1590689.0,97.24,96.79,98.1,98.0,
2017-10-18,97.73,1417458.0,97.73,96.92,97.85,97.45,
2017-10-19,97.64,1241159.0,97.64,95.83,97.77,97.24,
2017-10-20,96.84,1637460.0,96.84,96.67,98.58,98.24,
2017-10-23,97.77,976804.0,97.77,97.1,98.56,97.45,
2017-10-24,98.27,1095357.0,98.27,97.81,98.85,98.16,
2017-10-25,97.4,1141416.0,97.4,96.83,98.295,97.98,
2017-10-26,99.07,1128196.0,99.07,97.9,99.5,98.3,
2017-10-27,98.73,1572689.0,98.73,97.4,99.07,99.05,
2017-10-30,98.25,1155158.0,98.25,97.44,98.4,98.24,
2017-10-31,99.38,1322285.0,99.38,98.16,99.5,98.3,
2017-11-01,99.38,1851607.0,99.38,99.09,101.13,100.5,
2017-11-02,99.31,3081121.0,99.31,96.2403,99.9,99.05,
2017-11-03,96.89,2475762.0,96.89,96.64,99.22,99.17,
2017-11-06,97.27,1455573.0,97.27,96.42,97.94,97.29,
2017-11-07,97.26,1178600.0,97.26,96.87,97.88,97.28,
2017-11-08,96.35,1195780.0,96.35,96.02,97.2499,96.51,
2017-11-09,95.58,1210663.0,95.58,94.56,96.26,95.72,
2017-11-10,95.29,1910611.0,95.29,95.08,96.38,95.49,
2017-11-13,95.57,2211399.0,95.57,94.67,95.95,94.98,
2017-11-14,100.29,3540072.0,100.29,98.01,100.29,98.01,
2017-11-15,98.16,2264976.0,98.16,97.551,99.89,99.28,
2017-11-16,99.24,1169873.0,99.24,98.53,99.77,98.75,
2017-11-17,98.7,1540262.0,98.7,97.67,99.28,98.92,
2017-11-20,102.14,2981202.0,102.14,101.3106,102.99,102.0,
2017-11-21,102.0,1830559.0,102.0,101.91,102.7999,102.68,
2017-11-22,100.78,2084824.0,100.78,100.51,102.575,102.0,
2017-11-24,100.86,629568.0,100.86,100.25,100.98,100.78,
2017-11-27,100.77,1116037.0,100.77,100.44,101.47,101.0,
2017-11-28,101.72,1214982.0,101.72,100.62,101.96,101.0,
2017-11-29,102.05,1282368.0,102.05,101.36,102.45,102.22,
2017-11-30,104.67,2212285.0,104.67,101.24,104.99,102.6,
2017-12-01,103.51,1845051.0,103.51,101.485,104.52,104.17,
2017-12-04,104.3,2735016.0,104.3,101.705,104.99,103.55,
2017-12-05,88.77,3522147.0,88.77,86.16,89.66,88.89,
2017-12-06,85.36,2692557.0,85.36,85.18,89.64,88.44,
2017-12-07,84.38,2962311.0,84.38,83.87,85.42,84.8,
2017-12-08,85.22,2677552.0,85.22,84.23,85.93,84.96,
2017-12-11,85.89,3697224.0,85.89,85.04,86.94,86.3,
2017-12-12,85.67,2630578.0,85.67,85.38,86.62,86.61,
2017-12-13,83.56,2130947.0,83.56,83.44,86.07,85.99,
2017-12-14,83.05,2042428.0,83.05,82.97,84.63,83.58,
2017-12-15,84.4,2947483.0,84.4,83.42,84.48,83.88,
