YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.55,451527.0,74.55,73.645,74.55,74.34,
2017-01-04,74.97,664355.0,74.97,74.66,75.79,74.66,
2017-01-05,74.6,398687.0,74.6,74.01,75.5,74.89,
2017-01-06,74.17,510494.0,74.17,74.01,74.6,74.36,
2017-01-09,73.21,318704.0,73.21,73.15,74.33,74.33,
2017-01-10,73.29,459103.0,73.29,72.54,73.54,73.24,
2017-01-11,74.09,338545.0,74.09,73.08,74.09,73.08,
2017-01-12,74.51,490703.0,74.51,73.21,74.74,74.01,
2017-01-13,74.86,391181.0,74.86,74.25,75.09,74.26,
2017-01-17,74.74,343148.0,74.74,74.57,75.5,75.21,
2017-01-18,75.24,410881.0,75.24,74.69,75.78,74.69,
2017-01-19,74.26,351763.0,74.26,74.1,75.4,74.75,
2017-01-20,74.71,349320.0,74.71,74.13,74.85,74.32,
2017-01-23,74.39,296773.0,74.39,74.093,74.99,74.77,
2017-01-24,75.14,414368.0,75.14,74.02,75.29,74.42,
2017-01-25,74.98,443786.0,74.98,74.7,75.59,74.78,
2017-01-26,75.7,368305.0,75.7,75.0,75.88,75.05,
2017-01-27,75.34,210819.0,75.34,75.11,76.14,75.69,
2017-01-30,74.82,263211.0,74.82,74.45,75.39,75.06,
2017-01-31,76.18,497418.0,76.18,74.71,76.26,74.9,
2017-02-01,74.56,346315.0,74.56,74.3,76.23,75.69,
2017-02-02,75.08,437216.0,75.08,74.4,75.22,74.59,
2017-02-03,75.88,252842.0,75.88,75.17,75.94,75.57,
2017-02-06,75.24,363746.0,75.24,75.07,76.14,76.14,
2017-02-07,75.97,530145.0,75.97,75.17,76.07,75.17,
2017-02-08,75.48,814934.0,75.48,72.58,75.869,75.869,
2017-02-09,75.15,382018.0,75.15,75.12,75.99,75.62,
2017-02-10,75.45,349996.0,75.45,74.81,75.53,75.0,
2017-02-13,75.63,228158.0,75.63,75.12,75.71,75.54,
2017-02-14,75.24,360113.0,75.24,75.02,75.65,75.02,
2017-02-15,75.69,306779.0,75.69,74.475,75.72,74.49,
2017-02-16,75.9,333238.0,75.9,75.4,76.21,75.88,
2017-02-17,76.04,405580.0,76.04,75.07,76.09,75.73,
2017-02-21,77.04,424964.0,77.04,75.62,77.04,75.66,
2017-02-22,77.25,400350.0,77.25,76.75,77.46,76.95,
2017-02-23,77.78,361678.0,77.78,76.84,77.89,77.07,
2017-02-24,78.18,314736.0,78.18,77.67,78.56,77.75,
2017-02-27,78.27,280575.0,78.27,77.95,78.41,78.05,
2017-02-28,78.29,532581.0,78.29,77.89,78.76,78.24,
2017-03-01,78.62,409836.0,78.62,76.09,78.82,77.39,
2017-03-02,78.84,372056.0,78.84,78.35,79.19,78.45,
2017-03-03,78.4,344241.0,78.4,77.9,78.88,78.84,
2017-03-06,78.13,247067.0,78.13,77.85,78.33,78.33,
2017-03-07,78.01,278882.0,78.01,77.79,78.28,77.95,
2017-03-08,76.63,321286.0,76.63,76.56,77.7269,77.2,
2017-03-09,76.25,333064.0,76.25,76.17,77.03,76.72,
2017-03-10,77.83,466422.0,77.83,76.53,77.86,76.88,
2017-03-13,78.14,314035.0,78.14,77.48,78.16,77.66,
2017-03-14,78.33,415552.0,78.33,77.81,78.38,78.12,
2017-03-15,79.95,480185.0,79.95,78.63,80.3561,78.63,
2017-03-16,79.46,384297.0,79.46,79.06,79.99,79.99,
2017-03-17,79.93,1187596.0,79.93,79.14,80.24,79.39,
2017-03-20,78.67,298295.0,78.67,78.555,80.47,80.03,
2017-03-21,79.9,463723.0,79.9,78.57,80.01,78.68,
2017-03-22,79.87,448049.0,79.87,79.18,80.17,79.88,
2017-03-23,80.15,329733.0,80.15,79.58,80.55,79.77,
2017-03-24,80.14,282428.0,80.14,79.95,80.41,80.27,
2017-03-27,80.31,262504.0,80.31,79.21,80.46,80.14,
2017-03-28,80.4,337427.0,80.4,79.73,80.56,79.97,
2017-03-29,79.85,347336.0,79.85,79.74,80.24,80.24,
2017-03-30,79.0,470234.0,79.0,78.87,79.97,79.97,
2017-03-31,78.99,489500.0,78.99,78.76,79.44,78.98,
2017-04-03,78.9,408107.0,78.9,78.42,79.02,78.9,
2017-04-04,79.65,403272.0,79.65,78.62,79.915,78.77,
2017-04-05,80.03,329027.0,80.03,79.26,80.12,79.71,
2017-04-06,80.35,224349.0,80.35,79.43,80.44,80.17,
2017-04-07,80.12,184516.0,80.12,80.07,80.68,80.34,
2017-04-10,80.24,200754.0,80.24,79.69,80.27,80.17,
2017-04-11,80.49,304741.0,80.49,79.8828,80.56,80.28,
2017-04-12,80.49,288009.0,80.49,79.98,80.65,80.27,
2017-04-13,80.15,313188.0,80.15,79.52,80.5,80.5,
2017-04-17,81.0,185155.0,81.0,79.95,81.04,80.3,
2017-04-18,80.82,329519.0,80.82,80.28,81.15,81.14,
2017-04-19,80.06,278318.0,80.06,79.91,80.79,80.79,
2017-04-20,79.92,254002.0,79.92,79.4,80.14,80.08,
2017-04-21,79.83,385950.0,79.83,79.62,80.28,79.83,
2017-04-24,80.01,375552.0,80.01,79.64,80.23,80.12,
2017-04-25,80.46,268915.0,80.46,79.26,80.7,79.91,
2017-04-26,81.27,404214.0,81.27,80.24,81.68,80.5,
2017-04-27,81.4,302727.0,81.4,81.29,82.07,81.47,
2017-04-28,81.02,892362.0,81.02,80.35,81.37,81.37,
2017-05-01,80.71,357927.0,80.71,80.49,81.28,81.28,
2017-05-02,80.72,266459.0,80.72,80.49,81.475,80.65,
2017-05-03,80.11,236693.0,80.11,79.98,80.685,80.45,
2017-05-04,81.38,433018.0,81.38,78.55,81.46,80.6,
2017-05-05,82.17,356386.0,82.17,81.43,82.37,81.88,
2017-05-08,81.91,282904.0,81.91,81.6,82.74,82.35,
2017-05-09,80.55,331030.0,80.55,80.46,81.8,81.79,
2017-05-10,80.89,237657.0,80.89,80.41,81.16,80.61,
2017-05-11,80.79,350865.0,80.79,80.17,80.82,80.52,
2017-05-12,81.34,378750.0,81.34,80.63,81.54,81.0,
2017-05-15,81.36,319287.0,81.36,81.09,81.71,81.25,
2017-05-16,80.33,253852.0,80.33,80.24,81.63,81.45,
2017-05-17,80.55,420912.0,80.55,79.89,80.955,80.33,
2017-05-18,80.36,327548.0,80.36,79.47,80.77,80.24,
2017-05-19,81.08,244626.0,81.08,79.83,81.21,80.52,
2017-05-22,81.53,395845.0,81.53,80.645,81.75,81.12,
2017-05-23,82.09,332008.0,82.09,81.3,82.34,81.66,
2017-05-24,82.16,288866.0,82.16,81.9,82.5,82.21,
2017-05-25,83.1,356621.0,83.1,82.0,83.235,82.3,
2017-05-26,82.85,369674.0,82.85,82.63,83.3,83.14,
2017-05-30,83.19,279408.0,83.19,82.49,83.365,82.94,
2017-05-31,83.31,1013145.0,83.31,82.98,83.62,83.24,
2017-06-01,84.42,473541.0,84.42,83.15,84.46,83.29,
2017-06-02,84.88,280641.0,84.88,84.27,85.2,84.95,
2017-06-05,83.88,261710.0,83.88,83.85,84.8344,84.71,
2017-06-06,84.1,421748.0,84.1,83.78,84.26,84.01,
2017-06-07,83.79,366943.0,83.79,83.7401,84.29,84.2,
2017-06-08,83.54,439392.0,83.54,82.59,83.82,83.53,
2017-06-09,83.64,308749.0,83.64,83.03,83.82,83.49,
2017-06-12,83.9,315460.0,83.9,83.2316,84.02,83.67,
2017-06-13,84.33,355170.0,84.33,83.71,84.85,84.08,
