YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,178.34,3199213.0,178.34,176.54,180.9,178.29,30186.0
2017-01-04,177.07,2396470.0,177.07,176.68,179.0,178.26,23048.0
2017-01-05,174.28,2486093.0,174.28,173.88,177.0,176.33,22607.0
2017-01-06,176.59,2314304.0,176.59,173.31,176.9,174.21,21868.0
2017-01-09,176.97,2026589.0,176.97,176.64,178.3,176.65,16044.0
2017-01-10,180.57,3018327.0,180.57,176.9,180.74,177.49,23697.0
2017-01-11,179.42,1878705.0,179.42,177.76,180.47,180.05,18831.0
2017-01-12,178.86,2313737.0,178.86,175.4,179.1,178.09,18833.0
2017-01-13,180.45,2090697.0,180.45,178.39,180.78,178.9,15569.0
2017-01-17,179.11,2631606.0,179.11,177.56,179.63,179.48,24222.0
2017-01-18,185.02,3564175.0,185.02,180.0,185.07,180.36,33648.0
2017-01-19,185.56,4571813.0,185.56,184.68,186.88,185.1,41998.0
2017-01-20,191.08,5762335.0,191.08,188.1,191.535,188.6,45857.0
2017-01-23,191.0,3339436.0,191.0,188.42,191.53,191.01,32048.0
2017-01-24,197.75,6200772.0,197.75,192.28,199.64,192.72,47854.0
2017-01-25,202.48,6090259.0,202.48,198.03,202.59,199.92,42527.0
2017-01-26,204.17,3882680.0,204.17,201.13,205.27,204.44,35084.0
2017-01-27,205.71,2578653.0,205.71,203.54,205.79,205.38,22562.0
2017-01-30,203.22,3323406.0,203.22,200.61,204.87,204.45,30095.0
2017-01-31,199.5,2675141.0,199.5,198.86,202.47,202.47,29087.0
2017-02-01,203.69,3118392.0,203.69,200.21,204.48,202.25,28282.0
2017-02-02,204.05,2271170.0,204.05,201.0,205.03,201.97,24634.0
2017-02-03,206.16,2437317.0,206.16,203.03,206.6,204.95,23159.0
2017-02-06,206.56,1871607.0,206.56,204.3,206.66,206.15,19752.0
2017-02-07,205.91,2284021.0,205.91,204.93,207.4,207.21,20709.0
2017-02-08,206.89,2106897.0,206.89,205.16,208.75,205.97,22292.0
2017-02-09,205.34,2751924.0,205.34,203.63,207.69,207.33,27610.0
2017-02-10,205.52,2384206.0,205.52,203.85,206.5,206.0,23229.0
2017-02-13,206.71,1246341.0,206.71,205.17,207.11,206.78,13670.0
2017-02-14,205.33,1735780.0,205.33,204.8,207.0,206.99,16687.0
2017-02-15,205.99,1708766.0,205.99,204.8,206.935,205.82,19100.0
2017-02-16,208.18,1718799.0,208.18,205.175,208.22,206.46,19306.0
2017-02-17,210.41,3094524.0,210.41,206.8201,210.41,209.0,25623.0
2017-02-21,212.75,3033339.0,212.75,210.91,213.62,211.0,29199.0
2017-02-22,214.16,2394863.0,214.16,211.5,214.93,213.0,22788.0
2017-02-23,210.58,2936386.0,210.58,209.64,215.955,215.08,29922.0
2017-02-24,210.37,2765281.0,210.37,202.61,210.645,208.38,25538.0
2017-02-27,213.28,2699102.0,213.28,210.19,213.45,210.67,27934.0
2017-02-28,210.93,2754779.0,210.93,210.3,214.34,214.14,24855.0
2017-03-01,215.14,5115465.0,215.14,210.56,215.39,213.07,45471.0
2017-03-02,217.29,7117616.0,217.29,216.02,224.98,224.11,57818.0
2017-03-03,218.32,3086279.0,218.32,217.7,220.0,218.0,29129.0
2017-03-06,217.94,2277121.0,217.94,215.17,218.53,216.37,22548.0
2017-03-07,219.25,2912919.0,219.25,217.09,221.37,217.34,28757.0
2017-03-08,219.63,2454365.0,219.63,218.55,221.24,219.22,24673.0
2017-03-09,222.01,2567522.0,222.01,218.12,222.86,218.78,24947.0
2017-03-10,226.35,3943043.0,226.35,222.73,226.41,222.73,32327.0
2017-03-13,226.45,2666904.0,226.45,225.36,227.75,225.86,24099.0
2017-03-14,224.35,2216720.0,224.35,223.51,226.28,224.76,21204.0
2017-03-15,225.93,2072831.0,225.93,223.24,226.65,224.33,20641.0
2017-03-16,222.36,2783456.0,222.36,221.57,225.82,225.48,28687.0
2017-03-17,221.18,5163480.0,221.18,220.85,223.71,223.52,28523.0
2017-03-20,221.24,1721474.0,221.24,220.78,222.64,221.18,17363.0
2017-03-21,216.02,3055726.0,216.02,215.52,222.98,222.24,33397.0
2017-03-22,217.42,1913093.0,217.42,215.39,218.37,216.02,22157.0
2017-03-23,216.86,1922274.0,216.86,216.425,218.46,217.26,18450.0
2017-03-24,218.97,2379356.0,218.97,217.74,221.4,218.01,24196.0
2017-03-27,219.05,1535762.0,219.05,215.97,220.18,216.83,16450.0
2017-03-28,220.95,1792867.0,220.95,218.35,221.78,218.51,19789.0
2017-03-29,221.31,1592716.0,221.31,219.68,221.35,220.8,18551.0
2017-03-30,220.04,3416840.0,220.04,218.86,224.45,221.9,30796.0
2017-03-31,218.96,2589661.0,218.96,218.03,220.99,219.99,24948.0
2017-04-03,218.8,1921017.0,218.8,216.6623,219.99,219.0,20428.0
2017-04-04,218.96,1263393.0,218.96,217.88,220.41,218.17,14222.0
2017-04-05,217.13,1568971.0,217.13,216.8,220.5,219.54,16603.0
2017-04-06,217.5,1461530.0,217.5,215.59,218.465,216.7,15849.0
2017-04-07,218.25,1641796.0,218.25,217.04,219.84,217.5,15948.0
2017-04-10,218.02,1799417.0,218.02,216.26,219.05,217.07,17103.0
2017-04-11,217.55,2221897.0,217.55,214.03,218.395,216.56,25197.0
2017-04-12,209.2,6102582.0,209.2,208.44,216.135,215.67,51516.0
2017-04-13,211.32,4257943.0,211.32,209.0,213.97,209.21,38733.0
2017-04-17,213.87,1450730.0,213.87,212.19,214.36,212.38,14332.0
2017-04-18,213.1,848590.0,213.1,212.06,213.71,213.06,11895.0
2017-04-19,213.63,1208146.0,213.63,213.26,214.83,213.78,14779.0
2017-04-20,218.21,1691619.0,218.21,214.22,219.12,215.0,18087.0
2017-04-21,217.66,1468342.0,217.66,216.1608,218.33,217.42,15348.0
2017-04-24,221.24,1753914.0,221.24,219.68,221.9,220.69,17432.0
2017-04-25,223.2,1484833.0,223.2,221.95,224.0,222.02,16412.0
2017-04-26,221.68,1472625.0,221.68,220.87,223.93,223.49,16642.0
2017-04-27,223.09,1184979.0,223.09,222.06,224.09,222.89,14205.0
2017-04-28,220.81,1663994.0,220.81,219.77,223.135,222.83,16147.0
2017-05-01,221.32,1533873.0,221.32,219.91,222.26,222.09,15705.0
2017-05-02,225.45,2727671.0,225.45,221.5,225.5,223.46,26060.0
2017-05-03,224.9,1800197.0,224.9,223.545,226.19,224.51,17702.0
2017-05-04,223.4,1624956.0,223.4,221.86,225.86,225.26,16804.0
2017-05-05,226.45,2312775.0,226.45,224.045,226.49,224.96,21371.0
2017-05-08,225.08,1744807.0,225.08,223.86,227.1003,226.52,17087.0
2017-05-09,228.46,1926081.0,228.46,224.705,229.4,225.62,21006.0
