YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,72.25,806727.0,72.25,71.51,72.45,72.37,
2017-01-04,72.81,639987.0,72.81,72.16,73.0,72.49,
2017-01-05,72.93,763109.0,72.93,71.72,73.2119,72.69,
2017-01-06,72.84,919790.0,72.84,72.45,73.07,72.65,
2017-01-09,71.35,794625.0,71.35,71.19,73.0,72.88,
2017-01-10,70.72,1088025.0,70.72,70.52,71.25,71.21,
2017-01-11,70.57,946116.0,70.57,70.3187,71.25,70.66,
2017-01-12,70.69,949183.0,70.69,69.96,70.87,70.6,
2017-01-13,70.82,589495.0,70.82,70.4,71.05,70.62,
2017-01-17,72.07,957290.0,72.07,71.01,72.33,71.11,
2017-01-18,72.6,1361384.0,72.6,71.5713,72.64,72.01,
2017-01-19,71.87,834881.0,71.87,71.73,72.52,71.81,
2017-01-20,71.93,813024.0,71.93,71.58,72.4,71.82,
2017-01-23,71.77,743483.0,71.77,71.482,72.2118,72.01,
2017-01-24,71.91,819124.0,71.91,71.31,72.0,71.77,
2017-01-25,71.72,1202821.0,71.72,71.0,71.88,71.44,
2017-01-26,72.19,941573.0,72.19,71.5,72.43,71.67,
2017-01-27,72.31,869258.0,72.31,72.01,72.5,72.3,
2017-01-30,71.91,1073942.0,71.91,71.5504,72.36,71.92,
2017-01-31,73.44,1062527.0,73.44,71.89,73.47,71.95,
2017-02-01,71.8,1315579.0,71.8,71.63,72.92,72.91,
2017-02-02,72.99,1099677.0,72.99,71.76,73.04,71.91,
2017-02-03,72.41,736060.0,72.41,72.07,72.97,72.69,
2017-02-06,72.09,857454.0,72.09,71.89,72.54,72.54,
2017-02-07,72.09,783496.0,72.09,71.7,72.23,72.05,
2017-02-08,72.93,790817.0,72.93,71.94,73.15,72.23,
2017-02-09,72.85,716543.0,72.85,72.46,73.12,72.97,
2017-02-10,73.46,701237.0,73.46,72.55,73.47,72.87,
2017-02-13,73.22,650449.0,73.22,72.98,73.7,73.38,
2017-02-14,72.81,777097.0,72.81,72.53,73.22,72.92,
2017-02-15,73.01,670219.0,73.01,71.89,73.04,72.47,
2017-02-16,73.44,625369.0,73.44,73.01,73.73,73.12,
2017-02-17,73.81,2662875.0,73.81,73.16,74.02,73.44,
2017-02-21,74.38,1024758.0,74.38,73.629,74.44,73.81,
2017-02-22,74.92,1212718.0,74.92,73.05,75.24,75.0,
2017-02-23,75.57,993447.0,75.57,74.98,75.75,75.01,
2017-02-24,76.3,866151.0,76.3,75.71,76.6895,75.71,
2017-02-27,76.45,830273.0,76.45,75.78,76.75,76.22,
2017-02-28,78.0,1766442.0,78.0,76.27,78.73,76.49,
2017-03-01,77.66,1647576.0,77.66,76.88,78.439,77.04,
2017-03-02,77.84,1341405.0,77.84,77.05,78.11,77.54,
2017-03-03,77.34,914703.0,77.34,77.0301,78.08,77.88,
2017-03-06,77.3,753193.0,77.3,77.0616,77.59,77.23,
2017-03-07,76.89,692532.0,76.89,76.85,77.48,77.3,
2017-03-08,75.47,650625.0,75.47,75.245,76.34,76.32,
2017-03-09,75.28,557487.0,75.28,75.09,75.92,75.49,
2017-03-10,75.92,597196.0,75.92,75.29,76.17,75.81,
2017-03-13,76.09,674666.0,76.09,75.92,76.43,76.0,
2017-03-14,76.01,367794.0,76.01,75.83,76.45,76.0,
2017-03-15,77.22,760622.0,77.22,75.24,77.46,75.52,
2017-03-16,75.74,843826.0,75.74,75.66,77.04,76.9,
2017-03-17,76.2,1876641.0,76.2,75.57,76.72,75.66,
2017-03-20,75.93,522430.0,75.93,75.51,76.43,76.4,
2017-03-21,76.49,801311.0,76.49,75.53,76.7761,76.0,
2017-03-22,77.16,859583.0,77.16,76.86,77.44,76.86,
2017-03-23,76.49,647711.0,76.49,76.29,77.58,77.0,
2017-03-24,77.09,571917.0,77.09,76.3,77.23,76.63,
2017-03-27,76.84,877719.0,76.84,76.41,77.67,77.58,
2017-03-28,77.19,951631.0,77.19,76.4372,77.275,76.71,
2017-03-29,77.17,1035917.0,77.17,76.47,77.35,77.07,
