YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,24.58,437405.0,24.58,24.19,24.83,24.4,3975.0
2017-01-04,24.85,627343.0,24.85,24.48,24.863,24.59,6767.0
2017-01-05,24.68,523974.0,24.68,24.5,25.0,24.84,4615.0
2017-01-06,24.55,311490.0,24.55,24.4687,24.81,24.79,2990.0
2017-01-09,24.27,451483.0,24.27,24.26,24.637,24.52,3333.0
2017-01-10,24.63,801670.0,24.63,24.27,25.0,24.38,5316.0
2017-01-11,24.63,387372.0,24.63,24.2878,24.75,24.7,3364.0
2017-01-12,24.275,1263431.0,24.275,23.48,24.685,24.5,6979.0
2017-01-13,25.23,996704.0,25.23,24.29,25.4697,24.29,6622.0
2017-01-17,24.82,1246012.0,24.82,24.445,25.17,25.17,8401.0
2017-01-18,25.1,554036.0,25.1,24.69,25.37,24.86,4883.0
2017-01-19,25.09,833199.0,25.09,24.83,25.36,25.02,4806.0
2017-01-20,24.85,483640.0,24.85,24.7532,25.24,25.24,3503.0
2017-01-23,24.81,348309.0,24.81,24.67,24.98,24.8,2981.0
2017-01-24,25.18,467905.0,25.18,24.82,25.45,24.84,3357.0
2017-01-25,25.11,400426.0,25.11,24.89,25.5,25.39,2919.0
2017-01-26,24.88,260503.0,24.88,24.73,25.26,25.11,2347.0
2017-01-27,24.83,388035.0,24.83,24.65,24.96,24.88,2636.0
2017-01-30,24.89,566383.0,24.89,24.33,24.99,24.62,3024.0
2017-01-31,24.98,586509.0,24.98,24.5,25.03,24.83,4327.0
2017-02-01,25.13,501056.0,25.13,24.91,25.3,25.13,4015.0
2017-02-02,25.72,756106.0,25.72,25.13,25.99,25.18,5391.0
2017-02-03,26.27,876999.0,26.27,25.52,26.35,25.74,5955.0
2017-02-06,26.92,1059077.0,26.92,26.18,26.99,26.33,7414.0
2017-02-07,26.81,966893.0,26.81,26.68,27.41,27.02,6924.0
2017-02-08,26.54,880765.0,26.54,26.22,26.85,26.79,6277.0
2017-02-09,26.89,623714.0,26.89,26.4,27.17,26.5,5019.0
2017-02-10,27.34,1043424.0,27.34,26.87,27.4,27.0,6080.0
2017-02-13,27.18,493709.0,27.18,27.15,27.56,27.4,4118.0
2017-02-14,27.01,331597.0,27.01,26.89,27.19,27.16,2648.0
2017-02-15,26.53,693305.0,26.53,26.35,26.85,26.7,4692.0
2017-02-16,26.67,437995.0,26.67,26.27,26.68,26.49,3685.0
2017-02-17,26.5,722691.0,26.5,26.29,26.6889,26.5,5160.0
2017-02-21,26.57,431208.0,26.57,26.36,26.7,26.42,3704.0
2017-02-22,26.24,624347.0,26.24,26.02,26.59,26.42,3779.0
2017-02-23,25.47,631937.0,25.47,25.41,26.4299,26.31,4961.0
