YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,46.49,1739726.0,46.49,45.74,46.75,45.93,
2017-01-04,47.1,1821264.0,47.1,46.8162,47.38,46.93,
2017-01-05,46.54,1503763.0,46.54,46.355,47.07,47.05,
2017-01-06,47.99,2883483.0,47.99,46.56,48.07,46.63,
2017-01-09,48.14,2575328.0,48.14,47.905,48.555,48.01,
2017-01-10,48.1,1560549.0,48.1,47.82,48.54,48.34,
2017-01-11,49.25,5624332.0,49.25,47.95,49.48,48.03,
2017-01-12,48.52,3276952.0,48.52,47.98,48.9,48.9,
2017-01-13,48.69,1568923.0,48.69,48.41,48.85,48.6,
2017-01-17,48.32,1939449.0,48.32,48.175,48.715,48.37,
2017-01-18,48.25,1523508.0,48.25,48.0,48.73,48.67,
2017-01-19,47.64,1346142.0,47.64,47.51,48.09,48.04,
2017-01-20,47.62,1701695.0,47.62,47.4139,47.93,47.83,
2017-01-23,47.39,2013878.0,47.39,47.23,47.83,47.6,
2017-01-24,47.35,2741915.0,47.35,47.05,48.21,47.77,
2017-01-25,48.41,3073228.0,48.41,47.41,48.42,47.6,
2017-01-26,48.17,1895562.0,48.17,47.915,48.43,48.42,
2017-01-27,48.65,1527822.0,48.65,48.3,48.825,48.32,
2017-01-30,47.67,2266487.0,47.67,47.385,48.55,48.48,
2017-01-31,48.97,2552612.0,48.97,48.01,49.145,48.04,
2017-02-01,49.26,2244604.0,49.26,48.68,49.81,48.93,
2017-02-02,48.9,1352525.0,48.9,48.47,49.0,48.88,
2017-02-03,49.38,1191855.0,49.38,49.06,49.47,49.09,
2017-02-06,49.27,952095.0,49.27,48.96,49.38,49.13,
2017-02-07,49.64,2170720.0,49.64,49.26,49.78,49.42,
2017-02-08,49.93,2107079.0,49.93,49.23,50.03,49.37,
2017-02-09,50.47,2557747.0,50.47,50.0,50.8,50.1,
2017-02-10,50.36,2092479.0,50.36,50.02,50.59,50.51,
2017-02-13,50.52,1568350.0,50.52,50.42,50.89,50.63,
2017-02-14,50.39,3546878.0,50.39,50.09,50.68,50.24,
2017-02-15,51.62,5724488.0,51.62,50.62,51.84,51.14,
2017-02-16,50.84,2550439.0,50.84,50.56,51.68,51.68,
2017-02-17,51.63,2195788.0,51.63,50.58,51.64,50.65,
2017-02-21,51.35,2036993.0,51.35,51.17,51.8,51.66,
2017-02-22,51.34,1632886.0,51.34,51.19,51.723,51.31,
2017-02-23,51.47,1006867.0,51.47,51.2,51.6,51.44,
2017-02-24,51.74,1612698.0,51.74,51.33,51.83,51.38,
2017-02-27,51.66,1195138.0,51.66,51.46,51.94,51.74,
2017-02-28,51.3,1417772.0,51.3,51.23,51.65,51.52,
2017-03-01,52.04,2026600.0,52.04,51.62,52.26,51.62,
2017-03-02,51.38,1706500.0,51.38,51.33,52.08,52.04,
2017-03-03,51.98,1824423.0,51.98,51.15,52.04,51.38,
2017-03-06,51.25,1884477.0,51.25,51.175,51.82,51.64,
2017-03-07,51.21,2233561.0,51.21,50.86,51.445,51.06,
2017-03-08,51.41,1517642.0,51.41,50.95,51.565,51.26,
2017-03-09,51.43,1259407.0,51.43,51.13,51.58,51.42,
2017-03-10,52.15,1860508.0,52.15,51.48,52.355,51.69,
2017-03-13,52.45,1376191.0,52.45,51.99,52.46,52.14,
2017-03-14,52.21,1203368.0,52.21,51.96,52.26,52.24,
2017-03-15,54.1,4117983.0,54.1,53.02,54.82,53.31,
2017-03-16,53.05,2676915.0,53.05,52.83,54.05,53.43,
2017-03-17,53.31,1936902.0,53.31,52.92,53.53,53.06,
2017-03-20,53.15,1221409.0,53.15,53.0,53.63,53.33,
2017-03-21,52.66,1492698.0,52.66,52.48,53.7335,53.28,
2017-03-22,53.13,1257072.0,53.13,52.65,53.47,52.79,
2017-03-23,53.18,1717929.0,53.18,52.72,53.78,53.04,
2017-03-24,53.08,2015289.0,53.08,52.84,54.05,54.05,
2017-03-27,53.24,1446568.0,53.24,52.42,53.34,52.6,
2017-03-28,53.44,1312688.0,53.44,53.095,53.61,53.29,
2017-03-29,53.12,1469882.0,53.12,52.78,53.42,53.26,
2017-03-30,53.32,1627592.0,53.32,52.9,53.425,53.06,
2017-03-31,52.87,1705625.0,52.87,52.81,53.23,53.07,
2017-04-03,53.2,1550227.0,53.2,52.73,53.21,52.9,
2017-04-04,52.62,2017094.0,52.62,52.48,53.24,53.2,
2017-04-05,52.71,1778251.0,52.71,52.695,53.22,52.72,
2017-04-06,53.15,1548170.0,53.15,52.26,53.23,52.7,
2017-04-07,52.84,1243550.0,52.84,52.7,53.07,53.07,
2017-04-10,52.72,1025248.0,52.72,52.68,53.26,52.9,
2017-04-11,52.83,1520703.0,52.83,52.37,52.9,52.7,
2017-04-12,52.55,1258152.0,52.55,52.47,53.03,52.85,
2017-04-13,52.33,863990.0,52.33,52.31,52.74,52.43,
2017-04-17,53.46,1569436.0,53.46,52.43,53.705,52.63,
2017-04-18,53.03,1241164.0,53.03,52.68,53.6,53.02,
2017-04-19,53.07,2096351.0,53.07,52.95,53.42,53.35,
