YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,22.53,99298080.0,22.53,22.2,22.68,22.6,
2017-01-04,22.95,76875052.0,22.95,22.6,22.96,22.72,
2017-01-05,22.68,86826447.0,22.68,22.345,22.93,22.82,
2017-01-06,22.68,66281476.0,22.68,22.56,22.85,22.78,
2017-01-09,22.55,75901509.0,22.55,22.4,22.71,22.51,
2017-01-10,22.94,100977665.0,22.94,22.54,23.14,22.59,
2017-01-11,23.07,92385551.0,23.07,22.72,23.07,22.94,
2017-01-12,22.92,120474191.0,22.92,22.61,23.12,23.01,
2017-01-13,23.01,161930864.0,23.01,22.8,23.409,23.21,
2017-01-17,22.05,152495923.0,22.05,22.01,22.79,22.68,
2017-01-18,22.63,124366028.0,22.63,22.1,22.65,22.3,
2017-01-19,22.53,75990836.0,22.53,22.41,22.81,22.73,
2017-01-20,22.64,102564870.0,22.64,22.52,22.93,22.66,
2017-01-23,22.56,61385646.0,22.56,22.415,22.76,22.62,
2017-01-24,22.95,98508678.0,22.95,22.48,23.095,22.61,
2017-01-25,23.37,99753317.0,23.37,23.1,23.42,23.32,
2017-01-26,23.44,84146352.0,23.44,23.28,23.55,23.41,
2017-01-27,23.36,54590182.0,23.36,23.28,23.45,23.43,
2017-01-30,22.95,91561224.0,22.95,22.71,23.2,23.2,
2017-01-31,22.64,91044261.0,22.64,22.5,23.025,22.77,
2017-02-01,22.89,103630853.0,22.89,22.82,23.22,22.97,
2017-02-02,22.72,88679063.0,22.72,22.51,22.79,22.74,
2017-02-03,23.29,116035108.0,23.29,22.95,23.35,23.15,
2017-02-06,23.12,92228389.0,23.12,23.07,23.38,23.15,
2017-02-07,22.9,87982945.0,22.9,22.86,23.29,23.28,
2017-02-08,22.67,102264514.0,22.67,22.45,22.73,22.73,
2017-02-09,23.12,102634174.0,23.12,22.64,23.15,22.76,
2017-02-10,23.08,90548254.0,23.08,22.96,23.24,23.19,
2017-02-13,23.4,105342461.0,23.4,23.17,23.54,23.17,
2017-02-14,24.06,139711380.0,24.06,23.33,24.17,23.4,
2017-02-15,24.58,151233334.0,24.58,24.11,24.77,24.34,
2017-02-16,24.58,98144469.0,24.58,24.3,24.62,24.54,
2017-02-17,24.52,85789239.0,24.52,24.2,24.58,24.28,
2017-02-21,24.78,78571450.0,24.78,24.58,24.8,24.59,
2017-02-22,24.79,81531895.0,24.79,24.54,24.95,24.61,
2017-02-23,24.58,85845982.0,24.58,24.51,24.89,24.79,
2017-02-24,24.23,97074433.0,24.23,24.02,24.35,24.12,
2017-02-27,24.57,69129148.0,24.57,24.19,24.66,24.2,
2017-02-28,24.68,90241979.0,24.68,24.42,24.7,24.48,
2017-03-01,25.5,143947510.0,25.5,25.22,25.61,25.37,
2017-03-02,25.23,99824552.0,25.23,25.2,25.8,25.68,
2017-03-03,25.44,92681401.0,25.44,25.3,25.65,25.3,
2017-03-06,25.25,75660430.0,25.25,25.08,25.35,25.33,
2017-03-07,25.21,64053694.0,25.21,25.1,25.36,25.22,
2017-03-08,25.26,105314569.0,25.26,25.22,25.77,25.6,
2017-03-09,25.35,78984607.0,25.35,25.23,25.53,25.35,
2017-03-10,25.31,86998808.0,25.31,25.09,25.62,25.62,
2017-03-13,25.3,56886181.0,25.3,25.13,25.41,25.3,
2017-03-14,25.32,63182745.0,25.32,25.05,25.34,25.19,
2017-03-15,25.18,114662671.0,25.18,24.96,25.55,25.39,
2017-03-16,25.22,70306233.0,25.22,25.19,25.49,25.24,
2017-03-17,24.86,105222387.0,24.86,24.83,25.27,25.22,
2017-03-20,24.44,87287477.0,24.44,24.42,24.76,24.58,
2017-03-21,23.02,259545810.0,23.02,22.95,24.56,24.5,
2017-03-22,22.94,167984438.0,22.94,22.45,23.18,22.65,
2017-03-23,23.07,111666799.0,23.07,22.91,23.49,23.04,
2017-03-24,23.12,113499139.0,23.12,22.76,23.35,23.2,
2017-03-27,23.03,119513475.0,23.03,22.16,23.05,22.28,
2017-03-28,23.48,95761732.0,23.48,23.0,23.67,23.01,
2017-03-29,23.35,67204492.0,23.35,23.31,23.65,23.51,
2017-03-30,23.87,79189235.0,23.87,23.33,23.98,23.38,
2017-03-31,23.59,77158276.0,23.59,23.59,23.97,23.83,
2017-04-03,23.59,88076585.0,23.59,23.08,23.75,23.65,
2017-04-04,23.44,75244440.0,23.44,23.2,23.51,23.2,
2017-04-05,23.17,97453336.0,23.17,23.15,23.88,23.77,
2017-04-06,23.26,82975196.0,23.26,22.96,23.46,23.17,
2017-04-07,23.16,79519370.0,23.16,22.93,23.34,23.03,
2017-04-10,23.02,63254657.0,23.02,22.91,23.28,23.13,
2017-04-11,22.92,94206681.0,22.92,22.58,22.95,22.83,
2017-04-12,22.65,76556334.0,22.65,22.61,22.94,22.88,
2017-04-13,22.34,88061760.0,22.34,22.34,22.96,22.56,
2017-04-17,22.81,85053244.0,22.81,22.26,22.83,22.36,
2017-04-18,22.71,146488440.0,22.71,22.38,23.15,23.11,
2017-04-19,22.74,101771793.0,22.74,22.68,23.15,22.92,
2017-04-20,23.07,103802616.0,23.07,22.82,23.17,22.96,
2017-04-21,22.71,127235359.0,22.71,22.59,23.08,23.03,
2017-04-24,23.63,138638933.0,23.63,23.24,23.85,23.24,
2017-04-25,23.98,131531125.0,23.98,23.91,24.35,23.99,
2017-04-26,23.89,95172221.0,23.89,23.86,24.19,24.0,
2017-04-27,23.65,80024211.0,23.65,23.46,23.925,23.9,
2017-04-28,23.34,69384908.0,23.34,23.32,23.72,23.57,
2017-05-01,23.61,72382852.0,23.61,23.35,23.77,23.52,
2017-05-02,23.53,60262632.0,23.53,23.33,23.67,23.61,
2017-05-03,23.77,64272813.0,23.77,23.34,23.78,23.37,
2017-05-04,23.85,68133392.0,23.85,23.731,24.05,23.98,
2017-05-05,23.74,56678794.0,23.74,23.6,23.99,23.98,
2017-05-08,23.96,56016460.0,23.96,23.75,24.06,23.75,
2017-05-09,23.98,61621953.0,23.98,23.87,24.31,24.03,
2017-05-10,24.15,48495255.0,24.15,23.87,24.17,23.91,
2017-05-11,24.07,68350823.0,24.07,23.84,24.23,24.095,
2017-05-12,24.0,62589008.0,24.0,23.75,24.0,23.92,
2017-05-15,24.06,50688798.0,24.06,23.98,24.14,24.06,
