YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,44.44,2937875.0,44.44,44.06,44.74,44.38,
2017-01-04,44.75,2161471.0,44.75,44.46,44.87,44.54,
2017-01-05,45.05,2345008.0,45.05,44.565,45.24,44.75,
2017-01-06,45.52,2930892.0,45.52,44.88,45.61,45.06,
2017-01-09,46.17,4265789.0,46.17,45.49,46.22,45.73,
2017-01-10,46.51,2990658.0,46.51,46.06,46.75,46.22,
2017-01-11,46.99,3649783.0,46.99,46.51,47.01,46.62,
2017-01-12,46.51,2511227.0,46.51,46.01,46.94,46.81,
2017-01-13,46.45,1240147.0,46.45,46.34,46.83,46.59,
2017-01-17,46.52,2570771.0,46.52,45.79,46.59,46.19,
2017-01-18,46.77,2377241.0,46.77,46.39,46.97,46.6,
2017-01-19,46.57,1928488.0,46.57,46.2759,46.87,46.68,
2017-01-20,46.23,3541177.0,46.23,46.2,47.4,46.7,
2017-01-23,46.02,2700340.0,46.02,45.65,46.39,46.06,
2017-01-24,45.85,1911475.0,45.85,45.47,46.0,45.97,
2017-01-25,46.14,2662603.0,46.14,45.82,46.36,45.86,
2017-01-26,46.05,2315376.0,46.05,45.53,46.315,45.96,
2017-01-27,47.08,2349688.0,47.08,46.05,47.16,46.13,
2017-01-30,46.9,2451124.0,46.9,46.5,47.01,46.99,
2017-01-31,47.91,6331700.0,47.91,46.68,48.08,46.86,
2017-02-01,48.1,6030488.0,48.1,46.85,49.29,48.68,
2017-02-02,48.13,3928783.0,48.13,47.92,48.97,47.92,
2017-02-03,48.63,2527326.0,48.63,48.34,48.88,48.37,
2017-02-06,48.35,1893373.0,48.35,48.12,48.62,48.5,
2017-02-07,48.59,1854379.0,48.59,48.34,48.68,48.48,
2017-02-08,48.35,1883461.0,48.35,48.15,48.66,48.5,
2017-02-09,48.93,2299506.0,48.93,48.4,49.03,48.45,
2017-02-10,49.0,1398235.0,49.0,48.77,49.135,48.93,
2017-02-13,49.23,1686008.0,49.23,48.875,49.44,49.04,
2017-02-14,48.96,2737877.0,48.96,48.77,49.31,48.99,
2017-02-15,49.44,2594462.0,49.44,48.58,49.58,48.59,
2017-02-16,49.42,1640032.0,49.42,49.01,49.55,49.4,
2017-02-17,49.73,2835843.0,49.73,49.3,49.74,49.32,
2017-02-21,49.96,3427339.0,49.96,49.59,50.2,49.75,
2017-02-22,50.06,1685007.0,50.06,49.8,50.22,49.81,
2017-02-23,50.39,1828592.0,50.39,50.06,50.76,50.25,
2017-02-24,50.49,2470009.0,50.49,50.23,50.58,50.28,
2017-02-27,50.44,2445341.0,50.44,50.385,50.77,50.5,
2017-02-28,50.92,6405743.0,50.92,50.37,51.4,50.41,
2017-03-01,51.21,3649445.0,51.21,50.6,51.27,51.27,
2017-03-02,50.77,2145611.0,50.77,50.6,51.17,51.17,
