YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,156.97,3426113.0,156.97,155.21,157.14,156.3,
2017-01-04,158.62,3189810.0,158.62,157.81,159.2299,157.81,
2017-01-05,158.71,2795984.0,158.71,157.401,159.7,158.41,
2017-01-06,159.1,2426662.0,159.1,157.89,159.66,158.98,
2017-01-09,158.32,2839400.0,158.32,158.17,159.24,159.0,
2017-01-10,159.07,2988302.0,159.07,158.57,159.94,158.96,
2017-01-11,159.4,2416487.0,159.4,158.28,159.7,159.54,
2017-01-12,158.29,3020486.0,158.29,156.67,159.16,159.15,
2017-01-13,158.83,2435391.0,158.83,158.34,159.58,158.74,
2017-01-17,157.67,2758788.0,157.67,157.23,159.04,158.2,
2017-01-18,158.32,2087283.0,158.32,156.75,159.05,157.55,
2017-01-19,159.0,3143963.0,159.0,157.91,159.87,158.87,
2017-01-20,159.53,3384525.0,159.53,158.23,160.3,159.81,
2017-01-23,157.84,3931185.0,157.84,157.29,159.5,158.94,
2017-01-24,160.55,3927536.0,160.55,157.84,160.93,158.58,
2017-01-25,167.36,7480039.0,167.36,163.24,168.65,163.59,
2017-01-26,169.12,5436834.0,169.12,167.25,170.0,167.25,
2017-01-27,167.7,4883230.0,167.7,167.01,169.8,169.21,
2017-01-30,165.57,5456316.0,165.57,163.82,165.99,165.92,
2017-01-31,163.42,5350680.0,163.42,163.22,165.1,164.96,
2017-02-01,163.97,3138026.0,163.97,163.12,165.81,164.25,
2017-02-02,162.26,3791669.0,162.26,160.82,163.97,163.22,
2017-02-03,162.4,2981662.0,162.4,162.31,163.56,162.99,
2017-02-06,163.98,3110494.0,163.98,162.38,164.08,162.42,
2017-02-07,166.5,4243239.0,166.5,164.8725,167.4199,165.0,
2017-02-08,163.81,3041595.0,163.81,163.69,165.24,165.0,
2017-02-09,164.28,3451132.0,164.28,164.06,165.086,164.67,
2017-02-10,166.23,2689719.0,166.23,164.47,166.45,165.25,
2017-02-13,168.03,3765027.0,168.03,166.35,169.07,166.45,
2017-02-14,168.5,2580278.0,168.5,167.22,168.8,167.7,
2017-02-15,169.3,4033198.0,169.3,168.35,169.95,168.42,
2017-02-16,170.81,3070147.0,170.81,168.75,170.81,169.64,
2017-02-17,172.71,4982894.0,172.71,170.4,173.25,170.41,
2017-02-21,175.56,4231706.0,175.56,173.68,176.17,173.92,
2017-02-22,175.36,2832136.0,175.36,174.01,175.75,174.98,
2017-02-23,176.86,3502645.0,176.86,175.7,177.0,175.97,
2017-02-24,177.44,4197152.0,177.44,176.1,178.8,176.75,
2017-02-27,179.43,2892626.0,179.43,177.55,179.8839,178.0,
2017-02-28,180.23,4785145.0,180.23,179.67,181.93,180.34,
2017-03-01,183.91,5461751.0,183.91,181.82,184.8,181.85,
2017-03-02,182.99,4909023.0,182.99,182.97,185.71,184.0,
2017-03-03,182.18,3940363.0,182.18,181.45,183.58,183.04,
2017-03-06,180.93,4244029.0,180.93,180.43,182.3,181.4,
2017-03-07,182.02,2451990.0,182.02,180.6209,182.84,180.64,
2017-03-08,181.74,2321738.0,181.74,181.49,182.694,182.4,
2017-03-09,180.57,3100466.0,180.57,179.58,182.59,181.43,
2017-03-10,178.7,4595621.0,178.7,177.92,181.97,181.9,
2017-03-13,179.05,3499021.0,179.05,177.07,179.19,177.16,
2017-03-14,178.73,2346666.0,178.73,177.71,179.69,178.54,
2017-03-15,178.71,3569047.0,178.71,177.97,179.24,179.0,
2017-03-16,178.19,3100744.0,178.19,177.64,180.0,179.82,
2017-03-17,180.1,5037385.0,180.1,178.17,180.3835,178.31,
2017-03-20,179.39,2062211.0,179.39,179.14,180.15,180.1,
2017-03-21,175.96,3239579.0,175.96,175.5,180.25,179.99,
2017-03-22,176.98,2505738.0,176.98,175.5,177.1,175.96,
2017-03-23,177.26,2006383.0,177.26,176.59,177.85,177.34,
2017-03-24,175.82,2386809.0,175.82,174.7687,177.53,176.85,
2017-03-27,176.1,2750685.0,176.1,173.75,176.44,174.37,
2017-03-28,177.36,2412559.0,177.36,175.0,177.683,176.29,
2017-03-29,177.63,1640601.0,177.63,176.97,177.99,177.4,
2017-03-30,177.98,1737221.0,177.98,177.22,178.49,177.25,
2017-03-31,176.86,2032749.0,176.86,176.81,178.18,178.02,
2017-04-03,176.65,2934818.0,176.65,175.5,177.73,177.08,
2017-04-04,178.7,2326494.0,178.7,176.76,178.79,176.88,
2017-04-05,177.08,2567212.0,177.08,176.89,180.18,179.0,
2017-04-06,177.37,2343873.0,177.37,177.12,178.22,177.56,
2017-04-07,178.85,2806866.0,178.85,177.26,179.09,178.39,
2017-04-10,177.56,2309273.0,177.56,177.48,179.97,179.0,
2017-04-11,178.57,2266280.0,178.57,176.96,178.6,177.5,
2017-04-12,176.05,2922725.0,176.05,175.94,178.25,178.25,
2017-04-13,175.62,2024086.0,175.62,175.5639,176.88,175.74,
2017-04-17,179.02,2450222.0,179.02,175.65,179.08,175.84,
2017-04-18,177.85,2960165.0,177.85,177.12,179.97,178.59,
2017-04-19,178.4,2124533.0,178.4,178.16,179.9,178.47,
2017-04-20,179.3,2335176.0,179.3,178.346,179.82,178.74,
2017-04-21,180.38,3146556.0,180.38,179.42,180.93,179.42,
2017-04-24,182.06,3141913.0,182.06,181.61,182.46,181.75,
2017-04-25,183.51,3735370.0,183.51,182.53,183.85,182.53,
2017-04-26,181.71,4471593.0,181.71,180.11,183.0,182.31,
2017-04-27,183.22,3129075.0,183.22,182.59,183.76,182.59,
2017-04-28,184.83,2181592.0,184.83,183.02,184.93,183.42,
2017-05-01,182.39,3516749.0,182.39,181.8,184.485,184.23,
2017-05-02,183.44,1979787.0,183.44,182.53,183.91,182.54,
2017-05-03,183.39,2983245.0,183.39,182.25,183.75,183.45,
2017-05-04,183.07,2289326.0,183.07,182.18,184.25,183.33,
2017-05-05,185.01,2636917.0,185.01,183.16,185.07,183.16,
2017-05-08,186.02,1963569.0,186.02,185.0,186.39,185.38,
2017-05-09,186.91,3003956.0,186.91,186.05,187.205,186.11,
2017-05-10,183.18,7060056.0,183.18,178.18,185.65,185.14,
2017-05-11,183.94,2883815.0,183.94,182.17,184.33,182.9,
2017-05-12,183.25,3479223.0,183.25,182.63,183.98,183.71,
2017-05-15,182.39,3364967.0,182.39,182.28,184.11,183.3,
2017-05-16,182.7,2156147.0,182.7,182.04,183.15,182.73,
2017-05-17,178.78,2535741.0,178.78,178.68,181.52,181.39,
2017-05-18,177.4,3118075.0,177.4,175.471,178.5,178.48,
2017-05-19,180.76,4038909.0,180.76,176.77,181.42,177.73,
2017-05-22,183.67,2946750.0,183.67,182.52,185.32,183.78,
2017-05-23,183.49,2123758.0,183.49,182.86,184.46,184.0,
2017-05-24,185.25,2425330.0,185.25,183.46,185.4,183.46,
2017-05-25,187.07,2363329.0,187.07,185.59,187.42,185.63,
2017-05-26,186.59,1735778.0,186.59,186.27,187.605,186.73,
2017-05-30,186.88,2231571.0,186.88,186.19,187.42,186.76,
2017-05-31,187.63,5186677.0,187.63,186.72,188.26,187.37,
2017-06-01,187.32,2870243.0,187.32,184.53,187.91,187.41,
2017-06-02,190.23,3034272.0,190.23,187.6499,191.7,187.82,
2017-06-05,188.95,2522113.0,188.95,188.81,190.74,190.07,
2017-06-06,186.75,2724995.0,186.75,186.685,188.86,188.41,
2017-06-07,188.1,2383954.0,188.1,186.3926,188.54,186.85,
2017-06-08,189.93,2340325.0,189.93,187.7,191.07,188.1,
2017-06-09,190.03,3344896.0,190.03,189.25,190.99,190.0,
2017-06-12,190.0,2730111.0,190.0,188.05,190.53,190.3,
2017-06-13,191.09,1882684.0,191.09,189.35,191.56,190.05,
2017-06-14,192.38,2210039.0,192.38,190.819,193.38,191.05,
2017-06-15,195.45,2894081.0,195.45,191.37,195.55,191.43,
2017-06-16,196.44,6939081.0,196.44,195.81,197.95,196.01,
2017-06-19,199.08,2726416.0,199.08,197.0,199.47,197.88,
2017-06-20,198.33,3077408.0,198.33,198.31,201.24,198.75,
2017-06-21,199.17,3151125.0,199.17,197.56,199.71,199.58,
2017-06-22,199.44,3339255.0,199.44,199.18,200.409,199.25,
2017-06-23,202.23,4310050.0,202.23,198.68,202.35,199.26,
2017-06-26,199.98,3077632.0,199.98,199.94,204.39,202.77,
2017-06-27,198.89,2296887.0,198.89,198.89,200.92,199.8,
2017-06-28,199.62,2096774.0,199.62,199.3,200.95,199.5,
2017-06-29,197.46,2428873.0,197.46,196.45,199.755,199.62,
2017-06-30,197.75,2225564.0,197.75,197.3901,199.44,198.5,
2017-07-03,198.59,1511163.0,198.59,197.75,199.44,198.07,
2017-07-05,201.81,2716674.0,201.81,198.86,202.14,199.3,
2017-07-06,201.48,2737400.0,201.48,200.78,202.49,201.64,
2017-07-07,202.37,3090441.0,202.37,201.26,203.28,202.24,
2017-07-10,203.96,2701928.0,203.96,202.19,204.58,202.32,
2017-07-11,206.27,2815790.0,206.27,204.0,206.66,204.0,
2017-07-12,206.44,2817350.0,206.44,206.32,208.61,206.95,
2017-07-13,206.23,1943575.0,206.23,205.35,207.0,206.8,
2017-07-14,208.51,3229034.0,208.51,206.74,208.73,206.798,
2017-07-17,209.0,2415956.0,209.0,208.56,209.72,208.73,
2017-07-18,208.24,1943144.0,208.24,207.53,209.19,209.11,
2017-07-19,210.88,2258363.0,210.88,208.99,210.93,209.43,
2017-07-20,210.28,2235082.0,210.28,209.9189,211.25,211.1,
2017-07-21,212.14,2098402.0,212.14,209.41,212.2014,209.99,
2017-07-24,212.18,2392741.0,212.18,211.4,212.64,212.0,
2017-07-25,212.46,2889035.0,212.46,211.95,214.0,213.22,
2017-07-26,233.45,14139955.0,233.45,223.02,233.98,223.48,
2017-07-27,241.0,10860578.0,241.0,236.7,242.68,237.13,
2017-07-28,241.27,4602406.0,241.27,238.55,242.0,240.82,
2017-07-31,242.46,5777271.0,242.46,241.82,246.49,241.85,
2017-08-01,239.44,5018396.0,239.44,239.155,243.991,243.38,
2017-08-02,237.95,5119876.0,237.95,237.88,241.56,239.06,
2017-08-03,238.25,5112697.0,238.25,236.04,239.59,237.06,
2017-08-04,237.71,5590535.0,237.71,236.38,239.73,238.58,
2017-08-07,240.23,3674677.0,240.23,237.21,241.43,237.6,
2017-08-08,239.5,4871451.0,239.5,238.93,240.52,239.91,
2017-08-09,234.31,5680369.0,234.31,234.1,238.7,238.01,
2017-08-10,232.88,6817655.0,232.88,231.91,236.16,234.03,
2017-08-11,234.88,3461663.0,234.88,230.94,235.4,232.76,
2017-08-14,237.15,2953549.0,237.15,235.72,237.48,236.01,
2017-08-15,239.17,2851082.0,239.17,236.01,239.64,237.21,
2017-08-16,237.59,3012660.0,237.59,237.41,240.26,239.7,
2017-08-17,235.59,2810933.0,235.59,235.25,237.6,237.38,
2017-08-18,235.77,2939494.0,235.77,234.5664,237.26,235.0,
2017-08-21,235.68,2545355.0,235.68,234.35,236.94,235.77,
2017-08-22,239.75,2915687.0,239.75,236.11,239.89,236.16,
2017-08-23,238.09,2518274.0,238.09,237.19,239.36,239.36,
2017-08-24,238.74,2553084.0,238.74,236.6,238.9,238.52,
2017-08-25,235.89,2270276.0,235.89,235.6,239.09,239.0,
2017-08-28,237.18,2394983.0,237.18,234.611,237.5547,236.22,
2017-08-29,240.49,3535465.0,240.49,236.08,241.17,237.21,
2017-08-30,240.46,2801097.0,240.46,239.0,241.44,240.99,
2017-08-31,239.66,3075798.0,239.66,238.41,241.1,241.0,
2017-09-01,240.33,3271270.0,240.33,239.17,242.53,239.66,
2017-09-05,237.0,3869251.0,237.0,236.23,240.36,240.3,
2017-09-06,234.62,4252704.0,234.62,234.34,237.8564,237.53,
2017-09-07,236.31,2994514.0,236.31,234.29,236.54,234.75,
2017-09-08,238.78,3404151.0,238.78,235.21,239.39,235.75,
2017-09-11,240.59,3628146.0,240.59,239.31,241.85,239.5,
2017-09-12,240.58,2702732.0,240.58,238.95,241.7074,240.59,
2017-09-13,241.93,4529090.0,241.93,237.09,243.48,240.0,
2017-09-14,245.23,4995155.0,245.23,242.5,245.61,243.0,
2017-09-15,249.0,9033301.0,249.0,246.21,249.95,247.36,
2017-09-18,253.08,5192959.0,253.08,248.91,253.7875,249.97,
2017-09-19,252.46,4124716.0,252.46,251.631,255.17,253.08,
2017-09-20,255.46,3853153.0,255.46,252.25,256.6924,253.26,
2017-09-21,256.04,2809374.0,256.04,254.4239,256.99,256.13,
2017-09-22,256.45,3475566.0,256.45,256.13,259.3,256.31,
2017-09-25,254.32,3479166.0,254.32,251.5,256.97,256.97,
2017-09-26,253.7,2173606.0,253.7,253.54,256.48,254.6,
2017-09-27,255.28,3840114.0,255.28,253.971,258.77,255.27,
2017-09-28,254.27,2586076.0,254.27,251.17,255.8,254.11,
2017-09-29,254.21,2531131.0,254.21,252.591,255.26,253.85,
2017-10-02,255.99,2685053.0,255.99,253.5301,255.99,254.65,
2017-10-03,255.46,3163415.0,255.46,254.69,258.26,255.99,
2017-10-04,255.76,3030983.0,255.76,254.07,257.13,256.12,
2017-10-05,258.89,3940198.0,258.89,254.78,258.99,255.28,
2017-10-06,258.58,2736358.0,258.58,257.06,258.9018,258.0,
2017-10-09,258.39,2146782.0,258.39,257.11,259.0,259.0,
2017-10-10,260.93,2740651.0,260.93,257.2,261.06,259.74,
2017-10-11,261.44,2890344.0,261.44,259.02,261.65,261.32,
2017-10-12,261.91,2577900.0,261.91,260.0,262.98,260.95,
2017-10-13,260.74,2243903.0,260.74,260.74,263.79,262.9,
2017-10-16,259.75,1818869.0,259.75,259.69,262.0,261.5,
2017-10-17,258.62,2515865.0,258.62,256.26,259.05,256.49,
2017-10-18,260.04,2051651.0,260.04,256.66,260.73,258.47,
2017-10-19,259.04,2589203.0,259.04,256.03,259.1,258.98,
2017-10-20,264.75,3955922.0,264.75,259.44,264.8272,260.36,
2017-10-23,262.32,3302395.0,262.32,262.14,265.98,265.13,
2017-10-24,266.0,4401597.0,266.0,263.24,267.21,263.24,
2017-10-25,258.42,7895318.0,258.42,254.5,266.0,264.78,
2017-10-26,259.27,3419137.0,259.27,257.31,261.44,259.72,
2017-10-27,256.46,2899168.0,256.46,255.8,259.4994,258.26,
2017-10-30,259.25,3025919.0,259.25,255.33,260.41,255.45,
2017-10-31,257.98,2742775.0,257.98,257.47,259.93,259.34,
2017-11-01,258.5,2929490.0,258.5,256.24,259.41,258.29,
2017-11-02,262.63,2529912.0,262.63,258.0,263.24,258.31,
2017-11-03,261.75,2610784.0,261.75,260.08,263.79,262.42,
2017-11-06,264.07,2911598.0,264.07,262.5327,265.84,262.62,
2017-11-07,266.13,3205378.0,266.13,264.07,267.28,264.07,
2017-11-08,265.57,2841807.0,265.57,265.29,267.62,266.14,
2017-11-09,262.7,3215865.0,262.7,259.5626,266.75,265.01,
2017-11-10,260.85,1740621.0,260.85,259.6,262.5,262.11,
2017-11-13,262.42,2604867.0,262.42,260.49,263.36,261.67,
2017-11-14,261.76,2358169.0,261.76,260.2,262.4,262.0,
2017-11-15,262.86,2510533.0,262.86,260.15,264.77,261.42,
2017-11-16,263.7,2710174.0,263.7,263.34,265.04,263.76,
2017-11-17,262.26,1724790.0,262.26,262.03,263.74,262.82,
2017-11-20,264.63,2447398.0,264.63,262.76,265.6189,263.0,
2017-11-21,266.99,2267052.0,266.99,264.71,267.0,266.24,
2017-11-22,265.15,1471390.0,265.15,264.53,267.48,267.0,
2017-11-24,265.88,788957.0,265.88,264.5304,266.57,265.26,
2017-11-27,265.58,1772196.0,265.58,264.72,266.84,265.38,
2017-11-28,267.99,2262052.0,267.99,265.23,268.01,267.0,
2017-11-29,269.3,3029095.0,269.3,266.15,269.6807,269.48,
2017-11-30,276.8,4820313.0,276.8,269.43,277.04,269.91,
2017-12-01,271.38,4592483.0,271.38,270.6,278.73,277.51,
2017-12-04,277.97,5523013.0,277.97,276.0,281.83,276.16,
2017-12-05,275.54,2806075.0,275.54,274.86,279.44,279.01,
2017-12-06,278.27,2538083.0,278.27,274.0046,279.14,274.87,
2017-12-07,281.97,4264354.0,281.97,277.8,284.79,278.49,
2017-12-08,285.9,4440528.0,285.9,283.56,287.32,285.01,
