YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,66.58,2808614.0,66.58,65.36,67.0,65.36,
2017-01-04,67.34,3226293.0,67.34,67.0,68.435,67.0,
2017-01-05,62.04,8131469.0,62.04,61.0,64.91,64.65,
2017-01-06,61.23,4121956.0,61.23,61.01,61.8,61.53,
2017-01-09,61.3,2538216.0,61.3,60.66,61.93,61.13,
2017-01-10,61.35,2088784.0,61.35,60.82,62.33,61.06,
2017-01-11,61.27,2424345.0,61.27,60.55,61.57,61.29,
2017-01-12,60.71,2292699.0,60.71,60.1,61.1899,60.97,
2017-01-13,60.69,2125771.0,60.69,60.0514,61.02,60.5,
2017-01-17,61.14,2377602.0,61.14,60.85,62.24,60.85,
2017-01-18,61.87,2847183.0,61.87,60.15,61.95,61.17,
2017-01-19,60.92,2381199.0,60.92,60.3,62.0,61.82,
2017-01-20,61.34,2108939.0,61.34,60.77,61.58,61.03,
2017-01-23,61.16,1900516.0,61.16,60.65,61.56,61.28,
2017-01-24,61.54,2028971.0,61.54,61.23,61.89,61.5,
2017-01-25,61.85,1747380.0,61.85,61.6,62.24,61.77,
2017-01-26,61.26,2719690.0,61.26,60.94,62.055,61.87,
2017-01-27,59.01,3743746.0,59.01,58.75,61.65,61.43,
2017-01-30,58.71,4928801.0,58.71,58.4,59.23,58.96,
2017-01-31,60.21,4452325.0,60.21,58.18,60.25,58.2,
2017-02-01,58.8,3334140.0,58.8,58.59,60.4,60.34,
2017-02-02,59.28,4165636.0,59.28,57.48,60.46,58.52,
2017-02-03,59.58,1907414.0,59.58,58.78,60.01,59.39,
2017-02-06,59.15,1853484.0,59.15,58.81,59.81,59.52,
2017-02-07,58.28,2350151.0,58.28,58.2,59.61,59.37,
2017-02-08,58.66,2770158.0,58.66,58.1,58.84,58.43,
2017-02-09,58.92,3622686.0,58.92,58.49,59.9,58.74,
2017-02-10,58.92,3349625.0,58.92,58.47,59.88,58.95,
2017-02-13,57.82,3178623.0,57.82,57.77,59.67,59.37,
2017-02-14,58.14,3842085.0,58.14,57.6,58.7,57.8,
2017-02-15,58.22,3177337.0,58.22,57.54,58.38,57.69,
2017-02-16,57.48,2973978.0,57.48,57.15,58.52,58.26,
2017-02-17,57.51,3866760.0,57.51,56.01,57.52,56.87,
2017-02-21,57.7,4272019.0,57.7,57.425,58.75,57.88,
2017-02-22,58.13,6070770.0,58.13,57.1886,58.32,57.7,
2017-02-23,48.94,27796859.0,48.94,47.93,51.0,50.5,
2017-02-24,50.99,10707282.0,50.99,48.55,51.58,48.72,
2017-02-27,52.39,6203825.0,52.39,50.52,52.7798,50.72,
2017-02-28,52.62,4918432.0,52.62,51.61,52.7,52.39,
2017-03-01,52.82,4042158.0,52.82,52.11,53.19,52.93,
2017-03-02,53.41,5492732.0,53.41,52.8,53.7057,53.25,
2017-03-03,52.34,3248246.0,52.34,51.63,53.47,53.24,
2017-03-06,51.44,3916947.0,51.44,51.18,52.28,52.11,
2017-03-07,50.17,3580479.0,50.17,50.0,51.73,51.22,
2017-03-08,50.91,3734130.0,50.91,49.92,51.13,50.07,
2017-03-09,50.06,2677013.0,50.06,49.8538,50.99,50.76,
2017-03-10,50.3,3400013.0,50.3,49.93,50.57,50.46,
2017-03-13,49.85,4013956.0,49.85,49.52,51.13,50.3,
2017-03-14,50.14,2318687.0,50.14,49.5,50.415,49.59,
2017-03-15,50.68,3207265.0,50.68,49.69,50.87,50.06,
2017-03-16,49.97,3888451.0,49.97,49.76,50.98,50.71,
2017-03-17,51.18,10289833.0,51.18,50.46,51.27,50.91,
2017-03-20,50.46,3540065.0,50.46,50.06,51.29,51.25,
2017-03-21,49.18,4240454.0,49.18,48.51,50.6899,50.67,
2017-03-22,47.86,4995457.0,47.86,47.34,48.69,48.54,
2017-03-23,48.07,2915244.0,48.07,47.72,48.245,47.93,
2017-03-24,47.47,2473494.0,47.47,47.235,48.2,48.16,
2017-03-27,47.69,3873590.0,47.69,46.93,48.0899,47.18,
2017-03-28,47.77,4258505.0,47.77,46.76,47.83,47.42,
2017-03-29,48.32,3051561.0,48.32,47.63,48.9,47.71,
2017-03-30,47.51,4419932.0,47.51,47.33,48.31,48.1,
2017-03-31,47.1,3597775.0,47.1,47.03,48.21,47.68,
2017-04-03,45.8,4916097.0,45.8,45.7601,47.21,47.1,
2017-04-04,43.77,8428675.0,43.77,43.57,45.15,45.13,
2017-04-05,43.1,6728424.0,43.1,43.04,44.1,44.0,
2017-04-06,47.85,14859914.0,47.85,45.67,48.0,45.75,
2017-04-07,47.23,7398294.0,47.23,46.8,48.26,47.7,
2017-04-10,47.5,3579093.0,47.5,47.16,48.26,47.22,
2017-04-11,47.95,3653238.0,47.95,47.01,47.9697,47.55,
2017-04-12,47.81,2759528.0,47.81,47.17,47.946,47.42,
2017-04-13,47.46,2954363.0,47.46,47.29,47.85,47.67,
2017-04-17,47.82,2429046.0,47.82,47.35,47.88,47.55,
2017-04-18,47.77,2059262.0,47.77,47.2,48.07,47.65,
2017-04-19,48.5,2768097.0,48.5,47.87,48.879,47.93,
2017-04-20,49.66,3361993.0,49.66,49.0,50.32,49.0,
2017-04-21,49.84,3069129.0,49.84,49.17,49.98,49.59,
2017-04-24,50.69,4974627.0,50.69,49.78,50.78,50.37,
2017-04-25,50.6,2751548.0,50.6,50.27,51.04,50.75,
2017-04-26,52.01,4122930.0,52.01,51.28,52.3,51.65,
2017-04-27,52.19,3733488.0,52.19,51.86,52.61,52.0,
2017-04-28,52.81,5006171.0,52.81,51.87,52.88,52.09,
2017-05-01,51.91,3430011.0,51.91,51.66,53.0,52.91,
