YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,73.24,650766.0,73.24,72.29,73.27,72.86,
2017-01-04,72.27,1001852.0,72.27,71.89,73.4,73.31,
2017-01-05,71.1,874036.0,71.1,70.9,72.48,72.35,
2017-01-06,70.14,912039.0,70.14,69.88,70.99,70.92,
2017-01-09,70.14,709336.0,70.14,69.94,70.93,69.98,
2017-01-10,70.4,776554.0,70.4,69.52,70.79,70.36,
2017-01-11,70.6,761493.0,70.6,69.51,70.7,70.48,
2017-01-12,69.08,450428.0,69.08,68.93,70.6,70.54,
2017-01-13,68.83,663233.0,68.83,68.45,69.195,69.19,
2017-01-17,68.49,1089084.0,68.49,67.8,69.07,68.86,
2017-01-18,69.01,1348069.0,69.01,68.45,69.6,68.8,
2017-01-19,68.0,636570.0,68.0,67.92,69.16,68.99,
2017-01-20,67.96,603973.0,67.96,67.57,68.73,68.16,
2017-01-23,68.52,651489.0,68.52,67.58,68.6,68.0,
2017-01-24,68.7,1151049.0,68.7,68.26,69.39,68.68,
2017-01-25,69.59,829062.0,69.59,68.5444,69.9,68.69,
2017-01-26,68.28,643074.0,68.28,68.08,69.47,68.93,
2017-01-27,68.66,850737.0,68.66,67.879,68.92,68.31,
2017-01-30,67.81,701600.0,67.81,67.2,68.73,68.2,
2017-01-31,69.21,990012.0,69.21,67.67,69.24,68.05,
2017-02-01,68.69,690870.0,68.69,67.85,69.29,69.12,
2017-02-02,69.09,730887.0,69.09,68.32,69.39,68.8,
2017-02-03,69.63,757268.0,69.63,69.14,70.36,69.43,
2017-02-06,69.4,535029.0,69.4,69.13,69.93,69.83,
2017-02-07,69.06,752500.0,69.06,68.2003,69.8,69.02,
2017-02-08,68.5,683721.0,68.5,68.2,69.495,69.36,
2017-02-09,68.57,627889.0,68.57,68.34,68.99,68.77,
2017-02-10,68.55,792095.0,68.55,68.12,68.89,68.83,
2017-02-13,68.46,783351.0,68.46,67.955,68.695,68.39,
2017-02-14,68.29,1289364.0,68.29,67.52,68.45,68.04,
2017-02-15,75.14,4776789.0,75.14,71.52,75.28,71.64,
2017-02-16,75.37,2161689.0,75.37,75.36,76.525,75.42,
2017-02-17,77.78,1964278.0,77.78,74.92,77.82,75.19,
2017-02-21,78.44,1426223.0,78.44,77.1,78.71,77.43,
2017-02-22,79.44,1548943.0,79.44,78.3985,79.61,78.8,
2017-02-23,80.05,1813116.0,80.05,79.15,80.64,79.51,
