YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,182.625,0.0,,,,,
2017-01-03,182.91,135716.0,182.91,181.87,184.81,182.96,
2017-01-04,185.05,0.0,,,,,
2017-01-04,185.32,154602.0,185.32,182.3,185.55,183.55,
2017-01-05,185.825,0.0,,,,,
2017-01-05,185.93,183355.0,185.93,184.135,187.16,185.38,
2017-01-06,187.275,0.0,,,,,
2017-01-06,187.51,125684.0,187.51,185.93,188.0,185.93,
2017-01-09,188.075,0.0,,,,,
2017-01-09,188.38,143614.0,188.38,187.34,189.27,188.0,
2017-01-10,188.375,0.0,,,,,
2017-01-10,188.48,224057.0,188.48,187.5,194.2,192.1,
2017-01-11,188.0,1008.0,188.0,188.0,188.0,188.0,
2017-01-11,187.17,261029.0,187.17,183.45,188.76,188.49,
2017-01-12,186.125,0.0,,,,,
2017-01-12,186.41,138182.0,186.41,185.86,187.76,187.19,
2017-01-13,188.225,0.0,,,,,
2017-01-13,188.46,124396.0,188.46,185.88,189.24,185.88,
2017-01-17,187.725,0.0,,,,,
2017-01-17,187.96,188691.0,187.96,186.5,189.29,187.17,
2017-01-18,187.445,915.0,187.445,182.65,187.445,182.65,
2017-01-18,187.87,340277.0,187.87,186.1,188.56,187.57,
2017-01-19,187.2,0.0,,,,,
2017-01-19,187.43,336118.0,187.43,185.9,188.4,187.7,
2017-01-20,186.8,0.0,,,,,
2017-01-20,186.91,154318.0,186.91,186.48,188.58,188.12,
2017-01-23,185.475,0.0,,,,,
2017-01-23,185.73,584762.0,185.73,185.3,188.325,186.09,
2017-01-24,184.9,0.0,,,,,
2017-01-24,185.1,248263.0,185.1,183.43,187.54,185.72,
2017-01-25,187.1,0.0,,,,,
2017-01-25,187.2,152668.0,187.2,185.43,187.98,185.52,
2017-01-26,187.9,0.0,,,,,
2017-01-26,188.01,391528.0,188.01,186.34,188.72,186.37,
2017-01-27,186.25,0.0,,,,,
2017-01-27,186.5,98886.0,186.5,186.26,188.98,188.0,
2017-01-30,186.375,0.0,,,,,
2017-01-30,186.61,116069.0,186.61,184.5391,188.07,186.35,
2017-01-31,187.4171,1062.0,187.4171,187.15,187.4171,187.15,
2017-01-31,190.08,178251.0,190.08,184.97,190.36,186.51,
2017-02-01,189.475,0.0,,,,,
2017-02-01,189.63,120425.0,189.63,188.81,192.6,190.5,
2017-02-02,189.0,0.0,,,,,
2017-02-02,189.31,86090.0,189.31,188.43,189.84,189.54,
2017-02-03,191.025,0.0,,,,,
2017-02-03,191.1,89031.0,191.1,189.42,191.489,189.68,
2017-02-06,191.25,0.0,,,,,
2017-02-06,191.44,92121.0,191.44,189.76,191.5,190.96,
2017-02-07,189.55,0.0,,,,,
2017-02-07,189.71,136393.0,189.71,188.26,192.06,192.06,
2017-02-08,189.275,0.0,,,,,
2017-02-08,189.29,146957.0,189.29,187.57,190.0,189.94,
2017-02-09,190.575,0.0,,,,,
2017-02-09,190.88,166454.0,190.88,189.33,190.88,190.06,
2017-02-10,190.175,0.0,,,,,
2017-02-10,190.31,103555.0,190.31,189.63,191.845,191.25,
2017-02-13,189.15,1054.0,189.15,188.3,189.5,188.3,
2017-02-13,189.17,179973.0,189.17,188.24,191.4896,191.37,
2017-02-14,191.55,0.0,,,,,
2017-02-14,191.75,175773.0,191.75,188.11,191.83,189.12,
2017-02-15,192.025,0.0,,,,,
2017-02-15,192.21,84343.0,192.21,190.9,192.64,191.64,
2017-02-16,190.7544,204.0,190.7544,190.7544,190.7544,190.7544,
2017-02-16,191.85,97481.0,191.85,190.53,193.2783,192.89,
2017-02-17,193.2,0.0,,,,,
2017-02-17,193.27,113452.0,193.27,190.09,193.6,191.86,
2017-02-21,193.275,0.0,,,,,
2017-02-21,192.06,148420.0,192.06,191.3,194.25,193.27,
2017-02-22,193.6,0.0,,,,,
2017-02-22,191.67,94055.0,191.67,191.235,193.12,192.27,
2017-02-23,193.2,0.0,,,,,
2017-02-23,192.0,145369.0,192.0,190.49,193.31,192.5,
2017-02-24,192.925,0.0,,,,,
2017-02-24,191.92,362787.0,191.92,186.98,192.73,189.1,
2017-02-27,197.575,0.0,,,,,
2017-02-27,196.83,241667.0,196.83,191.61,197.63,192.16,
2017-02-28,196.575,0.0,,,,,
2017-02-28,194.64,270484.0,194.64,194.64,197.35,196.14,
2017-03-01,201.825,0.0,,,,,
2017-03-01,196.02,228266.0,196.02,193.11,197.705,195.44,
2017-03-02,197.025,0.0,,,,,
2017-03-02,195.41,142357.0,195.41,195.04,197.81,195.72,
2017-03-03,198.6,0.0,,,,,
2017-03-03,198.02,191315.0,198.02,195.73,198.21,196.34,
2017-03-06,197.025,0.0,,,,,
2017-03-06,195.08,177854.0,195.08,194.97,197.78,196.73,
2017-03-07,197.175,0.0,,,,,
2017-03-07,195.5,127287.0,195.5,193.65,197.16,195.02,
2017-03-08,197.15,0.0,,,,,
2017-03-08,196.13,133493.0,196.13,194.99,196.98,195.0,
2017-03-09,198.175,0.0,,,,,
