YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,65.03,2710286.0,65.03,63.7,65.8,65.29,
2017-01-04,64.75,2122626.0,64.75,64.08,65.46,64.08,
2017-01-05,64.35,2028463.0,64.35,64.09,65.365,64.84,
2017-01-06,63.96,2555000.0,63.96,63.465,64.72,64.17,
2017-01-09,63.24,1837114.0,63.24,63.05,63.94,63.32,
2017-01-10,62.38,3270020.0,62.38,62.27,63.62,63.5,
2017-01-11,63.38,1857001.0,63.38,62.24,63.63,62.52,
2017-01-12,62.42,1672809.0,62.42,62.4,63.8,63.62,
2017-01-13,60.92,3108246.0,60.92,60.73,62.34,62.21,
2017-01-17,61.9,2928503.0,61.9,61.1,61.99,61.45,
2017-01-18,61.74,2468233.0,61.74,61.11,62.07,61.47,
2017-01-19,61.96,1882466.0,61.96,61.54,62.57,61.54,
2017-01-20,61.98,2144202.0,61.98,61.3,62.69,62.16,
2017-01-23,61.42,2002647.0,61.42,60.26,61.6335,61.4,
2017-01-24,62.68,1668118.0,62.68,61.63,62.82,61.89,
2017-01-25,63.6,3122559.0,63.6,62.37,63.69,62.37,
2017-01-26,63.1,5783534.0,63.1,61.19,63.95,63.85,
2017-01-27,63.09,2067440.0,63.09,62.61,63.48,63.0,
2017-01-30,61.82,2790796.0,61.82,61.16,63.31,62.99,
2017-01-31,63.08,2535867.0,63.08,61.52,63.19,61.91,
2017-02-01,62.58,2909557.0,62.58,61.95,63.78,63.67,
2017-02-02,62.41,2110999.0,62.41,62.02,62.7,62.59,
2017-02-03,61.85,2569801.0,61.85,61.4,62.5,62.47,
2017-02-06,61.68,1519645.0,61.68,61.36,62.07,62.03,
2017-02-07,61.36,3022421.0,61.36,60.82,61.62,61.37,
2017-02-08,61.16,4015750.0,61.16,60.62,61.54,60.99,
2017-02-09,61.06,2300513.0,61.06,61.05,62.41,61.84,
2017-02-10,61.15,3130747.0,61.15,60.98,63.09,62.8,
2017-02-13,61.06,4155442.0,61.06,60.41,61.29,61.23,
2017-02-14,61.5,1939634.0,61.5,60.33,61.6025,61.27,
2017-02-15,61.5,2247491.0,61.5,60.97,61.7,61.17,
2017-02-16,61.2,1949348.0,61.2,60.92,61.77,61.5,
2017-02-17,60.76,1680757.0,60.76,60.3901,61.09,60.79,
2017-02-21,60.55,1686619.0,60.55,60.45,61.34,61.29,
