YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,11.64,1088325.0,11.64,11.07,11.65,11.22,9033.0
2017-01-04,12.02,978547.0,12.02,11.59,12.08,11.75,6699.0
2017-01-05,11.76,784503.0,11.76,11.7,12.05,11.97,6357.0
2017-01-06,11.37,1275940.0,11.37,11.33,11.7,11.65,7568.0
2017-01-09,11.26,726733.0,11.26,11.0673,11.45,11.3,6038.0
2017-01-10,11.53,665519.0,11.53,11.22,11.54,11.32,5255.0
2017-01-11,11.53,659036.0,11.53,11.3,11.595,11.51,4800.0
2017-01-12,11.36,502617.0,11.36,11.12,11.51,11.51,3991.0
2017-01-13,11.69,741699.0,11.69,11.31,11.8,11.36,5313.0
2017-01-17,11.34,545410.0,11.34,11.27,11.61,11.61,4487.0
2017-01-18,11.29,535445.0,11.29,11.17,11.45,11.38,4444.0
2017-01-19,11.01,540831.0,11.01,10.98,11.43,11.26,4249.0
2017-01-20,10.92,429835.0,10.92,10.86,11.15,11.05,3575.0
2017-01-23,10.79,876724.0,10.79,10.67,10.965,10.84,6342.0
2017-01-24,11.43,2391952.0,11.43,10.8936,11.6,10.99,14474.0
2017-01-25,11.89,1167319.0,11.89,11.62,11.96,11.8,8150.0
2017-01-26,11.61,860828.0,11.61,11.605,12.13,11.93,6372.0
2017-01-27,11.38,554272.0,11.38,11.25,11.61,11.57,4600.0
2017-01-30,10.86,1160849.0,10.86,10.8,11.26,11.25,8621.0
2017-01-31,10.76,1111131.0,10.76,10.565,10.84,10.77,7063.0
2017-02-01,10.81,467649.0,10.81,10.685,11.0,10.92,4325.0
2017-02-02,11.0,899419.0,11.0,10.66,11.1,10.75,6304.0
2017-02-03,11.32,867220.0,11.32,11.03,11.35,11.14,5798.0
2017-02-06,11.65,1695843.0,11.65,11.14,11.66,11.26,10306.0
2017-02-07,11.59,1192726.0,11.59,11.42,11.82,11.65,8992.0
2017-02-08,11.79,1014200.0,11.79,11.43,11.8,11.73,6475.0
2017-02-09,12.28,1276363.0,12.28,11.78,12.37,11.82,9272.0
2017-02-10,12.38,809322.0,12.38,12.19,12.49,12.3,5970.0
2017-02-13,12.4,726872.0,12.4,12.305,12.65,12.5,5288.0
2017-02-14,12.52,789020.0,12.52,12.23,12.59,12.37,6943.0
2017-02-15,12.68,1100772.0,12.68,12.38,12.75,12.47,8168.0
2017-02-16,12.61,704195.0,12.61,12.44,12.84,12.68,5452.0
2017-02-17,12.51,467307.0,12.51,12.345,12.59,12.59,3558.0
2017-02-21,12.48,802657.0,12.48,12.415,12.7,12.55,6260.0
2017-02-22,12.43,607751.0,12.43,12.34,12.63,12.42,4926.0
2017-02-23,12.41,653003.0,12.41,12.12,12.52,12.52,4925.0
2017-02-24,12.24,678730.0,12.24,12.18,12.38,12.18,5241.0
2017-02-27,12.82,1249339.0,12.82,12.14,12.86,12.27,8491.0
2017-02-28,12.94,2651558.0,12.94,12.72,13.08,12.75,15071.0
2017-03-01,14.54,4803047.0,14.54,13.96,15.0,13.99,33536.0
2017-03-02,15.15,6474572.0,15.15,14.73,15.705,14.84,43077.0
2017-03-03,15.15,9595700.0,15.15,14.38,15.22,14.86,49937.0
2017-03-06,15.04,2860858.0,15.04,14.93,15.52,15.21,20294.0
2017-03-07,14.54,2506959.0,14.54,14.48,15.18,15.04,20393.0
2017-03-08,14.91,2487712.0,14.91,14.54,15.14,14.63,17446.0
2017-03-09,14.85,1797468.0,14.85,14.61,15.06,14.82,14610.0
2017-03-10,15.27,2848529.0,15.27,14.89,15.28,15.12,18921.0
2017-03-13,15.35,1879947.0,15.35,15.1299,15.409,15.22,14577.0
2017-03-14,15.12,1527389.0,15.12,15.06,15.36,15.2,10653.0
2017-03-15,15.43,2090946.0,15.43,15.19,15.5899,15.29,15080.0
2017-03-16,15.75,2141628.0,15.75,15.49,15.8,15.54,14633.0
2017-03-17,15.63,1897006.0,15.63,15.41,15.85,15.75,9251.0
2017-03-20,15.04,1641375.0,15.04,14.89,15.75,15.56,12391.0
2017-03-21,14.47,1814921.0,14.47,14.45,15.1999,15.12,14563.0
2017-03-22,14.4,1229053.0,14.4,14.15,14.64,14.33,9557.0
2017-03-23,14.51,821642.0,14.51,14.16,14.775,14.4,7516.0
2017-03-24,14.44,613122.0,14.44,14.28,14.695,14.57,5829.0
2017-03-27,14.47,769181.0,14.47,14.04,14.525,14.25,6834.0
2017-03-28,14.65,865465.0,14.65,14.43,14.76,14.54,6878.0
2017-03-29,14.86,860255.0,14.86,14.55,14.87,14.57,6826.0
2017-03-30,14.84,845163.0,14.84,14.6857,14.97,14.84,6458.0
2017-03-31,14.9,1245494.0,14.9,14.57,15.17,14.81,9226.0
2017-04-03,14.64,877759.0,14.64,14.43,15.03,14.95,7241.0
2017-04-04,14.88,1265051.0,14.88,14.6,14.94,14.65,9370.0
2017-04-05,14.86,1285117.0,14.86,14.765,15.15,15.07,10069.0
2017-04-06,15.08,965064.0,15.08,14.81,15.105,14.86,7572.0
2017-04-07,15.09,1035376.0,15.09,14.88,15.185,15.03,7479.0
2017-04-10,15.23,992754.0,15.23,15.03,15.44,15.11,7206.0
2017-04-11,15.37,793117.0,15.37,15.1,15.43,15.19,7773.0
2017-04-12,15.07,741460.0,15.07,14.95,15.37,15.34,6236.0
2017-04-13,14.78,744859.0,14.78,14.59,15.16,15.04,7002.0
2017-04-17,14.84,764135.0,14.84,14.63,14.96,14.84,6351.0
2017-04-18,14.93,771745.0,14.93,14.65,15.06,14.73,6574.0
2017-04-19,14.99,814484.0,14.99,14.96,15.25,15.03,7175.0
2017-04-20,15.31,903328.0,15.31,15.03,15.44,15.1,6327.0
2017-04-21,15.39,760649.0,15.39,15.12,15.44,15.3,6584.0
2017-04-24,15.83,1171959.0,15.83,15.64,16.09,15.77,8618.0
2017-04-25,16.1,1768162.0,16.1,15.89,16.16,16.01,13425.0
2017-04-26,16.0,1149138.0,16.0,15.96,16.22,16.13,9106.0
2017-04-27,16.05,906299.0,16.05,15.86,16.17,16.01,6139.0
2017-04-28,16.01,1177569.0,16.01,15.87,16.15,16.09,7555.0
2017-05-01,16.21,1205586.0,16.21,15.933,16.23,16.01,7222.0
2017-05-02,16.39,1658276.0,16.39,16.09,16.5,16.3,12639.0
2017-05-03,15.91,1380839.0,15.91,15.825,16.4,16.27,10424.0
2017-05-04,16.05,760482.0,16.05,15.8,16.1,15.92,6635.0
2017-05-05,16.01,798772.0,16.01,15.86,16.08,16.07,6835.0
2017-05-08,15.5,1779727.0,15.5,15.29,16.04,15.97,11757.0
2017-05-09,15.34,4148208.0,15.34,14.75,16.23,15.89,27689.0
2017-05-10,14.89,2654709.0,14.89,14.745,15.35,15.32,17441.0
2017-05-11,14.81,1741801.0,14.81,14.49,14.89,14.76,12837.0
2017-05-12,14.24,1671866.0,14.24,14.21,14.8,14.68,11685.0
2017-05-15,14.47,1720996.0,14.47,14.19,14.48,14.25,12756.0
2017-05-16,14.67,1556742.0,14.67,14.31,14.71,14.56,12398.0
2017-05-17,14.02,1715535.0,14.02,13.95,14.54,14.27,12608.0
2017-05-18,13.93,1188257.0,13.93,13.81,14.1,13.98,9554.0
2017-05-19,14.22,1114942.0,14.22,13.95,14.41,14.03,9217.0
2017-05-22,14.16,819131.0,14.16,14.05,14.36,14.3,6833.0
