YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,59.45,10061749.0,59.45,58.58,59.68,58.78,
2017-01-04,59.14,6703370.0,59.14,59.03,59.75,59.46,
2017-01-05,60.13,8422274.0,60.13,59.31,60.42,59.39,
2017-01-06,59.95,10104635.0,59.95,58.85,60.33,60.04,
2017-01-09,59.73,5263011.0,59.73,59.65,59.92,59.75,
2017-01-10,59.98,6103701.0,59.98,59.72,60.45,59.78,
2017-01-11,56.8,20497892.0,56.8,56.53,58.87,58.12,
2017-01-12,56.55,9977917.0,56.55,56.015,56.78,56.5,
2017-01-13,56.22,7660198.0,56.22,56.05,56.73,56.56,
2017-01-17,56.28,10416327.0,56.28,55.21,56.58,55.89,
2017-01-18,56.07,6640000.0,56.07,55.89,56.55,56.51,
2017-01-19,55.49,7122292.0,55.49,55.3359,56.31,56.1,
2017-01-20,49.23,77021216.0,49.23,48.92,50.69,50.01,
2017-01-23,50.0,23886066.0,50.0,49.15,50.3062,49.53,
2017-01-24,48.96,17172827.0,48.96,48.93,50.14,50.05,
2017-01-25,49.55,15978452.0,49.55,48.8,49.57,49.34,
2017-01-26,46.82,44800782.0,46.82,46.01,49.51,48.59,
2017-01-27,47.74,22918662.0,47.74,47.12,48.62,47.26,
2017-01-30,48.69,15738223.0,48.69,47.96,49.1,48.22,
2017-01-31,49.16,15094048.0,49.16,48.205,49.42,48.4,
2017-02-01,49.29,16021890.0,49.29,48.32,49.32,49.13,
2017-02-02,50.5,18610222.0,50.5,49.2708,50.89,49.35,
2017-02-03,50.78,10933979.0,50.78,50.36,50.9122,50.6,
2017-02-06,51.04,8263438.0,51.04,50.56,51.09,50.65,
2017-02-07,51.66,15747761.0,51.66,51.26,52.32,51.49,
2017-02-08,52.0,12236543.0,52.0,51.12,52.12,51.29,
2017-02-09,51.51,5813111.0,51.51,51.46,52.25,52.0,
2017-02-10,51.65,5845618.0,51.65,51.52,51.97,51.61,
2017-02-13,52.03,6769739.0,52.03,51.615,52.09,51.83,
2017-02-14,53.71,19785205.0,53.71,52.0875,54.27,52.31,
2017-02-15,55.03,11860785.0,55.03,53.6,55.335,53.7,
2017-02-16,54.28,9917069.0,54.28,53.92,55.156,55.08,
2017-02-17,54.59,9706078.0,54.59,54.08,54.72,54.3,
2017-02-21,54.78,26919342.0,54.78,53.41,57.21,54.41,
2017-02-22,55.35,21293710.0,55.35,55.293,56.45,55.49,
2017-02-23,55.77,14410368.0,55.77,55.02,56.09,55.63,
2017-02-24,56.44,11382544.0,56.44,55.875,56.47,55.92,
2017-02-27,56.56,11285328.0,56.56,56.2446,56.995,56.5,
2017-02-28,56.71,9046039.0,56.71,56.21,56.93,56.54,
2017-03-01,57.18,13349282.0,57.18,56.52,57.24,57.0,
2017-03-02,56.86,12103706.0,56.86,56.59,57.49,56.89,
2017-03-03,57.26,9657427.0,57.26,56.6257,57.34,56.74,
2017-03-06,56.97,7917208.0,56.97,56.23,57.225,57.02,
2017-03-07,56.33,16970337.0,56.33,55.7827,56.63,56.27,
2017-03-08,57.12,13556428.0,57.12,56.22,57.5,56.33,
2017-03-09,57.99,7535226.0,57.99,57.2,58.05,57.37,
2017-03-10,58.32,8547335.0,58.32,57.81,58.54,58.03,
2017-03-13,56.93,11689400.0,56.93,56.86,58.3,58.3,
2017-03-14,56.69,11746430.0,56.69,56.58,57.5998,56.95,
2017-03-15,57.65,10337688.0,57.65,56.67,57.93,56.67,
2017-03-16,57.31,9903868.0,57.31,57.12,57.582,57.33,
2017-03-17,56.29,15881880.0,56.29,56.11,57.25,57.23,
2017-03-20,56.41,8481366.0,56.41,56.24,56.71,56.33,
2017-03-21,55.71,9394520.0,55.71,55.38,56.66,56.5,
2017-03-22,56.36,9808349.0,56.36,55.17,56.42,55.7,
2017-03-23,55.77,7624712.0,55.77,55.68,56.53,56.08,
2017-03-24,55.89,6170612.0,55.89,55.675,56.25,55.87,
2017-03-27,56.04,11139741.0,56.04,55.53,56.35,55.6,
2017-03-28,56.2,8525945.0,56.2,55.93,56.369,56.04,
2017-03-29,55.95,6136155.0,55.95,55.925,56.55,56.17,
2017-03-30,55.36,8147515.0,55.36,55.25,56.0,55.96,
2017-03-31,54.38,12390392.0,54.38,54.16,55.67,55.3,
2017-04-03,54.21,16315772.0,54.21,53.87,55.16,54.53,
2017-04-04,54.14,8996731.0,54.14,53.95,54.35,54.21,
2017-04-05,53.08,10095811.0,53.08,53.0,54.125,53.99,
2017-04-06,53.29,7404812.0,53.29,52.51,53.53,53.05,
2017-04-07,53.42,7969317.0,53.42,52.88,53.66,53.27,
2017-04-10,53.35,7409110.0,53.35,53.2,53.71,53.35,
2017-04-11,52.98,6996461.0,52.98,52.94,53.44,53.29,
2017-04-12,52.99,7192973.0,52.99,52.75,53.14,52.82,
2017-04-13,52.83,7169365.0,52.83,52.78,53.185,53.05,
2017-04-17,52.95,6471385.0,52.95,52.53,53.22,52.75,
2017-04-18,52.93,8036674.0,52.93,52.59,53.15,52.68,
2017-04-19,53.2,8140605.0,53.2,52.88,53.66,53.0,
2017-04-20,53.44,6092535.0,53.44,53.19,53.56,53.41,
2017-04-21,53.48,5224373.0,53.48,53.15,53.71,53.4,
2017-04-24,53.55,9783267.0,53.55,53.51,54.0,53.85,
2017-04-25,53.94,9321100.0,53.94,53.65,54.32,53.65,
