YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,21.88,6822674.0,21.88,21.66,21.92,21.72,
2017-01-04,22.08,6458620.0,22.08,21.78,22.105,21.96,
2017-01-05,22.05,5990698.0,22.05,22.01,22.22,22.13,
2017-01-06,22.15,7549373.0,22.15,21.95,22.17,22.1,
2017-01-09,22.19,5602512.0,22.19,22.11,22.27,22.2,
2017-01-10,23.61,24138891.0,23.61,22.19,23.845,22.25,
2017-01-11,23.31,12706178.0,23.31,22.94,23.59,23.5,
2017-01-12,23.52,7409619.0,23.52,23.03,23.53,23.24,
2017-01-13,23.82,9486079.0,23.82,23.45,23.91,23.51,
2017-01-17,23.9,8601621.0,23.9,23.63,23.96,23.66,
2017-01-18,23.92,5926885.0,23.92,23.83,23.97,23.91,
2017-01-19,23.88,7677330.0,23.88,23.71,23.99,23.84,
2017-01-20,23.9,8583138.0,23.9,23.6,24.04,23.93,
2017-01-23,23.68,7032928.0,23.68,23.535,23.88,23.79,
2017-01-24,23.54,6206548.0,23.54,23.48,23.74,23.71,
2017-01-25,23.58,9117322.0,23.58,23.54,23.78,23.59,
2017-01-26,23.42,4715984.0,23.42,23.39,23.68,23.61,
2017-01-27,23.87,6276036.0,23.87,23.475,23.93,23.54,
2017-01-30,23.85,9373972.0,23.85,23.595,23.92,23.79,
2017-01-31,24.06,6519103.0,24.06,23.69,24.07,23.76,
2017-02-01,23.96,13129606.0,23.96,23.765,24.18,24.0,
2017-02-02,25.1,19394350.0,25.1,24.37,25.24,24.4,
2017-02-03,25.22,10992193.0,25.22,24.8,25.26,25.19,
2017-02-06,25.14,8153852.0,25.14,24.85,25.18,25.09,
2017-02-07,25.23,6873987.0,25.23,25.06,25.38,25.23,
2017-02-08,25.24,7273230.0,25.24,25.15,25.32,25.2,
2017-02-09,25.34,5370181.0,25.34,25.16,25.45,25.19,
2017-02-10,25.2,6027410.0,25.2,25.2,25.43,25.36,
2017-02-13,25.3,8187305.0,25.3,25.06,25.33,25.24,
2017-02-14,25.18,8874360.0,25.18,24.98,25.29,25.2,
2017-02-15,25.41,9378474.0,25.41,25.16,25.65,25.16,
2017-02-16,25.36,6756856.0,25.36,25.13,25.52,25.43,
2017-02-17,25.39,7363627.0,25.39,25.16,25.4,25.27,
2017-02-21,25.28,7566482.0,25.28,25.26,25.58,25.51,
2017-02-22,25.16,7959069.0,25.16,25.11,25.39,25.28,
2017-02-23,24.48,41278716.0,24.48,23.29,24.63,23.37,
2017-02-24,24.78,13499376.0,24.78,24.43,24.89,24.46,
2017-02-27,24.81,8863892.0,24.81,24.53,24.9,24.56,
2017-02-28,24.55,8463048.0,24.55,24.54,24.78,24.77,
2017-03-01,24.96,9021058.0,24.96,24.67,25.03,24.79,
2017-03-02,25.0,7144472.0,25.0,24.89,25.16,24.98,
2017-03-03,24.98,6655813.0,24.98,24.83,25.13,25.09,
2017-03-06,24.76,5732461.0,24.76,24.74,24.9,24.82,
2017-03-07,24.48,8114265.0,24.48,24.46,24.725,24.61,
2017-03-08,24.52,10503537.0,24.52,24.44,24.83,24.5,
2017-03-09,24.69,5849759.0,24.69,24.4,24.75,24.6,
2017-03-10,24.64,4288168.0,24.64,24.535,24.84,24.77,
