YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,40.07,1485686.0,40.07,39.38,40.25,39.9,
2017-01-04,40.82,1600941.0,40.82,39.17,40.9,39.99,
2017-01-05,40.77,1775443.0,40.77,40.19,41.1199,40.74,
2017-01-06,41.1,1789267.0,41.1,40.52,41.37,40.98,
2017-01-09,40.82,1550901.0,40.82,40.52,41.32,40.99,
2017-01-10,40.77,2787311.0,40.77,40.555,41.4099,40.97,
2017-01-11,40.12,4441048.0,40.12,39.43,40.69,40.62,
2017-01-12,39.99,2436592.0,39.99,39.32,40.3761,40.14,
2017-01-13,40.3,1298835.0,40.3,40.05,40.49,40.08,
2017-01-17,39.79,1601074.0,39.79,39.65,40.28,40.12,
2017-01-18,39.78,2023999.0,39.78,39.61,39.98,39.98,
2017-01-19,39.82,1787913.0,39.82,39.62,39.98,39.92,
2017-01-20,39.86,1804436.0,39.86,39.51,40.03,39.91,
2017-01-23,39.5,1601964.0,39.5,39.3,40.1176,39.87,
2017-01-24,40.43,2147236.0,40.43,39.77,40.53,39.79,
2017-01-25,41.3,911703.0,41.3,40.75,41.31,40.75,
2017-01-26,40.78,1238316.0,40.78,40.695,41.43,41.12,
2017-01-27,40.4,967054.0,40.4,40.2,40.93,40.79,
2017-01-30,40.56,1702136.0,40.56,39.88,40.64,40.52,
2017-01-31,40.83,1808998.0,40.83,40.07,40.86,40.42,
2017-02-01,41.03,1224583.0,41.03,40.68,41.5,41.15,
2017-02-02,40.47,1838113.0,40.47,40.27,41.2675,41.01,
2017-02-03,40.6,1024094.0,40.6,40.46,40.88,40.7,
2017-02-06,40.57,863938.0,40.57,40.201,40.59,40.26,
2017-02-07,40.1,1678414.0,40.1,39.7,40.49,40.49,
2017-02-08,40.46,1994265.0,40.46,39.85,40.595,40.14,
2017-02-09,40.65,2560169.0,40.65,40.0,41.31,40.0,
2017-02-10,41.63,2099896.0,41.63,40.8,41.65,40.89,
2017-02-13,41.67,2285993.0,41.67,41.39,42.18,41.67,
2017-02-14,41.5,1693500.0,41.5,41.12,41.91,41.74,
2017-02-15,41.91,1532333.0,41.91,41.11,42.05,41.5,
2017-02-16,41.38,1359428.0,41.38,41.18,42.25,41.93,
2017-02-17,42.38,2272122.0,42.38,40.6601,42.38,40.97,
2017-02-21,42.63,2429449.0,42.63,42.22,43.32,42.62,
2017-02-22,42.77,1382761.0,42.77,42.4,42.86,42.59,
2017-02-23,42.47,1472972.0,42.47,42.345,43.08,42.89,
2017-02-24,41.53,2535691.0,41.53,41.23,42.05,42.0,
2017-02-27,42.45,1860897.0,42.45,41.35,42.465,41.47,
2017-02-28,42.19,1762623.0,42.19,42.06,42.56,42.19,
2017-03-01,42.99,2101957.0,42.99,42.74,43.43,42.89,
2017-03-02,43.14,2023502.0,43.14,42.93,43.39,43.01,
2017-03-03,42.96,2013055.0,42.96,42.7,43.21,43.13,
2017-03-06,41.9,1722209.0,41.9,41.805,42.5,42.41,
2017-03-07,41.69,1983261.0,41.69,41.4,41.99,41.82,
2017-03-08,41.94,1505147.0,41.94,41.575,42.08,41.73,
2017-03-09,41.56,1567024.0,41.56,41.38,41.99,41.99,
2017-03-10,41.79,1677807.0,41.79,41.54,42.16,41.93,
2017-03-13,42.61,1714498.0,42.61,41.89,42.67,42.0,
2017-03-14,43.02,1675137.0,43.02,42.23,43.12,42.3,
