YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,127.18,813917.0,127.18,125.99,127.93,127.7,
2017-01-04,131.22,1323452.0,131.22,127.22,131.61,127.66,
2017-01-05,131.85,1402999.0,131.85,128.76,132.55,130.2,
2017-01-06,131.55,757477.0,131.55,131.21,132.51,131.59,
2017-01-09,130.24,818840.0,130.24,129.96,131.4,131.06,
2017-01-10,128.79,675848.0,128.79,128.71,130.23,129.82,
2017-01-11,127.0,913460.0,127.0,126.74,129.47,128.64,
2017-01-12,129.01,696555.0,129.01,126.51,129.12,126.93,
2017-01-13,128.5,513173.0,128.5,128.28,129.53,128.91,
2017-01-17,129.4,723578.0,129.4,128.515,129.49,128.69,
2017-01-18,130.36,611400.0,130.36,128.92,130.47,129.59,
2017-01-19,128.45,844901.0,128.45,128.4,130.48,130.33,
2017-01-20,129.25,649359.0,129.25,128.18,129.37,128.61,
2017-01-23,130.6,615763.0,130.6,128.68,130.91,128.88,
2017-01-24,132.21,693686.0,132.21,130.39,132.43,130.88,
2017-01-25,130.24,796728.0,130.24,129.95,132.61,132.61,
2017-01-26,131.35,441296.0,131.35,130.31,131.5,130.62,
2017-01-27,130.75,537147.0,130.75,129.93,131.685,131.58,
2017-01-30,130.27,772749.0,130.27,129.25,130.9,130.9,
2017-01-31,130.9,1015929.0,130.9,130.4,132.37,130.44,
2017-02-01,129.27,1004879.0,129.27,129.13,134.37,131.25,
2017-02-02,130.47,670895.0,130.47,129.09,131.15,129.09,
2017-02-03,130.72,627113.0,130.72,130.34,133.48,132.48,
2017-02-06,131.32,547821.0,131.32,130.48,131.94,130.77,
2017-02-07,130.64,582051.0,130.64,130.32,133.31,131.54,
2017-02-08,131.57,649444.0,131.57,130.64,132.125,130.73,
2017-02-09,131.98,420249.0,131.98,131.21,132.48,132.13,
2017-02-10,134.0,561770.0,134.0,131.47,134.05,131.82,
2017-02-13,134.76,671351.0,134.76,133.28,135.01,134.35,
2017-02-14,135.79,991896.0,135.79,133.16,136.04,134.46,
2017-02-15,135.98,1301915.0,135.98,134.52,136.47,135.31,
2017-02-16,136.84,890965.0,136.84,135.47,138.21,136.22,
2017-02-17,137.19,1399147.0,137.19,135.73,137.5,137.2,
2017-02-21,138.83,729583.0,138.83,136.84,139.12,136.87,
2017-02-22,138.66,895629.0,138.66,136.51,139.16,139.03,
2017-02-23,139.17,681503.0,139.17,138.31,139.59,138.97,
2017-02-24,138.12,917272.0,138.12,137.13,139.1,139.1,
2017-02-27,139.88,720975.0,139.88,137.66,140.13,138.44,
2017-02-28,139.03,851063.0,139.03,138.58,139.72,139.72,
2017-03-01,137.84,876467.0,137.84,137.69,139.35,138.95,
2017-03-02,135.56,1162045.0,135.56,135.29,137.69,137.52,
2017-03-03,135.48,812285.0,135.48,134.14,135.82,135.2,
2017-03-06,135.43,701880.0,135.43,134.34,135.65,135.21,
2017-03-07,135.66,495347.0,135.66,134.85,135.75,135.44,
2017-03-08,134.09,693467.0,134.09,133.92,135.25,135.25,
2017-03-09,132.03,945742.0,132.03,131.86,135.205,134.39,
2017-03-10,130.43,857048.0,130.43,129.76,133.94,133.25,
2017-03-13,130.48,944021.0,130.48,129.83,131.56,130.52,
2017-03-14,129.93,593563.0,129.93,129.33,130.72,130.34,
2017-03-15,132.99,954197.0,132.99,129.81,133.52,130.37,
2017-03-16,132.46,517849.0,132.46,132.19,133.66,132.78,
2017-03-17,133.19,899943.0,133.19,132.2,133.87,132.71,
2017-03-20,133.11,501921.0,133.11,132.36,133.95,133.18,
2017-03-21,132.62,869406.0,132.62,132.01,134.0799,133.72,
2017-03-22,132.24,561880.0,132.24,130.82,133.4,133.05,
2017-03-23,133.85,984630.0,133.85,132.04,134.655,132.06,
2017-03-24,132.48,879177.0,132.48,132.02,134.35,133.81,
2017-03-27,131.32,634716.0,131.32,130.85,132.87,132.18,
2017-03-28,131.32,701547.0,131.32,129.39,131.91,131.35,
2017-03-29,131.14,1071732.0,131.14,130.13,131.24,130.7,
2017-03-30,131.38,665133.0,131.38,130.05,131.57,130.83,
2017-03-31,132.41,887545.0,132.41,130.255,132.56,131.15,
2017-04-03,133.02,632511.0,133.02,131.975,133.4,132.5,
2017-04-04,133.85,1087605.0,133.85,131.69,134.37,132.95,
2017-04-05,134.17,582168.0,134.17,133.745,134.95,133.89,
2017-04-06,134.56,687084.0,134.56,133.4,134.72,133.96,
2017-04-07,134.68,752549.0,134.68,134.21,136.03,134.44,
2017-04-10,135.65,699879.0,135.65,134.13,136.07,134.5,
2017-04-11,136.83,637748.0,136.83,135.31,136.9,135.69,
2017-04-12,136.59,1048397.0,136.59,136.15,137.35,136.5,
2017-04-13,135.52,640337.0,135.52,135.06,136.73,136.52,
2017-04-17,136.87,444996.0,136.87,135.37,136.89,136.17,
2017-04-18,135.74,501605.0,135.74,135.28,137.13,136.54,
2017-04-19,134.68,681223.0,134.68,134.26,135.99,135.67,
2017-04-20,134.64,546882.0,134.64,133.08,134.97,134.97,
2017-04-21,134.35,416841.0,134.35,134.17,135.02,134.63,
2017-04-24,132.79,579123.0,132.79,131.88,135.06,134.55,
2017-04-25,133.97,641344.0,133.97,132.305,134.05,133.07,
2017-04-26,127.35,1192765.0,127.35,127.23,133.5,132.54,
2017-04-27,125.99,947533.0,125.99,125.71,127.88,127.39,
2017-04-28,126.6,805375.0,126.6,125.56,126.69,125.65,
2017-05-01,126.97,591110.0,126.97,125.97,127.315,126.85,
2017-05-02,126.86,531775.0,126.86,125.99,127.19,126.87,
2017-05-03,124.79,670371.0,124.79,124.31,127.35,127.31,
2017-05-04,123.37,1009337.0,123.37,122.44,124.5,124.5,
2017-05-05,123.9,727112.0,123.9,123.14,124.06,123.78,
2017-05-08,123.55,754318.0,123.55,122.51,124.69,124.28,
2017-05-09,123.12,432618.0,123.12,122.43,123.615,123.45,
2017-05-10,123.02,857861.0,123.02,122.11,123.6,122.77,
2017-05-11,121.24,887914.0,121.24,120.68,122.28,122.13,
2017-05-12,120.94,703285.0,120.94,120.62,121.5161,121.26,
2017-05-15,120.53,625836.0,120.53,120.05,121.73,120.89,
2017-05-16,120.89,754905.0,120.89,119.94,121.19,121.03,
2017-05-17,120.44,754617.0,120.44,120.2,121.555,120.72,
2017-05-18,120.27,948647.0,120.27,119.58,122.58,120.67,
2017-05-19,121.01,665422.0,121.01,119.54,122.02,120.23,
2017-05-22,121.03,918384.0,121.03,120.81,121.889,120.98,
2017-05-23,121.84,867822.0,121.84,120.95,123.17,121.37,
2017-05-24,121.87,627047.0,121.87,121.43,122.33,121.91,
2017-05-25,122.0,503821.0,122.0,121.67,122.7,122.14,
2017-05-26,121.35,400926.0,121.35,120.74,122.0,121.69,
2017-05-30,120.82,417706.0,120.82,120.82,121.81,121.3,
2017-05-31,121.32,833625.0,121.32,120.78,121.72,121.11,
2017-06-01,121.75,617058.0,121.75,120.515,122.08,120.92,
2017-06-02,122.36,599018.0,122.36,121.82,122.83,122.5,
2017-06-05,122.24,412715.0,122.24,121.26,122.65,122.24,
2017-06-06,120.93,514438.0,120.93,120.22,122.18,122.18,
2017-06-07,121.73,714250.0,121.73,121.1,121.885,121.1,
2017-06-08,122.6,489841.0,122.6,120.87,122.61,121.92,
2017-06-09,125.24,889498.0,125.24,122.08,125.7,122.35,
