YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,28.12,8002050.0,28.12,27.35,28.22,27.5,
2017-01-04,29.8,14730090.0,29.8,28.5,30.48,28.5,
2017-01-05,30.42,7738734.0,30.42,29.7,30.63,29.85,
2017-01-06,30.51,6141044.0,30.51,30.2129,30.91,30.7,
2017-01-09,30.47,5750082.0,30.47,30.17,31.16,30.74,
2017-01-10,30.07,5295933.0,30.07,29.9,30.49,30.46,
2017-01-11,30.21,3799883.0,30.21,29.9,30.3,29.9,
2017-01-12,30.2,3231865.0,30.2,29.9,30.24,30.18,
2017-01-13,30.09,3524899.0,30.09,30.09,30.4818,30.2,
2017-01-17,29.67,3932890.0,29.67,29.39,30.2,30.17,
2017-01-18,29.58,2745612.0,29.58,29.1501,29.67,29.58,
2017-01-19,29.31,4032270.0,29.31,28.98,29.63,29.56,
2017-01-20,29.58,3715882.0,29.58,29.195,29.6,29.54,
2017-01-23,29.57,3205958.0,29.57,29.4969,29.84,29.65,
2017-01-24,30.31,5439640.0,30.31,29.47,30.51,29.56,
2017-01-25,30.62,7151914.0,30.62,30.05,30.65,30.4,
2017-01-26,31.21,6669673.0,31.21,30.86,31.5,31.05,
2017-01-27,31.3,4832954.0,31.3,31.13,31.42,31.38,
2017-01-30,31.02,3739303.0,31.02,30.61,31.3,31.12,
2017-01-31,30.63,3623949.0,30.63,30.24,30.98,30.84,
2017-02-01,31.16,7004650.0,31.16,31.01,31.69,31.03,
2017-02-02,30.79,3850137.0,30.79,30.26,30.825,30.8,
2017-02-03,30.74,3943616.0,30.74,30.54,31.33,31.16,
2017-02-06,30.62,3998049.0,30.62,30.52,30.8,30.6,
2017-02-07,30.55,3659808.0,30.55,30.36,30.9099,30.68,
2017-02-08,30.53,3736505.0,30.53,30.165,30.831,30.36,
2017-02-09,30.17,5034223.0,30.17,29.83,30.5,30.47,
2017-02-10,30.35,3262324.0,30.35,30.02,30.425,30.19,
2017-02-13,30.45,3104636.0,30.45,30.28,30.69,30.58,
2017-02-14,30.45,3776086.0,30.45,30.37,30.68,30.52,
2017-02-15,30.94,4679704.0,30.94,30.5,31.055,30.73,
2017-02-16,30.4,7116144.0,30.4,30.335,31.15,30.84,
2017-02-17,30.22,3917470.0,30.22,30.02,30.33,30.3,
2017-02-21,30.55,5324834.0,30.55,30.3,30.6,30.37,
2017-02-22,30.32,2156077.0,30.32,30.22,30.59,30.48,
2017-02-23,29.83,4788040.0,29.83,29.55,30.44,30.42,
2017-02-24,29.54,4377462.0,29.54,29.185,29.64,29.57,
2017-02-27,29.79,3842228.0,29.79,29.14,29.9,29.43,
2017-02-28,29.54,3062963.0,29.54,29.28,29.8999,29.72,
2017-03-01,30.0,4165131.0,30.0,29.81,30.13,29.99,
2017-03-02,29.68,2405043.0,29.68,29.68,30.07,29.91,
2017-03-03,29.66,4017709.0,29.66,29.359,29.83,29.62,
2017-03-06,29.52,1922752.0,29.52,29.45,29.75,29.66,
2017-03-07,29.39,2424968.0,29.39,29.131,29.5,29.5,
2017-03-08,29.1,3002525.0,29.1,29.01,29.61,29.61,
2017-03-09,28.62,6262883.0,28.62,28.45,29.27,29.08,
2017-03-10,28.94,2935411.0,28.94,28.72,29.05,28.75,
2017-03-13,30.35,12509424.0,30.35,29.83,30.58,30.07,
2017-03-14,30.24,3887657.0,30.24,30.0,30.4201,30.32,
2017-03-15,30.51,5387956.0,30.51,30.36,30.75,30.49,
2017-03-16,30.6,4301524.0,30.6,30.359,30.91,30.88,
2017-03-17,30.59,3204972.0,30.59,30.59,30.83,30.65,
2017-03-20,30.53,2847449.0,30.53,30.46,30.74,30.66,
2017-03-21,30.01,5859381.0,30.01,29.82,30.74,30.74,
2017-03-22,29.98,4460553.0,29.98,29.5,30.18,29.87,
2017-03-23,29.89,3084365.0,29.89,29.67,30.22,29.9,
2017-03-24,29.68,2615036.0,29.68,29.51,30.06,29.89,
2017-03-27,29.59,4091479.0,29.59,29.19,29.6,29.45,
2017-03-28,29.62,2947462.0,29.62,29.5,29.85,29.57,
2017-03-29,29.31,6175347.0,29.31,29.12,29.68,29.68,
2017-03-30,29.69,3781681.0,29.69,29.45,29.78,29.5,
2017-03-31,29.7,3019220.0,29.7,29.61,29.7958,29.73,
2017-04-03,29.54,4031835.0,29.54,29.18,29.7799,29.7,
2017-04-04,29.64,1877593.0,29.64,29.3,29.6884,29.4,
2017-04-05,29.47,3218104.0,29.47,29.44,29.99,29.88,
2017-04-06,29.76,2959810.0,29.76,29.4,30.12,29.45,
2017-04-07,29.39,4059975.0,29.39,29.3,29.9241,29.55,
2017-04-10,29.44,2690708.0,29.44,29.27,29.585,29.4,
2017-04-11,29.24,2790206.0,29.24,29.17,29.49,29.33,
2017-04-12,29.26,2138962.0,29.26,29.0,29.31,29.2,
