YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,39.76,2608086.0,39.76,39.4,39.91,39.71,
2017-01-04,39.09,4066026.0,39.09,38.89,39.88,39.8,
2017-01-05,38.95,4367157.0,38.95,38.88,39.44,39.15,
2017-01-06,38.74,3341213.0,38.74,38.73,38.99,38.83,
2017-01-09,38.44,3046642.0,38.44,38.38,38.78,38.61,
2017-01-10,38.29,2541606.0,38.29,38.16,38.57,38.39,
2017-01-11,38.64,2568522.0,38.64,38.27,38.73,38.66,
2017-01-12,38.51,2431215.0,38.51,38.31,38.87,38.53,
2017-01-13,38.51,2237059.0,38.51,38.39,38.81,38.6,
2017-01-17,38.61,3085670.0,38.61,38.34,38.67,38.5,
2017-01-18,38.72,2607474.0,38.72,38.55,39.01,38.66,
2017-01-19,38.69,2670636.0,38.69,38.585,38.86,38.7,
2017-01-20,39.13,3572937.0,39.13,38.75,39.27,38.85,
2017-01-23,38.89,4011260.0,38.89,38.8,39.27,39.04,
2017-01-24,39.21,2190010.0,39.21,38.8,39.3,38.88,
2017-01-25,39.22,2873767.0,39.22,39.18,39.64,39.25,
2017-01-26,38.95,2147017.0,38.95,38.84,39.21,38.99,
2017-01-27,38.99,1746568.0,38.99,38.77,39.12,39.03,
2017-01-30,39.02,2104263.0,39.02,38.76,39.09,38.95,
2017-01-31,39.09,2659368.0,39.09,38.72,39.1478,38.72,
2017-02-01,38.94,2922234.0,38.94,38.77,39.14,38.97,
2017-02-02,39.24,2166552.0,39.24,39.0,39.44,39.07,
2017-02-03,39.37,1757718.0,39.37,39.165,39.54,39.48,
2017-02-06,39.23,2448747.0,39.23,39.13,39.47,39.44,
2017-02-07,39.54,2892454.0,39.54,39.16,39.57,39.22,
2017-02-08,39.52,2615662.0,39.52,39.26,39.61,39.56,
2017-02-09,39.73,4269579.0,39.73,39.43,40.0,39.56,
2017-02-10,39.84,1676822.0,39.84,39.27,39.99,39.69,
2017-02-13,39.76,2259619.0,39.76,39.54,39.93,39.81,
2017-02-14,39.79,1828523.0,39.79,39.52,39.9,39.61,
