YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.48,4459440.0,74.48,71.9,74.75,71.99,
2017-01-04,75.63,2461482.0,75.63,74.5,75.69,74.5,
2017-01-05,74.5,1921038.0,74.5,74.31,75.59,75.33,
2017-01-06,75.33,2306919.0,75.33,74.17,75.41,74.62,
2017-01-09,74.76,1985668.0,74.76,74.75,75.5973,75.03,
2017-01-10,75.22,2420456.0,75.22,74.52,75.97,74.58,
2017-01-11,73.72,3049378.0,73.72,72.85,75.63,75.15,
2017-01-12,74.19,1998574.0,74.19,73.29,74.27,73.4,
2017-01-13,75.0,1443727.0,75.0,74.26,75.14,74.48,
2017-01-17,75.18,1523725.0,75.18,74.3653,75.86,74.61,
2017-01-18,75.8,1768558.0,75.8,75.03,75.85,75.65,
2017-01-19,75.55,2240098.0,75.55,75.245,75.76,75.6,
2017-01-20,75.03,2389670.0,75.03,74.93,75.78,75.55,
2017-01-23,74.72,2180949.0,74.72,74.27,75.12,74.9,
2017-01-24,74.65,1060588.0,74.65,74.3,74.85,74.77,
2017-01-25,75.87,1556744.0,75.87,74.67,75.96,75.01,
2017-01-26,73.09,3866326.0,73.09,72.43,74.14,73.34,
2017-01-27,72.47,3023673.0,72.47,71.989,73.58,73.58,
2017-01-30,73.19,1645492.0,73.19,72.11,73.31,72.53,
2017-01-31,74.96,3543405.0,74.96,72.88,75.05,73.89,
2017-02-01,75.35,2569333.0,75.35,74.155,75.39,74.43,
2017-02-02,74.44,2428320.0,74.44,73.79,75.2,74.91,
2017-02-03,74.87,1581084.0,74.87,74.41,75.09,74.69,
2017-02-06,75.97,2951765.0,75.97,74.85,76.06,74.85,
2017-02-07,77.76,6390740.0,77.76,74.995,79.69,75.5,
2017-02-08,77.81,2464965.0,77.81,76.67,77.85,77.4,
2017-02-09,77.45,2053629.0,77.45,77.035,77.9,77.81,
2017-02-10,77.4,1688227.0,77.4,76.78,77.73,77.5,
2017-02-13,78.07,1523464.0,78.07,77.25,78.4,77.81,
2017-02-14,78.88,1777368.0,78.88,77.38,79.045,77.59,
2017-02-15,80.42,2732617.0,80.42,78.01,80.49,78.97,
2017-02-16,80.24,1801999.0,80.24,79.231,80.48,80.25,
2017-02-17,80.71,2498960.0,80.71,79.56,80.78,80.0,
2017-02-21,81.34,2170266.0,81.34,80.28,81.51,80.5,
2017-02-22,81.08,1545285.0,81.08,80.87,81.565,81.19,
2017-02-23,81.73,1795377.0,81.73,80.92,81.85,81.3,
2017-02-24,82.14,1331548.0,82.14,80.91,82.15,81.54,
2017-02-27,82.49,1400594.0,82.49,81.9,82.62,82.14,
2017-02-28,81.37,1938807.0,81.37,81.29,82.316,82.01,
2017-03-01,82.05,1919732.0,82.05,81.72,82.51,82.18,
2017-03-02,81.79,2065293.0,81.79,81.58,82.5,81.93,
2017-03-03,82.85,1888965.0,82.85,81.73,83.0,82.24,
2017-03-06,81.7,2330549.0,81.7,81.68,82.84,82.45,
2017-03-07,81.21,2144402.0,81.21,80.77,81.59,81.09,
2017-03-08,81.2,2634022.0,81.2,81.14,81.94,81.3,
2017-03-09,81.94,2018451.0,81.94,81.12,82.1099,81.47,
2017-03-10,82.04,1714399.0,82.04,81.77,82.42,82.28,
2017-03-13,82.55,1689990.0,82.55,81.711,82.7,82.14,
2017-03-14,82.6,1704325.0,82.6,81.86,84.88,82.25,
2017-03-15,83.8,3091957.0,83.8,82.66,84.1301,82.73,
2017-03-16,82.83,1985918.0,82.83,82.45,83.74,83.69,
2017-03-17,83.11,2624394.0,83.11,82.51,83.22,83.04,
2017-03-20,82.37,1169169.0,82.37,82.2,83.18,83.15,
2017-03-21,81.45,1343957.0,81.45,81.24,82.88,82.42,
2017-03-22,81.64,1209487.0,81.64,81.07,81.86,81.74,
2017-03-23,81.1,1397108.0,81.1,80.97,82.05,81.62,
2017-03-24,81.23,1700624.0,81.23,80.83,81.58,81.1,
2017-03-27,82.25,1368711.0,82.25,80.89,82.31,80.93,
