YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,131.71,1401146.0,131.71,131.02,132.74,132.74,
2017-01-04,131.52,1324381.0,131.52,131.01,132.3299,132.11,
2017-01-05,130.63,1731384.0,130.63,129.83,131.89,131.48,
2017-01-06,131.33,1595489.0,131.33,130.67,131.98,130.87,
2017-01-09,130.51,1537582.0,130.51,130.35,131.54,131.08,
2017-01-10,130.46,1134894.0,130.46,130.32,131.27,130.46,
2017-01-11,130.36,1545039.0,130.36,129.46,130.44,129.96,
2017-01-12,129.79,1225848.0,129.79,128.98,130.21,129.89,
2017-01-13,130.25,1059711.0,130.25,129.97,130.75,130.3,
2017-01-17,130.99,2000328.0,130.99,129.33,131.45,129.72,
2017-01-18,131.97,1868145.0,131.97,130.84,132.06,131.27,
2017-01-19,131.27,1626942.0,131.27,130.91,132.4,132.1,
2017-01-20,131.41,1801749.0,131.41,130.74,132.48,131.66,
2017-01-23,131.43,1010640.0,131.43,130.9897,131.64,131.54,
2017-01-24,131.97,1359810.0,131.97,131.535,132.82,131.77,
2017-01-25,133.07,1294246.0,133.07,132.51,133.34,132.6,
2017-01-26,133.06,1045752.0,133.06,132.37,133.4,133.0,
2017-01-27,133.3,1105591.0,133.3,132.34,133.32,133.19,
2017-01-30,131.71,1497304.0,131.71,131.2,133.26,133.26,
2017-01-31,131.49,1521379.0,131.49,130.54,132.0,131.15,
2017-02-01,128.48,3620606.0,128.48,127.15,129.69,128.87,
2017-02-02,130.77,2038742.0,130.77,128.0,130.97,128.15,
2017-02-03,131.28,1487072.0,131.28,130.95,132.2592,132.0,
2017-02-06,131.43,1056427.0,131.43,130.92,132.25,131.1,
2017-02-07,130.75,1526409.0,130.75,130.36,131.99,131.99,
2017-02-08,130.83,983391.0,130.83,130.17,131.19,130.55,
2017-02-09,131.88,919864.0,131.88,130.68,132.21,131.2,
2017-02-10,132.76,868068.0,132.76,131.74,133.21,132.2,
2017-02-13,133.81,1007517.0,133.81,132.25,133.96,132.95,
2017-02-14,133.99,1006210.0,133.99,132.97,134.16,133.86,
2017-02-15,134.46,936791.0,134.46,133.52,134.55,134.04,
2017-02-16,135.73,1421074.0,135.73,134.1,135.74,134.3,
2017-02-17,136.19,1431549.0,136.19,134.74,136.25,135.35,
2017-02-21,136.73,1318734.0,136.73,135.125,136.87,136.04,
2017-02-22,137.76,1243998.0,137.76,135.49,137.91,136.0,
2017-02-23,139.01,984862.0,139.01,137.65,139.3,138.0,
2017-02-24,138.41,978205.0,138.41,137.74,139.35,138.48,
2017-02-27,137.61,897887.0,137.61,137.18,138.65,138.2,
2017-02-28,138.17,1463195.0,138.17,136.6901,138.51,136.87,
2017-03-01,140.38,1602548.0,140.38,138.0501,140.555,139.11,
2017-03-02,138.4,1161760.0,138.4,138.39,140.32,139.67,
2017-03-03,138.65,1240892.0,138.65,137.64,138.73,138.35,
2017-03-06,137.69,1204575.0,137.69,137.56,138.38,137.92,
2017-03-07,137.41,1133575.0,137.41,136.94,137.765,137.3,
2017-03-08,136.96,1134812.0,136.96,136.79,138.38,137.9,
2017-03-09,137.41,1051767.0,137.41,136.96,137.815,137.21,
2017-03-10,137.81,1074949.0,137.81,137.12,137.89,137.8,
2017-03-13,137.54,1285429.0,137.54,137.13,138.2,137.7,
2017-03-14,137.33,1016415.0,137.33,136.98,137.81,137.29,
2017-03-15,138.26,1421960.0,138.26,137.2827,138.55,137.93,
2017-03-16,137.73,1214239.0,137.73,137.28,138.6,138.35,
2017-03-17,138.1,2874870.0,138.1,137.15,138.1,137.8,
2017-03-20,137.14,950809.0,137.14,137.09,137.86,137.86,
2017-03-21,136.08,1656934.0,136.08,135.64,137.89,137.47,
2017-03-22,136.65,1298204.0,136.65,135.71,137.07,136.08,
2017-03-23,136.66,1546471.0,136.66,136.4,137.955,136.52,
2017-03-24,136.06,942613.0,136.06,135.54,136.93,136.66,
2017-03-27,136.66,1148224.0,136.66,134.8,136.69,135.0,
2017-03-28,138.0,1466658.0,138.0,135.96,138.33,136.07,
2017-03-29,136.5,1034322.0,136.5,136.24,136.98,136.87,
2017-03-30,137.05,726118.0,137.05,136.1054,137.3,136.17,
2017-03-31,136.25,1709053.0,136.25,136.22,137.06,137.05,
2017-04-03,136.27,1128458.0,136.27,135.66,136.63,136.37,
2017-04-04,137.34,956512.0,137.34,136.19,137.44,136.19,
2017-04-05,136.78,1157395.0,136.78,136.68,138.11,137.66,
2017-04-06,137.59,1437113.0,137.59,136.4,137.98,137.18,
2017-04-07,137.47,1010649.0,137.47,136.94,138.03,136.94,
2017-04-10,137.98,1004575.0,137.98,136.66,138.42,137.47,
2017-04-11,137.8,917064.0,137.8,137.1101,138.07,137.4,
2017-04-12,137.02,1904425.0,137.02,136.42,137.24,137.1,
2017-04-13,136.72,1124751.0,136.72,136.25,137.16,136.7,
2017-04-17,138.19,1017205.0,138.19,136.75,138.34,137.06,
2017-04-18,137.5,1206784.0,137.5,137.48,138.38,137.79,
2017-04-19,136.97,1463496.0,136.97,136.56,138.38,138.38,
2017-04-20,136.78,1714143.0,136.78,135.8,137.04,136.7,
2017-04-21,135.48,2472204.0,135.48,135.43,136.9,136.55,
2017-04-24,136.78,2436492.0,136.78,136.02,137.65,137.36,
2017-04-25,137.12,1870428.0,137.12,136.85,137.79,137.33,
2017-04-26,138.93,2167537.0,138.93,137.8,140.39,138.39,
2017-04-27,138.42,1033206.0,138.42,138.34,139.476,139.1,
2017-04-28,137.25,1489376.0,137.25,137.07,138.63,138.41,
2017-05-01,136.89,1411454.0,136.89,136.7,137.79,137.28,
2017-05-02,137.03,1534975.0,137.03,136.58,137.35,137.2,
2017-05-03,137.56,1241265.0,137.56,136.835,138.03,136.98,
2017-05-04,138.3,1457989.0,138.3,137.45,138.32,137.98,
2017-05-05,137.75,1474113.0,137.75,137.32,138.67,138.52,
2017-05-08,137.23,772203.0,137.23,137.07,137.95,137.87,
2017-05-09,136.32,1045226.0,136.32,136.0,137.3305,137.0,
2017-05-10,138.0,2057929.0,138.0,136.56,138.175,136.73,
2017-05-11,137.21,1395101.0,137.21,136.7701,137.7,137.41,
2017-05-12,136.74,1009843.0,136.74,136.54,137.31,136.83,
2017-05-15,137.37,1053474.0,137.37,136.51,137.6,136.65,
2017-05-16,137.02,871928.0,137.02,136.27,137.77,136.27,
2017-05-17,137.79,2081459.0,137.79,136.64,138.31,136.65,
