YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,86.8,2472076.0,86.8,86.5,87.62,87.25,
2017-01-04,87.32,1939480.0,87.32,87.029,87.51,87.07,
2017-01-05,87.24,2400327.0,87.24,86.78,87.51,87.24,
2017-01-06,85.5,2568834.0,85.5,85.45,87.33,87.24,
2017-01-09,85.73,2141555.0,85.73,84.59,86.0,85.61,
2017-01-10,84.36,2220656.0,84.36,83.96,85.69,85.53,
2017-01-11,85.2,1645233.0,85.2,84.22,85.61,84.45,
2017-01-12,85.18,1379707.0,85.18,84.63,85.429,85.11,
2017-01-13,85.68,1270463.0,85.68,85.16,85.98,85.2,
2017-01-17,87.36,1816740.0,87.36,85.59,87.5,85.63,
2017-01-18,87.2,1318809.0,87.2,87.06,88.27,87.39,
2017-01-19,85.8,1782009.0,85.8,85.669,87.25,87.06,
2017-01-20,86.82,1842928.0,86.82,86.09,86.89,86.11,
2017-01-23,87.06,1424919.0,87.06,86.8301,87.36,86.9,
2017-01-24,87.66,1885350.0,87.66,86.8,87.69,87.13,
2017-01-25,87.18,1797360.0,87.18,86.8,88.14,88.03,
2017-01-26,88.01,2120112.0,88.01,87.79,90.14,88.06,
2017-01-27,86.85,1497628.0,86.85,86.68,88.54,88.16,
2017-01-30,86.76,1390126.0,86.76,86.22,87.09,86.94,
2017-01-31,87.83,3073156.0,87.83,86.84,87.86,87.35,
2017-02-01,86.65,2286486.0,86.65,86.63,88.79,88.28,
2017-02-02,87.77,1777499.0,87.77,86.5,87.88,86.71,
2017-02-03,88.74,2090737.0,88.74,88.12,89.13,88.34,
2017-02-06,87.04,1711667.0,87.04,86.94,88.72,88.72,
2017-02-07,87.42,1093616.0,87.42,86.72,87.545,87.29,
2017-02-08,87.66,1116509.0,87.66,87.37,88.27,87.5,
2017-02-09,87.78,1052566.0,87.78,87.36,88.0,87.73,
2017-02-10,87.56,1229103.0,87.56,86.93,87.71,87.53,
2017-02-13,90.22,2225252.0,90.22,87.92,90.23,87.94,
2017-02-14,90.25,2041517.0,90.25,89.17,90.34,90.03,
2017-02-15,90.04,1717781.0,90.04,89.04,90.17,89.62,
2017-02-16,90.5,1559224.0,90.5,90.1,90.97,90.1,
