YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,52.14,3450973.0,52.14,51.74,52.52,52.23,
2017-01-04,52.82,3169837.0,52.82,52.24,52.92,52.45,
2017-01-05,53.71,4022336.0,53.71,52.82,53.99,53.05,
2017-01-06,53.65,3669575.0,53.65,53.14,54.0636,53.59,
2017-01-09,53.69,2413767.0,53.69,53.35,53.95,53.37,
2017-01-10,54.25,4197139.0,54.25,53.78,54.87,53.9,
2017-01-11,54.56,3234721.0,54.56,54.07,54.69,54.29,
2017-01-12,53.64,3121418.0,53.64,53.25,54.3,54.22,
2017-01-13,53.46,1940302.0,53.46,53.19,53.75,53.47,
2017-01-17,53.09,2738192.0,53.09,52.745,53.48,53.48,
2017-01-18,53.6,3185992.0,53.6,52.65,53.73,52.79,
2017-01-19,53.45,2163300.0,53.45,53.42,54.14,53.6,
2017-01-20,53.3,2666166.0,53.3,53.025,53.95,53.53,
2017-01-23,53.77,2381144.0,53.77,53.03,53.82,53.33,
2017-01-24,54.53,2532776.0,54.53,53.66,54.705,53.72,
2017-01-25,55.83,5113236.0,55.83,54.65,55.885,54.7,
2017-01-26,56.93,5702299.0,56.93,56.45,57.79,56.81,
2017-01-27,56.29,2927752.0,56.29,56.11,56.98,56.94,
2017-01-30,55.64,3278992.0,55.64,55.52,56.14,56.0,
2017-01-31,55.38,2966081.0,55.38,54.75,55.64,55.64,
2017-02-01,55.47,1952068.0,55.47,55.025,55.7,55.27,
2017-02-02,55.31,1514367.0,55.31,55.075,55.46,55.45,
2017-02-03,55.28,1573611.0,55.28,55.21,55.72,55.42,
2017-02-06,55.5,1466935.0,55.5,55.02,55.575,55.08,
2017-02-07,55.45,1550046.0,55.45,55.19,55.64,55.56,
2017-02-08,55.59,1723996.0,55.59,55.35,55.78,55.7,
2017-02-09,56.31,3283833.0,56.31,55.45,56.48,55.47,
2017-02-10,56.25,2610317.0,56.25,55.88,56.33,56.02,
2017-02-13,56.46,2688057.0,56.46,56.43,56.93,56.63,
2017-02-14,56.37,2755528.0,56.37,56.28,56.64,56.53,
2017-02-15,56.48,3190217.0,56.48,55.61,56.53,56.03,
2017-02-16,56.03,2674492.0,56.03,55.7,56.46,56.34,
2017-02-17,55.4,3954074.0,55.4,55.21,55.8,55.76,
2017-02-21,55.89,2780345.0,55.89,55.23,56.07,55.53,
2017-02-22,55.5,3625237.0,55.5,54.75,55.72,55.37,
2017-02-23,55.92,4377147.0,55.92,55.85,56.88,56.62,
2017-02-24,56.03,3586664.0,56.03,55.59,56.12,55.89,
2017-02-27,56.05,3478132.0,56.05,55.711,56.13,56.11,
2017-02-28,55.95,2542491.0,55.95,55.93,56.4075,56.22,
2017-03-01,56.5,2682810.0,56.5,56.18,56.715,56.51,
2017-03-02,56.57,1852711.0,56.57,56.09,56.67,56.54,
2017-03-03,55.72,3252961.0,55.72,55.52,56.31,56.26,
2017-03-06,55.74,2754501.0,55.74,55.07,55.87,55.6,
2017-03-07,55.53,2172016.0,55.53,55.33,55.76,55.65,
2017-03-08,55.53,2345141.0,55.53,55.49,55.8825,55.78,
2017-03-09,56.2,2492952.0,56.2,55.69,56.25,55.78,
2017-03-10,57.21,3720515.0,57.21,56.61,57.46,56.64,
2017-03-13,57.11,2362650.0,57.11,57.06,57.42,57.36,
2017-03-14,56.99,2322380.0,56.99,56.73,57.3,57.06,
2017-03-15,57.37,2389165.0,57.37,56.9,57.54,57.05,
2017-03-16,57.54,2170733.0,57.54,57.18,57.59,57.27,
2017-03-17,57.64,3796630.0,57.64,57.58,57.96,57.75,
2017-03-20,57.76,1937734.0,57.76,57.55,57.85,57.76,
2017-03-21,57.79,4017256.0,57.79,57.69,58.76,58.37,
2017-03-22,58.29,5536709.0,58.29,57.09,58.435,57.58,
2017-03-23,58.52,3638884.0,58.52,58.43,58.95,58.47,
2017-03-24,58.6,4531752.0,58.6,58.39,59.12,58.82,
2017-03-27,58.87,4375976.0,58.87,58.06,58.94,58.47,
2017-03-28,59.26,7319787.0,59.26,59.0,60.24,59.88,
2017-03-29,58.96,4112245.0,58.96,58.545,59.37,59.09,
2017-03-30,59.29,4780667.0,59.29,59.05,59.4,59.37,
2017-03-31,58.91,3435229.0,58.91,58.865,59.27,59.17,
2017-04-03,58.72,4372531.0,58.72,58.42,59.05,59.0,
2017-04-04,58.64,4480338.0,58.64,58.405,59.06,58.86,
2017-04-05,58.8,3356317.0,58.8,58.34,59.19,58.7,
2017-04-06,59.06,3553208.0,59.06,58.29,59.36,58.63,
2017-04-07,58.61,4726445.0,58.61,58.55,59.185,58.96,
2017-04-10,58.44,2888376.0,58.44,58.29,58.99,58.8,
