YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,51.54,807190.0,51.54,51.3397,52.31,52.31,7328.0
2017-01-04,52.38,1036153.0,52.38,51.79,52.6,51.79,9057.0
2017-01-05,51.87,571212.0,51.87,51.84,52.655,52.1,5071.0
2017-01-06,51.69,539390.0,51.69,51.46,51.95,51.89,5278.0
2017-01-09,51.17,483342.0,51.17,51.04,52.0,51.84,5143.0
2017-01-10,52.24,653965.0,52.24,51.12,52.68,51.4,6352.0
2017-01-11,52.96,736778.0,52.96,51.51,53.29,52.57,6530.0
2017-01-12,52.74,403253.0,52.74,52.05,53.1647,53.0,4531.0
2017-01-13,53.22,270719.0,53.22,52.82,53.25,53.04,3059.0
2017-01-17,52.69,492183.0,52.69,52.34,53.51,53.34,4051.0
2017-01-18,52.42,579287.0,52.42,52.2,53.49,53.06,4674.0
2017-01-19,52.01,351461.0,52.01,51.9,52.705,52.5,3718.0
2017-01-20,52.02,500152.0,52.02,51.59,52.84,52.19,5611.0
2017-01-23,51.45,349398.0,51.45,50.82,52.13,52.0,3899.0
2017-01-24,51.7,705410.0,51.7,51.36,52.0,51.8,6642.0
2017-01-25,51.75,771140.0,51.75,51.5,52.19,52.08,5763.0
2017-01-26,51.72,735850.0,51.72,51.665,52.47,51.89,6329.0
2017-01-27,51.48,884681.0,51.48,51.25,51.74,51.72,6617.0
2017-01-30,51.04,741264.0,51.04,50.49,51.5,51.07,6915.0
2017-01-31,51.51,949452.0,51.51,50.81,51.575,51.05,8315.0
2017-02-01,52.88,1348339.0,52.88,52.44,53.09,52.74,12138.0
2017-02-02,52.81,1056120.0,52.81,52.33,53.12,52.71,8106.0
2017-02-03,53.35,1138862.0,53.35,52.86,53.48,52.97,9338.0
2017-02-06,53.4,1037163.0,53.4,53.105,53.54,53.47,8996.0
2017-02-07,56.93,2277655.0,56.93,53.78,57.22,54.43,18130.0
2017-02-08,57.16,2192696.0,57.16,56.95,58.12,57.25,16077.0
2017-02-09,58.3,1092039.0,58.3,57.16,58.57,57.17,10287.0
2017-02-10,58.71,1299204.0,58.71,58.37,59.49,58.46,12301.0
2017-02-13,59.26,908115.0,59.26,58.72,59.54,59.0,9932.0
2017-02-14,59.38,867855.0,59.38,58.91,59.62,59.02,8956.0
2017-02-15,59.25,1191893.0,59.25,59.11,59.59,59.55,10487.0
2017-02-16,58.83,1004862.0,58.83,58.48,59.55,59.45,10542.0
2017-02-17,59.99,1059912.0,59.99,58.65,60.0,58.74,8326.0
2017-02-21,59.64,1222237.0,59.64,59.49,60.5,59.99,9959.0
2017-02-22,59.91,1121390.0,59.91,59.42,60.01,59.51,9562.0
2017-02-23,59.32,447478.0,59.32,59.11,60.18,59.9,5065.0
2017-02-24,59.38,622622.0,59.38,58.881,59.67,59.21,6408.0
2017-02-27,59.41,747645.0,59.41,58.875,59.5,59.09,6842.0
2017-02-28,58.9,1045671.0,58.9,58.67,59.76,59.49,7874.0
2017-03-01,59.78,847882.0,59.78,58.92,60.12,59.47,7108.0
2017-03-02,59.67,771787.0,59.67,59.28,60.06,59.53,8242.0
2017-03-03,59.34,833668.0,59.34,59.17,59.87,59.55,7845.0
2017-03-06,59.48,966569.0,59.48,58.93,59.82,59.37,8752.0
2017-03-07,59.48,930123.0,59.48,59.19,60.1,59.31,8248.0
2017-03-08,59.16,861087.0,59.16,59.11,59.85,59.51,7926.0
2017-03-09,59.54,1359304.0,59.54,58.99,59.84,59.36,11124.0
2017-03-10,59.2,899146.0,59.2,59.18,60.2212,59.82,7737.0
2017-03-13,59.27,907055.0,59.27,58.7,59.4,59.14,7344.0
2017-03-14,59.42,717944.0,59.42,58.67,59.5,59.13,6932.0
2017-03-15,60.05,688103.0,60.05,59.49,60.15,59.49,6138.0
2017-03-16,60.6,854205.0,60.6,59.92,61.0,59.92,7382.0
2017-03-17,60.36,1806533.0,60.36,60.03,60.925,60.6,10423.0
2017-03-20,59.73,989289.0,59.73,59.6,60.3,60.2,8291.0
2017-03-21,57.95,1064770.0,57.95,57.88,60.28,60.1,9878.0
2017-03-22,58.06,880815.0,58.06,57.67,58.55,58.0,8818.0
2017-03-23,58.09,885920.0,58.09,57.82,58.99,57.91,7961.0
2017-03-24,57.63,536398.0,57.63,57.39,58.37,58.16,6016.0
2017-03-27,56.94,1250455.0,56.94,56.1,57.96,57.27,10690.0
2017-03-28,56.86,1358560.0,56.86,56.48,57.27,56.99,10739.0
2017-03-29,56.98,1019686.0,56.98,56.33,57.32,57.07,10128.0
2017-03-30,57.38,528914.0,57.38,57.08,57.48,57.11,5406.0
2017-03-31,57.71,877496.0,57.71,57.13,58.07,57.22,8595.0
2017-04-03,57.65,594938.0,57.65,57.384,58.01,58.0,6240.0
2017-04-04,57.9,926462.0,57.9,57.43,58.09,57.59,7577.0
2017-04-05,57.28,775302.0,57.28,57.21,58.22,58.13,7716.0
2017-04-06,57.97,754977.0,57.97,57.15,58.04,57.48,7744.0
2017-04-07,57.94,1331750.0,57.94,57.71,58.3095,57.89,7910.0
2017-04-10,57.64,700890.0,57.64,57.58,58.5223,58.09,7567.0
2017-04-11,57.52,727083.0,57.52,56.87,57.64,57.47,7151.0
