YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,79.51,568032.0,79.51,78.38,80.72,79.42,
2017-01-04,80.82,670087.0,80.82,79.41,80.82,79.84,
2017-01-05,80.75,751074.0,80.75,80.06,81.88,80.39,
2017-01-06,81.03,530756.0,81.03,80.1,81.21,80.83,
2017-01-09,80.56,579238.0,80.56,80.12,81.4,80.74,
2017-01-10,81.33,712630.0,81.33,80.5303,82.505,81.03,
2017-01-11,82.99,754266.0,82.99,81.41,83.08,81.41,
2017-01-12,83.29,655840.0,83.29,81.82,83.43,82.76,
2017-01-13,82.52,397456.0,82.52,82.44,84.01,83.31,
2017-01-17,81.48,427004.0,81.48,81.01,82.0,81.95,
2017-01-18,82.56,962495.0,82.56,81.26,82.63,81.63,
2017-01-19,82.21,864719.0,82.21,81.695,83.28,82.82,
2017-01-20,82.72,450293.0,82.72,81.88,83.21,82.62,
2017-01-23,83.87,851821.0,83.87,82.335,84.05,82.48,
2017-01-24,85.66,798816.0,85.66,84.09,85.68,84.37,
2017-01-25,86.56,794950.0,86.56,85.29,86.68,85.71,
2017-01-26,86.8,730796.0,86.8,86.08,87.62,86.62,
2017-01-27,85.1,992507.0,85.1,84.4101,86.12,85.8,
2017-01-30,84.12,752284.0,84.12,83.13,84.63,84.57,
2017-01-31,84.4,1720213.0,84.4,83.65,84.78,84.22,
2017-02-01,85.99,1487947.0,85.99,83.49,86.35,84.23,
2017-02-02,87.7,1836945.0,87.7,86.72,88.915,86.73,
2017-02-03,86.59,1161102.0,86.59,86.505,88.25,88.0,
2017-02-06,88.05,2041322.0,88.05,86.08,88.24,86.32,
2017-02-07,87.81,1617588.0,87.81,87.25,88.205,87.25,
2017-02-08,87.66,798049.0,87.66,86.93,88.07,87.7,
2017-02-09,87.86,755270.0,87.86,87.31,88.36,87.84,
2017-02-10,88.26,886304.0,88.26,87.67,88.68,88.45,
2017-02-13,88.42,944408.0,88.42,87.75,88.785,88.38,
2017-02-14,88.38,1026234.0,88.38,87.57,88.48,87.74,
2017-02-15,89.04,988073.0,89.04,87.8301,89.06,88.61,
2017-02-16,89.03,819849.0,89.03,88.64,89.94,88.64,
2017-02-17,89.64,1230417.0,89.64,88.5,89.73,89.0,
2017-02-21,90.03,793282.0,90.03,89.55,90.68,89.82,
2017-02-22,90.3,720222.0,90.3,89.37,90.52,89.45,
2017-02-23,89.67,620363.0,89.67,89.1,91.17,90.37,
2017-02-24,88.79,898296.0,88.79,88.29,89.58,88.76,
2017-02-27,88.63,755892.0,88.63,88.32,89.0,88.92,
2017-02-28,89.17,872352.0,89.17,88.26,89.44,88.64,
2017-03-01,90.28,931157.0,90.28,90.1,91.45,90.15,
2017-03-02,88.66,852145.0,88.66,88.5,90.5,90.08,
2017-03-03,89.99,870576.0,89.99,88.57,90.16,88.57,
2017-03-06,90.17,678530.0,90.17,89.395,90.41,89.46,
2017-03-07,90.23,785263.0,90.23,89.92,90.73,90.02,
2017-03-08,88.98,975697.0,88.98,88.93,90.74,90.17,
2017-03-09,89.06,653865.0,89.06,88.7009,89.73,88.9,
2017-03-10,90.64,1106846.0,90.64,89.65,91.2524,89.7,
2017-03-13,91.59,816185.0,91.59,90.4,91.64,90.55,
2017-03-14,90.76,656332.0,90.76,90.27,91.55,90.27,
2017-03-15,92.46,723147.0,92.46,91.43,92.75,91.52,
2017-03-16,91.5,560932.0,91.5,91.08,93.05,93.05,
2017-03-17,91.94,1031321.0,91.94,91.29,92.23,92.01,
2017-03-20,91.78,507042.0,91.78,91.01,92.05,91.94,
2017-03-21,89.46,683291.0,89.46,89.23,92.275,92.08,
2017-03-22,90.14,1251538.0,90.14,88.68,90.15,89.54,
2017-03-23,90.3,964774.0,90.3,88.5322,90.93,89.87,
2017-03-24,89.47,728481.0,89.47,89.06,90.61,90.26,
2017-03-27,89.95,654203.0,89.95,88.035,90.13,88.17,
2017-03-28,89.92,1999872.0,89.92,89.85,91.21,90.22,
2017-03-29,88.65,1914536.0,88.65,88.3,90.03,89.96,
2017-03-30,89.89,1259458.0,89.89,88.8,90.59,88.9,
2017-03-31,89.85,959941.0,89.85,89.32,90.53,89.45,
2017-04-03,89.74,893136.0,89.74,88.94,90.75,90.27,
2017-04-04,91.74,1223604.0,91.74,90.17,91.91,90.18,
2017-04-05,91.46,1494663.0,91.46,91.265,93.06,92.35,
2017-04-06,91.53,936986.0,91.53,90.71,92.21,91.45,
2017-04-07,92.22,766696.0,92.22,91.02,92.6099,91.42,
2017-04-10,92.31,652461.0,92.31,92.05,92.89,92.2,
2017-04-11,92.29,603309.0,92.29,91.251,92.5363,92.25,
2017-04-12,90.61,833310.0,90.61,90.48,92.81,92.81,
2017-04-13,89.16,1022750.0,89.16,89.0,91.235,90.5,
2017-04-17,90.5,1805400.0,90.5,88.721,90.76,89.0,
2017-04-18,89.1,2247523.0,89.1,86.74,90.94,89.27,
2017-04-19,87.78,1942532.0,87.78,87.066,89.86,89.33,
2017-04-20,89.5,1259610.0,89.5,88.2,90.31,88.2,
2017-04-21,88.4,1173584.0,88.4,88.39,90.5,89.45,
2017-04-24,89.3,1111444.0,89.3,89.06,90.0,89.63,
2017-04-25,89.11,1064718.0,89.11,89.11,90.39,89.94,
2017-04-26,88.59,1013725.0,88.59,88.57,89.59,89.06,
2017-04-27,87.91,771362.0,87.91,87.5719,88.64,88.27,
2017-04-28,87.04,1427072.0,87.04,86.77,88.22,87.77,
2017-05-01,87.67,916483.0,87.67,86.76,88.06,86.98,
2017-05-02,87.02,1232000.0,87.02,86.66,88.4,87.53,
2017-05-03,85.63,1021474.0,85.63,85.6,87.11,86.6,
