YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,31.87,6719839.0,31.87,31.66,32.59,32.02,
2017-01-04,33.04,5479475.0,33.04,32.04,33.04,32.11,
2017-01-05,33.05,5949647.0,33.05,32.32,33.4,33.04,
2017-01-06,33.47,2840150.0,33.47,33.02,33.5,33.07,
2017-01-09,33.77,4523247.0,33.77,33.07,33.95,33.47,
2017-01-10,32.73,6816358.0,32.73,32.4,33.78,33.41,
2017-01-11,34.19,6499962.0,34.19,32.8646,34.24,32.87,
2017-01-12,34.51,5902033.0,34.51,33.4101,34.57,33.93,
2017-01-13,33.98,4144901.0,33.98,33.34,34.7,34.37,
2017-01-17,32.89,4777844.0,32.89,32.86,34.26,34.23,
2017-01-18,32.32,5392334.0,32.32,32.29,32.92,32.89,
2017-01-19,32.25,5019969.0,32.25,31.99,32.72,32.58,
2017-01-20,34.2,7960517.0,34.2,33.04,34.34,33.72,
2017-01-23,35.25,7577126.0,35.25,33.92,35.29,34.0,
2017-01-24,36.85,10489118.0,36.85,35.56,37.13,35.63,
2017-01-25,36.54,4963997.0,36.54,36.02,37.17,37.11,
2017-01-26,36.21,6072724.0,36.21,34.5,36.48,34.81,
2017-01-27,36.51,4210197.0,36.51,35.79,36.8,36.47,
2017-01-30,35.39,4156173.0,35.39,35.12,36.28,36.28,
2017-01-31,35.29,4355328.0,35.29,35.16,36.1,35.74,
2017-02-01,36.63,4594791.0,36.63,35.26,36.69,35.34,
2017-02-02,35.63,3911060.0,35.63,35.315,36.41,36.41,
2017-02-03,35.68,3189401.0,35.68,35.54,36.14,35.79,
2017-02-06,35.49,3882460.0,35.49,34.77,35.752,35.7,
2017-02-07,34.89,4909000.0,34.89,34.35,35.56,35.05,
2017-02-08,34.94,3068347.0,34.94,34.41,35.17,34.9,
2017-02-09,34.49,3718818.0,34.49,34.45,35.01,34.9,
2017-02-10,35.84,4172322.0,35.84,34.58,35.9,34.75,
2017-02-13,36.71,6424960.0,36.71,36.02,37.1,36.08,
2017-02-14,36.32,7961331.0,36.32,35.78,36.57,36.48,
2017-02-15,34.49,9225971.0,34.49,34.32,36.26,36.2,
2017-02-16,33.52,10609504.0,33.52,33.3801,35.71,33.68,
2017-02-17,34.11,6668823.0,34.11,33.31,34.15,33.51,
2017-02-21,33.93,5137493.0,33.93,33.44,34.54,34.18,
2017-02-22,33.22,3145939.0,33.22,33.19,33.975,33.76,
2017-02-23,31.82,7986243.0,31.82,31.08,33.26,33.24,
2017-02-24,31.15,5696401.0,31.15,30.58,31.51,31.42,
2017-02-27,31.49,3897784.0,31.49,30.92,31.54,31.1,
2017-02-28,31.42,5672538.0,31.42,31.02,32.14,31.15,
2017-03-01,32.15,5654604.0,32.15,31.355,32.27,31.99,
2017-03-02,31.56,4037638.0,31.56,31.53,32.3,32.15,
2017-03-03,30.95,5302280.0,30.95,30.84,31.53,31.47,
2017-03-06,30.83,3378785.0,30.83,30.42,31.08,30.79,
2017-03-07,30.2,5349425.0,30.2,29.875,30.75,30.67,
2017-03-08,29.62,4775880.0,29.62,29.54,30.45,30.12,
