YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.86,5046074.0,35.86,35.56,37.08,36.44,
2017-01-04,36.17,4354910.0,36.17,35.83,36.25,36.03,
2017-01-05,35.72,3725212.0,35.72,35.225,36.255,36.02,
2017-01-06,35.91,3623516.0,35.91,35.71,36.08,35.91,
2017-01-09,35.68,3035709.0,35.68,35.15,35.83,35.63,
2017-01-10,36.28,3730357.0,36.28,35.8,36.37,35.88,
2017-01-11,36.27,4273259.0,36.27,35.84,36.37,36.17,
2017-01-12,35.92,3961655.0,35.92,35.165,36.14,36.1,
2017-01-13,36.29,5200780.0,36.29,35.9,36.98,36.2,
2017-01-17,34.12,8472301.0,34.12,33.97,35.91,35.83,
2017-01-18,34.99,6386108.0,34.99,33.8,35.02,34.36,
2017-01-19,34.73,5737292.0,34.73,34.41,35.425,34.93,
2017-01-20,35.82,8164516.0,35.82,35.3,36.18,35.56,
2017-01-23,35.89,4893724.0,35.89,35.38,35.97,35.6,
2017-01-24,36.3,6052454.0,36.3,35.875,36.41,35.96,
2017-01-25,37.52,5714208.0,37.52,36.673,37.54,36.76,
2017-01-26,37.54,4795764.0,37.54,37.21,37.95,37.51,
2017-01-27,36.99,4278555.0,36.99,36.87,37.48,37.43,
2017-01-30,36.53,4981902.0,36.53,35.9,36.76,36.54,
2017-01-31,36.17,4774894.0,36.17,35.87,36.87,36.33,
2017-02-01,36.49,4795907.0,36.49,36.385,37.16,36.54,
2017-02-02,36.04,4356559.0,36.04,35.65,36.22,36.19,
2017-02-03,36.79,3873692.0,36.79,36.36,36.905,36.81,
2017-02-06,36.47,4633578.0,36.47,36.21,36.92,36.31,
2017-02-07,36.59,3815843.0,36.59,36.325,36.81,36.6,
2017-02-08,35.35,8451798.0,35.35,35.24,36.28,36.25,
2017-02-09,36.24,5730961.0,36.24,35.21,36.275,35.58,
2017-02-10,36.42,3283755.0,36.42,36.09,36.53,36.15,
2017-02-13,36.92,3506175.0,36.92,36.71,37.2,36.81,
2017-02-14,37.98,5148596.0,37.98,36.77,38.07,36.92,
2017-02-15,38.37,3841115.0,38.37,37.76,38.43,38.1,
2017-02-16,38.25,2756895.0,38.25,37.98,38.395,38.11,
2017-02-17,37.84,5495882.0,37.84,37.45,37.84,37.72,
2017-02-21,38.05,4622419.0,38.05,37.615,38.23,38.01,
2017-02-22,37.67,5248697.0,37.67,37.51,37.94,37.81,
2017-02-23,37.25,5960935.0,37.25,36.77,37.86,37.84,
2017-02-24,36.65,7559256.0,36.65,36.46,37.16,36.75,
2017-02-27,37.19,4015415.0,37.19,36.66,37.26,36.77,
2017-02-28,37.37,4450208.0,37.37,36.82,37.435,37.0,
2017-03-01,39.59,7133705.0,39.59,38.34,39.75,38.42,
2017-03-02,38.05,5930197.0,38.05,38.01,39.74,39.68,
2017-03-03,38.31,4489447.0,38.31,38.13,38.53,38.24,
2017-03-06,38.27,2722995.0,38.27,37.75,38.45,38.07,
2017-03-07,37.97,2628290.0,37.97,37.76,38.35,38.22,
2017-03-08,37.85,3445588.0,37.85,37.77,38.64,38.57,
2017-03-09,37.73,2948870.0,37.73,37.54,38.26,37.99,
2017-03-10,37.64,4472991.0,37.64,36.97,38.14,38.06,
2017-03-13,37.37,4176324.0,37.37,37.2886,37.87,37.59,
2017-03-14,37.19,3378105.0,37.19,36.73,37.26,37.2,
2017-03-15,36.78,5339984.0,36.78,36.65,37.63,37.4,
2017-03-16,37.1,3363746.0,37.1,36.77,37.31,37.06,
2017-03-17,36.62,13510146.0,36.62,36.42,37.2,37.05,
2017-03-20,36.23,5881912.0,36.23,36.1,36.65,36.5,
2017-03-21,34.36,7594756.0,34.36,34.21,36.61,36.52,
2017-03-22,34.43,7066744.0,34.43,33.45,34.9,34.12,
