YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,72.85,1851797.0,72.85,72.17,73.8,73.5,17813.0
2017-01-04,72.99,1012727.0,72.99,72.64,74.0,72.86,10257.0
2017-01-05,73.74,1122142.0,73.74,72.59,73.82,72.79,11769.0
2017-01-06,74.15,782719.0,74.15,73.45,74.31,73.67,8567.0
2017-01-09,73.16,857606.0,73.16,73.09,74.18,73.78,8122.0
2017-01-10,73.14,651707.0,73.14,72.84,73.72,73.12,6290.0
2017-01-11,73.44,668609.0,73.44,72.93,73.63,73.01,7333.0
2017-01-12,73.44,843866.0,73.44,72.89,73.51,73.36,8337.0
2017-01-13,73.38,1036578.0,73.38,73.16,73.645,73.55,9433.0
2017-01-17,73.56,720200.0,73.56,72.9,73.93,73.18,8484.0
2017-01-18,74.05,1188694.0,74.05,72.9471,74.45,73.58,11901.0
2017-01-19,73.37,1198741.0,73.37,73.15,74.15,74.15,13030.0
2017-01-20,73.6,1251931.0,73.6,72.92,73.91,73.51,10564.0
2017-01-23,73.68,1615835.0,73.68,73.19,73.72,73.43,12163.0
2017-01-24,74.66,1168413.0,74.66,73.51,75.0222,73.95,10531.0
2017-01-25,74.68,982034.0,74.68,74.13,75.0799,75.0,10084.0
2017-01-26,75.75,1417376.0,75.75,74.42,75.91,74.45,15495.0
2017-01-27,77.58,2488130.0,77.58,75.575,77.65,75.87,22525.0
2017-01-30,76.51,2616130.0,76.51,76.33,77.36,77.36,22829.0
2017-01-31,76.06,1653757.0,76.06,75.75,76.74,76.74,16867.0
2017-02-01,75.11,2936117.0,75.11,73.27,76.0,74.6,30081.0
2017-02-02,74.94,1452286.0,74.94,74.46,75.56,74.86,14004.0
2017-02-03,75.55,944071.0,75.55,75.0,75.83,75.11,10424.0
2017-02-06,74.83,895275.0,74.83,74.75,75.89,75.45,9512.0
2017-02-07,75.62,1128469.0,75.62,75.02,75.87,75.32,11193.0
2017-02-08,76.13,785028.0,76.13,75.21,76.22,75.7,7165.0
2017-02-09,75.62,1724843.0,75.62,75.58,76.3,75.96,14241.0
2017-02-10,76.56,726107.0,76.56,75.91,76.82,75.92,7193.0
2017-02-13,76.98,869035.0,76.98,76.61,77.17,76.67,8312.0
2017-02-14,77.2,931182.0,77.2,76.56,77.25,76.97,8387.0
2017-02-15,77.88,885160.0,77.88,77.11,77.94,77.25,8461.0
2017-02-16,78.06,1091061.0,78.06,77.44,78.06,77.88,8693.0
2017-02-17,79.06,1755937.0,79.06,77.2,79.09,77.96,13895.0
2017-02-21,79.42,1388671.0,79.42,78.78,79.57,78.92,10726.0
2017-02-22,79.41,1232019.0,79.41,78.86,79.46,79.37,10614.0
2017-02-23,79.46,1294140.0,79.46,79.21,79.88,79.46,10472.0
2017-02-24,80.13,1386550.0,80.13,78.88,80.23,79.11,11920.0
2017-02-27,80.23,1080456.0,80.23,79.66,80.35,80.08,9818.0
2017-02-28,80.37,1651005.0,80.37,80.02,80.47,80.12,9724.0
2017-03-01,80.86,1499331.0,80.86,80.39,81.16,80.67,14120.0
2017-03-02,80.53,881405.0,80.53,80.21,81.12,81.12,8730.0
2017-03-03,79.77,1049825.0,79.77,79.28,80.86,80.52,10364.0
2017-03-06,79.28,1413057.0,79.28,78.86,79.65,78.86,13284.0
2017-03-07,78.94,931199.0,78.94,78.87,79.53,79.15,9656.0
2017-03-08,78.73,1182988.0,78.73,78.38,79.41,79.16,11841.0
2017-03-09,78.52,729347.0,78.52,78.33,79.02,78.77,8683.0
2017-03-10,79.34,668622.0,79.34,78.45,79.42,78.85,7354.0
2017-03-13,79.31,580470.0,79.31,78.62,79.62,79.33,6712.0
2017-03-14,78.56,574951.0,78.56,78.31,79.26,79.21,6975.0
2017-03-15,78.54,1440878.0,78.54,78.3,79.155,78.72,10828.0
2017-03-16,78.21,740682.0,78.21,78.11,78.86,78.5,7817.0
2017-03-17,78.92,1483990.0,78.92,77.81,79.1264,78.19,10488.0
2017-03-20,78.93,937921.0,78.93,78.52,79.04,78.91,7959.0
2017-03-21,78.36,1114938.0,78.36,78.18,79.4,79.07,12007.0
2017-03-22,78.09,823596.0,78.09,77.7,78.7,78.54,9946.0
2017-03-23,77.68,620882.0,77.68,77.66,78.59,78.16,6545.0
2017-03-24,77.47,1374227.0,77.47,77.26,78.17,77.75,8236.0
2017-03-27,77.02,993673.0,77.02,76.34,77.38,76.93,10929.0
2017-03-28,77.52,1193881.0,77.52,76.59,77.92,77.02,13279.0
2017-03-29,77.29,902599.0,77.29,76.22,77.75,77.34,10373.0
2017-03-30,77.65,1118243.0,77.65,76.95,77.88,77.25,10716.0
2017-03-31,77.29,1385296.0,77.29,77.23,78.03,77.48,9864.0
2017-04-03,76.71,1573039.0,76.71,76.48,78.13,77.52,15388.0
2017-04-04,76.86,1012672.0,76.86,76.41,77.15,76.75,10193.0
2017-04-05,76.41,1122892.0,76.41,76.32,77.23,76.8,11757.0
2017-04-06,76.28,1324143.0,76.28,75.96,77.46,76.58,12202.0
2017-04-07,75.73,1535957.0,75.73,75.56,76.6,76.36,14151.0
2017-04-10,76.24,1187714.0,76.24,75.7,76.67,75.82,12102.0
2017-04-11,75.75,1225327.0,75.75,75.21,76.06,75.66,13531.0
2017-04-12,74.79,1144986.0,74.79,74.7,75.78,75.78,12176.0
2017-04-13,74.46,1572745.0,74.46,74.15,75.15,74.15,14119.0
2017-04-17,75.67,1605695.0,75.67,74.42,75.86,74.53,10962.0
2017-04-18,75.29,1066975.0,75.29,75.17,75.63,75.56,10093.0
2017-04-19,75.34,797892.0,75.34,75.2,75.89,75.5,7172.0
2017-04-20,76.45,1042173.0,76.45,74.29,76.54,75.58,9994.0
2017-04-21,76.54,1582424.0,76.54,75.59,77.1,76.97,15667.0
2017-04-24,77.59,1840100.0,77.59,76.9,77.83,77.0,14802.0
2017-04-25,77.7,1374946.0,77.7,77.465,78.31,77.73,15511.0
2017-04-26,72.81,5513873.0,72.81,72.43,74.27,73.16,39241.0
2017-04-27,72.81,1692833.0,72.81,72.51,73.293,72.83,15784.0
2017-04-28,72.7,1904175.0,72.7,72.53,73.155,72.88,15022.0
2017-05-01,72.55,846409.0,72.55,72.54,73.19,73.16,9375.0
2017-05-02,72.72,865927.0,72.72,72.43,72.91,72.8,9270.0
2017-05-03,72.78,833555.0,72.78,72.32,72.99,72.65,10004.0
2017-05-04,72.56,1210968.0,72.56,72.45,73.03,73.03,11219.0
2017-05-05,73.35,917562.0,73.35,72.79,73.38,72.93,8545.0
2017-05-08,71.46,1673855.0,71.46,71.29,73.29,73.19,14626.0
2017-05-09,70.86,2040720.0,70.86,70.58,71.41,71.37,16350.0
2017-05-10,70.17,2878562.0,70.17,69.985,71.47,70.99,16937.0
2017-05-11,69.78,1655735.0,69.78,69.25,70.2654,69.88,12787.0
2017-05-12,69.35,1557725.0,69.35,68.87,69.88,69.53,10914.0
2017-05-15,69.47,1051637.0,69.47,68.6811,69.8199,69.29,9595.0
2017-05-16,69.6,1288631.0,69.6,69.29,69.75,69.33,10475.0
2017-05-17,67.84,2000063.0,67.84,67.47,69.546,69.04,18284.0
2017-05-18,68.06,1783422.0,68.06,67.5,68.99,67.7,15106.0
2017-05-19,67.36,2306655.0,67.36,67.08,68.16,68.16,16894.0
2017-05-22,68.08,1453669.0,68.08,67.255,68.1,67.38,12861.0
2017-05-23,68.34,885303.0,68.34,67.74,68.36,68.15,8968.0
2017-05-24,68.38,1190131.0,68.38,68.01,68.61,68.43,9256.0
2017-05-25,67.91,1894096.0,67.91,67.64,68.38,68.12,13128.0
2017-05-26,67.04,1303220.0,67.04,66.965,67.98,67.73,12513.0
2017-05-30,67.27,1613308.0,67.27,66.6,67.62,67.09,13268.0
2017-05-31,67.01,2353708.0,67.01,66.33,67.18,67.01,18214.0
2017-06-01,67.58,1584698.0,67.58,66.92,67.72,67.31,11888.0
2017-06-02,67.62,1038832.0,67.62,67.32,67.97,67.63,11169.0
2017-06-05,67.26,1036043.0,67.26,67.22,67.93,67.41,9452.0
2017-06-06,67.12,736125.0,67.12,66.73,67.36,67.14,7680.0
2017-06-07,67.23,932909.0,67.23,66.99,67.39,67.32,10329.0
2017-06-08,66.97,1237236.0,66.97,66.9,67.38,67.18,9285.0
2017-06-09,67.86,1026211.0,67.86,66.78,67.91,66.86,10224.0
2017-06-12,68.82,1557402.0,68.82,67.68,69.1,67.77,14619.0
2017-06-13,69.09,1083245.0,69.09,68.66,69.32,69.08,10203.0
2017-06-14,67.84,1288479.0,67.84,67.78,69.33,69.3,12275.0
2017-06-15,69.45,1559057.0,69.45,67.49,69.5,67.49,14211.0
2017-06-16,70.04,2388695.0,70.04,69.19,70.13,69.19,15911.0
2017-06-19,70.1,1079114.0,70.1,69.66,70.4,70.0,10604.0
2017-06-20,68.4,1061076.0,68.4,68.39,70.05,69.99,8801.0
2017-06-21,67.17,1469779.0,67.17,67.0,69.82,68.28,13139.0
2017-06-22,67.3,1324760.0,67.3,66.96,68.03,67.19,11906.0
2017-06-23,66.99,1249663.0,66.99,66.96,67.74,67.31,8946.0
2017-06-26,67.58,842979.0,67.58,66.821,67.69,67.16,8020.0
2017-06-27,67.33,914021.0,67.33,67.29,68.0,67.6,8072.0
2017-06-28,67.33,1487829.0,67.33,67.29,68.27,67.74,12541.0
2017-06-29,67.55,1188563.0,67.55,67.15,67.635,67.33,12065.0
2017-06-30,68.68,1115572.0,68.68,67.65,68.95,67.76,9519.0
2017-07-03,70.08,1533059.0,70.08,68.88,70.48,69.13,13269.0
2017-07-05,68.76,1665997.0,68.76,68.73,70.05,69.92,14749.0
2017-07-06,67.68,1375380.0,67.68,67.64,68.48,68.48,12284.0
2017-07-07,67.97,1147949.0,67.97,67.47,68.17,67.83,10608.0
2017-07-10,68.23,1158604.0,68.23,67.88,69.02,68.03,11030.0
2017-07-11,68.6,945599.0,68.6,67.77,68.62,68.47,8954.0
2017-07-12,68.87,1158604.0,68.87,68.58,69.2,68.96,10674.0
2017-07-13,68.76,945129.0,68.76,68.24,68.84,68.8,9079.0
2017-07-14,69.46,964446.0,69.46,68.73,69.65,69.07,9248.0
2017-07-17,68.89,2382872.0,68.89,67.85,69.05,68.09,17521.0
2017-07-18,69.5,1527244.0,69.5,68.56,69.55,68.88,12932.0
2017-07-19,68.69,2404051.0,68.69,68.57,70.05,69.53,22134.0
2017-07-20,65.01,8858406.0,65.01,63.41,65.34,63.615,65412.0
2017-07-21,65.56,3162478.0,65.56,64.82,65.83,64.82,26057.0
2017-07-24,65.62,1798898.0,65.62,65.13,65.75,65.7,16155.0
2017-07-25,65.93,2579173.0,65.93,65.65,66.57,66.1,16387.0
2017-07-26,65.91,1711875.0,65.91,65.64,67.465,67.29,14832.0
2017-07-27,65.46,1981441.0,65.46,65.02,65.94,65.94,18931.0
2017-07-28,65.25,1401629.0,65.25,64.975,65.85,65.49,13252.0
2017-07-31,65.6,1323905.0,65.6,65.29,65.89,65.29,10056.0
2017-08-01,64.98,1542674.0,64.98,64.61,65.76,65.65,11784.0
2017-08-02,65.61,1053237.0,65.61,64.97,65.84,65.03,10730.0
2017-08-03,65.7,1107023.0,65.7,64.93,65.73,65.41,10724.0
2017-08-04,67.22,2295510.0,67.22,65.655,67.41,65.78,18975.0
2017-08-07,66.54,2561616.0,66.54,66.07,67.385,67.12,19351.0
2017-08-08,66.75,1668301.0,66.75,66.02,66.985,66.38,14581.0
2017-08-09,66.13,1885979.0,66.13,65.96,66.68,66.65,16079.0
2017-08-10,66.11,1890711.0,66.11,65.549,66.3,66.0,15667.0
2017-08-11,65.63,1289588.0,65.63,65.57,66.67,66.59,13552.0
2017-08-14,67.14,1786306.0,67.14,65.79,67.275,65.86,16262.0
2017-08-15,68.02,1741529.0,68.02,66.99,68.24,67.2,15682.0
2017-08-16,68.01,1573712.0,68.01,67.4585,68.91,68.28,18294.0
2017-08-17,66.89,1490096.0,66.89,66.83,68.53,67.8,14367.0
2017-08-18,66.78,2777593.0,66.78,66.57,67.25,66.91,14690.0
2017-08-21,66.86,1518114.0,66.86,66.1443,66.96,66.96,13489.0
2017-08-22,67.1,1078244.0,67.1,66.53,67.19,66.85,10445.0
2017-08-23,67.09,939287.0,67.09,66.43,67.17,66.99,9433.0
2017-08-24,66.87,1070602.0,66.87,66.76,67.74,67.29,10430.0
2017-08-25,69.07,2003875.0,69.07,66.87,69.37,67.06,19502.0
2017-08-28,71.05,3135906.0,71.05,69.4,71.12,69.5,25965.0
2017-08-29,71.57,2945777.0,71.57,70.57,72.2,70.69,24453.0
2017-08-30,73.06,4058920.0,73.06,72.26,74.54,72.3,33846.0
2017-08-31,70.63,2689769.0,70.63,70.58,73.06,73.0,23173.0
2017-09-01,70.17,1397857.0,70.17,70.12,71.01,70.69,15444.0
2017-09-05,71.79,1948966.0,71.79,70.93,72.189,70.93,19433.0
2017-09-06,72.77,2167572.0,72.77,71.865,73.189,72.09,16825.0
2017-09-07,73.27,1369203.0,73.27,72.68,73.61,72.77,13918.0
2017-09-08,73.74,805064.0,73.74,72.88,73.99,73.25,9471.0
2017-09-11,72.83,2013260.0,72.83,72.17,73.975,73.68,16805.0
2017-09-12,72.79,1245721.0,72.79,72.1375,73.28,72.69,15182.0
2017-09-13,72.275,1324604.0,72.275,72.15,72.91,72.91,11884.0
2017-09-14,70.77,3375476.0,70.77,70.22,71.875,71.87,29755.0
2017-09-15,71.45,2340120.0,71.45,70.23,71.56,70.65,15313.0
2017-09-18,72.25,1155647.0,72.25,71.305,72.3,71.6,9047.0
2017-09-19,72.6,1041167.0,72.6,72.15,72.87,72.37,10354.0
2017-09-20,72.79,1852773.0,72.79,72.35,73.26,72.95,13377.0
2017-09-21,73.0,1051307.0,73.0,72.52,73.395,72.87,10420.0
2017-09-22,73.13,1098037.0,73.13,72.8,73.8,73.16,9221.0
2017-09-25,73.92,1043687.0,73.92,72.92,73.94,73.29,9179.0
2017-09-26,74.89,1945349.0,74.89,73.49,75.11,74.0,17286.0
2017-09-27,75.68,2092761.0,75.68,74.93,75.73,75.17,17143.0
2017-09-28,75.48,974758.0,75.48,75.25,76.01,75.69,9202.0
2017-09-29,76.1,1352426.0,76.1,75.25,76.16,75.37,13335.0
2017-10-02,77.3,1999740.0,77.3,75.62,77.38,76.28,20848.0
2017-10-03,76.13,2355352.0,76.13,76.05,77.08,76.97,19934.0
2017-10-04,75.02,1979359.0,75.02,74.3,76.15,76.04,14811.0
2017-10-05,76.05,1869144.0,76.05,74.61,76.15,74.79,15069.0
2017-10-06,76.52,1283807.0,76.52,75.665,76.57,75.93,10188.0
2017-10-09,75.45,819552.0,75.45,75.39,76.73,76.55,7994.0
2017-10-10,77.09,2526973.0,77.09,76.86,78.86,77.74,21341.0
2017-10-11,76.7,857909.0,76.7,76.43,77.43,76.99,8319.0
2017-10-12,77.18,1062335.0,77.18,76.41,77.25,76.93,10701.0
2017-10-13,77.26,1655338.0,77.26,77.15,78.94,78.58,14680.0
2017-10-16,77.33,1553186.0,77.33,76.47,78.7,78.13,15201.0
2017-10-17,76.02,1586799.0,76.02,75.95,77.3,77.06,13645.0
2017-10-18,77.34,1600981.0,77.34,75.93,77.67,75.95,12252.0
2017-10-19,77.98,712644.0,77.98,76.75,78.045,77.26,7396.0
2017-10-20,78.3,1471007.0,78.3,77.62,78.7,78.38,11860.0
2017-10-23,78.43,1052527.0,78.43,77.79,78.715,78.68,7370.0
2017-10-24,78.83,1218294.0,78.83,77.08,79.65,78.73,11143.0
2017-10-25,78.6,1221042.0,78.6,77.94,78.91,78.43,9959.0
2017-10-26,79.59,2095430.0,79.59,79.16,80.83,79.63,17403.0
2017-10-27,79.82,1649002.0,79.82,78.5,80.08,80.08,15155.0
2017-10-30,78.35,1665780.0,78.35,78.02,80.03,79.67,16279.0
2017-10-31,78.53,2380756.0,78.53,78.3,79.33,78.3,20162.0
2017-11-01,79.33,3029706.0,79.33,77.83,80.94,80.9,28514.0
2017-11-02,79.55,4220585.0,79.55,78.6,81.35,80.15,33090.0
2017-11-03,79.44,2348559.0,79.44,78.99,80.14,79.5,19134.0
2017-11-06,79.08,2183166.0,79.08,78.32,79.66,79.45,20543.0
2017-11-07,80.5,2410823.0,80.5,79.1,80.8,79.49,18453.0
2017-11-08,80.63,1567423.0,80.63,79.995,80.93,80.26,15294.0
2017-11-09,80.68,2254919.0,80.68,80.14,81.09,80.21,20325.0
2017-11-10,80.33,1115846.0,80.33,80.04,80.48,80.31,9819.0
2017-11-13,80.36,1185952.0,80.36,79.79,80.5,80.34,9656.0
2017-11-14,80.37,1016525.0,80.37,80.0,80.61,80.1,8845.0
2017-11-15,79.95,1103824.0,79.95,79.52,80.19,80.1,9798.0
2017-11-16,80.4,924803.0,80.4,79.95,80.53,80.07,8715.0
2017-11-17,78.44,2570526.0,78.44,77.52,79.3099,78.75,22023.0
2017-11-20,78.43,1345557.0,78.43,78.23,78.94,78.61,11321.0
2017-11-21,78.79,1314633.0,78.79,78.3,79.0,78.58,11860.0
2017-11-22,79.24,896786.0,79.24,78.7,79.77,78.71,8274.0
2017-11-24,79.67,325519.0,79.67,77.9,79.92,79.45,3850.0
2017-11-27,79.54,1067986.0,79.54,79.36,80.04,79.5,8952.0
2017-11-28,81.53,1405490.0,81.53,79.72,81.63,80.2,13185.0
2017-11-29,84.49,2180711.0,84.49,81.14,84.56,81.4,19521.0
2017-11-30,86.65,3268456.0,86.65,84.35,87.17,84.35,22483.0
2017-12-01,86.54,2029013.0,86.54,84.56,87.025,86.6,20643.0
2017-12-04,86.76,2544671.0,86.76,86.58,89.11,87.55,22089.0
2017-12-05,85.92,1632279.0,85.92,85.71,87.37,86.93,15271.0
2017-12-06,87.15,1479818.0,87.15,85.46,87.33,85.72,13918.0
2017-12-07,87.42,1708874.0,87.42,86.43,87.75,86.85,12956.0
2017-12-08,88.38,1251442.0,88.38,87.1,88.41,87.41,11169.0
2017-12-11,87.97,963171.0,87.97,87.61,88.4199,88.28,9117.0
2017-12-12,88.0,912938.0,88.0,87.42,88.44,88.19,9739.0
2017-12-13,87.77,1525649.0,87.77,87.58,88.54,88.09,14226.0
2017-12-14,85.79,2319452.0,85.79,85.62,88.05,88.05,19573.0
2017-12-15,86.21,3197453.0,86.21,85.19,86.75,85.6,20131.0
2017-12-18,87.16,1819823.0,87.16,86.36,87.79,86.88,13326.0
2017-12-19,86.63,1093921.0,86.63,86.42,87.31,86.78,9581.0
2017-12-20,86.75,1250849.0,86.75,86.72,87.66,87.32,10232.0
2017-12-21,87.13,946693.0,87.13,86.36,87.26,86.98,10062.0
2017-12-22,88.7,1352043.0,88.7,86.89,89.24,87.22,11860.0
2017-12-26,88.79,741034.0,88.79,88.46,89.72,88.6,7633.0
