YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,75.79,496641.0,75.79,75.05,76.71,76.26,6211.0
2017-01-04,76.07,443578.0,76.07,75.69,76.3284,76.1,5614.0
2017-01-05,75.76,419345.0,75.76,75.21,76.6,76.03,5536.0
2017-01-06,75.78,353979.0,75.78,75.37,76.0399,75.83,4257.0
2017-01-09,74.5,382196.0,74.5,74.49,75.51,75.45,4737.0
2017-01-10,74.52,325697.0,74.52,74.33,75.09,74.37,4133.0
2017-01-11,74.89,329770.0,74.89,74.18,74.9,74.5,4639.0
2017-01-12,69.91,1548616.0,69.91,69.69,75.0215,74.6,16324.0
2017-01-13,70.06,1004550.0,70.06,69.78,70.87,69.86,10021.0
2017-01-17,69.74,758239.0,69.74,69.52,70.8,70.11,9125.0
2017-01-18,70.54,567247.0,70.54,69.2501,70.58,69.57,6558.0
2017-01-19,69.89,628041.0,69.89,69.57,70.54,70.51,7542.0
2017-01-20,70.27,562308.0,70.27,69.7,70.6,70.09,5415.0
2017-01-23,69.73,438387.0,69.73,69.375,70.39,70.25,5102.0
2017-01-24,70.09,574464.0,70.09,69.84,70.3,70.02,5748.0
2017-01-25,71.11,510526.0,71.11,70.4,71.17,70.46,6775.0
2017-01-26,70.68,858866.0,70.68,70.45,71.42,70.95,8842.0
2017-01-27,70.62,525409.0,70.62,70.03,70.85,70.85,5679.0
2017-01-30,70.04,473074.0,70.04,69.73,70.59,70.53,5195.0
2017-01-31,70.58,941627.0,70.58,69.855,70.58,70.0,7914.0
2017-02-01,70.06,524066.0,70.06,69.78,71.09,70.82,6355.0
2017-02-02,70.65,468820.0,70.65,69.48,70.69,69.48,4920.0
2017-02-03,71.43,610089.0,71.43,70.84,71.79,71.48,7205.0
2017-02-06,70.79,451520.0,70.79,70.72,71.35,71.2,5544.0
2017-02-07,70.43,541223.0,70.43,70.05,71.07,70.75,5956.0
2017-02-08,70.34,569713.0,70.34,70.19,70.81,70.51,6592.0
2017-02-09,70.25,746929.0,70.25,68.24,70.34,68.25,8310.0
2017-02-10,71.06,551826.0,71.06,70.2101,71.19,70.25,7252.0
2017-02-13,71.75,533572.0,71.75,71.07,72.01,71.32,7412.0
2017-02-14,72.39,459228.0,72.39,71.83,72.51,71.84,6332.0
2017-02-15,72.82,456798.0,72.82,72.05,72.85,72.19,5757.0
2017-02-16,73.09,351807.0,73.09,72.56,73.1,72.83,4817.0
2017-02-17,72.67,497003.0,72.67,72.35,72.91,72.88,4844.0
2017-02-21,72.85,444238.0,72.85,72.36,73.0,72.91,4861.0
2017-02-22,72.93,397700.0,72.93,72.59,73.18,72.75,4557.0
2017-02-23,73.34,408590.0,73.34,72.75,73.44,72.93,4867.0
2017-02-24,73.49,318696.0,73.49,72.91,73.53,73.17,4092.0
2017-02-27,73.06,328813.0,73.06,72.84,73.7534,73.63,3943.0
2017-02-28,72.96,616554.0,72.96,72.65,73.27,73.06,6146.0
2017-03-01,75.15,597293.0,75.15,74.09,75.23,74.09,8420.0
2017-03-02,74.3,486996.0,74.3,74.27,75.35,75.18,6582.0
2017-03-03,73.965,584729.0,73.965,73.64,74.36,74.09,5740.0
2017-03-06,73.18,502422.0,73.18,73.14,73.99,73.84,5891.0
2017-03-07,73.17,404662.0,73.17,72.68,73.44,72.68,4660.0
2017-03-08,72.76,463022.0,72.76,72.76,73.75,73.28,6196.0
2017-03-09,73.42,432360.0,73.42,72.97,73.59,73.05,6029.0
2017-03-10,73.97,473917.0,73.97,73.27,74.02,73.74,6406.0
2017-03-13,73.91,407854.0,73.91,73.5601,73.95,73.82,5028.0
2017-03-14,74.1,429159.0,74.1,73.54,74.49,73.58,5335.0
2017-03-15,74.95,598265.0,74.95,73.84,75.09,74.33,7127.0
2017-03-16,74.7,435051.0,74.7,74.52,75.29,74.79,5469.0
2017-03-17,75.18,1542929.0,75.18,74.32,75.33,74.87,7910.0
2017-03-20,74.22,396001.0,74.22,73.95,74.96,74.62,4803.0
2017-03-21,72.78,603067.0,72.78,72.7,74.55,74.55,8241.0
2017-03-22,72.75,452455.0,72.75,72.055,73.04,72.5,5592.0
2017-03-23,72.74,282470.0,72.74,72.6,73.4407,72.77,3890.0
2017-03-24,71.88,514487.0,71.88,71.66,72.89,72.8,5831.0
2017-03-27,71.66,392508.0,71.66,70.89,71.82,71.0,5086.0
2017-03-28,72.5,424847.0,72.5,71.4,72.68,71.66,5464.0
2017-03-29,71.75,341732.0,71.75,71.74,72.51,72.27,4401.0
2017-03-30,72.33,329187.0,72.33,71.59,72.4099,71.63,4571.0
2017-03-31,72.27,391271.0,72.27,72.13,72.69,72.22,5318.0
2017-04-03,71.58,386715.0,71.58,71.37,72.56,72.43,5265.0
2017-04-04,71.56,510442.0,71.56,71.16,71.8,71.39,5938.0
2017-04-05,70.81,577699.0,70.81,70.64,71.7636,71.7,7764.0
2017-04-06,70.85,492928.0,70.85,70.34,71.196,70.78,5260.0
