YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,135.72,1443077.0,135.72,133.66,135.83,133.91,
2017-01-04,138.72,1207766.0,138.72,133.7,138.89,136.08,
2017-01-05,141.71,1446708.0,141.71,138.33,142.77,139.08,
2017-01-06,141.81,983705.0,141.81,140.99,143.15,141.0,
2017-01-09,142.35,986230.0,142.35,140.05,142.61,141.31,
2017-01-10,140.23,1245175.0,140.23,140.2,142.0,141.24,
2017-01-11,142.64,1418583.0,142.64,139.88,142.64,140.56,
2017-01-12,144.67,1726106.0,144.67,141.03,145.79,141.54,
2017-01-13,146.31,1488501.0,146.31,143.78,146.77,144.31,
2017-01-17,144.77,1079795.0,144.77,144.02,145.96,145.95,
2017-01-18,141.97,1974692.0,141.97,140.22,145.4,145.4,
2017-01-19,144.16,2538382.0,144.16,133.52,146.31,141.33,
2017-01-20,144.77,1333709.0,144.77,143.375,145.67,144.78,
2017-01-23,145.31,1576413.0,145.31,142.25,145.7,144.32,
2017-01-24,146.53,1260849.0,146.53,144.02,147.54,145.21,
2017-01-25,148.57,1211613.0,148.57,146.63,149.23,147.02,
2017-01-26,146.8,1017461.0,146.8,146.65,148.7,148.28,
2017-01-27,146.81,1100900.0,146.81,145.42,148.0,147.56,
2017-01-30,145.7,687385.0,145.7,144.31,146.79,146.78,
2017-01-31,146.22,884367.0,146.22,144.5,146.53,145.12,
2017-02-01,147.64,1254488.0,147.64,145.36,149.42,147.0,
2017-02-02,148.29,1532131.0,148.29,144.03,150.69,149.7,
2017-02-03,149.3,1222724.0,149.3,148.1,150.11,149.07,
2017-02-06,147.03,1277483.0,147.03,145.98,149.56,148.67,
2017-02-07,147.9,772545.0,147.9,145.93,148.63,147.07,
2017-02-08,147.84,652860.0,147.84,146.3,148.69,147.0,
2017-02-09,148.14,2312726.0,148.14,145.34,148.31,147.74,
2017-02-10,145.55,1918487.0,145.55,145.5,149.32,147.55,
2017-02-13,145.85,1067143.0,145.85,144.82,147.15,146.62,
2017-02-14,146.68,1939518.0,146.68,144.5,148.08,145.22,
2017-02-15,146.59,2248996.0,146.59,145.58,147.66,146.21,
2017-02-16,145.33,1569438.0,145.33,143.865,146.94,146.84,
2017-02-17,143.56,2018752.0,143.56,141.93,144.26,144.18,
2017-02-21,146.97,1773376.0,146.97,143.66,147.24,144.01,
2017-02-22,147.49,1625755.0,147.49,145.92,148.42,146.24,
2017-02-23,147.51,1447382.0,147.51,147.11,147.75,147.62,
2017-02-24,147.04,919270.0,147.04,146.54,147.61,147.46,
2017-02-27,149.72,2660427.0,149.72,146.25,150.0,146.76,
2017-02-28,148.9,1428313.0,148.9,148.41,149.86,149.72,
2017-03-01,152.2,1520094.0,152.2,149.31,152.99,150.0,
2017-03-02,151.58,817661.0,151.58,151.1,152.375,152.1,
2017-03-03,151.99,749119.0,151.99,149.0,152.62,150.89,
2017-03-06,152.96,1843981.0,152.96,150.85,153.11,150.88,
2017-03-07,151.84,1653095.0,151.84,151.15,154.24,152.59,
2017-03-08,152.24,832198.0,152.24,150.68,153.02,151.74,
2017-03-09,152.2,980044.0,152.2,151.46,153.05,152.8,
2017-03-10,151.92,1270637.0,151.92,151.405,153.34,153.16,
2017-03-13,153.4,1138273.0,153.4,151.32,153.92,152.33,
2017-03-14,153.54,1299281.0,153.54,152.33,154.31,152.97,
2017-03-15,154.0,1452839.0,154.0,153.49,154.83,154.28,
2017-03-16,151.79,1342497.0,151.79,151.6,154.27,153.99,
2017-03-17,151.89,1563181.0,151.89,150.885,152.38,151.53,
2017-03-20,151.13,1634617.0,151.13,150.71,153.02,152.16,
2017-03-21,149.61,1742982.0,149.61,149.29,151.81,151.78,
2017-03-22,150.37,1104193.0,150.37,148.3401,151.33,150.08,
2017-03-23,149.18,870230.0,149.18,149.01,151.36,149.99,
2017-03-24,145.82,2130880.0,145.82,144.97,150.41,149.37,
2017-03-27,146.04,2003584.0,146.04,143.85,146.36,144.22,
2017-03-28,148.3,921087.0,148.3,145.55,148.66,146.02,
2017-03-29,147.23,823087.0,147.23,146.67,148.52,147.63,
2017-03-30,147.6,804835.0,147.6,147.14,148.94,147.55,
2017-03-31,146.49,1440562.0,146.49,146.49,147.595,147.51,
2017-04-03,149.39,1631029.0,149.39,146.7,151.0,146.7,
2017-04-04,150.54,1222676.0,150.54,148.75,150.7,149.07,
2017-04-05,149.91,1457600.0,149.91,149.43,152.0,151.01,
2017-04-06,151.21,1502834.0,151.21,148.75,151.4,149.91,
2017-04-07,152.04,1480878.0,152.04,150.04,152.27,151.1,
2017-04-10,152.28,1491351.0,152.28,151.57,153.19,152.01,
2017-04-11,151.57,829400.0,151.57,150.64,151.86,151.47,
2017-04-12,150.59,791941.0,150.59,149.87,151.39,150.9,
2017-04-13,150.41,774856.0,150.41,149.77,151.07,150.25,
2017-04-17,151.17,823792.0,151.17,150.25,151.23,150.67,
2017-04-18,149.82,1044375.0,149.82,149.1,151.43,151.17,
2017-04-19,151.95,790014.0,151.95,149.9515,152.34,150.51,
2017-04-20,155.38,1756256.0,155.38,151.045,156.205,151.69,
2017-04-21,155.08,971516.0,155.08,153.94,155.36,155.21,
2017-04-24,155.96,911110.0,155.96,155.5,157.305,156.41,
2017-04-25,157.18,1168432.0,157.18,155.47,159.075,155.47,
2017-04-26,156.93,907741.0,156.93,155.7,158.62,157.32,
2017-04-27,156.21,726951.0,156.21,155.9,158.23,157.21,
2017-04-28,156.37,1578992.0,156.37,152.89,157.4,155.72,
2017-05-01,157.52,942718.0,157.52,156.48,158.47,156.68,
2017-05-02,158.38,1051373.0,158.38,156.23,158.815,157.89,
2017-05-03,157.03,970255.0,157.03,156.64,159.15,158.22,
2017-05-04,156.73,1407083.0,156.73,155.32,158.16,157.79,
2017-05-05,160.25,1623137.0,160.25,158.24,161.57,159.0,
2017-05-08,161.75,1435033.0,161.75,160.1101,162.125,160.66,
2017-05-09,162.65,1280827.0,162.65,161.775,163.48,161.86,
2017-05-10,162.9,1447774.0,162.9,161.68,163.28,162.0,
2017-05-11,163.82,989157.0,163.82,161.7,164.29,163.04,
2017-05-12,162.03,1441420.0,162.03,161.53,164.88,163.5,
2017-05-15,162.1,1578498.0,162.1,161.17,162.93,161.7,
2017-05-16,161.34,1318993.0,161.34,160.405,162.17,162.0,
2017-05-17,158.41,1633536.0,158.41,158.29,160.71,159.96,
2017-05-18,160.1,1450305.0,160.1,158.41,160.67,158.89,
2017-05-19,159.48,1607577.0,159.48,159.3,161.55,160.41,
2017-05-22,159.35,1586573.0,159.35,158.79,160.1399,159.76,
2017-05-23,160.52,786147.0,160.52,159.35,160.72,159.35,
2017-05-24,161.86,854671.0,161.86,160.09,162.14,160.58,
2017-05-25,161.65,1796932.0,161.65,161.64,164.28,162.58,
2017-05-26,161.32,1348799.0,161.32,159.91,162.13,161.87,
2017-05-30,161.5,1084061.0,161.5,161.05,162.27,161.45,
2017-05-31,161.23,1130230.0,161.23,160.76,162.37,161.42,
2017-06-01,163.95,2236148.0,163.95,161.2,164.8,161.79,
2017-06-02,164.46,1378322.0,164.46,163.78,165.155,164.0,
2017-06-05,164.76,1590494.0,164.76,163.89,165.59,164.59,
2017-06-06,165.5,2165053.0,165.5,164.23,167.06,164.5,
2017-06-07,168.48,2572533.0,168.48,165.9,170.0,165.92,
2017-06-08,166.51,3074771.0,166.51,165.67,169.5,168.49,
2017-06-09,166.74,1746430.0,166.74,165.63,168.08,166.61,
2017-06-12,166.8,1595289.0,166.8,163.46,166.95,166.5,
2017-06-13,166.55,1383822.0,166.55,165.88,167.75,166.82,
2017-06-14,168.11,1199632.0,168.11,166.44,168.36,167.0,
2017-06-15,167.28,1056758.0,167.28,166.56,168.2,167.65,
2017-06-16,169.08,2009547.0,169.08,167.12,169.25,167.83,
2017-06-19,170.26,1895569.0,170.26,169.08,170.5,169.08,
2017-06-20,169.58,2130844.0,169.58,169.17,170.56,170.0,
2017-06-21,170.18,1356071.0,170.18,169.52,171.62,169.52,
2017-06-22,170.68,2193443.0,170.68,169.79,173.21,170.2,
2017-06-23,169.61,3666172.0,169.61,168.9,171.145,171.0,
2017-06-26,168.26,1407037.0,168.26,167.94,169.9131,169.65,
2017-06-27,167.05,1711335.0,167.05,166.89,169.36,168.65,
2017-06-28,168.13,1272035.0,168.13,167.37,169.03,167.83,
2017-06-29,166.7,1112049.0,166.7,166.06,168.86,168.5,
2017-06-30,167.39,1751922.0,167.39,166.56,168.06,166.69,
2017-07-03,167.5,854269.0,167.5,166.805,168.44,168.27,
2017-07-05,169.16,2368269.0,169.16,167.25,169.32,167.55,
2017-07-06,167.94,1049246.0,167.94,166.86,169.34,168.85,
2017-07-07,169.61,1529609.0,169.61,168.11,170.39,168.5,
2017-07-10,169.57,1759395.0,169.57,168.46,170.64,169.22,
2017-07-11,171.16,1101008.0,171.16,169.175,171.34,169.65,
2017-07-12,172.06,1474157.0,172.06,170.88,173.44,171.51,
2017-07-13,173.05,1073688.0,173.05,171.99,174.2,172.24,
2017-07-14,173.8,945816.0,173.8,172.6,174.27,173.01,
2017-07-17,174.19,1019027.0,174.19,172.96,174.4,174.4,
2017-07-18,172.1,1392267.0,172.1,170.81,174.46,174.23,
2017-07-19,174.31,1240517.0,174.31,172.45,174.9699,172.45,
2017-07-20,174.49,883266.0,174.49,173.58,175.05,174.31,
2017-07-21,174.23,726760.0,174.23,173.985,175.17,174.24,
2017-07-24,174.53,940902.0,174.53,173.63,174.91,174.14,
2017-07-25,173.81,1166110.0,173.81,173.56,175.8,175.28,
2017-07-26,173.57,912963.0,173.57,172.52,174.47,173.48,
2017-07-27,172.07,860195.0,172.07,171.19,173.58,173.33,
2017-07-28,173.97,920279.0,173.97,170.92,174.2,172.26,
2017-07-31,173.56,988781.0,173.56,173.34,175.18,173.89,
2017-08-01,172.96,864264.0,172.96,172.87,174.64,174.0,
2017-08-02,174.74,924370.0,174.74,173.18,175.33,173.18,
2017-08-03,176.05,1574016.0,176.05,174.96,177.235,175.85,
2017-08-04,172.55,2225509.0,172.55,170.55,178.5,177.99,
2017-08-07,175.98,1692148.0,175.98,172.5,176.975,172.67,
2017-08-08,175.63,1109214.0,175.63,174.68,176.79,175.67,
2017-08-09,178.08,1508798.0,178.08,174.5,178.35,175.7,
2017-08-10,175.36,1143729.0,175.36,175.12,178.5699,177.38,
2017-08-11,174.38,1174009.0,174.38,174.22,176.82,175.99,
