YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,65.54,3039523.0,65.54,65.1,65.65,65.56,
2017-01-04,66.26,4047854.0,66.26,65.8,66.37,65.81,
2017-01-05,66.85,2857871.0,66.85,66.13,66.99,66.31,
2017-01-06,67.36,2994996.0,67.36,66.6,67.485,66.81,
2017-01-09,66.42,3183952.0,66.42,66.23,67.1,67.02,
2017-01-10,65.39,3492394.0,65.39,65.35,66.43,66.42,
2017-01-11,65.31,3808963.0,65.31,65.0,65.41,65.3,
2017-01-12,65.85,2992739.0,65.85,65.26,65.94,65.37,
2017-01-13,65.88,1888149.0,65.88,65.61,66.03,65.9,
2017-01-17,67.1,5136568.0,67.1,65.87,67.18,65.92,
2017-01-18,67.86,5127322.0,67.86,67.18,68.185,67.2,
2017-01-19,67.04,2767856.0,67.04,66.911,67.55,67.49,
2017-01-20,67.95,3940595.0,67.95,67.31,68.345,67.43,
2017-01-23,67.55,2872904.0,67.55,67.52,67.8832,67.7,
2017-01-24,68.26,2786264.0,68.26,67.64,68.35,67.67,
2017-01-25,68.43,3034832.0,68.43,68.02,68.45,68.2,
2017-01-26,68.24,4656429.0,68.24,67.78,68.5,68.35,
2017-01-27,64.68,14874862.0,64.68,63.43,65.05,65.0,
2017-01-30,64.53,7992445.0,64.53,63.95,64.85,64.29,
2017-01-31,64.58,6983206.0,64.58,64.34,65.09,64.53,
2017-02-01,64.72,4916431.0,64.72,64.43,65.0,64.5,
2017-02-02,65.68,7063574.0,65.68,64.82,66.02,65.09,
2017-02-03,65.97,4478849.0,65.97,65.75,66.34,66.34,
2017-02-06,65.49,2897538.0,65.49,65.45,66.08,66.08,
2017-02-07,66.56,3255624.0,66.56,65.72,66.79,65.73,
2017-02-08,66.59,3575093.0,66.59,66.395,66.9898,66.67,
2017-02-09,66.6,3223758.0,66.6,66.26,66.81,66.54,
2017-02-10,67.72,5568145.0,67.72,66.47,67.85,66.66,
2017-02-13,67.71,4798266.0,67.71,67.29,67.86,67.86,
2017-02-14,67.74,5137843.0,67.74,67.19,68.12,67.5,
2017-02-15,68.61,4576205.0,68.61,67.52,68.74,67.53,
2017-02-16,69.0,5172732.0,69.0,68.03,69.04,68.61,
2017-02-17,71.98,15036943.0,71.98,70.581,72.87,70.95,
2017-02-21,73.18,10553834.0,73.18,72.64,73.9,72.76,
