YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,121.02,1046535.0,121.02,119.75,121.36,120.57,
2017-01-04,121.93,1114584.0,121.93,121.25,122.52,121.85,
2017-01-05,122.7,775658.0,122.7,121.348,122.74,122.05,
2017-01-06,122.52,526449.0,122.52,121.87,122.78,122.46,
2017-01-09,121.3,812896.0,121.3,120.96,122.96,122.77,
2017-01-10,119.38,1150247.0,119.38,119.18,121.04,121.0,
2017-01-11,118.72,854919.0,118.72,118.58,120.13,119.23,
2017-01-12,119.09,773371.0,119.09,118.41,119.44,118.62,
2017-01-13,119.53,469559.0,119.53,118.82,119.54,119.1,
2017-01-17,121.32,881471.0,121.32,119.53,121.56,119.59,
2017-01-18,120.91,701248.0,120.91,120.581,121.76,121.31,
2017-01-19,120.25,640046.0,120.25,120.03,121.5,120.89,
2017-01-20,121.42,843710.0,121.42,120.47,121.91,121.7,
2017-01-23,121.0,524274.0,121.0,120.171,121.25,120.33,
2017-01-24,121.62,674649.0,121.62,120.7,121.7,121.1,
2017-01-25,121.47,814489.0,121.47,120.58,121.7,121.6,
2017-01-26,121.65,694752.0,121.65,120.97,121.81,121.31,
2017-01-27,120.49,1057009.0,120.49,118.87,121.406,121.28,
2017-01-30,120.31,838440.0,120.31,119.65,121.0,120.95,
2017-01-31,120.0,1116098.0,120.0,119.77,120.76,120.44,
2017-02-01,120.73,1036343.0,120.73,119.57,121.0,119.64,
2017-02-02,120.24,1328468.0,120.24,119.97,121.6,121.21,
2017-02-03,125.14,2284856.0,125.14,121.51,126.61,122.0,
2017-02-06,123.78,1204805.0,123.78,123.7,125.605,125.52,
2017-02-07,125.32,926452.0,125.32,123.58,125.58,124.31,
2017-02-08,127.06,1303085.0,127.06,125.4,127.3,125.72,
2017-02-09,127.4,1091022.0,127.4,126.92,127.98,127.05,
2017-02-10,127.03,1110272.0,127.03,126.58,127.72,126.8,
2017-02-13,127.13,739530.0,127.13,126.49,127.46,127.0,
2017-02-14,127.4,841462.0,127.4,126.25,127.59,126.61,
2017-02-15,128.42,678851.0,128.42,126.94,128.49,127.81,
2017-02-16,130.1,1574924.0,130.1,127.87,130.21,128.19,
2017-02-17,133.71,2559830.0,133.71,130.67,134.09,131.34,
2017-02-21,135.44,1371290.0,135.44,133.71,135.71,133.85,
2017-02-22,135.92,1376898.0,135.92,133.75,136.38,134.98,
2017-02-23,135.83,1007453.0,135.83,135.44,136.331,136.13,
2017-02-24,136.37,900109.0,136.37,134.625,136.4,135.36,
2017-02-27,136.44,810793.0,136.44,135.02,136.62,135.6,
2017-02-28,136.81,1192814.0,136.81,136.0,137.0,136.14,
2017-03-01,137.16,900413.0,137.16,136.08,137.25,136.45,
2017-03-02,137.4,855525.0,137.4,136.61,137.9,136.99,
2017-03-03,136.92,681932.0,136.92,136.25,137.2454,137.19,
2017-03-06,136.8,881958.0,136.8,136.01,137.0899,136.18,
2017-03-07,136.91,844279.0,136.91,136.36,137.39,136.48,
2017-03-08,136.41,1578273.0,136.41,136.28,137.13,136.37,
2017-03-09,137.06,620290.0,137.06,136.48,137.46,136.76,
2017-03-10,138.07,630118.0,138.07,137.05,138.13,137.47,
2017-03-13,138.24,820011.0,138.24,137.92,138.54,138.09,
2017-03-14,137.64,504718.0,137.64,137.27,138.25,138.0,
2017-03-15,138.66,716158.0,138.66,137.2,139.3,137.51,
2017-03-16,138.01,757608.0,138.01,137.34,138.6712,138.66,
2017-03-17,137.54,1271368.0,137.54,137.52,138.48,138.41,
2017-03-20,137.46,508156.0,137.46,137.17,138.02,137.59,
2017-03-21,137.51,638444.0,137.51,136.81,138.25,138.02,
2017-03-22,137.17,639852.0,137.17,136.53,137.94,137.94,
2017-03-23,137.55,704315.0,137.55,136.83,137.78,136.94,
2017-03-24,137.81,646828.0,137.81,137.3,138.07,137.65,
2017-03-27,136.93,585620.0,136.93,136.6473,138.2,137.13,
2017-03-28,136.96,564790.0,136.96,136.07,137.27,136.54,
2017-03-29,135.96,663395.0,135.96,135.78,136.92,136.78,
2017-03-30,135.29,520034.0,135.29,135.2,136.03,135.95,
2017-03-31,134.83,770890.0,134.83,134.79,135.75,135.11,
2017-04-03,134.54,848294.0,134.54,134.12,135.62,135.13,
2017-04-04,134.73,778386.0,134.73,133.61,134.85,134.51,
2017-04-05,134.27,1088378.0,134.27,133.8,135.69,135.22,
2017-04-06,132.95,1041473.0,132.95,132.84,134.49,134.27,
2017-04-07,133.22,775097.0,133.22,132.58,133.48,133.13,
2017-04-10,133.71,458094.0,133.71,132.96,134.03,133.21,
2017-04-11,134.53,742234.0,134.53,133.29,134.94,133.29,
2017-04-12,134.64,618966.0,134.64,133.61,134.67,133.8,
2017-04-13,133.86,812029.0,133.86,133.46,134.64,134.64,
2017-04-17,135.06,653179.0,135.06,133.62,135.07,133.84,
2017-04-18,135.59,731789.0,135.59,134.87,135.9,134.87,
2017-04-19,135.51,771341.0,135.51,135.066,135.65,135.38,
2017-04-20,135.65,970084.0,135.65,134.915,135.85,135.25,
2017-04-21,134.29,811589.0,134.29,134.24,135.94,135.55,
2017-04-24,134.93,887870.0,134.93,133.52,135.15,134.31,
2017-04-25,136.15,659651.0,136.15,134.8,136.46,134.97,
2017-04-26,133.57,895339.0,133.57,133.49,136.5,136.5,
2017-04-27,134.0,540164.0,134.0,133.19,134.47,133.69,
2017-04-28,133.69,1022195.0,133.69,132.34,133.86,133.59,
2017-05-01,133.49,432030.0,133.49,133.43,134.36,134.11,
2017-05-02,130.09,1525599.0,130.09,129.81,134.25,133.85,
2017-05-03,131.2,1533153.0,131.2,127.62,131.59,129.04,
2017-05-04,132.36,910080.0,132.36,131.39,132.62,131.56,
2017-05-05,132.89,636720.0,132.89,132.27,133.07,132.27,
2017-05-08,131.91,573252.0,131.91,131.75,133.98,132.9,
2017-05-09,132.43,688983.0,132.43,131.63,132.7,131.66,
2017-05-10,133.15,583480.0,133.15,132.12,133.24,132.44,
2017-05-11,132.62,624974.0,132.62,132.27,132.96,132.68,
2017-05-12,132.16,790273.0,132.16,131.92,132.9724,132.37,
2017-05-15,132.75,733300.0,132.75,132.15,132.9,132.15,
2017-05-16,130.71,1138216.0,130.71,130.68,133.51,133.02,
2017-05-17,131.23,883921.0,131.23,130.5,132.07,130.59,
2017-05-18,130.74,548956.0,130.74,129.9,131.455,130.94,
2017-05-19,132.16,712391.0,132.16,130.62,132.4,130.98,
2017-05-22,132.57,563127.0,132.57,132.03,132.96,132.14,
2017-05-23,131.68,565928.0,131.68,131.55,133.145,132.44,
2017-05-24,132.78,504511.0,132.78,131.95,132.86,132.4,
2017-05-25,135.13,619531.0,135.13,133.09,135.39,133.16,
2017-05-26,134.99,448113.0,134.99,134.46,135.21,134.95,
2017-05-30,134.93,550138.0,134.93,134.31,135.16,134.79,
2017-05-31,135.73,704712.0,135.73,135.24,136.62,135.28,
