YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,69.05,11835167.0,69.05,68.23,69.89,69.67,76655.0
2017-01-04,69.87,11005409.0,69.87,69.18,70.255,69.51,73686.0
2017-01-05,70.15,8492994.0,70.15,69.4,70.26,69.59,56461.0
2017-01-06,70.27,6764046.0,70.27,69.82,70.54,70.21,49192.0
2017-01-09,70.83,9068450.0,70.83,70.05,70.959,70.14,58466.0
2017-01-10,70.92,12273612.0,70.92,70.45,71.76,70.62,77028.0
2017-01-11,71.71,11669889.0,71.71,70.7,71.74,70.73,73694.0
2017-01-12,71.42,7299809.0,71.42,70.83,71.6676,71.6,54467.0
2017-01-13,72.77,11646778.0,72.77,71.76,72.94,72.0,74127.0
2017-01-17,72.56,10571744.0,72.56,71.82,72.74,72.21,72255.0
2017-01-18,72.29,9006902.0,72.29,72.19,72.77,72.67,53927.0
2017-01-19,72.61,7235456.0,72.61,72.127,72.95,72.18,52282.0
2017-01-20,73.57,12507276.0,73.57,72.74,73.61,73.07,65197.0
2017-01-23,73.26,8468558.0,73.26,72.885,73.74,73.55,56234.0
2017-01-24,73.6,8776545.0,73.6,73.0,73.79,73.2,54393.0
2017-01-25,73.44,13324224.0,73.44,73.105,73.88,73.74,85606.0
2017-01-26,75.5,26080730.0,75.5,73.0,76.87,73.12,139818.0
2017-01-27,75.95,11663390.0,75.95,74.61,75.99,75.49,87358.0
2017-01-30,75.34,13173941.0,75.34,74.5,75.91,75.85,80162.0
2017-01-31,75.42,13463105.0,75.42,74.47,75.49,75.05,86046.0
2017-02-01,75.61,9002111.0,75.61,75.25,76.19,75.29,64342.0
2017-02-02,75.09,7693932.0,75.09,75.01,75.641,75.44,57927.0
2017-02-03,75.26,6926039.0,75.26,74.94,75.45,75.3,50826.0
2017-02-06,74.54,8111516.0,74.54,74.45,75.19,75.19,48578.0
2017-02-07,74.86,7906280.0,74.86,74.52,75.2,74.66,53410.0
2017-02-08,74.69,7106091.0,74.69,74.58,74.92,74.86,47589.0
2017-02-09,75.03,7164664.0,75.03,74.56,75.24,74.69,43640.0
2017-02-10,75.15,6342052.0,75.15,74.8,75.28,74.99,43674.0
2017-02-13,75.71,11210909.0,75.71,75.1,75.72,75.2,46632.0
2017-02-14,76.09,7738747.0,76.09,75.45,76.23,75.6,53035.0
2017-02-15,76.595,6924591.0,76.595,75.69,76.66,75.75,51044.0
2017-02-16,75.99,8299738.0,75.99,75.68,76.45,76.45,58433.0
2017-02-17,75.32,9799976.0,75.32,75.02,76.04,75.94,57298.0
