YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,114.4,2159178.0,114.4,113.27,116.28,116.16,21774.0
2017-01-04,115.52,2400796.0,115.52,114.66,116.46,114.83,24177.0
2017-01-05,115.92,1689448.0,115.92,114.9,116.909,115.5,19991.0
2017-01-06,117.19,1229446.0,117.19,115.81,117.32,116.06,14274.0
2017-01-09,116.33,963359.0,116.33,116.29,117.28,116.77,10914.0
2017-01-10,116.3,1061882.0,116.3,115.7,116.93,116.93,11632.0
2017-01-11,115.9,2239637.0,115.9,114.56,116.585,116.34,18045.0
2017-01-12,116.43,1243593.0,116.43,113.9,116.5999,115.75,14842.0
2017-01-13,116.87,1057796.0,116.87,116.35,117.5,117.0,11837.0
2017-01-17,115.69,1198022.0,115.69,115.51,116.84,116.84,16855.0
2017-01-18,117.25,1449054.0,117.25,115.01,117.35,116.1,13210.0
2017-01-19,116.36,1191810.0,116.36,115.97,117.4,117.21,13018.0
2017-01-20,116.66,1175877.0,116.66,115.78,116.93,116.62,12272.0
2017-01-23,116.24,800166.0,116.24,115.69,116.98,116.3,10153.0
2017-01-24,117.44,1047425.0,117.44,116.39,117.67,116.39,11779.0
2017-01-25,120.15,1886901.0,120.15,117.79,120.36,118.23,21692.0
2017-01-26,120.74,1472645.0,120.74,119.04,121.08,120.0,15740.0
2017-01-27,120.31,1065132.0,120.31,119.89,120.81,120.78,11209.0
2017-01-30,120.44,1196187.0,120.44,119.19,120.55,119.83,13356.0
2017-01-31,121.08,2246797.0,121.08,120.2,121.69,120.26,18315.0
2017-02-01,120.9,2795623.0,120.9,120.85,122.28,121.5,28217.0
2017-02-02,121.26,2059280.0,121.26,118.62,123.55,120.51,18444.0
2017-02-03,119.95,1648209.0,119.95,119.35,122.07,121.74,17947.0
2017-02-06,119.81,1119983.0,119.81,119.05,119.895,119.5,12235.0
2017-02-07,118.73,1672610.0,118.73,118.66,120.4,120.26,17601.0
2017-02-08,116.57,2019220.0,116.57,115.6,118.52,118.36,22160.0
2017-02-09,118.58,1525440.0,118.58,116.18,119.03,116.94,17924.0
2017-02-10,118.98,1130130.0,118.98,118.51,119.448,118.94,13445.0
2017-02-13,121.38,1481057.0,121.38,119.45,121.9,119.65,16084.0
2017-02-14,121.01,1208194.0,121.01,120.25,121.6,121.44,14705.0
2017-02-15,122.11,1233985.0,122.11,120.56,122.67,121.48,15052.0
2017-02-16,121.83,1180654.0,121.83,120.86,122.56,122.11,14936.0
2017-02-17,122.62,2038541.0,122.62,121.0141,122.77,121.6,12574.0
2017-02-21,121.05,1385690.0,121.05,120.87,123.4,122.41,14834.0
2017-02-22,122.51,2270619.0,122.51,121.5,123.32,121.63,21579.0
2017-02-23,122.52,1399185.0,122.52,121.58,123.5,122.58,15573.0
2017-02-24,122.62,1686189.0,122.62,121.61,123.01,122.08,17785.0
2017-02-27,122.83,1279146.0,122.83,121.0,123.295,122.62,14957.0
2017-02-28,121.46,1881239.0,121.46,121.3,122.75,122.46,16381.0
2017-03-01,127.0,2336295.0,127.0,122.67,127.6,123.01,24910.0
2017-03-02,124.24,1665696.0,124.24,124.13,127.39,127.25,19401.0
2017-03-03,124.05,1096888.0,124.05,123.55,124.7225,124.34,13451.0
2017-03-06,124.05,1393458.0,124.05,123.04,124.53,123.45,15838.0
2017-03-07,123.56,1362881.0,123.56,123.2,124.04,123.71,13636.0
2017-03-08,123.2,1223153.0,123.2,123.16,124.45,123.88,14329.0
2017-03-09,123.81,1359745.0,123.81,123.01,124.19,123.36,15979.0
2017-03-10,123.73,1414156.0,123.73,122.785,124.69,124.24,15068.0
2017-03-13,124.83,1893585.0,124.83,123.71,125.16,124.14,16233.0
2017-03-14,124.45,1319687.0,124.45,123.586,125.14,124.26,15190.0
2017-03-15,124.74,1271981.0,124.74,124.07,125.15,125.15,15462.0
2017-03-16,124.74,1138629.0,124.74,124.21,125.49,125.32,14002.0
2017-03-17,124.59,2756393.0,124.59,124.29,125.6,125.0,17628.0
2017-03-20,123.93,1178240.0,123.93,123.65,124.93,124.07,13509.0
2017-03-21,120.28,2521996.0,120.28,120.16,124.87,124.43,29683.0
2017-03-22,119.33,2408012.0,119.33,118.79,120.82,120.38,26464.0
2017-03-23,119.19,1843985.0,119.19,118.97,120.526,119.36,21082.0
2017-03-24,119.88,1462028.0,119.88,119.03,120.41,119.6,15662.0
2017-03-27,118.24,1358780.0,118.24,117.57,119.19,118.64,14667.0
2017-03-28,118.82,1769587.0,118.82,117.1,119.47,117.69,19228.0
2017-03-29,118.5,922049.0,118.5,117.8,118.87,118.51,12913.0
2017-03-30,118.85,1577481.0,118.85,117.41,118.94,118.0,17246.0
2017-03-31,118.8,1753587.0,118.8,118.53,120.1,119.23,18923.0
2017-04-03,117.5,2447681.0,117.5,116.17,119.385,118.82,24466.0
2017-04-04,117.27,1669066.0,117.27,116.83,118.23,117.39,17298.0
2017-04-05,117.55,1539147.0,117.55,117.28,119.27,117.78,17804.0
2017-04-06,117.81,938279.0,117.81,117.07,118.44,117.67,11407.0
2017-04-07,117.99,1203321.0,117.99,117.01,118.47,117.01,13140.0
2017-04-10,117.09,1006591.0,117.09,117.0,118.53,117.85,11624.0
2017-04-11,117.07,1284998.0,117.07,116.02,117.18,116.95,15509.0
2017-04-12,116.62,1608495.0,116.62,116.23,117.36,116.58,18638.0
2017-04-13,115.87,971142.0,115.87,115.82,116.97,116.55,12750.0
2017-04-17,117.44,936897.0,117.44,115.37,117.53,116.33,12759.0
2017-04-18,117.1,848557.0,117.1,116.21,117.54,116.97,11876.0
2017-04-19,117.17,1033348.0,117.17,116.99,118.03,117.6,10759.0
2017-04-20,119.11,1217217.0,119.11,117.17,119.27,117.89,13278.0
2017-04-21,118.77,1302617.0,118.77,118.3,119.5,119.0,13098.0
2017-04-24,119.76,1094296.0,119.76,119.44,120.79,120.66,11983.0
2017-04-25,119.94,1627317.0,119.94,119.42,120.69,120.23,15194.0
2017-04-26,120.04,1252536.0,120.04,119.29,120.73,120.0,13710.0
2017-04-27,115.12,4256617.0,115.12,114.8176,118.25,118.25,33260.0
2017-04-28,116.19,1904593.0,116.19,115.1144,116.34,115.29,18869.0
2017-05-01,116.64,1375300.0,116.64,116.13,117.07,116.55,14227.0
2017-05-02,117.26,1219596.0,117.26,116.48,117.61,116.76,14184.0
2017-05-03,118.03,1825444.0,118.03,116.93,118.98,117.31,16878.0
2017-05-04,118.64,1727290.0,118.64,117.79,119.18,118.86,17893.0
2017-05-05,118.76,1291013.0,118.76,117.81,119.04,119.04,17660.0
2017-05-08,117.1,1773205.0,117.1,116.68,118.939,118.51,19393.0
2017-05-09,117.64,1697374.0,117.64,116.55,118.29,116.83,16152.0
2017-05-10,117.05,1199093.0,117.05,116.17,117.76,117.5,12047.0
2017-05-11,116.79,1146936.0,116.79,115.35,117.17,116.75,13557.0
2017-05-12,116.17,1140479.0,116.17,116.08,116.98,116.57,13609.0
2017-05-15,117.25,1568951.0,117.25,116.2505,117.97,116.31,12735.0
2017-05-16,116.68,1187860.0,116.68,116.58,117.67,117.25,11774.0
2017-05-17,115.12,1580725.0,115.12,114.88,116.25,115.81,17022.0
2017-05-18,115.76,1487605.0,115.76,115.2395,116.41,115.41,16882.0
2017-05-19,116.83,2711520.0,116.83,115.43,117.0,116.09,16161.0
2017-05-22,116.91,1257667.0,116.91,116.41,117.48,117.37,12408.0
2017-05-23,118.2,1026071.0,118.2,116.35,118.48,117.0,10793.0
2017-05-24,117.77,975949.0,117.77,117.43,118.415,118.23,10017.0
2017-05-25,118.07,1151636.0,118.07,117.31,118.39,117.71,13323.0
2017-05-26,117.98,721056.0,117.98,117.56,118.44,118.18,8212.0
2017-05-30,117.2,930565.0,117.2,116.6701,117.81,117.42,10459.0
2017-05-31,117.29,1379065.0,117.29,116.55,117.5,117.5,11678.0
2017-06-01,117.82,1078590.0,117.82,116.81,117.82,117.53,13053.0
2017-06-02,116.93,1120428.0,116.93,116.62,118.05,117.62,13353.0
2017-06-05,118.19,1159152.0,118.19,116.63,118.6,116.63,11710.0
2017-06-06,117.22,1090243.0,117.22,116.815,118.1299,118.03,12092.0
2017-06-07,119.41,1522645.0,119.41,116.76,119.98,116.76,14541.0
2017-06-08,122.29,2041717.0,122.29,119.66,122.5,119.97,20083.0
2017-06-09,124.39,1823186.0,124.39,121.6,124.44,121.93,19365.0
2017-06-12,125.59,2344092.0,125.59,124.36,125.94,124.42,22070.0
2017-06-13,126.07,2221568.0,126.07,125.58,126.45,125.8,19857.0
2017-06-14,127.32,1587512.0,127.32,125.11,127.66,125.55,18721.0
2017-06-15,126.78,1381640.0,126.78,126.14,126.9,126.5,15174.0
2017-06-16,126.18,1585243.0,126.18,123.4,127.16,126.58,12185.0
2017-06-19,127.44,795221.0,127.44,126.21,127.74,126.21,9293.0
2017-06-20,126.07,1330759.0,126.07,125.79,127.45,127.45,13335.0
2017-06-21,124.9,1595016.0,124.9,124.485,126.71,126.71,15139.0
2017-06-22,124.06,871471.0,124.06,123.88,124.86,124.5,11135.0
2017-06-23,124.12,1085568.0,124.12,123.84,124.78,124.38,10803.0
2017-06-26,123.65,865919.0,123.65,123.1,124.6137,124.17,10549.0
2017-06-27,124.62,1208353.0,124.62,123.37,124.98,123.98,11918.0
2017-06-28,126.77,989365.0,126.77,125.05,127.1,125.33,13303.0
2017-06-29,125.04,1106577.0,125.04,124.37,127.96,127.7,13393.0
2017-06-30,125.24,1053775.0,125.24,124.73,125.64,125.44,10634.0
2017-07-03,126.3,611441.0,126.3,125.33,127.36,125.33,7196.0
2017-07-05,125.95,1025590.0,125.95,125.07,126.58,126.2,11782.0
2017-07-06,123.69,1426754.0,123.69,123.67,126.57,125.95,17390.0
2017-07-07,124.83,1150582.0,124.83,122.9,125.22,124.39,12713.0
2017-07-10,124.11,958862.0,124.11,124.06,125.13,124.5,12671.0
2017-07-11,123.16,941523.0,123.16,122.97,124.68,124.11,10412.0
2017-07-12,123.39,1223322.0,123.39,123.09,124.19,123.85,13089.0
2017-07-13,123.39,1570318.0,123.39,123.28,124.0,123.47,16042.0
2017-07-14,120.57,2560169.0,120.57,119.76,123.15,122.71,26478.0
2017-07-17,120.64,2123474.0,120.64,120.39,121.42,120.49,21607.0
2017-07-18,120.56,915227.0,120.56,119.57,120.8677,120.07,10983.0
2017-07-19,120.17,1630510.0,120.17,119.86,120.97,120.78,11800.0
2017-07-20,120.56,1294077.0,120.56,119.3,120.8,120.18,11431.0
2017-07-21,121.0,1648929.0,121.0,120.49,122.37,120.49,14877.0
2017-07-24,120.42,1143003.0,120.42,120.12,121.11,120.9,12037.0
2017-07-25,121.89,1319146.0,121.89,120.69,122.25,121.34,15317.0
2017-07-26,121.83,1343070.0,121.83,121.42,123.13,121.75,13434.0
2017-07-27,121.36,1349589.0,121.36,120.52,122.3,121.84,12070.0
2017-07-28,121.28,1401620.0,121.28,120.52,121.78,121.25,13241.0
