YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,374.77,868896.0,374.77,374.08,380.38,379.11,
2017-01-04,381.86,984463.0,381.86,372.87,383.9,374.91,
2017-01-05,391.89,1316727.0,391.89,379.05,392.67,382.62,
2017-01-06,398.44,1149646.0,398.44,390.3564,399.8,391.5,
2017-01-09,395.06,793405.0,395.06,392.11,399.25,398.7,
2017-01-10,414.48,3214128.0,414.48,408.201,420.23,412.64,
2017-01-11,413.93,1273917.0,413.93,410.35,418.32,412.85,
2017-01-12,409.35,850428.0,409.35,407.8,414.0,411.63,
2017-01-13,410.75,572714.0,410.75,409.01,413.95,409.93,
2017-01-17,405.87,833798.0,405.87,404.41,411.87,406.41,
2017-01-18,409.74,823846.0,409.74,399.03,411.0,407.35,
2017-01-19,408.87,503020.0,408.87,406.0,410.95,409.7,
2017-01-20,405.2,581311.0,405.2,404.81,409.98,408.91,
2017-01-23,407.72,632364.0,407.72,402.01,409.26,405.71,
2017-01-24,417.88,687911.0,417.88,405.781,419.57,407.72,
2017-01-25,419.54,732060.0,419.54,418.57,425.61,419.0,
2017-01-26,418.73,470457.0,418.73,417.5,425.1,421.0,
2017-01-27,416.6,553453.0,416.6,412.17,419.5,419.06,
2017-01-30,417.95,587732.0,417.95,414.735,421.7,416.21,
2017-01-31,421.44,737863.0,421.44,415.48,422.25,416.73,
2017-02-01,420.23,750592.0,420.23,417.61,422.58,420.31,
2017-02-02,423.3,1316199.0,423.3,413.67,427.6699,420.0,
2017-02-03,404.08,3573867.0,404.08,402.892,434.585,430.945,
2017-02-06,395.59,1498846.0,395.59,395.08,402.0,398.81,
2017-02-07,398.64,1270291.0,398.64,395.72,401.5,396.25,
2017-02-08,402.94,1075651.0,402.94,398.69,408.23,400.5,
2017-02-09,415.31,1292887.0,415.31,403.63,417.51,404.35,
2017-02-10,413.36,880002.0,413.36,412.77,420.76,416.26,
2017-02-13,414.14,586649.0,414.14,413.55,419.47,415.72,
2017-02-14,419.54,640046.0,419.54,413.51,420.98,414.15,
2017-02-15,423.34,822293.0,423.34,419.01,425.5909,420.05,
2017-02-16,424.76,560368.0,424.76,421.33,426.54,423.36,
2017-02-17,427.61,543944.0,427.61,423.19,428.52,424.46,
2017-02-21,432.36,911531.0,432.36,428.73,434.69,429.0,
2017-02-22,427.61,666071.0,427.61,426.99,434.3699,432.0,
2017-02-23,422.38,573631.0,422.38,420.71,429.87,427.14,
2017-02-24,420.9,942294.0,420.9,411.62,421.436,419.47,
2017-02-27,421.67,545118.0,421.67,419.31,424.23,421.71,
2017-02-28,418.74,496676.0,418.74,417.67,425.585,419.53,
2017-03-01,419.15,715598.0,419.15,416.25,424.0,422.51,
2017-03-02,416.29,474632.0,416.29,415.37,420.21,419.26,
2017-03-03,416.09,538769.0,416.09,412.41,417.25,415.38,
2017-03-06,411.68,699850.0,411.68,410.01,417.5663,411.1,
2017-03-07,404.9,933124.0,404.9,402.16,412.57,410.51,
2017-03-08,406.5,507884.0,406.5,402.851,407.0,404.01,
2017-03-09,410.48,543234.0,410.48,406.25,412.68,407.08,
2017-03-10,407.75,615069.0,407.75,404.41,412.98,411.35,
2017-03-13,405.87,642089.0,405.87,403.57,409.76,408.0,
2017-03-14,403.1,733285.0,403.1,397.81,404.85,404.85,
2017-03-15,400.96,834651.0,400.96,399.04,405.39,403.11,
2017-03-16,400.95,578752.0,400.95,399.63,402.49,400.96,
2017-03-17,402.58,555933.0,402.58,400.03,403.47,400.9,
2017-03-20,396.37,773731.0,396.37,394.19,402.9,402.55,
2017-03-21,407.52,1160461.0,407.52,400.5,408.6,403.34,
2017-03-22,416.31,975180.0,416.31,405.151,417.76,405.99,
2017-03-23,414.88,590620.0,414.88,413.38,418.669,417.0,
2017-03-24,414.02,463051.0,414.02,412.67,417.78,414.82,
2017-03-27,414.96,584043.0,414.96,409.49,415.44,409.87,
2017-03-28,426.23,941727.0,426.23,415.11,428.31,415.71,
2017-03-29,434.34,1439434.0,434.34,426.35,439.88,426.58,
2017-03-30,443.92,1715512.0,443.92,435.95,450.0,436.77,
2017-03-31,445.52,914420.0,445.52,444.15,453.08,447.13,
2017-04-03,452.75,1356485.0,452.75,447.75,459.45,449.2,
2017-04-04,449.41,976586.0,449.41,448.4,459.36,455.25,
2017-04-05,452.44,793631.0,452.44,447.07,458.8275,454.69,
2017-04-06,450.29,486115.0,450.29,448.79,455.18,452.85,
2017-04-07,447.34,532294.0,447.34,446.76,450.6731,449.75,
2017-04-10,454.28,692190.0,454.28,445.4,456.89,447.24,
2017-04-11,453.0,825145.0,453.0,445.2501,459.932,454.99,
2017-04-12,458.35,831583.0,458.35,450.4677,459.24,451.89,
2017-04-13,463.62,974206.0,463.62,455.51,466.77,457.03,
2017-04-17,469.89,735729.0,469.89,461.7,471.5,465.0,
2017-04-18,468.51,486863.0,468.51,464.14,471.57,471.0,
2017-04-19,476.96,1101858.0,476.96,473.0,481.77,474.05,
2017-04-20,478.39,629100.0,478.39,475.488,483.5,477.48,
2017-04-21,479.09,798700.0,479.09,476.42,481.99,479.0,
2017-04-24,468.79,1145091.0,468.79,465.2,482.82,482.75,
2017-04-25,471.76,2025360.0,471.76,468.27,474.27,471.1,
2017-04-26,482.99,3910022.0,482.99,474.6,497.48,474.655,
2017-04-27,482.0,981844.0,482.0,481.05,488.0,485.23,
2017-04-28,474.47,937692.0,474.47,473.45,481.87,481.87,
2017-05-01,477.58,982673.0,477.58,465.99,482.97,473.01,
2017-05-02,486.86,1043167.0,486.86,480.39,490.67,480.49,
2017-05-03,479.97,945044.0,479.97,479.34,490.45,487.23,
2017-05-04,472.4,783169.0,472.4,470.85,481.95,480.48,
2017-05-05,475.3,963658.0,475.3,466.48,475.8,472.59,
2017-05-08,471.15,568928.0,471.15,468.07,476.16,475.66,
2017-05-09,479.13,813348.0,479.13,471.97,480.64,472.29,
2017-05-10,486.42,778738.0,486.42,477.81,488.06,479.84,
2017-05-11,488.52,682409.0,488.52,481.35,491.6,485.9,
2017-05-12,489.33,731590.0,489.33,488.47,495.97,490.46,
2017-05-15,495.31,719701.0,495.31,485.455,495.95,488.75,
2017-05-16,496.14,915065.0,496.14,491.0,499.0,496.58,
2017-05-17,479.83,800142.0,479.83,478.9675,493.5538,492.22,
2017-05-18,484.74,631613.0,484.74,476.04,486.32,479.15,
2017-05-19,484.99,590661.0,484.99,483.62,489.66,487.85,
2017-05-22,482.79,617539.0,482.79,476.59,485.78,485.17,
2017-05-23,475.0,546019.0,475.0,474.0,484.56,484.56,
2017-05-24,478.8,419721.0,478.8,474.29,480.0,476.43,
2017-05-25,481.39,654517.0,481.39,480.0,484.86,483.45,
2017-05-26,480.15,477836.0,480.15,478.944,483.25,483.01,
2017-05-30,475.7,607297.0,475.7,472.42,477.8518,475.28,
2017-05-31,477.35,651660.0,477.35,471.53,478.0,476.92,
2017-06-01,483.6,585680.0,483.6,477.36,484.69,479.81,
2017-06-02,478.07,608270.0,478.07,477.01,487.52,484.88,
2017-06-05,472.6,704387.0,472.6,471.05,478.78,478.25,
2017-06-06,470.48,745882.0,470.48,469.0,474.4499,471.0,
2017-06-07,462.23,1123504.0,462.23,459.57,471.431,470.04,
2017-06-08,459.69,739786.0,459.69,457.02,464.49,461.0,
2017-06-09,460.85,736328.0,460.85,459.53,466.05,461.37,
2017-06-12,461.55,776184.0,461.55,452.2,464.34,459.79,
2017-06-13,464.22,543588.0,464.22,461.38,468.04,461.78,
2017-06-14,459.69,417217.0,459.69,459.2,468.0,463.79,
2017-06-15,455.67,600484.0,455.67,452.4,459.66,456.55,
2017-06-16,451.09,904185.0,451.09,450.1,457.55,455.67,
2017-06-19,458.91,1147400.0,458.91,448.68,459.32,452.97,
2017-06-20,425.6,3317089.0,425.6,424.76,444.6,444.6,
2017-06-21,417.6,1537542.0,417.6,414.295,427.98,425.15,
2017-06-22,420.92,1154092.0,420.92,417.0,425.16,417.0,
2017-06-23,415.28,1104482.0,415.28,415.0,422.93,422.15,
2017-06-26,413.99,999632.0,413.99,410.98,418.0,416.02,
2017-06-27,413.98,1136082.0,413.98,413.801,420.8,414.25,
2017-06-28,416.87,671032.0,416.87,414.39,419.942,414.39,
2017-06-29,419.18,778236.0,419.18,415.56,422.7,416.45,
2017-06-30,416.1,740106.0,416.1,415.83,423.749,420.76,
2017-07-03,417.33,422814.0,417.33,414.41,418.71,415.81,
2017-07-05,413.25,969510.0,413.25,411.34,419.7332,418.2,
2017-07-06,412.76,1125960.0,412.76,406.333,413.26,411.76,
2017-07-07,413.89,618574.0,413.89,413.235,417.41,413.67,
2017-07-10,407.55,811550.0,407.55,407.0,413.95,413.0,
2017-07-11,396.08,1428057.0,396.08,394.7501,407.07,407.0,
2017-07-12,396.95,1092766.0,396.95,390.55,399.15,396.0,
2017-07-13,400.04,926099.0,400.04,393.0,401.2,398.01,
2017-07-14,395.83,1105138.0,395.83,395.14,401.9,398.8,
2017-07-17,392.0,829781.0,392.0,391.01,397.75,395.7,
2017-07-18,374.98,7624861.0,374.98,362.4,395.25,395.25,
2017-07-19,372.83,3233522.0,372.83,362.62,380.0,369.8,
2017-07-20,356.05,4454791.0,356.05,355.71,373.9599,372.83,
2017-07-21,345.34,3198286.0,345.34,344.21,358.58,355.55,
2017-07-24,339.98,2557068.0,339.98,336.52,346.373,344.75,
2017-07-25,348.62,3527128.0,348.62,339.0,350.89,340.0,
2017-07-26,340.6,3621377.0,340.6,340.05,355.55,354.35,
2017-07-27,349.84,1701117.0,349.84,337.5,351.46,339.62,
2017-07-28,350.5,1741057.0,350.5,349.24,357.99,349.75,
2017-07-31,343.77,1234238.0,343.77,342.11,353.14,351.0,
2017-08-01,347.24,897504.0,347.24,340.631,347.74,344.08,
2017-08-02,351.06,995946.0,351.06,346.13,352.415,348.0,
2017-08-03,345.36,922606.0,345.36,345.15,355.48,351.84,
2017-08-04,344.56,829772.0,344.56,339.21,345.38,344.43,
2017-08-07,339.45,961237.0,339.45,336.91,345.73,345.32,
2017-08-08,333.64,1078066.0,333.64,332.34,338.95,338.0,
2017-08-09,334.61,667460.0,334.61,328.88,336.36,331.25,
