YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,139.79,1638792.0,139.79,137.9225,139.81,138.25,
2017-01-04,139.63,1178368.0,139.63,139.09,140.8,139.88,
2017-01-05,137.75,1387348.0,137.75,136.84,140.19,139.16,
2017-01-06,138.72,923475.0,138.72,137.01,139.89,138.26,
2017-01-09,137.42,925382.0,137.42,137.23,139.81,139.81,
2017-01-10,139.56,1574871.0,139.56,137.7,140.06,138.36,
2017-01-11,140.71,837541.0,140.71,139.05,141.08,139.95,
2017-01-12,138.56,2600457.0,138.56,134.06,140.63,140.45,
2017-01-13,139.98,923325.0,139.98,138.63,140.56,138.94,
2017-01-17,138.92,1191168.0,138.92,138.16,140.17,139.36,
2017-01-18,139.9,820187.0,139.9,138.48,139.93,138.93,
2017-01-19,140.97,1142711.0,140.97,140.37,141.95,141.0,
2017-01-20,141.58,906079.0,141.58,140.64,142.1274,141.34,
2017-01-23,141.47,794486.0,141.47,140.18,141.74,141.19,
2017-01-24,145.01,1107299.0,145.01,141.9,145.47,142.04,
2017-01-25,147.86,1477299.0,147.86,145.97,148.25,146.27,
2017-01-26,147.45,1507426.0,147.45,146.68,150.35,148.25,
2017-01-27,147.14,794935.0,147.14,146.695,147.99,147.48,
2017-01-30,147.01,1051445.0,147.01,145.3299,147.29,146.85,
2017-01-31,147.01,1981809.0,147.01,144.25,147.25,146.0,
2017-02-01,147.32,1301224.0,147.32,146.71,149.97,147.91,
2017-02-02,146.33,871531.0,146.33,145.85,147.87,146.66,
2017-02-03,146.86,947040.0,146.86,146.13,147.44,146.93,
2017-02-06,146.38,1191050.0,146.38,145.67,146.98,146.39,
2017-02-07,147.35,1510851.0,147.35,146.69,148.73,147.63,
2017-02-08,145.68,2097903.0,145.68,144.8,147.2,146.71,
2017-02-09,150.14,2815626.0,150.14,148.45,153.44,150.0,
2017-02-10,150.56,1355290.0,150.56,149.68,151.03,150.5,
2017-02-13,152.85,2200103.0,152.85,150.96,153.62,151.26,
