YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,41.53,1746469.0,41.53,41.12,41.65,41.64,
2017-01-04,41.76,2443866.0,41.76,41.5,41.98,41.64,
2017-01-05,41.99,2408458.0,41.99,41.3,42.12,41.74,
2017-01-06,42.15,1792739.0,42.15,41.7001,42.26,41.75,
2017-01-09,41.58,2057885.0,41.58,41.5,42.55,42.2,
2017-01-10,41.51,1300489.0,41.51,41.26,41.66,41.58,
2017-01-11,41.95,1150588.0,41.95,41.455,41.96,41.53,
2017-01-12,41.9,1595372.0,41.9,41.61,42.04,41.94,
2017-01-13,41.94,1039806.0,41.94,41.69,42.13,41.82,
2017-01-17,42.2,1649724.0,42.2,41.995,42.545,42.05,
2017-01-18,42.19,1907368.0,42.19,42.08,42.49,42.17,
2017-01-19,42.13,1975227.0,42.13,41.85,42.36,41.93,
2017-01-20,42.33,1972791.0,42.33,42.03,42.38,42.2,
2017-01-23,42.29,2148439.0,42.29,42.13,42.54,42.39,
2017-01-24,41.97,1300973.0,41.97,41.905,42.32,42.19,
2017-01-25,41.81,1498116.0,41.81,41.71,42.0,41.87,
2017-01-26,41.96,1375984.0,41.96,41.58,42.045,41.72,
2017-01-27,41.78,1110669.0,41.78,41.72,42.13,42.09,
2017-01-30,42.04,2357647.0,42.04,41.73,42.115,42.04,
2017-01-31,42.6,2529719.0,42.6,42.08,42.61,42.17,
2017-02-01,42.12,3072079.0,42.12,41.75,42.33,42.0,
2017-02-02,42.76,3616581.0,42.76,41.781,43.62,41.86,
2017-02-03,42.62,1740775.0,42.62,42.5,43.0,42.97,
2017-02-06,42.45,1415143.0,42.45,42.385,42.9,42.8,
2017-02-07,42.51,1375724.0,42.51,42.4,42.635,42.49,
2017-02-08,42.9,1673433.0,42.9,42.545,43.03,42.61,
2017-02-09,42.74,1255205.0,42.74,42.645,43.13,42.84,
2017-02-10,42.93,1357623.0,42.93,42.56,43.01,42.64,
2017-02-13,43.13,1192689.0,43.13,42.72,43.16,42.97,
2017-02-14,42.78,1308710.0,42.78,42.63,43.1,42.99,
