YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,58.31,1994181.0,58.31,56.0,58.52,57.23,
2017-01-04,60.25,2106668.0,60.25,58.32,60.5,58.7,
2017-01-05,60.15,1441288.0,60.15,59.78,60.34,60.13,
2017-01-06,61.04,1264727.0,61.04,60.08,61.4,60.08,
2017-01-09,61.97,1693060.0,61.97,60.85,62.1,60.85,
2017-01-10,62.12,1761706.0,62.12,61.4,62.84,61.71,
2017-01-11,61.68,1324495.0,61.68,61.03,62.73,62.09,
2017-01-12,62.71,1756418.0,62.71,61.15,62.76,61.31,
2017-01-13,62.65,933690.0,62.65,62.5,63.0699,62.7,
2017-01-17,63.08,970751.0,63.08,61.415,63.23,62.5,
2017-01-18,62.87,1286415.0,62.87,62.695,63.44,63.35,
2017-01-19,62.26,1454013.0,62.26,62.24,63.29,62.71,
2017-01-20,63.31,1275311.0,63.31,62.21,63.44,62.36,
2017-01-23,63.09,1838303.0,63.09,61.37,63.34,63.34,
2017-01-24,62.96,1529745.0,62.96,61.731,63.09,63.09,
2017-01-25,64.48,1421221.0,64.48,62.91,64.68,62.91,
2017-01-26,63.49,1807725.0,63.49,63.41,64.89,64.68,
2017-01-27,63.8,812272.0,63.8,63.18,64.04,63.64,
2017-01-30,62.75,889652.0,62.75,62.52,63.86,63.86,
2017-01-31,63.27,1033401.0,63.27,62.36,63.3,62.75,
2017-02-01,64.2,1866111.0,64.2,63.31,64.89,63.31,
2017-02-02,64.01,936315.0,64.01,63.27,64.11,64.07,
2017-02-03,64.72,1700712.0,64.72,64.1,65.0,64.23,
2017-02-06,63.63,2075985.0,63.63,63.117,64.72,64.64,
2017-02-07,67.0,4415653.0,67.0,66.0,68.88,66.42,
2017-02-08,68.67,3300042.0,68.67,67.02,68.99,67.02,
2017-02-09,69.34,1362388.0,69.34,68.36,69.61,68.41,
2017-02-10,69.4,1432140.0,69.4,68.9,69.65,69.16,
2017-02-13,69.93,1413169.0,69.93,69.49,70.5,69.54,
2017-02-14,70.93,1693207.0,70.93,69.55,71.04,69.6,
2017-02-15,71.45,1672834.0,71.45,70.56,71.89,70.56,
2017-02-16,70.07,2621731.0,70.07,69.68,70.86,70.35,
2017-02-17,67.61,3389678.0,67.61,66.88,69.6,69.57,
2017-02-21,70.28,1608073.0,70.28,67.61,70.43,67.78,
2017-02-22,70.24,1183154.0,70.24,69.7501,70.61,70.25,
2017-02-23,70.58,1076262.0,70.58,70.04,70.98,70.71,
2017-02-24,70.61,1239260.0,70.61,69.68,70.62,70.22,
2017-02-27,71.11,1479537.0,71.11,70.52,71.42,70.73,
2017-02-28,70.5,1390387.0,70.5,70.05,70.88,70.4,
2017-03-01,72.42,2184550.0,72.42,71.45,73.23,71.66,
2017-03-02,71.24,1308823.0,71.24,71.07,72.295,72.14,
2017-03-03,70.97,1768288.0,70.97,70.68,71.52,71.05,
2017-03-06,70.97,1554948.0,70.97,69.84,71.28,70.44,
2017-03-07,70.56,1147274.0,70.56,70.42,71.1676,71.0,
2017-03-08,70.24,1352351.0,70.24,70.22,71.16,70.56,
2017-03-09,69.56,2131159.0,69.56,69.27,70.7,70.47,
2017-03-10,68.43,2962866.0,68.43,68.135,70.225,69.49,
