YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,24.59,2246823.0,24.59,24.45,24.74,24.72,
2017-01-04,24.81,3758680.0,24.81,24.7,25.12,24.7,
2017-01-05,24.81,3079572.0,24.81,24.63,25.0,24.79,
2017-01-06,25.36,3202361.0,25.36,24.79,25.45,24.8,
2017-01-09,24.88,2497956.0,24.88,24.88,25.45,25.41,
2017-01-10,24.95,2923520.0,24.95,24.74,25.08,24.86,
2017-01-11,25.42,2702964.0,25.42,24.92,25.46,24.92,
2017-01-12,25.33,2354882.0,25.33,25.17,25.47,25.41,
2017-01-13,25.42,3594342.0,25.42,25.245,25.46,25.27,
2017-01-17,25.49,2604303.0,25.49,25.39,25.75,25.48,
2017-01-18,25.68,2759326.0,25.68,25.42,25.81,25.44,
2017-01-19,25.44,2461033.0,25.44,25.31,25.64,25.6,
2017-01-20,25.6,2922889.0,25.6,25.38,25.6,25.49,
2017-01-23,25.44,1844786.0,25.44,25.33,25.6734,25.61,
2017-01-24,25.62,3809482.0,25.62,25.38,25.765,25.51,
2017-01-25,25.95,4044719.0,25.95,25.55,26.06,25.56,
2017-01-26,25.99,3079041.0,25.99,25.74,26.045,25.97,
2017-01-27,26.06,3104563.0,26.06,25.86,26.06,26.0,
2017-01-30,25.83,2448502.0,25.83,25.59,26.06,26.06,
2017-01-31,26.21,4814210.0,26.21,25.77,26.23,25.87,
2017-02-01,25.93,3624948.0,25.93,25.79,26.25,26.09,
2017-02-02,26.19,3369708.0,26.19,25.78,26.21,25.91,
2017-02-03,26.3,2057156.0,26.3,26.175,26.36,26.25,
2017-02-06,26.09,2696908.0,26.09,26.03,26.43,26.39,
2017-02-07,26.17,1937480.0,26.17,26.08,26.22,26.11,
2017-02-08,26.42,2140644.0,26.42,26.04,26.45,26.1,
2017-02-09,26.47,2441518.0,26.47,26.31,26.57,26.38,
2017-02-10,26.49,2013371.0,26.49,26.41,26.59,26.46,
2017-02-13,26.67,4106262.0,26.67,26.46,26.69,26.48,
2017-02-14,26.05,2620628.0,26.05,25.9,26.47,26.32,
2017-02-15,26.07,4074162.0,26.07,25.755,26.1,25.86,
2017-02-16,26.37,1927720.0,26.37,26.01,26.385,26.04,
2017-02-17,26.51,2342384.0,26.51,26.185,26.52,26.41,
2017-02-21,26.61,2217157.0,26.61,26.39,26.695,26.47,
2017-02-22,26.57,2071823.0,26.57,26.41,26.65,26.6,
2017-02-23,26.84,3625763.0,26.84,26.64,26.98,26.68,
2017-02-24,27.02,2578155.0,27.02,26.74,27.02,26.86,
2017-02-27,26.79,3093908.0,26.79,26.77,27.025,26.99,
2017-02-28,27.32,4792726.0,27.32,25.51,27.43,25.91,
2017-03-01,27.7,3461713.0,27.7,27.05,27.85,27.19,
2017-03-02,27.77,2950244.0,27.77,27.54,27.96,27.56,
2017-03-03,27.9,3263121.0,27.9,27.59,27.92,27.79,
2017-03-06,27.96,2488954.0,27.96,27.75,27.97,27.9,
2017-03-07,28.0,3184571.0,28.0,27.79,28.08,28.0,
2017-03-08,27.44,2920662.0,27.44,27.37,27.85,27.83,
2017-03-09,27.37,2603543.0,27.37,27.3,27.65,27.45,
2017-03-10,27.71,3190190.0,27.71,27.44,27.74,27.5,
2017-03-13,27.61,2365618.0,27.61,27.55,27.78,27.69,
2017-03-14,27.5,2635159.0,27.5,27.35,27.6,27.55,
2017-03-15,28.09,2624315.0,28.09,27.6,28.18,27.67,
2017-03-16,27.59,4063873.0,27.59,27.46,27.97,27.75,
2017-03-17,27.68,6295597.0,27.68,27.58,27.82,27.63,
2017-03-20,27.45,2932954.0,27.45,27.42,27.8199,27.76,
2017-03-21,27.58,6466039.0,27.58,27.45,27.79,27.45,
2017-03-22,27.88,4599541.0,27.88,27.51,27.95,27.72,
2017-03-23,27.75,2982259.0,27.75,27.66,28.09,27.91,
2017-03-24,27.87,2125748.0,27.87,27.7,27.91,27.8,
2017-03-27,27.69,2003952.0,27.69,27.59,28.04,27.94,
2017-03-28,27.69,2801414.0,27.69,27.46,27.72,27.65,
2017-03-29,27.85,3482577.0,27.85,27.58,28.0,27.72,
2017-03-30,27.51,2028241.0,27.51,27.38,27.85,27.79,
2017-03-31,27.57,2643845.0,27.57,27.44,27.75,27.46,
